passage_id,law,title,paragraph,source_url
EStG-25,EStG,Einkommensteuergesetz 1988 Paragraf 25,25,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=25
EStG-26,EStG,Einkommensteuergesetz 1988 Paragraf 26,26,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=26
EStG-22,EStG,Einkommensteuergesetz 1988 Paragraf 22,22,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=22
UStG-1,UStG,Umsatzsteuergesetz 1994 Paragraf 1,1,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=1
UStG-2,UStG,Umsatzsteuergesetz 1994 Paragraf 2,2,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=2
UStG-3,UStG,Umsatzsteuergesetz 1994 Paragraf 3,3,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=3
UStG-4,UStG,Umsatzsteuergesetz 1994 Paragraf 4,4,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=4
UStG-5,UStG,Umsatzsteuergesetz 1994 Paragraf 5,5,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=5
UStG-6,UStG,Umsatzsteuergesetz 1994 Paragraf 6,6,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=6
UStG-7,UStG,Umsatzsteuergesetz 1994 Paragraf 7,7,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=7
UStG-8,UStG,Umsatzsteuergesetz 1994 Paragraf 8,8,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=8
UStG-9,UStG,Umsatzsteuergesetz 1994 Paragraf 9,9,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=9
UStG-10,UStG,Umsatzsteuergesetz 1994 Paragraf 10,10,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=10
UStG-3a,UStG,Umsatzsteuergesetz 1994 Paragraf 3a,3a,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004873&Paragraf=3a
KStG-7,KStG,Koerperschaftsteuergesetz 1988 Paragraf 7,7,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004569&Paragraf=7
KStG-8,KStG,Koerperschaftsteuergesetz 1988 Paragraf 8,8,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004569&Paragraf=8
KStG-9,KStG,Koerperschaftsteuergesetz 1988 Paragraf 9,9,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004569&Paragraf=9
KStG-10,KStG,Koerperschaftsteuergesetz 1988 Paragraf 10,10,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004569&Paragraf=10
KStG-11,KStG,Koerperschaftsteuergesetz 1988 Paragraf 11,11,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004569&Paragraf=11
KStG-12,KStG,Koerperschaftsteuergesetz 1988 Paragraf 12,12,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004569&Paragraf=12
GrEStG-1,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 1,1,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=1
GrEStG-2,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 2,2,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=2
GrEStG-3,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 3,3,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=3
GrEStG-4,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 4,4,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=4
GrEStG-5,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 5,5,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=5
GrEStG-6,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 6,6,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=6
GrEStG-7,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 7,7,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=7
GrEStG-8,GrEStG,Grunderwerbsteuergesetz 1987 Paragraf 8,8,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&Paragraf=8
EStG-27,EStG,Einkommensteuergesetz 1988 Paragraf 27,27,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=27
EStG-28,EStG,Einkommensteuergesetz 1988 Paragraf 28,28,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=28
EStG-23,EStG,Einkommensteuergesetz 1988 Paragraf 23,23,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
EStG-33,EStG,Einkommensteuergesetz 1988 Paragraf 33,33,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=33
EStG-1,EStG,Einkommensteuergesetz 1988 Paragraf 1,1,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=1
