task_id;row_key;prompt;answer;reference_answer;sources;correctness_score;groundedness_score;legal_reasoning_score;completeness_score;comprehension_score;hallucination_flag;grounding_citations;comments
1;30cc0f0914c2047e;"Eine Körperschaft öffentlichen Rechts veranstaltet wissenschaftliche Fachvorträge, berufsbegleitende Abendkurse und zusätzlich eine populäre Abendgala mit Showcharakter. Die Einnahmen aus Vorträgen und Kursen dienen überwiegend der Kostendeckung; die Gala soll einen Überschuss für spätere Projekte erwirtschaften. Zu entscheiden ist, ob die gesamte Veranstaltungsreihe einheitlich oder getrennt nach ihrem Charakter zu behandeln ist.";"tere Projekte erwirtschaften. Zu entscheiden ist, ob die gesamte Veranstaltungsreihe einheitlich oder getrennt nach ihrem Charakter zu behandeln ist. Antwort: Einheitlich. Der Gesuchsteller hat sich zur Frage der Einheitlichkeit des Gesamtverfahrens nicht geäussert. Er macht jedoch geltend, dass die Gesellschaften, welche die Gala betreuen, in ihrer Wirkung als ""Köpfe"" der Gesellschaften stehen. Diese Betätigung sei im Rahmen einer ""Gemeinschaft"" zu begründen. Es könne daher nicht von einem ""Eigentums- oder Gemeindesteuern"" ausgegangen werden. Der Gesuchsteller behauptet, es handle sich um eine ""Stimme"", die den Gesetzgeber vorbehalten habe. Dieser Vorbehalt sei nicht eingehalten worden. Das Bundesgericht hat diese Auffassung";Steuerfrei sind nur die Umsätze aus den Vorträgen und Kursen wissenschaftlicher, unterrichtender oder belehrender Art, soweit die Einnahmen vorwiegend zur Deckung der Kosten verwendet werden. Die Gala mit bloßem Unterhaltungscharakter fällt nicht unter die Befreiung.;§ 6 Abs. 1 Z 12 UStG 1994;1;0;1;2;1;1;""" § 6 Abs. 1 Z 12 UStG 1994: Die Umsätze aus den von öffentlich-rechtlichen Körperschaften oder Volksbildungsvereinen veranstalteten Vorträgen, Kursen und Filmvorführungen wissenschaftlicher oder unterrichtender oder belehrender Art, wenn die Einnahmen vorwiegend zur Deckung der Kosten verwendet werden.""";The generated answer differs very much from the reference answer and contains wording that is wheter in the source or in the reference answer.
2;3122f1b86ee27b7d;Ein Unternehmen stellt einer Mitarbeiterin ein Elektrofahrrad (CO2-Emissionswert 0) auch zur privaten Nutzung zur Verfügung. Muss die Mitarbeiterin für diesen Vorteil einen Sachbezug versteuern?;Nein, die Mitarbeiterin muss für die private Nutzung des Elektrofahrrads keinen Sachbezug versteuern. Laut § 3 Abs. 1 Z 15 EstG (Einkommensteuergesetz) sind Vorteile aus der unentgeltlichen oder verbilligten Abgabe von Fahrrädern, die vom Arbeitgeber zur Verfügung gestellt werden, einschließlich der Überlassung von Elektrofahrrädern, steuerfrei. Dies gilt auch für die private Nutzung des Fahrrads.;Nein. Für Fahrräder und Krafträder mit einem CO2-Emissionswert von 0 Gramm pro Kilometer ist beim Arbeitnehmer ein Sachbezugswert von Null anzusetzen. Es fällt somit keine Lohnsteuer für diesen Vorteil an.;§ 25 Abs. 1 EStG i.V.m. Sachbezugswerteverordnung;5;1;2;5;5;0;"""§ 3. (1) 15 a-d EstG: Von der Einkommensteuer sind befreit: [...] 15. a) Zuwendungen des Arbeitgebers für die Zukunftssicherung seiner Arbeitnehmer [...] b) der Vorteil aus der unentgeltlichen oder verbilligten Abgabe von Kapitalanteilen [...]""";The answer is correct because electric bikes are tax-free in Austria. However, the law text  provided by AI (Section 3, Point 15 a-d) is only about 'future security' and 'company shares'. It does not mention 'bicycles' at all. Because the AI used knowledge that is not in the provided text, it gets a high score for being correct but a low score for grounding.
3;3142b645a0ae0e2a;Eine in Frankreich wohnende Person vermietet eine in Innsbruck gelegene Eigentumswohnung. Sind diese Einkünfte in Österreich beschränkt steuerpflichtig?;In der Regel sind Einkünfte aus Vermietung und Verpachtung in Österreich grundsätzlich **steuerlich begrenzt** zu versteuern, wenn sie durch einen österreichischen Wohnsitzbürger erzielt werden. Hier ist aber die Situation mit dem konkreten Fall: * **Wohnungsvermietung:** Die Vermietung einer Wohnung in Innsbruck fällt unter den Bereich des österreichischen Einkommenssteuergesetzes (EStG). * **Österreichischer Wohnsitz:** Der Mieter befindet sich in Frankreich. Das bedeutet, dass er nicht direkt in Österreich ansässig ist. * **Grenzenlose Besteuerung:** Es gibt keine grenzüberschreitenden Abkommen, die es erlauben würden, Einkünfte aus Vermietung und Verpachtung von einem französischen Wohnsitzbürger in Österreich ohne weitere Voraussetzungen zu besteuern. **Folgendes gilt als relevant:** 1. **Steuerpflicht im Ausland:** In Frankreich wird die Vermietung wahrscheinlich als Gewerbe behandelt. Die Einkünfte könnten dann nach französischem Recht besteuert werden. 2. **Austrian Residency:** Für die Besteuerung in Österreich muss man sich auf das österreichische Einkommenssteuergesetz beziehen. 3. **Vertragliche Vereinbarung:** Ist ein Vertrag zwischen dem Vermieter und dem Mieter abgeschlossen, kann dieser auch bestimmte Bedingungen zur Besteuerung beinhalten. 4. **Finanzamt:** Ein Finanzamt kann bei Bedarf die Besteuerung genauer prüfen. **Empfehlung:** Es ist ratsam, sich an;Ja. Einkünfte aus Vermietung und Verpachtung sind nach § 98 Abs. 1 Z 6 EStG 1988 beschränkt steuerpflichtig, wenn das unbewegliche Vermögen im Inland gelegen ist.;§ 98 Abs. 1 Z 6 EStG 1988;1;0;1;2;2;1;"""§ 98 Abs. 1 Z 6 EStG 1988: Einkünfte aus Vermietung und Verpachtung (§ 28), wenn das unbewegliche Vermögen, die Sachinbegriffe oder Rechte – im Inland gelegen sind [...]""";The answer is incorrect and highly unreliable because it reaches the wrong conclusion and fails to mention the relevant law (§ 98 EStG). It incorrectly claims that there are no tax treaties for this case and invents confusing terms like 'Wohnsitzbürger'. According to the provided legal text, income from property located in Austria is always subject to limited tax liability, regardless of whether the owner lives in France or Austria.
4;324cdfe70b24129f;"""Ein Tourist aus Deutschland mietet ein Tiny House auf einem österreichischen Bauernhof für 3 Nächte. Wo ist die Leistung steuerpflichtig?""";"; b)Alkohol: –1,5 Liter; c)Getränke: –1 Liter; d)Kaffee: –1 Liter; e)Koch- und Backwaren: –1 Liter; f)Kosmetik und Haushaltswaren: –1 Liter; g)Kleidung: –1 Liter; h)Lebensmittel: –1 Liter; i)Leichtgewichtsmittel: –1 Liter; j)Metallwaren: –1 Liter; k)Metallgegenstände";"""In Österreich. Gemäß § 3a Abs. 9 UStG 1994 wird eine sonstige Leistung im Zusammenhang mit einem Grundstück dort ausgeführt, wo das Grundstück gelegen ist. b) die Beherbergung in der Hotelbranche oder in Branchen mit ähnlicher Funktion (zB in Ferienlagern oder auf Campingplätzen).""";§ 3a Abs. 12 UStG 1994;0;0;0;0;0;1;"""§ 3a Abs. 12 UStG 1994: Die kurzfristige Vermietung eines Beförderungsmittels wird an dem Ort ausgeführt, an dem dieses Beförderungsmittel dem Leistungsempfänger tatsächlich zur Verfügung gestellt wird. [..]""";The generated answer is non-sense and does not provide any reasoning for the prompt.
5;32747cf7b763c26d;Ein Käufer und ein Verkäufer unterzeichnen am 15. März 2025 einen Kaufvertrag über ein Grundstück. Der Vertrag enthält jedoch die aufschiebende Bedingung, dass der Käufer bis 30. Juni 2025 eine Baugenehmigung für sein geplantes Projekt erhält. Die Baugenehmigung wird am 20. Mai 2025 erteilt. Wann entsteht die Grunderwerbsteuerschuld?;Die Grunderwerbsteuerschuld entsteht gemäß § 29 Abs. 1 Grunderwerbsteuergesetz (GEG) im Zeitpunkt des Vertragsabschlusses. Der Vertragsabschluss ist jedoch untergeordnet, wenn der Vertrag eine aufschiebende Bedingung enthält und dieser keine Erfüllungsbedingung ist. Gemäß § 29 Abs. 3 GEG tritt dann der Zeitpunkt des Vertragsabschlusses außer Anschlag, wenn der Vertrag eine nicht bedingte Leistung des Veräußerers vorsieht und dieser die Leistung nicht bereits vorher erbracht hat (§ 29 Abs. 4 GEG). Da der Verkäufer eine Leistung verspricht, die noch nicht vorher erbracht wurde, entsteht die Grunderwerbsteuerschuld gemäß § 29 Abs. 3 GEG erst mit der Sicherstellung der Erfüllbarkeit der aufschiebenden Bedingung, in diesem Fall der Baugenehmigung. Diese ist jedoch bereits vor dem ursprünglich vorgesehenen Zeitpunkt erfolgt, sodass die Grunderwerbsteuerschuld am 21. Mai 2025 entsteht.;Die Steuerschuld entsteht am 20. Mai 2025. Gemäß § 8 Abs. 2 GrEStG entsteht die Steuerschuld bei einem Erwerbsvorgang, dessen Wirksamkeit vom Eintritt einer Bedingung abhängig ist, mit dem Eintritt der Bedingung. Da der Kaufvertrag unter der aufschiebenden Bedingung der Baugenehmigung stand und diese am 20. Mai 2025 erteilt wurde, entsteht zu diesem Zeitpunkt die Steuerschuld - nicht bereits bei Vertragsunterzeichnung am 15. März 2025.;§ 8 Abs. 2 GrEStG 1987;1;1;1;2;3;1;"""§ 8 abs 2 GrEStG 1987: (2)Ist die Wirksamkeit des Erwerbsvorganges vom Eintritt einer Bedingung oder von der Genehmigung einer Behörde abhängig, so entsteht die Steuerschuld mit dem Eintritt der Bedingung oder mit der Genehmigung.""";While the model correctly identified that the tax liability is delayed, it failed on all technical levels. It cited § 29 GEG, which is irrelevant to the case. The actual rule (found in § 8, which was not in the prompt but in the reference) was missed. The resulting date (May 21st) is a factual error. Consequently, the legal application is entirely wrong based on the provided context.
6;32b4e13ef0974f98;Eine erfolgreiche Rockband (freiberuflich tätig als Künstler) verkauft bei ihren Konzerten in großem Stil T-Shirts und Kappen mit ihrem Logo. Der Umsatz aus diesem Merchandise-Verkauf macht mittlerweile 50 % ihrer Gesamteinnahmen aus. Ist der Verkauf der T-Shirts steuerlich als Gewerbebetrieb zu werten?;"Ja. Der Verkauf von T-Shirts und Kappen ist grundsätzlich eine gewerbliche Tätigkeit und nicht Teil der künstlerischen freiberuflichen Tätigkeit. Wenn der Merchandise-Umsatz bereits 50 % der Gesamteinnahmen ausmacht, spricht das klar für einen eigenständigen Gewerbebetrieb. Rechtsgrundlage: § 23 EStG 1988 (Einkünfte aus Gewerbebetrieb); die künstlerische freiberufliche Tätigkeit fällt demgegenüber unter § 22 EStG 1988.";Ja, der Verkauf von Merchandise-Artikeln ist ein Gewerbebetrieb gemäß § 23 Z 1 EStG. Während die musikalische Darbietung unter die selbstständige Arbeit (Künstlertätigkeit) fällt, ist der Handel mit physischen Produkten eine gewerbliche Tätigkeit (Trennungsprinzip). Die Tätigkeit ist selbstständig, nachhaltig, gewinnorientiert und am Markt platziert.;§ 23 EStG 1988;5;3;4;5;5;0;"""§ 23 EStG 1988: Einkünfte aus Gewerbebetrieb sind: 1. Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist. 2. Gewinnanteile der Gesellschafter von Gesellschaften, bei denen die Gesellschafter als Mitunternehmer anzusehen sind (wie insbesondere offene Gesellschaften und Kommanditgesellschaften), sowie die Vergütungen, die die Gesellschafter von der Gesellschaft für ihre Tätigkeit im Dienste der Gesellschaft, für die Hingabe von Darlehen oder für die Überlassung von Wirtschaftsgütern bezogen haben. 3. Veräußerungsgewinne im Sinne des § 24.""";The model provides a precise answer here. It correctly identifies the required separation between artistic freelance work (§ 22 EStG) and commercial trade (§ 23 EStG). Although the provided context was minimal (only the paragraph heading), the application of the separation principle to the facts is accurate and aligns perfectly with the reference answer.
7;32d0b1a7909f729d;"Ein Unternehmer liefert eine elektronische Fachpublikation per Download. Die Datei besteht überwiegend aus Text und Grafiken, enthält aber zusätzlich kurze eingebettete Videoclips; Werbezwecke verfolgt sie nicht. Ist der 10%-Satz anwendbar?";Nein, der 10%-Satz ist nicht anwendbar, da die elektronische Fachpublikation als digitale Medienleistung gilt und nach dem österreichischen Umsatzsteuergesetz unter die Regelung des § 3 Abs. 1 Z 1 UStG fällt, die einen ermäßigten Steuersatz von 13 % vorsieht.;Ja, sofern die elektronische Publikation nicht vollständig oder im Wesentlichen aus Video- oder Musikinhalten besteht und nicht Werbezwecken dient.;"§ 10 Abs. 2 Z 9 UStG 1994; Anlage 1 Z 33 lit. a UStG 1994";1;0;1;2;5;1;"""§ 10 Abs. 2 Z 9 UStG 1994: Die Steuer ermäßigt sich auf 10% für elektronische Publikationen im Sinne der Anlage 1 Z 33 sowie Teile davon, die nicht vollständig oder im Wesentlichen aus Video- oder Musikinhalten bestehen bzw. Werbezwecken dienen.""";The response is highly understandable but legally incorrect. The model hallucinates a 13% tax rate, ignoring the actual 10% rate. It also ignores the provided source (§ 10 UStG) and incorrectly cites § 3 UStG instead. This is a case of a well-written but factually wrong answer.
8;33b8196c52dcc007;Ein in einem Dienstverhältnis zu einer Krankenanstalt stehender Arzt verrechnet Sonderklassepatienten für persönlich erbrachte Behandlungen gesonderte Honorare. Diese Entgelte qualifizieren einkommensteuerlich als Einkünfte aus selbständiger Arbeit gemäß § 22 Z 1 lit. b EStG 1988. Wie ist der Arzt für diese Honorare umsatzsteuerlich einzuordnen?;Der Arzt ist für diese Honorare umsatzsteuerlich als Unternehmer im Sinne des § 2 UStG 1994 anzusehen. Die persönlich erbrachten Behandlungen gegen gesondertes Honorar stellen eine selbständige Tätigkeit dar, die nicht unter die Steuerbefreiung für ärztliche Leistungen nach § 6 Abs 1 Z 19 UStG 1994 fällt, da diese Steuerbefreiung nur für Leistungen gilt, die im Rahmen des Dienstverhältnisses erbracht werden. Daher unterliegen die gesondert verrechneten Honorare der Umsatzsteuer.;Der Arzt gilt insoweit selbst dann als Unternehmer, wenn er zugleich in einem Dienstverhältnis zur Krankenanstalt steht. § 2 Abs. 6 UStG ordnet für solche vereinnahmten Entgelte ausdrücklich die Unternehmereigenschaft an.;§ 2 Abs. 6 UStG 1994;4;4;5;5;4;0;"""§ 2 Abs. 6 UStG 1994: Als Unternehmer gilt auch ein in einem Dienstverhältnis zu einer Krankenanstalt stehender Arzt, soweit er in Ausübung seiner ärztlichen Tätigkeit Entgelte vereinnahmt, die gemäß § 22 Z 1 lit. b des Einkommensteuergesetzes 1988 zu den Einkünften aus selbständiger Arbeit zählen.""";The answer is legally correct and follows the reference's. However, Correctness and Groundedness are not at the maximum score because the model cites the general law (§ 2 UStG) but omits the specific subsection (Abs. 6) mentioned in the snippet. Reasoning and Completeness are excellent as it fully explains the doctor's status. Comprehension is high due to clear language.
9;33f3af74f384a5f3;Ein Arzt betreibt seine Ordination als Einzelunternehmer und erzielt daraus Einkünfte. Liegen Einkünfte aus Gewerbebetrieb vor?;statt zu raten. Benutzerfrage: Ein Arzt betreibt seine Ordination als Einzelunternehmer und erzielt daraus Einkünfte. Liegen Einkünfte aus Gewerbebetrieb vor? Antwort: Grundsaetzlich gilt: Paragraph 12a EStG bestimmt ob eine natuerliche Person unbeschraenkt oder beschraenkt steuerpflichtig ist. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.;Nein. § 23 Z 1 schließt selbständige Arbeit ausdrücklich aus, Ärzte zählen zu den freien Berufen im Sinne des § 22, die Betriebsform als Einzelunternehmer ändert die Einkunftsart nicht.;§ 23 EStG 1988;1;1;1;1;1;1;"""§ 23 EStG 1988: Einkünfte aus Gewerbebetrieb sind: Z 1. Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist.""";The model fails to answer the question. Instead of determining that a doctor's income is classified as 'freie Arbeit' (§ 22) , it provides generic filler text. It also incorrectly references § 12a EStG regarding tax liability, which is irrelevant. The response ignores the provided source and offers no legal value. Grounding and Correctness are at the minimum, and the high level of evasion results in low scores across all categories.
10;3444edb58d14b539;Ein Gesellschafter mit einer Beteiligung von über 25% an einem Unternehmen bekommt ein Elektroauto sowohl für private als auch berufliche Fahrten zur Verfügung gestellt. Da er das Auto auch privat nutzt, müssen die Privatfahrten als steuerpflichtiger Sachbezug angesetzt werden?;Ja, die Privatfahrten des Gesellschafters sind als steuerpflichtiger Sachbezug anzusetzen. Da er das Auto auch privat nutzt, sind die Fahrten als solche zu berücksichtigen.;Falsch. Gemäß § 4 Abs. 1 SachbezugsVO i.V.m. § 26 EStG beträgt der Sachbezugswert Null. Ein steuerpflichtiger Vorteil ist nicht anzusetzen.;§ 26 EStG § 4 Abs. 1 SachbezugsVO;1;0;1;2;5;1;“§ 4 Abs. 1 Z 3: SachbezugsVO: Abweichend von Z 1 und Z 2 ist für Kraftfahrzeuge mit einem CO2-Emissionswert von 0 Gramm pro Kilometer ab dem Kalenderjahr 2016 ein Sachbezugswert von Null anzusetzen.”;The model's answer is wrong. It claims the car is taxable, but § 4 Abs. 1 Z 3 SachbezugsVO clearly states that the value for electric cars (0g CO2) is zero. The model ignored the provided legal text and invented a tax liability. While the text is easy to read, the legal result is the opposite of the truth.
