id,answer,prompt,correct_answer,bert_p,bert_r,bert_f1,avg_f1_score
CORP-TAX-001,Die Bemessungsgrundlage ist das Einkommen oder der Gewinn nach den Vorschriften des § 7 KStG (§ 1 Abs. 1 KStG).,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",0.443342387676239,0.30518943071365356,0.37277063727378845,0.28553080558776855
CORP-TAX-002,Das kann als steuerbarer Leistungsaustausch qualifiziert werden und zur Einkommenssteuer herangezogen werden (§ 7 Abs. 2 KStG).,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,0.2874175012111664,0.25509345531463623,0.2721921503543854,0.28553080558776855
CORP-TAX-003,"Gruppenmitglieder sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen (§ 9 Abs. 4 KStG).","Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",0.3529757857322693,0.19444997608661652,0.27142974734306335,0.28553080558776855
CORP-TAX-004,Eine Dividende ist als sonstiger steuerbarer Einkünfte auszugeben (§ 22 EStG).,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,0.4080353379249573,0.24713312089443207,0.3252171576023102,0.28553080558776855
CORP-TAX-005,"Eine offene Ausschüttung wird dem Begünstigten steuerbilanziert, während eine verdeckte Ausschüttung steuerneutral ist (§ 10 KStG).",Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",0.35929572582244873,0.2790510356426239,0.31933844089508057,0.28553080558776855
CORP-TAX-006,Der Verlustabzug beträgt grundsätzlich bis zu 2 % des Jahresumsatzes (§ 10 EStG). Für bestimmte Betriebe gelten Sonderregelungen (§ 10 Abs. 3 EStG).,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",0.42855092883110046,0.21438321471214294,0.3164992034435272,0.28553080558776855
CORP-TAX-007,Ein Mantelkauf liegt bei der Übertragung eines Betriebes ohne ausdrückliche Abgabepflichtverpflichtung vor (§ 6 Abs. 2 UStG).,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",0.4665874242782593,0.3007867634296417,0.3811304271221161,0.28553080558776855
CORP-TAX-008,"Ein Forderungsverzicht kann steuerlich bedeutsame Auswirkungen haben, da dies als Sonderausgaben abzugsfähig sein kann (§ 18 Abs. 1 Z 2 EStG).",Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,0.33992457389831543,0.3325457274913788,0.3372097313404083,0.28553080558776855
CORP-TAX-009,Bei ausländischen Gruppenmitgliedern ist die Verlustverrechnung nur unter bestimmten Voraussetzungen zulässig (§ 10 Abs. 3 KStG).,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",0.38933804631233215,0.327904611825943,0.3590860068798065,0.28553080558776855
CORP-TAX-010,"Nein, innergruppentreibende Leistungen sind steuerfrei (§ 6 Abs. 1 Z 1 UStG).",Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,0.5050850510597229,0.42999473214149475,0.4676433801651001,0.28553080558776855
