question,answer
Was ist der Unterschied zwischen Bilanz und Einnahmen/Ausgabenrechnung ?,"Bei einer Bilanz wird grundsätzlich jeder Geschäftsfall mit dem Leistungsdatum erfasst. Bei einer EA-Rechnung ist das Zahlungsdatum maßgebend (Ausnahme zB: Anlagevermögen). Weiters ist für eine EA-Rechnung keine Doppelte Buchhaltung erforderlich. Ich muss jedoch meine Einnahmen und Ausgaben chronologisch und nachvollziehbar aufzeichnen und darstellen. Auch muss ich bei EA - Rechnung ein Wareneingangsbuch führen. Es gibt auch viele Bestimmungen (unternehmens - und steuerrechtlich), die bei einer EA-Rechnung nicht angewendet werden können bzw müssen (Inventuraufnahme, Forderungsabgrenzung, Rückstellungen, Verbindlichkeitenabgrenzung, erweiterte Verlustvortragsmöglichkeit,...)"
Muss ich eine Bilanz erstellen?,"Primär richtet sich die Verpflichtung zur Bilanzerstellung nach den Rechnungslegungsbestimmungen im Unternehmensgesetzbuch (UGB). Müssen nach UGB Bücher geführt werden, so ist dies grundsätzlich auch steuerlich maßgeblich. Eine freiwillige Buchführung ist möglich. Kapitalgesellschaften sind grundsätzlich immer buchführungspflichtig. Für Einzelunternehmen und Personengesellschaten tritt die Buchführungspflicht gem. §189 UGB wie folgt ein (bezogen auf die Umsatzerlöse eines Geschäftfsjahres):

über 700.000,00 in 2 aufeinanderfolgenden Jahren ab dem zweitfolgenden Jahr
über 1 Mio in einem Jahr ab dem folgenden Jahr"
Wie ermittle ich mein steuerpflichtiges Einkommen?,"-bei den betrieblichen Einkunftsarten der Gewinn als Differenz der Betriebseinnahmen und Betriebsausgaben
-bei den außerbetrieblichen Einkunftsarten der Überschuss der Einnahmen über die Werbungskosten"
Bis wann muss ich meine Einkommensteuererklärung abgeben ?,"Der Termin für die Abgabe der Einkommensteuererklärung 2018 (Pflichtveranlagung) ist bis 30.6.2019 (Papier Formulare bis 30.4.2019). Steuerpflichtige, die durch einen Steuerberater vertreten sind, haben es besonders gut: für sie gilt für die Steuererklärungen 2018 grundsätzlich eine generelle Fristverlängerung maximal bis 31.3.2020 bzw 30.4.2020, wobei zu beachten ist, dass für Steuernachzahlungen bzw –guthaben ab dem 1.10.2019 Anspruchszinsen zu bezahlen sind bzw gutgeschrieben werden. Grundsätzlich kann die Einreichfrist individuell mit begründetem Antrag schriftlich jederzeit auch mehrfach verlängert werden."
Wann muss ich eine Einkommensteuererklärung abgeben?,"1. Pflichtveranlagung

Für Lohnsteuerpflichtige besteht nur unter besonderen Voraussetzungen eine Pflicht zur „Veranlagung“. Dies ist im Wesentlichen der Fall, wenn einer der folgenden Umstände vorliegt:

Es wurden gleichzeitig von zwei oder mehreren verschiedenen Arbeitgebern lohnsteuerpflichtige Einkünfte bezogen.
Neben den lohnsteuerpflichtigen Einkünften wurden andere Einkünfte (zB aus Vermietung) bezogen, die € 730 übersteigen.
Bei der laufenden Lohnverrechnung wurde ein Freibetrag(sbescheid) berücksichtigt.
Der Alleinverdiener- oder Alleinerzieherabsetzbetrag wurde berücksichtigt, obwohl die Voraussetzungen nicht
Ein Familienbonus Plus wurde berücksichtigt, obwohl die Voraussetzungen nicht
Ein Homeoffice-Pauschale wurde in einer insgesamt nicht zustehenden Höhe steuerfrei belassen.
 

NEU ab 2022:

Ein Pendlerpauschale wurde berücksichtigt, aber mit einem zu hohen Betrag bzw obwohl die Voraussetzungen überhaupt nicht vorlagen.
Mehr als € 3.000 Mitarbeitergewinnbeteiligung wurden steuerfrei behandelt.
Mehr als € 3.000 Teuerungsprämie wurden steuerfrei behandelt bzw. in Summe wurden mehr als € 3.000 Teuerungsprämie und Mitarbeitergewinnbeteiligung steuerfrei berücksichtigt.
Eine Wochen-, Monats- oder Jahreskarte für ein Massenbeförderungsmittel wurde steuerfrei zur Verfügung gestellt, obwohl die Voraussetzungen für die Steuerfreiheit nicht
Der Anti-Teuerungsbonus wurde ausbezahlt, aber das Einkommen beträgt mehr als € 90.000."
Bringt die Kleinunternehmerregelung Nachteile ?,"ja, denn ich verliere den Vorsteuerabzug
Wenn ich wider Erwarten die Umsatzgrenzen überschreite, muss ich die Mehrwertsteuer an das Finanzamt zahlen, ohne sie von meinen Kunden erhalten zu haben"
Was ist die Kleinunternehmer Regelung?,"Unternehmer mit einem Jahres-Nettoumsatz von bis zu € 30.000 sind umsatzsteuerlich Klein­unternehmer und damit von der Umsatzsteuer befreit. Je nach anzuwendendem Umsatz­steuersatz entspricht dies einem Bruttoumsatz (inkl USt) von € 33.000 (bei nur 10%igen Umsätzen, wie zB Wohnungsvermietung) bis € 36.000 (bei nur 20%igen Umsätzen). Von der Berechnung der Kleinunternehmergrenze ausgenommen sind bestimmte steuerfreie Umsätze wie zB die aus ärztlicher Tätigkeit oder als Aufsichtsrat. Bei Inanspruchnahme der Kleinunternehmerregelung darf keine Umsatzsteuer in Rechnung gestellt werden. Überdies geht der Vorsteuerabzug für alle mit den Umsätzen zusammenhängenden Ausgaben verloren."
Muss ich für jede Einnahme Umsatzsteuer zahlen?,"Grundsatz : wenn ich als Unternehmer Umsätze erziele, ja.


Ausnahmen (Beispiele!): steuerfreie Umsätze (zB Exportlieferungen) Kein Leistungsaustausch (zB Versicherungsvergütung) Kleinunternehmer"
"Wie berechne ich die Umsatzsteuer, die ich zahlen muss?","Diese setzt sich zusammen aus der Differenz der Umsatzsteuer, die in den Einnahmen enthalten ist (¨Mehrwertsteuer¨) und der Umsatzsteuer, die in den Ausgaben enthalten ist (¨Vorsteuer¨)."
Wann muss ich eine Umsatzsteuerklärung abgeben?,"Wenn ich als Unternehmer Umsätze erzielt habe immer (Fristen siehe Einkommensteuer). Kleinunternehmer (Umsatzgerenze 30.000,00) sind von der Verpflichtung befreit, wenn im Veranlagungszeitraum keine Steuer zu entrichten war."
