task_id;row_key;prompt;answer;reference_answer;sources;correctness_score;groundedness_score;legal_reasoning_score;completeness_score;comprehension_score;hallucination_flag;grounding_citations;comments
1;0adf02539f82251c;"""Ein Wiener Musiker überträgt die Rechte an einem Lied an einen Fan in Australien. Wo liegt der Leistungsort?""";"Der Leistungsort für den Übertragungsvertrag des Liedes ist **Österreich**. 

Hier sind die Gründe:

* **Vertragsgrundlage:** Der Vertrag, der die Übertragung der musikalischen Rechte beinhaltet, wird im Rahmen eines österreichischen Rechtsverhältnisses geschlossen.
* **Ort der Verbindlichkeit:**  Die rechtliche Bindung zwischen dem Künstler und dem Fan entsteht durch das Vertragsverhältnis selbst, welches in Österreich abgeschlossen wurde.
* **Jurisdiktion:** Die österreichische Zivilprozessordnung (ZPO) regelt die Zuständigkeit von Gerichten. In diesem Fall wäre die zuständige Gerichtsbarkeit in Wien.


**Wichtig zu beachten:** Es gibt jedoch einige Ausnahmen, wie z.B. wenn ein bestimmtes Land eine eigene steuerliche Regelung hat, die sich auf den Leistungsort auswirkt. Im konkreten Fall sollte man aber stets mit einem Steuerberater oder Anwalt besprechen, um sicherzustellen, dass alle relevanten Aspekte berücksichtigt werden.";"""In Australien. Die Übertragung von Urheberrechten an Nichtunternehmer im Drittland folgt dem Empfängerortsprinzip.""";§ 3a Abs. 14 Z 1 UStG 1994;1;0;1;1;3;1;„Ist der Empfänger ein Nichtunternehmer im Sinne des Abs. 5 Z 3 und hat er keinen Wohnsitz, Sitz oder gewöhnlichen Aufenthalt im Gemeinschaftsgebiet, werden die folgenden sonstigen Leistungen an seinem Wohnsitz, Sitz oder gewöhnlichen Aufenthalt im Drittlandsgebiet ausgeführt: 1. Die Einräumung, Übertragung und Wahrnehmung von Rechten, die sich aus urheberrechtlichen Vorschriften ergeben“;"Die Antwort halluziniert eine rechtliche Relevanz der ZPO und des Ortes der Verbindlichkeit für die Bestimmung des Leistungsorts, was im Widerspruch zum bereitgestellten UStG-Paragraphen steht. Die Antwort kommt zum gegenteiligen Ergebnis (Österreich statt Australien) und das Empfängerortsprinzip, das nach § 3a Abs. 14 Z 1 UStG 1994 zum Leistungsort Australien führt, wird vollständig ignoriert. Keine der Behauptungen (ZPO, Vertragsort) findet eine Stütze im bereitgestellten Paragraphen § 3a Abs. 14 Z 1 UStG.  Das für diese Frage zentrale Empfängerortsprinzip wird weder erkannt noch angewendet. Die Argumentation bewegt sich vollständig im falschen Rechtsgebiet (Zivilprozessrecht statt Umsatzsteuerrecht) und stellt keine Verbindung zwischen dem Sachverhalt und der einschlägigen Norm her. Das Drittlandprinzip und das Empfängerortsprinzip fehlen vollständig. Die umsatzsteuerrechtliche Dimension der Frage (Leistungsort nach UStG) wird nicht angesprochen. Es wird lediglich eine Schlussfolgerung genannt, die auf falschen Grundlagen beruht."
2;0afa607909d5d859;Wie wird der Gewinn nach § 4 Abs. 1 EStG ermittelt?;Der Gewinn aus Gewerbebetrieb und selbstständiger Arbeit wird gemäß § 4 Abs. 1 EStG grundsätzlich auf Basis einer Bilanz und einer Gewinn- und Verlustrechnung (GuV) ermittelt, wobei das Prinzip der doppelten Buchführung Anwendung findet, sofern keine gesetzlichen Vereinfachungsregeln greifen. Die Grundsätze der ordnungsgemäßen Buchführung und Dokumentation sind hierbei in den §§ 120 ff BAO detailliert geregelt, welche die formale Grundlage für die steuerliche Gewinnermittlung bilden. Der Gewinn ergibt sich dabei aus der Differenz zwischen den im Geschäftsjahr erzielten Erträgen und den auf dieses Geschäftsjahr entfallenden Aufwendungen, wobei insbesondere das Realisationsprinzip sowie das Periodisierungsprinzip maßgeblich sind. Für Steuerpflichtige, die die Voraussetzungen für eine vereinfachte Gewinnermittlung erfüllen (insbesondere bei Unterschreiten bestimmter Umsatzgrenzen), ist anstelle der Bilanzierung die Aufstellung einer Einnahmen-Ausgaben-Rechnung (EAR) zulässig, welche die Ermittlung des Gewinns auf die Gegenüberstellung der tatsächlichen Zuflüsse und Abflüsse reduziert. In Bezug auf die Umsatzsteuer ist gemäß den Bestimmungen des UStG zu beachten, dass bei Vorsteuerabzugsberechtigung die Beträge netto (ohne Umsatzsteuer) in die Gewinnermittlung einfließen, während für Nicht-Vorsteuerabzugsberechtigte die Bruttobeträge als Aufwand bzw. Ertrag zu berücksichtigen sind. Die steuerliche Gewinnermittlung nach § 4 Abs. 1 EStG stellt somit die Basis für die Berechnung der Einkommensteuer dar, wobei etwaige steuerliche Korrekturen zum handelsrechtlichen Ergebnis (falls eine Handelsbilanz vorliegt) im Rahmen der steuerlichen Gewinnermittlung vorzunehmen sind.;Durch Betriebsvermögensvergleich (Bilanzierung).;EStG § 4 Abs. 1;3;2;4;4;3;1;„Gewinn ist der durch doppelte Buchführung zu ermittelnde Unterschiedsbetrag zwischen dem Betriebsvermögen am Schluß des Wirtschaftsjahres und dem Betriebsvermögen am Schluß des vorangegangenen Wirtschaftsjahres. Der Gewinn wird durch Entnahmen nicht gekürzt und durch Einlagen nicht erhöht.“;"Halluzination, weil nicht bereitgestellte Normen genannt werden. Der Kernbegriff Betriebsvermögensvergleich lässt sich auf § 4 Abs. 1 EStG zurückführen. Jedoch stützen sich wesentliche Teile der Antwort auf nicht bereitgestellte Normen: §§ 120 ff BAO (Buchführungspflichten), § 4 Abs. 3 EStG (EAR) und UStG-Bestimmungen zum Vorsteuerabzug. Diese Behauptungen sind nicht auf den einzigen bereitgestellten Paragraphen zurückführbar. Die Antwort erklärt das Prinzip des Betriebsvermögensvergleichs korrekt und leitet nachvollziehbar ab, wie der Gewinn rechnerisch entsteht. Die Verbindung zwischen Norm und Schlussfolgerung ist vorhanden, aber nicht explizit aus dem Wortlaut des § 4 Abs. 1 EStG herausgearbeitet. Die KI beschreibt den Vorgang (Differenz zwischen Erträgen und Aufwendungen/Bilanz) zwar korrekt, verwendet aber nicht den Fachbegriff Betriebsvermögensvergleich. Die Antwort ist strukturiert und in sich logisch, verwendet aber durchgehend Fachbegriffe ohne ausreichende Erklärung für Laien: ""Betriebsvermögensvergleich"", ""Realisationsprinzip"", ""Periodisierungsprinzip"", ""Einnahmen-Ausgaben-Rechnung"" werden nicht erklärt. Ein Nicht-Jurist kann dem Text nur schwer vollständig folgen. Trotz korrektem Grundprinzip enthält die Antwort mehrere unzulässige Erweiterungen, was die Gesamtgenauigkeit mindert."
3;0b5a902c828bc913;Eine erfolgreiche Rockband (freiberuflich tätig als Künstler) verkauft bei ihren Konzerten in großem Stil T-Shirts und Kappen mit ihrem Logo. Der Umsatz aus diesem Merchandise-Verkauf macht mittlerweile 50 % ihrer Gesamteinnahmen aus. Ist der Verkauf der T-Shirts steuerlich als Gewerbebetrieb zu werten?;Ja, der Verkauf von Merchandise-Artikeln wie T-Shirts und Kappen ist steuerlich als gewerbliche Tätigkeit einzustufen. Während die künstlerische Performance der Band als freiberufliche Tätigkeit gilt, stellt der Handel mit physischen Waren eine klassische gewerbliche Tätigkeit dar. Im österreichischen Einkommensteuerrecht werden Einkünfte aus selbstständiger Arbeit gemäß § 2 EStG grundsätzlich als Einkünfte aus Gewerbebetrieb behandelt, wobei die Unterscheidung zwischen „freiberuflich“ und „gewerblich“ primär für gewerberechtliche Zwecke im Sinne der Gewerbeordnung (GewO) sowie für bestimmte steuerliche Sonderregelungen relevant ist. Da der Umsatz aus dem Merchandise-Verkauf mit 50 % der Gesamteinnahmen eine signifikante wirtschaftliche Dimension erreicht hat, kann diese Tätigkeit nicht mehr als bloße Nebenleistung oder akzessorische Tätigkeit zur künstlerischen Darbietung gewertet werden, sondern stellt einen eigenständigen Handelsbetrieb dar. Dies führt dazu, dass die Band für diesen Teil ihrer Tätigkeit eine entsprechende Gewerbeberechtigung gemäß GewO benötigt. Umsatzsteuerlich handelt es sich beim Verkauf der Waren um steuerbare Lieferungen im Sinne des § 1 Abs 1 UStG, die unabhängig von der künstlerischen Leistung (die ebenfalls steuerbar ist, sofern keine Befreiungen nach § 6 Abs 1 Z 23 UStG vorliegen) zu versteuern sind. Somit liegt eine gemischte Tätigkeit vor, bei der die gewerbliche Komponente aufgrund ihres Volumens und ihrer Art zwingend als Gewerbebetrieb zu qualifizieren ist.;Ja, der Verkauf von Merchandise-Artikeln ist ein Gewerbebetrieb gemäß § 23 Z 1 EStG. Während die musikalische Darbietung unter die selbstständige Arbeit (Künstlertätigkeit) fällt, ist der Handel mit physischen Produkten eine gewerbliche Tätigkeit (Trennungsprinzip). Die Tätigkeit ist selbstständig, nachhaltig, gewinnorientiert und am Markt platziert.;§ 23 EStG 1988;2;1;2;3;3;1;„Einkünfte aus Gewerbebetrieb sind: 1. Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist.“;"Die Antwort zitiert § 2 EStG, GewO, UStG, die nicht bereitgestellt sind. Das ist eine erfundene/ungelegte Rechtsgrundlage. § 23 EStG 1988, die einzig bereitgestellte Rechtsgrundlage, wird mit keinem Wort erwähnt. Stattdessen werden § 2 EStG, GewO und UStG-Bestimmungen herangezogen. Kein Anspruch ist auf die bereitgestellte Norm rückführbar.  Die Antwort trennt korrekt zwischen künstlerischer und gewerblicher Tätigkeit und begründet die gewerbliche Qualifikation des Warenhandels inhaltlich nachvollziehbar. Der Ansatz (accesorische Tätigkeit vs. eigenständiger Betrieb) ist logisch. Die Anwendung geht aber nicht von § 23 EStG aus und prüft nicht systematisch die gesetzlichen Voraussetzungen für einen Gewerbebetrieb. Das Trennungsprinzip fehlt explizit, § 23 Z 1 EStG wird nicht genannt, und die vier Kriterien des Gewerbebetriebs werden nicht durchgeprüft. Der UStG-Exkurs am Ende ist für die gestellte ertragsteuerliche Frage nicht relevant und ersetzt keine fehlenden Kernaspekte. Weitgehend verständlich und gut strukturiert. Einzelne Begriffe wie ""akzessorische Tätigkeit"" oder ""steuerbare Lieferungen"" werden nicht erklärt. Der Einstieg über § 2 EStG ist für Laien verwirrend, da er eine ungenaue Aussage über das Verhältnis von selbstständiger Arbeit und Gewerbebetrieb suggeriert. Die Aussage, selbständige Arbeit werde grundsätzlich als Gewerbebetrieb behandelt, ist sachlich falsch und mindert die inhaltliche Richtigkeit."
4;0b71aef88990659b;Nach dem Tod eines Mannes erbt seine eingetragene Partnerin dessen Anteil an der gemeinsamen Eigentumswohnung (120 m² Wohnnutzfläche), in der beide bis zuletzt gelebt haben. Fällt für diesen Erwerb von Todes wegen Grunderwerbsteuer an?;Falls für den Erwerb von Todes wegen Grunderwerbsteurer an Folgen liegt Grundeinkommen aus § 68 BAO oder Geldstrafe gemäß § 59a ZGB nicht vor, gilt das Recht des Unterlassungsbeschwerdes im Sinne des Artikeln 30 Absatz 1 zustande zu setzten.;Nein. Gemäß § 3 Abs. 1 Z 7a GrEStG ist der Erwerb einer Wohnstätte durch Erbanfall durch den überlebenden Partner steuerfrei, wenn die Wohnnutzfläche nicht mehr als 150 m² beträgt und die Wohnung dem Erwerber zum Zeitpunkt des Todes bereits als Hauptwohnsitz gedient hat.;§ 3 Abs. 1 Z 7a GrEStG 1987;0;0;0;0;0;1;„Von der Besteuerung sind ausgenommen: 7a. der Erwerb einer Wohnstätte oder eines Anteiles an dieser - durch Erbanfall, … durch den Ehegatten oder eingetragenen Partner, wenn das Grundstück dem Erwerber im Zeitpunkt des Todes als Hauptwohnsitz gedient hat und soweit die Wohnnutzfläche 150 m² nicht übersteigt.“;"Die Antwort ist eine massive Halluzination. Sie erfindet einen Zusammenhang mit dem Zivilgesetzbuch (ZGB – das in Österreich gar nicht gilt, sondern in der Schweiz), zitiert falsche Paragraphen (§ 68 BAO hat nichts mit Grunderwerbsteuer zu tun) und erfindet den Begriff ""Unterlassungsbeschwerde"" in diesem Kontext.
Die Antwort enthält keine verwertbare Aussage zur Frage. Weder wird die Steuerfreiheit bejaht oder verneint, noch wird die einschlägige Norm § 3 Abs. 1 Z 7a GrEStG erwähnt. Es handelt sich um inhaltslosen Text.
§ 3 Abs. 1 Z 7a GrEStG 1987 wird nicht zitiert oder verwendet. Kein einziger Satz ist auf die bereitgestellte Rechtsgrundlage zurückführbar.
Es findet keinerlei rechtliche Subsumtion statt. Weder wird eine Norm identifiziert, noch werden die Tatbestandsmerkmale (Hauptwohnsitz, Flächengrenze, Erbanfall, eingetragene Partnerschaft) geprüft. Die Antwort enthält schlicht keine rechtliche Argumentation."
5;0cbd84e317b501e8;Zählen Pensionszusagen auch zu meinem Arbeitslohn (Einkünften aus nichtselbständiger Arbeit)?;"Ja, Pensionszusagen können zu den Einkünften aus nichtselbständiger Arbeit gehören. Laut § 25 Abs. 1 Z 1 lit. a EStG 1988 gehören zu den Einkünften aus nichtselbständiger Arbeit auch ""die Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis"".

Pensionszusagen sind als Teil des Arbeitslohns zu betrachten, da sie eine Gegenleistung für die Arbeitsleistung darstellen. Nach § 15 Abs. 1 EStG 1988 sind ""Bezüge und Vorteile"" aus einem Dienstverhältnis steuerpflichtig, wenn sie ""in Geld oder Geldeswert"" bestehen.

Es ist jedoch zu beachten, dass die steuerliche Behandlung von Pensionszusagen auch von anderen Faktoren abhängt, wie z.B. der Art der Pensionszusage und der Höhe der Zuwendungen. Laut § 14 Abs. 1 EStG 1988 können bestimmte Zuwendungen, wie z.B. Beträge, die für die Zukunftszuführungen zu einer Pensionszusage geleistet werden, steuerfrei sein. Es ist daher ratsam, sich an einen Steuerberater zu wenden, um die individuellen Umständ";Ja. Pensionszusagen gelten als Einkünfte aus nichtselbständiger Arbeit, wenn sie ganz oder teilweise anstelle des derzeit gezahlten Gehalts oder anstelle von Gehaltserhöhungen gewährt werden, auf die der Arbeitnehmer Anspruch hätte.;§ 25 Abs. 1 Z 1 lit. a EStG 1988;3;2;3;2;3;1;„Einkünfte aus nichtselbständiger Arbeit (Arbeitslohn) sind: 1. a) Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis. Dazu zählen auch Pensionszusagen, wenn sie ganz oder teilweise anstelle des bisher gezahlten Arbeitslohns oder der Lohnerhöhungen, auf die jeweils ein Anspruch besteht, gewährt werden, ausgenommen eine lohngestaltende Vorschrift im Sinne des § 68 Abs. 5 Z 1 bis 6 sieht dies vor.“;"Die Antwort trifft den Grundsatz („Pensionszusagen gehören zu Arbeitslohn“) und ist damit im Kern teilweise richtig. Sie lässt jedoch die entscheidende Bedingung aus (§ 25 Abs. 1 Z 1 lit. a: nur, wenn anstelle bisherigen Arbeitslohns/Lohnerhöhungen gewährt) und erwähnt die Ausnahme der lohngestaltenden Vorschrift nicht. Wesentliche Teile stützen sich auf nicht bereitgestellte Normen (§ 15 Abs. 1, § 14 Abs. 1 EStG), die im Quellenabschnitt nicht enthalten sind. Dadurch ist die Antwort nur teilweise grounded. Die Anwendung auf den konkreten Tatbestand bleibt allgemein; die rechtliche Subsumtion (anstelle Gehaltserhöhung?) fehlt. Die Antwort ist sprachlich verständlich, aber durch zusätzliche Normen und Hinweise für Laien nur mittelmäßig klar."
6;0cc0a5f5649254bd;Zwei Miteigentümer teilen ein Grundstück auf. Einer erhält jedoch ein deutlich wertvolleres Teilgrundstück, als es seinem bisherigen Bruchteil entspricht. Ist die gesamte Teilung steuerfrei?;"; BAO §3 Abs1 Z1; BAO §3 Abs1 Z2; BAO §3 Abs1 Z3; BAO §3 Abs1 Z4; BAO §3 Abs1 Z5; BAO §3 Abs1 Z6; BAO §3 Abs1 Z7; BAO §3 Abs1 Z8; BAO §3 Abs1 Z9; BAO §3 Abs1 Z10; BAO §3 Abs1 Z11;";Nein. § 3 Abs. 2 GrEStG 1987 befreit die Teilung nur insoweit, als der Wert des erhaltenen Teilgrundstückes dem bisherigen Bruchteil am gesamten Grundstück entspricht. Soweit darüber hinaus ein Mehrerwerb vorliegt, greift diese Befreiung nicht vollständig.;§ 3 Abs. 2 GrEStG 1987;0;0;0;0;1;1;„Wird ein Grundstück, das mehreren Miteigentümern gehört, von diesen der Fläche nach geteilt, so wird die Steuer nicht erhoben, soweit der Wert des Teilgrundstückes, das der einzelne Erwerber erhält, dem Bruchteil entspricht, mit dem er am gesamten zu verteilenden Grundstück beteiligt ist.“;"Die Antwort enthält keinerlei inhaltliche Aussage zur Frage, sondern lediglich eine Aufzählung von BAO‑Paragraphen ohne Bezug zur GrEStG‑Norm. Es fehlt jede Subsumtion oder rechtliche Bewertung (keine Aussage zur Teilungsbefreiung oder zum Mehrerwerb). Damit ist die Antwort inhaltlich leer, nicht grounded und nicht nachvollziehbar."
7;0d0a9b0faf38d293;Erstreckt sich die beschränkte österreichische Steuerpflicht eines in Polen ansässigen Steuerpflichtigen auf dessen gesamtes Welteinkommen?;Nein. Die beschränkte Steuerpflicht gemäß § 1 Abs. 2 EStG erstreckt sich nur auf Einkünfte, die in Österreich einen inländischen Tatbestand erfüllen. Das bedeutet: Österreichische Einkünfte eines in Polen ansässigen Unternehmers (z.B. österreichische Lieferungen, österreichische Lizenzvergaben) unterliegen der österreichischen Einkommensteuer, nicht jedoch Einkünfte aus polnischen Tätigkeiten.;Nein. Nach § 1 Abs. 3 EStG 1988 und EStR 2000 Rz 28 erfasst die beschränkte österreichische Steuerpflicht ausschließlich die in § 98 EStG 1988 abschließend genannten inländischen Einkünfte, nicht aber das übrige Welteinkommen.;"§ 1 Abs. 3 EStG 1988;§ 98 EStG 1988;EStR 2000 Rz 28";4;3;4;4;4;1;Beschränkt steuerpflichtig sind jene natürlichen Personen, die im Inland weder einen Wohnsitz noch ihren gewöhnlichen Aufenthalt haben. Die beschränkte Steuerpflicht erstreckt sich nur auf die im § 98 aufgezählten Einkünfte.;"Die Antwort trifft das Ergebnis und den Grundsatz: beschränkte Steuerpflicht umfasst nur inländische Einkünfte, nicht das Welteinkommen. Damit ist die Kernaussage korrekt. Allerdings verweist die Antwort fälschlich auf § 1 Abs. 2 statt § 1 Abs. 3 EStG; außerdem nennt sie Beispiele („österreichische Lieferungen, Lizenzvergaben“), die nicht im bereitgestellten Text genannt sind. Die Subsumtion ist grundsätzlich nachvollziehbar und auf den Sachverhalt bezogen, aber nicht explizit am Wortlaut von § 98 ausgerichtet."
8;0d252fb06202e21d;"Eine luxemburgische Gesellschaft bestellt in Österreich Waren zur Ausrüstung eines Segelboots, das der Geschäftsführer privat nutzt; das Boot wird danach in die Schweiz verbracht. Greift die Ausfuhrlieferung nach § 7?";"Nein. Eine Ausfuhrlieferung nach § 7 UStG 1994 liegt nur vor, wenn der Gegenstand in das Drittlandsgebiet ausgeführt wird und der Gegenstand an den Abnehmer geliefert wird. Hier erfolgt die Lieferung der Waren an die luxemburgische Gesellschaft in Österreich; die spätere Verbringung des Segelboots in die Schweiz durch den Geschäftsführer ist keine Ausfuhr der gelieferten Waren durch den Lieferer bzw. im Rahmen der Lieferung. Daher keine steuerfreie Ausfuhrlieferung nach § 7 UStG 1994.";"Nein. Für Gegenstände zur Ausrüstung oder Versorgung eines Beförderungsmittels gilt die Sonderregel nur im Rahmen des § 7 Abs. 1 Z 2 und nur, wenn der Abnehmer ausländischer Unternehmer ist und das Beförderungsmittel den Zwecken seines Unternehmens dient; bei bloß privater Nutzung scheidet die Steuerfreiheit aus, und für Fälle des § 7 Abs. 1 Z 3 ist sie ausgeschlossen.";"§ 7 Abs. 3 UStG 1994; § 7 Abs. 1 Z 2 UStG 1994; § 7 Abs. 1 Z 3 UStG 1994";3;1;2;2;4;1;Ist … der Gegenstand der Lieferung zur Ausrüstung oder Versorgung eines Beförderungsmittels bestimmt, so liegt eine Ausfuhrlieferung nur im Fall des Abs. 1 Z 2 vor, wenn 1. der Abnehmer ein ausländischer Unternehmer ist und 2. das Beförderungsmittel den Zwecken des Unternehmens des Abnehmers dient. Im Falle des Abs. 1 Z 3 ist eine Ausfuhrlieferung ausgeschlossen.;"Halluzination: Die Antwort erfindet zusätzliche Voraussetzungen (Lieferung an Abnehmer/Ort der Lieferung), die im § 7 Abs. 3 nicht enthalten sind. Die Antwort kommt zwar zum richtigen Ergebnis („keine Ausfuhrlieferung“), stützt dies aber auf eine falsche Begründung: Sie argumentiert mit dem Ort der Lieferung und der späteren Verbringung durch den Geschäftsführer, statt die Spezialregel des § 7 Abs. 3 (ausländischer Unternehmer + betriebliche Nutzung) anzuwenden. Die zentralen Tatbestandsmerkmale (ausländischer Unternehmer, unternehmerische Nutzung, Ausschluss bei § 7 Abs. 1 Z 3) werden nicht erwähnt, daher fehlt die Subsumtion nach der maßgeblichen Norm. Weitgehend verständlich formuliert, aber rechtlich nicht aus der bereitgestellten Norm abgeleitet."
9;0e1c25b558b0114d;Ein Grundstück in Salzburg geht ohne vorhergehenden Kaufvertrag unmittelbar in das Eigentum eines Erwerbers über. Es liegt also kein den Anspruch auf Übereignung begründendes Rechtsgeschäft vor. Fällt dennoch Grunderwerbsteuer an?;Ja, Grunderwerbsteuer fällt in diesem Fall auch an, weil der Erwerb des Grundstücks in Salzburg gemäß § 1 Abs 1 Grunderwerbssteuergesetz (GWTG) steuerpflichtig ist, unabhängig von einem Kaufvertrag.;Ja. Auch der Erwerb des Eigentums an einem inländischen Grundstück unterliegt der Grunderwerbsteuer, wenn kein den Anspruch auf Übereignung begründendes Rechtsgeschäft vorausgegangen ist. Das ergibt sich unmittelbar aus § 1 Abs. 1 Z 2 GrEStG 1987.;§ 1 Abs. 1 Z 2 GrEStG 1987;4;3;4;3;4;1;„(1) Der Grunderwerbsteuer unterliegen die folgenden Rechtsvorgänge, soweit sie sich auf inländische Grundstücke beziehen: 1. … 2. der Erwerb des Eigentums, wenn kein den Anspruch auf Übereignung begründendes Rechtsgeschäft vorausgegangen ist, …“;"Halluzination: verweist auf ein nicht existentes Gesetz („GWTG“). Die Antwort trifft das Ergebnis (Grunderwerbsteuer fällt an) und entspricht damit dem Kern der Referenz. Sie nennt jedoch nur allgemein „§ 1 Abs. 1 Grunderwerbssteuergesetz“ und nicht ausdrücklich Z 2; außerdem bleibt die Subsumtion sehr knapp. Die Begründung ist nachvollziehbar, aber die konkrete Tatbestandsvoraussetzung („kein Anspruchsrechtsgeschäft“) wird nur implizit übernommen."
10;0ea2c204558bd153;Besteht Sozialversicherungspflicht auf Entgeltfortzahlungen?;Ja. Entgeltfortzahlungspflichte im Sinne des § 109 Abs. 1 ArbGG sind gemäß § 25 Abs. 1 Z 2 EStG keine Arbeitslohnbestandteile und unterliegen nicht der Sozialversicherungspflicht. Dies gilt jedoch nicht für Entgeltfortzahlungspflichten, die gesetzlich vorgeschrieben sind (z.B. § 109 ArbGG, § 16 Abs. 1 ArbVG). Diese sind gemäß § 25 Abs. 1 Z 2 EStG sozialversicherungspflichtig.;Ja, es fallen Dienstnehmer- und Dienstgeberanteile zur SV an.;ASVG § 49;2;0;1;2;2;1;„(1) Unter Entgelt sind die Geld- und Sachbezüge zu verstehen, auf die der pflichtversicherte Dienstnehmer (Lehrling) aus dem Dienst(Lehr)verhältnis Anspruch hat oder die er darüber hinaus auf Grund des Dienst(Lehr)verhältnisses vom Dienstgeber oder von einem Dritten erhält.“;"Die Antwort enthält mehrere falsche Rechtsbezüge (ArbGG, ArbVG, § 25 EStG) und behauptet, Entgeltfortzahlung sei kein Arbeitslohnbestandteil und nicht sozialversicherungspflichtig – das widerspricht der bereitgestellten Norm. Damit ist die Antwort halluziniert und rechtlich überwiegend falsch. Eine klare Subsumtion zur SV‑Pflicht erfolgt nicht. Die Begründung ist verwirrend und für Laien schwer nachvollziehbar."
