id,answer
CORP-TAX-001,Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer (KSt) ist der zu versteuernde Einkommen (§ 1 KStG). Dieses ergibt sich aus dem zu versteuernden Einkommen nach dem Einkommensteuergesetz (EStG) – unter Berücksichtigung der Besonderheiten des KStG – vermindert um den Gewinnanteil aus Mitunternehmerschaften (§ 27 EStG) und erhöht um bestimmte Hinzurechnungen (§ 28 KStG).  Die Feststellung erfolgt im Rahmen der Körperschaftsteuererklärung (§ 103 BAO).
CORP-TAX-002,"Ein zinsloses Darlehen einer Körperschaft an ihren Gesellschafter stellt grundsätzlich eine verdeckte Gewinnausschüttung (vGA) dar, gemäß § 4 Abs. 5 EStG. Dies führt zu Steuerpflicht beim Gesellschafter (Einkommensteuer) und der Körperschaft (Körperschaftsteuer).  Die Höhe der vGA entspricht den marktüblichen Zinsen (§ 96 EStG).  Bei Missachtung der Dokumentationspflichten der BAO kann es zu zusätzlichen Strafen kommen. UStG ist hier i.d.R. nicht relevant."
CORP-TAX-003,"Gemäß § 5 Abs. 1 EStG sind Kapitalgesellschaften (GmbH, AG) verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, sofern sie nicht unter andere Einkunftsarten fallen (z.B. Einkünfte aus Vermietung und Verpachtung). Dies gilt auch für Genossenschaften (§ 5a EStG) unter bestimmten Voraussetzungen. Die Besteuerung erfolgt dann nach KStG."
CORP-TAX-004,"**(a) Tochtergesellschaft:**

Dividendenerträge sind bei der österreichischen Tochtergesellschaft gemäß § 10 KStG 1988 als Einkünfte aus Kapitalvermögen zu versteuern. Die Körperschaftsteuer beträgt 25%.  Befreiungen können unter Umständen durch die Mutter-Tochter-Richtlinie (EU-Recht) und deren Umsetzung im KStG möglich sein.

**(b) Muttergesellschaft:**

Die Dividende ist für die österreichische Muttergesellschaft gemäß § 17 EStG 1988 grundsätzlich als Einkunft aus Kapitalvermögen zu behandeln.  Ein Teil der Dividende (95% unter bestimmten Voraussetzungen, § 17 Abs. 2 EStG) ist jedoch unter dem sogenannten ""Beteiligungsschutz"" steuerfrei. Der verbleibende steuerpflichtige Teil unterliegt dem Kapitalertragsteuer (27,5% gemäß § 97 EStG).  Die Anrechnung der bereits bei der Tochtergesellschaft gezahlten KStG ist gemäß § 18 EStG möglich.  Umsatzsteuerliche Aspekte sind irrelevant, da Dividenden keine Umsatzsteuer unterliegen (§ 4 UStG). Die BAO ist relevant für die korrekte Veranlagung."
CORP-TAX-005,"Offene Ausschüttungen sind gemäß § 10 EStG bei der ausschüttenden Körperschaft nicht abzugsfähig und unterliegen der Körperschaftsteuer (KStG). Verdeckte Ausschüttungen (§ 4 Abs. 5 EStG) sind hingegen als Betriebsausgaben nicht abzugsfähig und führen ebenfalls zur KStG-Belastung, werden aber zusätzlich beim Empfänger als Einkunft aus Kapitalvermögen (§ 20 EStG) versteuert. Die BAO-relevanten Dokumentationspflichten unterscheiden sich ebenfalls."
CORP-TAX-006,"Der maximal mögliche Verlustabzug beträgt grundsätzlich 75% des Einkommens im Veranlagungsjahr (§ 40 EStG). 

**Ausnahmen:**

*   **Unbeschränkte Verlustabzüge:** Bei Einkünften aus selbstständiger Arbeit (§ 18 EStG) und Gewerbebetrieb (§ 23 EStG) ist ein unbeschränkter Verlustabzug möglich, wenn die Tätigkeit nachhaltig ausgeübt wird.
*   **Verlustvortrag:** Nicht abzugsfähige Verluste können in die folgenden fünf Jahre vorgetragen werden (§ 10 EStG).
*   **Verlustrücktrag:** Bei Einzelpersonen ist ein Verlustrücktrag nicht möglich. Bei Körperschaften (§ 7 KStG) ist ein Verlustrücktrag unter bestimmten Voraussetzungen möglich.
*   **Besondere Regelungen:** Für bestimmte Einkunftsarten (z.B. Einkünfte aus Kapitalvermögen § 20 EStG) gelten abweichende Regelungen.
*   **Umsatzsteuer:** Vorsteuerabzug kann Verluste mindern (UStG).
*   **BAO:** Die Bundesabgabenordnung (BAO) enthält ergänzende Bestimmungen zur Verlustfeststellung und -abgrenzung."
CORP-TAX-007,"Ein Mantelkauf ist der Erwerb einer Gesellschaft (juristische Person) primär zur Nutzung ihrer Steuernummer und ihrer bestehenden Betriebsprüfungshistorie, ohne wesentliche operative Tätigkeit.

**Steuerliche Konsequenzen:**

*   **EStG/KStG:**  Grundsätzlich keine unmittelbaren Folgen beim Erwerb selbst. Allerdings kann die Finanzverwaltung eine Missbrauchsabsicht annehmen (§ 4 Abs. 5 EStG, § 8b KStG) und die Verrechnung von Verlusten untersagen oder die Anwendung von Steuervergünstigungen verweigern.
*   **UStG:**  Kann als Unternehmensübergang gelten (§ 6a UStG), wenn eine einheitliche wirtschaftliche Tätigkeit fortgeführt wird.
*   **BAO:**  Die Finanzverwaltung kann die Betriebsprüfungshistorie des erworbenen Unternehmens intensiv prüfen, um die Rechtmäßigkeit des Mantelkaufs zu überprüfen.  Es besteht die Gefahr der Nachversteuerung bei früheren Fehlern."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters auf eine Forderung gegenüber der Körperschaft stellt grundsätzlich eine **Einlage** dar (§ 6 Abs. 1a EStG).  Dies führt zu einer **Erhöhung der Kapitaleinlage** beim Gesellschafter und ist für die Körperschaft **ertragsteuerlich neutral**, solange keine Gegenleistung erfolgt.  Allerdings kann dies Auswirkungen auf die **Verlustverrechnung** haben (§ 8 Abs. 5 EStG).  Die Buchung erfolgt gemäß § 249 UGB.  Die BAO ist hinsichtlich der Dokumentation zu beachten."
CORP-TAX-009,"Die Verlustverrechnung ausländischer Gruppenmitglieder ist im Vergleich zu inländischen restriktiver. Während bei inländischen Mitgliedern Verluste unbeschränkt verrechnet werden können (§ 18 EStG), gelten für ausländische Mitglieder besondere Voraussetzungen und Beschränkungen (§ 18 Abs. 2 EStG, § 7a KStG).  Insbesondere ist die Verrechnung auf 75% des Gewinns des verrechnenden inländischen Gruppenmitglieds begrenzt und erfordert eine wesentliche Beteiligung (mind. 25%) am ausländischen Mitglied. Die BAO-Bestimmungen sind ebenfalls zu beachten."
CORP-TAX-010,"Grundsätzlich sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern im Rahmen einer Organschaft **nicht steuerpflichtig**, sofern sie nach § 14 Abs. 1 EStG, § 11 KStG und den entsprechenden Regelungen im UStG (ggf. innergemeinschaftliche Leistungen) als solche anerkannt sind.  Die Umlage muss sachgerecht und angemessen sein.  Die korrekte Dokumentation ist gemäß § 88 BAO essentiell.  Unangemessene Umlagen können als verdeckte Gewinnausschüttungen qualifiziert werden."
