question,answer
Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer in Österreich ist der Gewinn der Körperschaft, der nach den Vorschriften des Körperschaftsteuergesetzes (KStG) ermittelt wird."
"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?","Ein zinsloses Darlehen an einen Gesellschafter führt zu einer steuerlichen Verpflichtung, da die Körperschaft die Zinsen als Betriebsausgaben nicht absetzen kann. Stattdessen wird die Zinsenminderung als Einnahme des Gesellschafters erfasst und als Einkünfte aus nichtselbstständiger Arbeit zu versteuern."
"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Nach § 22 Abs. 3 EStG sind Körperschaften, die nicht als Kapitalgesellschaften organisiert sind (z.B. Einzelunternehmen, Personengesellschaften), verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen."
Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,"(a) Die Dividende einer österreichischen Tochtergesellschaft wird bei der Tochtergesellschaft als Einkünfte aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. 

(b) Bei der österreichischen Muttergesellschaft wird die Dividende als Einkünfte aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. Die Muttergesellschaft kann jedoch die Dividende steuerfrei erhalten, wenn sie die Dividende innerhalb von 6 Monaten nach Zahlung an die Tochtergesellschaft an diese zurücküberweist (Rücküberweisungsverfahren)."
Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Eine offene Ausschüttung wird steuerlich als Dividende behandelt und unterliegt der Körperschaftsteuer, während eine verdeckte Ausschüttung als Gewinnausschüttung an die Gesellschafter behandelt wird und nicht direkt der Körperschaftsteuer unterliegt."
Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"Der maximal mögliche Verlustabzug in einem Veranlagungsjahr beträgt 30.000 Euro. Es gibt jedoch Ausnahmen, wie z.B. bei der Verlustabzugsbeschränkung für Kapitalgesellschaften, bei der ein Verlust von bis zu 80% der Gewinnanteile abgesetzt werden kann."
Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf ist ein Geschäftsmodell, bei dem ein Unternehmen ein anderes Unternehmen erwirbt, um dessen Vermögen oder Aktiva zu übernehmen, ohne dass der Verkäufer direkt in das übernehmende Unternehmen eingeht. Die steuerliche Konsequenz ist, dass der Mantelkauf als steuerneutraler Vorgang gilt, da die Übertragung der Vermögenswerte und Schulden des übernommenen Unternehmens auf das übernehmende Unternehmen nicht zu einer Einkünfteerzielung führt."
Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,"Ein Forderungsverzicht eines Gesellschafters gegenüber der Körperschaft ist steuerlich als Verlustabzug anzuerkennen, wenn der Verzicht auf eine Forderung aus Geschäftsbeziehungen erfolgt. Der Verlustabzug ist jedoch nur zulässig, wenn der Verzicht auf eine Forderung aus Geschäftsbeziehungen erfolgt und der Gesellschafter nicht mehr an der Körperschaft beteiligt ist."
Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern ist im Gegensatz zur inländischen Gruppenmitglieder auf die Höhe des inländischen Gewinns beschränkt. Außerdem müssen die ausländischen Verluste in der Regel in einem gesonderten Verlustverrechnungsbetrag (sog. ""Auslandsverlust"") erfasst werden."
Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,"Nein, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerfrei, da sie als Teil der Gruppenbesteuerung gelten und nicht als Einnahmen oder Ausgaben der einzelnen Unternehmen angesehen werden."
Sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig?,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig, wenn die Beteiligung nicht im Handelsbuch ausgewiesen ist und die Voraussetzungen des § 6 Abs. 2 EStG erfüllt sind."
"Wie wird eine Dividende einer ausländischen EU-Tochtergesellschaft steuerlich behandelt, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird?","Eine Dividende einer ausländischen EU-Tochtergesellschaft ist in Österreich steuerfrei, wenn die Beteiligung mindestens 15 % der Stimmrechte und mindestens 15 % des Grundkapitals umfasst und seit mindestens 2 Jahren gehalten wird. Dies gilt gemäß § 22 Abs. 2 Z 1 EStG 1988."
