id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist das Einkommen der Körperschaft, das sich aus dem Gewinn gemäß den Vorschriften des Einkommensteuergesetzes 1988 (EStG 1988) ergibt, unter Berücksichtigung der besonderen Regelungen des Körperschaftsteuergesetzes (KStG). 

Konkret bestimmt § 7 Abs. 1 KStG, dass die Körperschaftsteuer auf das Einkommen der Körperschaft erhoben wird. Das Einkommen entspricht dem Gewinn, der nach den Vorschriften des EStG 1988 ermittelt wird, wobei bestimmte Hinzurechnungen und Kürzungen gemäß KStG zu beachten sind.

Zusammengefasst:
- Bemessungsgrundlage ist das Einkommen der Körperschaft (§ 7 Abs. 1 KStG).
- Das Einkommen entspricht dem Gewinn nach EStG 1988, angepasst durch KStG-spezifische Vorschriften.

Ausnahmen bzw. Besonderheiten"
CORP-TAX-002,"Die Gewährung eines zinslosen Darlehens durch eine Körperschaft an ihren Gesellschafter hat folgende steuerliche Konsequenzen:

1. **Verdeckte Gewinnausschüttung (vGA):**  
   Nach § 8 Abs. 3 KStG liegt eine verdeckte Gewinnausschüttung vor, wenn eine Körperschaft einem Gesellschafter Vorteile gewährt, die einem fremden Dritten unter fremdüblichen Bedingungen nicht eingeräumt würden. Ein zinsloses Darlehen stellt regelmäßig einen solchen Vorteil dar, da üblicherweise für Darlehen Zinsen zu entrichten sind. Die Differenz zwischen dem marktüblichen Zinssatz und dem tatsächlich vereinbarten Zinssatz ist als vGA zu qualifizieren.

2. **Bemessung der vGA:**  
   Die vGA bemisst sich nach dem entgangenen Zinsertrag, der sich aus dem Unterschied zwischen dem marktüblichen Zinssatz und dem verein"
CORP-TAX-003,"Verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, sind insbesondere Kapitalgesellschaften, also juristische Personen des privaten Rechts, die körperschaftsteuerpflichtig sind. Dies ergibt sich aus § 7 Abs. 1 KStG, wonach das Einkommen einer Körperschaft grundsätzlich aus Einkünften aus Gewerbebetrieb besteht.

Konkret sind folgende Körperschaften betroffen:

- Kapitalgesellschaften (z.B. GmbH, AG)  
- Genossenschaften  
- Vereine und Stiftungen, soweit sie nicht ausschließlich gemeinnützige Zwecke verfolgen und steuerbefreit sind  

Diese Körperschaften unterliegen der Körperschaftsteuer nach dem KStG und müssen ihr gesamtes Einkommen als Einkünfte aus Gewerbebetrieb deklarieren (§ 7 Abs. 1 KStG).

Ausnahmen bestehen für Körperschaften, die ausschließlich Einkünfte aus Land- und Forstwirtschaft erzielen oder gemeinnützige Körperschaften,"
CORP-TAX-004,"(a) Bei der österreichischen Tochtergesellschaft stellt die Ausschüttung einer Dividende eine Gewinnausschüttung dar, die im Zeitpunkt der Ausschüttung als Aufwand zu erfassen ist. Die Dividende mindert somit den steuerlichen Gewinn der Tochtergesellschaft (§ 4 Abs. 4 EStG 1988 analog für Körperschaften, § 7 Abs. 1 KStG).

(b) Bei der österreichischen Muttergesellschaft ist die erhaltene Dividende grundsätzlich steuerpflichtig. Allerdings greift das sogenannte Schachtelprivileg gemäß § 10 Abs. 1 Z 2 KStG, wonach Dividenden von inländischen Kapitalgesellschaften, an denen die Muttergesellschaft mindestens 10 % der Anteile hält, von der Körperschaftsteuer befreit sind. Somit sind Dividenden, die von der Tochter an die Mutter ausgeschüttet werden, bei der Muttergesellschaft steuerfrei, sofern die Beteiligung mindestens 10 % beträgt und die"
CORP-TAX-005,"Die steuerliche Behandlung einer offenen Ausschüttung unterscheidet sich wesentlich von jener einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft:

1. **Offene Ausschüttung**  
Eine offene Ausschüttung liegt vor, wenn die Gewinnausschüttung ausdrücklich und formell als solche erfolgt, z.B. durch Dividendenzahlung an die Gesellschafter.  
- Steuerlich ist die offene Ausschüttung für die ausschüttende Körperschaft **keine Betriebsausgabe** und somit nicht abzugsfähig (§ 8 Abs. 1 KStG).  
- Die Ausschüttung erfolgt aus dem steuerlichen Ergebnis der Körperschaft und unterliegt auf Ebene der Gesellschafter der Besteuerung (z.B. Kapitalertragsteuer).  

2. **Verdeckte Ausschüttung**  
Eine verdeckte Ausschüttung liegt vor, wenn Vermögensvorteile an Gesellschafter oder nahe stehende Personen gewährt werden"
CORP-TAX-006,"Der maximal mögliche Verlustabzug im Veranlagungsjahr beträgt grundsätzlich 75 % des Gesamtbetrags der Einkünfte (§ 18 Abs. 1 EStG 1988). Das bedeutet, dass Verluste nur bis zu 75 % der positiven Einkünfte verrechnet werden dürfen, um eine Mindestbesteuerung sicherzustellen.

Ausnahmen bestehen insbesondere bei:

1. **Verluste aus Land- und Forstwirtschaft**: Hier ist ein Verlustabzug bis zu 100 % möglich (§ 18 Abs. 2 EStG 1988).

2. **Verluste aus Vermietung und Verpachtung**: Auch hier kann der Verlust bis zu 100 % verrechnet werden, sofern keine Beschränkungen nach § 18 Abs. 3 EStG 1988 greifen.

3. **Verluste aus außerordentlichen Einkünften**: Diese können ebenfalls in voller Höhe abgezogen werden.

4. **Verluste"
CORP-TAX-007,"Ein Mantelkauf liegt vor, wenn ein Unternehmen (meist eine Kapitalgesellschaft) mit geringem oder keinem operativen Geschäftsbetrieb (dem sogenannten „Mantel“) erworben wird, um dessen steuerliche Verlustvorträge oder andere steuerliche Vorteile zu nutzen.

Steuerliche Konsequenzen:

1. Verlustvorträge: Nach § 8c KStG (Körperschaftsteuergesetz) sind Verlustvorträge bei einem Mantelkauf grundsätzlich eingeschränkt. Insbesondere gilt, dass bei einem Anteilsübertrag von mehr als 25 % innerhalb von fünf Jahren die Verlustvorträge ganz oder teilweise verloren gehen können.

2. Mantelkaufregelung (§ 8c KStG): Diese Regelung dient der Verhinderung des sogenannten „Mantelkaufs“ zur Verlustnutzung. Demnach gehen Verlustvorträge verloren, wenn innerhalb von fünf Jahren mehr als 25 % der Anteile an der Gesellschaft übertragen werden. Bei einem Anteilsübertrag von mehr als"
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters gegenüber der Körperschaft stellt grundsätzlich eine verdeckte Einlage dar und ist daher steuerlich nicht als Betriebseinnahme zu erfassen. 

Nach § 8 Abs. 3 KStG sind verdeckte Einlagen nicht körperschaftsteuerpflichtig, da sie nicht als Ertrag aus dem operativen Geschäft gelten. Der Forderungsverzicht führt somit zu keiner Erhöhung des steuerpflichtigen Einkommens der Körperschaft.

Allerdings ist der Forderungsverzicht im Eigenkapital der Körperschaft zu erfassen, da er das Eigenkapital erhöht. Dies ist insbesondere für die Ermittlung des steuerlichen Einlagekontos relevant.

Ausnahmen bestehen, wenn der Forderungsverzicht im Rahmen einer Sanierung oder eines außerordentlichen Geschäftsvorfalls erfolgt und steuerlich als Betriebseinnahme zu qualifizieren ist, etwa wenn der Forderungsverzicht als Ertrag aus der gewöhnlichen Geschäftstätigkeit anzusehen ist (§ 4 Abs."
CORP-TAX-009,"Die Verlustverrechnung innerhalb einer Körperschaftsgruppe ist im KStG geregelt, insbesondere in § 9 KStG (Organschaft). 

**Inländische Gruppenmitglieder:**
Bei inländischen Gruppenmitgliedern ist eine Verlustverrechnung im Rahmen der Organschaft grundsätzlich möglich. Die Organgesellschaft (Tochtergesellschaft) und der Organträger (Muttergesellschaft) müssen beide inländische Körperschaften sein. Verluste der Organgesellschaft können mit Gewinnen des Organträgers verrechnet werden, sofern ein Gewinnabführungsvertrag besteht und die Voraussetzungen des § 9 KStG erfüllt sind. Die Verlustverrechnung erfolgt somit auf Ebene der Organgesellschaft und des Organträgers innerhalb des inländischen Konzerns.

**Ausländische Gruppenmitglieder:**
Für ausländische Gruppenmitglieder ist eine Verlustverrechnung im Rahmen der österreichischen Körperschaftsteuer-Organschaft grundsätzlich nicht möglich, da die Organschaft nur zwischen inländ"
CORP-TAX-010,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern im Rahmen der Organschaft sind grundsätzlich nicht steuerpflichtig. 

Nach § 9 Abs. 1 KStG wird bei einer körperschaftsteuerlichen Organschaft das Einkommen der Organgesellschaft dem Organträger zugerechnet. Die steuerliche Einheit führt dazu, dass Umsätze und Leistungen zwischen Organträger und Organgesellschaft als nicht steuerbar gelten, da sie als Innenumsätze innerhalb eines einheitlichen Steuersubjekts anzusehen sind (§ 2 Abs. 3 UStG).

Daher sind Steuerumlagen, die im Rahmen der Organschaft zwischen Gruppenträger und Gruppenmitgliedern erfolgen, nicht als umsatzsteuerpflichtige Leistungen zu behandeln. Auch einkommensteuerlich führt die Zurechnung des Einkommens zur Eliminierung von Ertragsteilen zwischen den Gesellschaften, sodass keine gesonderte Steuerpflicht für diese Umlagen entsteht.

Zusammenfassung:
- Keine"
CORP-TAX-011,"Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind grundsätzlich nicht abzugsfähig.

Nach § 8 Abs. 3 KStG sind Wertminderungen auf Beteiligungen an Gruppenmitgliedern nicht als Betriebsausgaben abzugsfähig, da diese Beteiligungen im Rahmen der Gruppenbesteuerung steuerlich gesondert behandelt werden. Die Gruppenbesteuerung sieht vor, dass Wertminderungen auf Beteiligungen innerhalb der Gruppe nicht zu einem steuerlichen Verlustabzug führen, um eine doppelte Berücksichtigung von Verlusten zu vermeiden.

Ausnahme: Eine Abschreibung auf den niedrigeren Teilwert kann nur dann steuerlich anerkannt werden, wenn die Beteiligung nicht als Gruppenmitglied qualifiziert oder wenn die Wertminderung dauerhaft und endgültig ist und nicht im Rahmen der Gruppenbesteuerung ausgeschlossen wird.

Zusammenfassung: Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nach § 8 Abs. 3"
