id,correct_answer,sources
CORP-TAX-001,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",§ 7 Abs. 1 KStG 1988
CORP-TAX-002,Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 2 KStG 1988; § 12 Abs. 1 Z 2 KStG 1988
CORP-TAX-003,"Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",§ 7 Abs. 3 KStG 1988
CORP-TAX-004,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,§ 8 Abs. 2 KStG 1988; § 10 Abs. 1 Z 1 KStG 1988
CORP-TAX-005,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",§ 8 Abs. 2 KStG 1988 
CORP-TAX-006,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",§ 8 Abs. 4 Z 2 lit. a–b KStG 1988
CORP-TAX-007,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",§ 8 Abs. 4 Z 2 lit. c KStG 1988
CORP-TAX-008,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,§ 8 Abs. 1 KStG 1988
CORP-TAX-009,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",§ 9 Abs. 6 Z 1 und Z 6 KStG 1988
CORP-TAX-010,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,§ 9 Abs. 6 Z 5 KStG 1988
CORP-TAX-011,Nein. Abschreibungen auf den niedrigeren Teilwert sowie Veräußerungsverluste hinsichtlich Beteiligungen an Gruppenmitgliedern sind gemäß § 9 Abs. 7 KStG nicht abzugsfähig.,§ 9 Abs. 7 KStG 1988
CORP-TAX-012,"Die Beteiligung erfüllt die Voraussetzungen einer internationalen Schachtelbeteiligung (≥ 10 %, ≥ 1 Jahr – § 10 Abs. 2 KStG). Die Dividende ist nach § 10 Abs. 1 Z 7 KStG steuerfrei. Alternativ käme § 10 Abs. 1 Z 5 KStG (EU-Mutter-Tochter-Richtlinie) in Betracht. Nicht befreit wäre sie, wenn sie bei der Tochter abzugsfähig ist (§ 10 Abs. 4 KStG).",§ 10 Abs. 1 Z 5 und Z 7; Abs. 2 und 4 KStG 1988
CORP-TAX-013,"§ 10 KStG befreit eingehende Beteiligungserträge. § 12 Abs. 1 Z 10 KStG verhindert, dass ausgehende Zahlungen an niedrigbesteuerte Konzerngesellschaften abgezogen werden. Beide können denselben Konzern treffen: Die Mutter empfängt steuerfreie Dividenden (§ 10) und leistet Zahlungen an eine Schwester im Niedrigsteuerland (§ 12 Abs. 1 Z 10).",§ 10 Abs. 1 KStG 1988; § 12 Abs. 1 Z 10 KStG 1988
CORP-TAX-014,"Der Steuerpflichtige muss unter § 7 Abs. 3 KStG fallen oder eine sonstige unbeschränkt steuerpflichtige ausländische Körperschaft sein, die mit einem inländischen unter §7 Abs. 3KStG fallenden Steuerpflichtigen vergleichbar sein und mindestens 1 Jahr ununterbrochen zu mindestens 10 % an einer ausländischen Kapitalgesellschaft beteiligt sein (§ 10 Abs. 2 KStG).",§ 10 Abs. 2 KStG 1988
CORP-TAX-015,"Sie bleiben bei der Einkommensermittlung außer Ansatz (steuerneutral), es sei denn, der Steuerpflichtige hat die Option zur Steuerwirksamkeit erklärt (§ 10 Abs. 3 KStG).",§ 10 Abs. 3 KStG 1988
CORP-TAX-016,"Grundsätzlich ja (§ 11 Abs. 1 Z 4 KStG) wenn die Beteiligung im Betriebsvermögen gehalten wird – auch wenn die Erträge nach § 10 KStG steuerfrei sind. Ausnahme: Wurde die Beteiligung von einem konzernzugehörigen Unternehmen erworben, greift das Abzugsverbot des § 12 Abs. 1 Z 9 KStG und die Fremdfinanzierungszinsen dürfen nicht als Betriebsausgabe abgezogen werden.",§ 11 Abs. 1 Z 4 KStG 1988; § 12 Abs. 1 Z 9 KStG 1988
CORP-TAX-017,"§ 11 KStG erweitert den Betriebsausgabenbegriff um körperschaftsspezifische Aufwendungen. § 12 KStG schränkt ihn ein und nennt Aufwendungen, die trotz betrieblicher Veranlassung nicht abzugsfähig sind.",§ 11 KStG 1988; § 12 KStG 1988
CORP-TAX-018,"Nein, grundsätzlich nicht (§ 12 Abs. 1 Z 5 KStG). Eine Ausnahme stellen Spenden an begünstigte Empfänger nach § 4a EStG oder Ausgaben nach § 8 Abs. 4 Z 1 KStG dar.",§ 12 Abs. 1 Z 5 KStG 1988
CORP-TAX-019,"(a) Nicht abzugsfähig (§ 12 Abs. 1 Z 4 KStG). (b) Abzugsfähig nach § 4a EStG – Ausnahme in § 12 Abs. 1 Z 5 KStG greift. (c) Nur zur Hälfte abzugsfähig (§ 12 Abs. 1 Z 7 KStG). (d) Nicht abzugsfähig, da konzernzugehöriger Empfänger und Steuerbelastung < 15 % (§ 12 Abs. 1 Z 10 KStG).","§ 12 Abs. 1 Z 4, Z 5, Z 7 und Z 10 KStG 1988"
CORP-TAX-020,Wenn der Empfänger konzernzugehörig ist und die Lizenzgebühren beim Empfänger keiner oder weniger als 10 % Besteuerung unterliegen (§ 12 Abs. 1 Z 10 KStG).,§ 12 Abs. 1 Z 10 KStG 1988
CORP-TAX-021,Nach § 5 Abs. 1 EStG 1988 (Betriebsvermögensvergleich). § 6 Z 2 lit. c und d EStG ist dabei nicht anzuwenden (§ 7 Abs. 3 KStG).,§ 7 Abs. 3 KStG 1988
CORP-TAX-022,"§ 7 Abs. 3 KStG: Einkommensermittlung beider Körperschaften als Gewerbebetrieb (Gewerblichkeitsfiktion). § 9 Abs. 2–5 KStG: Gruppenvoraussetzungen (mittelbare oder unmittelbare Beteiligung > 50 %; unbeschränkt steuerpflichtige Kapitalgesellschaften oder vergleichbare nicht unbeschränkt steuerpflichtige Kapitalgesellschaften, die in einem Mitgliedstaat der Europäischen Union ode in einem Staat, mit dem umfassende Amtshilfe besteht, ansässig sind und ausschließlich mit unbeschränkt steuerpflichtigen Gruppenmitgliedern oder mit dem Gruppenträger finanziell verbunden sind; die finanzielle Verbindung muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds vorliegen). § 9 Abs. 6 Z 4 KStG: Vorgruppenverluste nur gegen eigenen Gewinn. § 11 Abs. 1 Z 4 KStG: Zinsen abzugsfähig (konzernfremder Verkäufer → kein § 12 Abs. 1 Z 9). § 9 Abs. 7 KStG: Nach Beitritt keine Teilwertabschreibungen mehr.","§ 7 Abs. 3; § 9 Abs. 2–5, Abs. 6 Z 4, Abs. 7; § 11 Abs. 1 Z 4; § 12 Abs. 1 Z 9 KStG 1988"
CORP-TAX-023,"Der Verlust ist als Sonderausgabe nach § 8 Abs. 4 Z 2 KStG abzugsfähig. Dieser sogenannte Verlustabzug steht im Ausmaß von 75 % des Gesamtbetrags der Einkünfte zu. Wenn im laufenden Jahr keine Gewinne erwirtschaftet werden und der Verlustabzug nich geltend gemacht werden kann, ist eine Weiterverrechnung im nächsten Jahr möglich. Einkommensermittlung nach § 7 Abs. 2/3 KStG. Zu prüfen: Mantelkauf (§ 8 Abs. 4 Z 2 lit. c) oder Gruppenbeziehung (§ 9 Abs. 6 Z 4 – Vorgruppenverluste) schränken die Verrechenbarkeit ein.",§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 4 Z 2 KStG 1988; § 9 Abs. 6 Z 4 KStG 1988
CORP-TAX-024,"Das Wirtschaftsjahr, das sich grundsätzlich mit dem Kalenderjahr deckt (§ 7 Abs. 4 KStG). Rechnungslegungspflichtige Körperschaften und buchführende Land- und Forstwirte dürfen ein abweichendes Wirtschaftsjahr führen (§ 7 Abs. 5 KStG).",§ 7 Abs. 4–5 KStG 1988
CORP-TAX-025,"Sie bleiben außer Ansatz, soweit sie von Personen in ihrer Eigenschaft als Gesellschafter oder Mitglieder geleistet werden (§ 8 Abs. 1 KStG).",§ 8 Abs. 1 KStG 1988
CORP-TAX-026,"Die 75 %-Grenze gilt nicht, wenn im Gesamtbetrag der Einkünfte Gewinne aus Sanierungen (§ 23a),in der Veranlagungszeit anfallen, die von einem Insolvenzverfahren betroffen sind, Veräußerungsgewinne von Betrieben oder Teilbetrieben, Liquidationsgewinne (§ 19) oder Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG enthalten sind.",§ 8 Abs. 4 Z 2 lit. b KStG 1988
CORP-TAX-027,"Unmittelbar mehr als 50 % des Grund-, Stamm- oder Genossenschaftskapitals und der Stimmrechte (§ 9 Abs. 4 KStG).",§ 9 Abs. 4 KStG 1988
CORP-TAX-028,Während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitgliedes (§ 9 Abs. 5 KStG).,§ 9 Abs. 5 KStG 1988
CORP-TAX-029,Nein. Gemäß § 9 Abs. 6 Z 4a KStG sind solche Vorgruppenverluste des Gruppenträgers von der Verrechnung ausgeschlossen.,§ 9 Abs. 6 Z 4a KStG 1988
CORP-TAX-030,"Sie kann nur Gruppenträger sein, wenn sie in Österreich mit einer Zweigniederlassung im Firmenbuch eingetragen ist und die Beteiligung an den Gruppenmitgliedern der Zweigniederlassung zuzurechnen ist (§ 9 Abs. 3 KStG).",§ 9 Abs. 3 KStG 1988
CORP-TAX-031,Verluste eines Gruppenmitglieds aus Zeiträumen vor dem Gruppenbeitritt. Sie können nur gegen den eigenen Gewinn des jeweiligen Mitglieds verrechnet werden – nicht gegen den Gruppengewinn (§ 9 Abs. 6 Z 4 KStG).,§ 9 Abs. 6 Z 4 KStG 1988
CORP-TAX-032,"Inländisch (§ 9 Abs. 6 Z 1/2 KStG): Volles Ergebnis wird zugerechnet, ohne Betragsbegrenzung. Ausländisch (§ 9 Abs. 6 Z 6 KStG): Nur Verluste, nach österreichischem Recht, max. ausländischer Verlust, 75 %-Grenze auf österreichisches Gruppeneinkommen. Nachversteuerung nur bei ausländischen Mitgliedern bei Gewinn oder Ausscheiden (§ 9 Abs. 6 Z 7 KStG).","§ 9 Abs. 6 Z 1–2, Z 6–7 KStG 1988"
CORP-TAX-033,"Nein. Die Frist gilt nicht für Anteile, die durch eine Kapitalerhöhung erworben wurden, soweit sich das Beteiligungsausmaß dadurch nicht erhöht hat (§ 10 Abs. 2 letzter Satz KStG).",§ 10 Abs. 2 KStG 1988
CORP-TAX-034,"§ 10 Abs. 3 KStG: Veräußerungsgewinn ist steuerneutral (sofern keine Steuerwirksamkeitsoption). Da er außer Ansatz bleibt, erhöht er den Gesamtbetrag der Einkünfte nicht. § 8 Abs. 4 Z 2 KStG: Verlustvorträge können nur gegen steuerpflichtige Einkünfte verrechnet werden – der steuerfreie Veräußerungsgewinn zählt nicht. Verluste können dadurch ungenutzt bleiben.",§ 10 Abs. 3 KStG 1988; § 8 Abs. 4 Z 2 KStG 1988
CORP-TAX-035,"Nein – die Mindestquote von 10 % für die internationale Schachtelbeteiligung (§ 10 Abs. 2 KStG) ist nicht erfüllt. Die Dividende ist dennoch steuerfrei, da Deutschland ein EU-Mitgliedstaat ist und § 10 Abs. 1 Z 5 KStG (EU-Mutter-Tochter-Richtlinie) greift.",§ 10 Abs. 1 Z 5 KStG 1988; § 10 Abs. 2 KStG 1988
CORP-TAX-036,Die erwerbende konzernzugehörige Körperschaft ist gemäß § 10 Abs. 3 Z 4 KStG an die Option der übertragenden Körperschaft gebunden – auch wenn sie selbst eine andere Option für die Beteiligung an derselben ausländischen Körperschaft getroffen hat.,§ 10 Abs. 3 Z 4 KStG 1988
CORP-TAX-037,Wenn die Gewinnanteile bei der ausländischen Körperschaft abzugsfähig sind (hybride Instrumente) – in diesem Fall greift die Befreiung nach § 10 Abs. 4 KStG nicht und die Beteiligungserträge stellen steuerpflichtiges Einkommen dar.,§ 10 Abs. 4 KStG 1988
CORP-TAX-038,"Aufwendungen im Zusammenhang mit Einlagen nach § 8 Abs. 1 KStG (Z 1), Zuführungen zu versicherungstechnischen Rückstellungen bei Versicherungsunternehmen (Z 3) sowie Zinsen für die Fremdfinanzierung des Erwerbs von Kapitalanteilen iSd § 10 (Z 4).",§ 11 Abs. 1 KStG 1988
CORP-TAX-039,"Steuern vom Einkommen, sonstige Personensteuern, die bei unentgeltlicher Grundstücksübertragung anfallende Grunderwerbsteuer, Eintragungsgebühren und Nebenkosten sowie die USt auf nichtabzugsfähige Aufwendungen (§ 12 Abs. 1 Z 6 KStG).",§ 12 Abs. 1 Z 6 KStG 1988
CORP-TAX-040,Wenn die Beteiligung unmittelbar oder mittelbar von einem konzernzugehörigen Unternehmen oder einem beherrschenden Gesellschafter erworben wurde (§ 12 Abs. 1 Z 9 KStG).,§ 12 Abs. 1 Z 9 KStG 1988
CORP-TAX-041,"In dem Kalenderjahr, in dem das Wirtschaftsjahr endet (§ 7 Abs. 5 KStG).",§ 7 Abs. 5 KStG 1988
CORP-TAX-042,"Gesamtbetrag der Einkünfte nach Verlustausgleich, abzüglich Sonderausgaben (§ 8 Abs. 4) und Freibetrag für begünstigte Zwecke (§ 23 KStG). Maßgeblich sind die Einkunftsarten des § 2 Abs. 3 EStG (§ 7 Abs. 2 KStG).",§ 7 Abs. 2 KStG 1988
CORP-TAX-043,§ 7 Abs. 3 KStG: Gewinnermittlung nach § 5 Abs. 1 EStG. § 8 Abs. 2 KStG: Hinzurechnung verdeckter Ausschüttungen. § 10 KStG: Steuerfreie Beteiligungserträge ausscheiden. § 11 KStG: Besondere Betriebsausgaben. § 12 KStG: Nichtabzugsfähige Aufwendungen hinzurechnen. § 8 Abs. 4 Z 2 KStG: Verlustabzug max. 75 %.,"§ 7 Abs. 3; § 8 Abs. 2 und 4; §§ 10, 11, 12 KStG 1988"
CORP-TAX-044,"Nein. Gemäß § 8 Abs. 2 KStG ist es ohne Bedeutung, ob das Einkommen durch offene oder verdeckte Ausschüttungen verteilt, entnommen oder in anderer Weise verwendet wird.",§ 8 Abs. 2 KStG 1988
