task_id,row_key,prompt,answer,reference_answer,sources,correctness_score,groundedness_score,legal_reasoning_score,completeness_score,comprehension_score,hallucination_flag,grounding_citations,comments
1,8af014a8e461d529,Wie hoch war der KöSt-Satz nach der Steuerreform 2005?,Nach der Steuerreform 2005 wurde der Körperschaftsteuersatz (KöSt) in Österreich auf 25 % reduziert (§ 3 KorpStG).,Er wurde damals von 34 % auf 25 % gesenkt.,KStG § 22 (alt),4,2,3,3,4,1,„Die Körperschaftsteuer vom Einkommen (§ 7 Abs. 2) oder vom Gesamtbetrag der Einkünfte beschränkt Steuerpflichtiger im Sinne des § 21 beträgt für das Kalenderjahr 2023 24% und für die Kalenderjahre ab 2024 23%.“,"Die Antwort nennt den richtigen Satz von 25 %, verweist aber auf eine falsche Bestimmung („§ 3 KorpStG“) und erwähnt die Senkung von 34 % auf 25 % nicht. Daher nur überwiegend richtig und wegen der falschen Normangabe hallucinated."
2,8b4add2cc75ce9c1,"Ein im Grenzgebiet wohnender Arbeitnehmer kehrt regelmäßig täglich aus einem benachbarten Drittstaat zurück. Bei einer Einreise führt er 25 Zigaretten und 0,25 Liter Spirituosen mit mehr als 22 % vol mit. Er legt glaubhaft dar, dass er an diesem Tag nicht bloß grenznah tätig war, sondern sich weit außerhalb des Grenzgebiets aufgehalten hat. Entscheidend ist, ob trotz seines grundsätzlichen Status als Grenzarbeitnehmer die verschärften Mengenbeschränkungen zwingend anzuwenden sind.","Bei einem Tätigkeitsort im Grenzgebiet ist die verschärfte Mengenbeschränkung für Zigaretten und Spirituosen nur dann anzuwenden, wenn der Arbeitnehmer sich im Grenzgebiet aufgehalten hat und nicht weit außerhalb des Grenzgebiets tätig war.","Die eingeschränkten Mengen des Abs. 6 greifen hier nicht. Kann der Reisende nachweisen, dass er aus dem Grenzgebiet ausgereist ist, verbleibt es bei den allgemeinen Befreiungsregeln des Abs. 5. Die Einfuhr ist daher im Rahmen dieser allgemeinen Grenzen steuerfrei.",§ 6 Abs. 6 UStG 1994; § 6 Abs. 5 UStG 1994,4,4,4,3,4,0,"„Die Einschränkungen nach diesem Absatz gelten nicht, wenn ein von dieser Regelung betroffener Reisender nachweist, dass er aus dem Grenzgebiet des Mitgliedstaates ausreist oder dass er nicht aus dem Grenzgebiet des benachbarten Drittlandes zurückkommt.“","Die Antwort erkennt richtig, dass die verschärften Mengenbeschränkungen nicht zwingend gelten, wenn der Arbeitnehmer nicht aus dem Grenzgebiet zurückkommt. Sie bleibt aber etwas unvollständig, weil sie die Folge nicht ausdrücklich nennt, nämlich dass dann die allgemeinen Grenzen des Abs. 5 gelten."
3,8b72e98cc2bcd8b7,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"Der maximale Verlustabzug in einem Veranlagungsjahr in Österreich beträgt 75 % des Gesamteinkommens (§ 18 Abs. 6 EStG 1988). Der verbleibende Verlust kann in den folgenden Jahren abgezogen werden. Es gibt jedoch Ausnahmen, wie z.B. bei Verlusten aus Gewerbebetrieb, die zu 100 % abgezogen werden können (§ 18 Abs. 6 EStG 1988).","75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",§ 8 Abs. 4 Z 2 lit. a–b KStG 1988,3,2,2,2,4,1,"„Der Verlustabzug steht nur im Ausmaß von 75% des Gesamtbetrages der Einkünfte zu.“
„Lit. a ist in folgenden Fällen insoweit nicht anzuwenden, als im Gesamtbetrag der Einkünfte enthalten sind: Gewinne aus einem Schulderlass, insbesondere Sanierungsgewinne gemäß § 23a, Gewinne, die in Veranlagungszeiträumen anfallen, die von einem Insolvenzverfahren betroffen sind, Gewinne aus der Veräußerung sowie der Aufgabe von Betrieben, Teilbetrieben und Mitunternehmeranteilen, Liquidationsgewinne gemäß § 19.“","Die Antwort nennt die 75%-Grenze richtig, verweist aber auf das EStG statt auf § 8 Abs. 4 Z 2 KStG und nennt eine nicht passende Ausnahme zu Verlusten aus Gewerbebetrieb. Die tatsächlichen Ausnahmen aus lit. b werden weitgehend nicht erwähnt, daher ist die Antwort nur teilweise korrekt."
4,8bcf366f40d1ade2,Eine in der Schweiz lebende Managerin nutzt ihre Wiener Zweitwohnung nur 50 Tage pro Jahr und hält sich darüber hinaus nicht länger im Inland auf. Führt die Zweitwohnung allein zur unbeschränkten Steuerpflicht?,Nein. Die unbeschränkte Steuerpflicht gemäß § 1 Abs. 2 EStG setzt eine mindestens einjährige Aufenthaltspflicht voraus. Die 50 Tage pro Jahr reichen nicht aus. Die Schweizerin ist daher nur mit ihrem inländischen Einkommen (z.B. aus österreichischen Gesellschaften) in Österreich steuerpflichtig. Die Zweitwohnung selbst ist bei dieser Konstellation nicht relevant.,"Nein. Nach der Zweitwohnsitzverordnung, referenziert in EStR 2000 Rz 26a, führt eine inländische Wohnung nicht zur unbeschränkten Steuerpflicht, wenn sie nur untergeordnet genutzt wird, also nicht mehr als 70 Tage pro Jahr. Dauert der tatsächliche Inlandsaufenthalt allerdings länger als sechs Monate, kann dennoch ein gewöhnlicher Aufenthalt und damit eine unbeschränkte Steuerpflicht entstehen.",EStR 2000 Rz 26a,2,2,2,2,4,1,"„Auf Grund der Zweitwohnsitzverordnung (BGBl. II Nr. 528/2003) führt eine inländische Wohnung nicht zur unbeschränkten Einkommensteuerpflicht, wenn sie in zeitlicher Hinsicht nur untergeordnet (nicht mehr als 70 Tage pro Jahr) genutzt wird. Sollte allerdings der Inlandsaufenthalt länger als 6 Monate andauern, dann tritt unbeschränkte Steuerpflicht kraft inländischem gewöhnlichen Aufenthalt ein.“","Die Antwort kommt zwar zum richtigen Ergebnis, begründet es aber falsch mit einer angeblichen einjährigen Aufenthaltspflicht. Maßgeblich wären die 70-Tage-Grenze der Zweitwohnsitzverordnung und die Sechsmonatsregel beim gewöhnlichen Aufenthalt. Daher ist die Antwort nur teilweise richtig und wegen der erfundenen Einjahresgrenze hallucinated."
5,8cb24b2d65a6eede,"Ein Arbeitgeber zahlt einem Mitarbeiter eine einmalige Entschädigungssumme aus, weil eine zugesagte Beförderung aufgrund eines Formfehlers nicht stattfand. Handelt es sich hierbei um steuerpflichtiges Arbeitseinkommen?","1. Die Steuerveranlagungsbehörde ist befugt, die Steuerforderungen nach dem Verhalten des Arbeitgebers zu beurteilen (Art. 25 Abs. 3 StG). Sie kann auch dann entscheiden, wenn sie von einer unbestimmten oder unklaren Rechtslage ausgeht (BGE 97 I 406 E. 2 S. 408 f.; BGE 1","Ja. Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis sind steuerpflichtig. Da die Entschädigung im direkten Zusammenhang mit der Erwerbstätigkeit und dem entgangenen Verdienst steht, ist sie als Einkunft aus nichtselbständiger Arbeit zu werten.",§ 25 Abs. 1 Z 1 lit. a EStG,0,0,0,0,1,1,"„Einkünfte aus nichtselbständiger Arbeit (Arbeitslohn) sind: Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis.“ „Bei den Einkünften im Sinne des Abs. 1 ist es unmaßgeblich, ob es sich um einmalige oder laufende Einnahmen handelt, ob ein Rechtsanspruch auf sie besteht und ob sie dem zunächst Bezugsberechtigten oder seinem Rechtsnachfolger zufließen.",Die Antwort geht am österreichischen EStG völlig vorbei und nennt fremde bzw. nicht passende Rechtsquellen. Sie beantwortet die Frage nicht und stellt keinen Bezug zu § 25 EStG her.
6,8d0e45b3fd422120,Was ist die Steuerreform 2024 hinsichtlich der Kleinunternehmer?,Die Steuerreform 2024 betrifft die Steuern für die Kleinunternehmer (Art. 1-3 des Bundesgesetzes vom 6. Oktober 2021 über die Steuerreform 2024). Sie enthält eine neue Regelung für die Steuerpflichtige mit einer Einkommenssteuer von 5% und einen Steuersatz von 2% (Art. 1 Abs. 1,Die Anhebung der Umsatzsteuergrenze auf 35.000 Euro wurde gesetzlich verankert.,UStG § 6 Abs. 1 Z 27,0,0,0,1,2,1,"„Die Umsätze der Kleinunternehmer.“ „Kleinunternehmer ist ein Unternehmer, der sein Unternehmen im Inland oder in einem anderen Mitgliedstaat betreibt und dessen Umsätze nach § 1 Abs. 1 Z 1 und 2 die Umsatzgrenze von 55 000 Euro (Kleinunternehmergrenze) im vorangegangenen Kalenderjahr nicht, und im laufenden Jahr noch nicht übersteigen.“","Die Antwort geht an der Reformfrage vorbei. Es geht um die Kleinunternehmergrenze bzw. Umsatzsteuerbefreiung, nicht um eine Einkommensteuer von 5 % oder einen Steuersatz von 2 %. Diese Angaben sind in der Quelle nicht enthalten und wirken erfunden, daher hallucinated."
7,8d383f3d405cc69b,Ein österreichischer Arbeitnehmer geht in Pension und erhält Zahlungen aus einer inländischen Pensionskasse. Sind diese voll steuerpflichtig?,Die unbeschränkte Steuerpflicht erstreckt sich auf alle in- und ausländischen Einkünfte im Sinne des Einkommensteuergesetzes.,"Nein. Nur jener Teil der Pensionszahlungen, der auf eigene Beitragszahlungen des Arbeitnehmers (bzw. eines wesentlich Beteiligten oder eines Arbeitgebers für sich selbst) entfällt, wird mit 25 % besteuert. Der restliche, vom Arbeitgeber finanzierte Teil ist voll steuerpflichtig.",§ 25 Abs. 1 Z 2 lit. a EStG 1988,1,1,1,1,4,0,"„Bezüge und Vorteile aus inländischen Pensionskassen und aus betrieblichen Kollektivversicherungen“ „Jene Teile der Bezüge und Vorteile, die auf die vom Arbeitnehmer eingezahlten Beträge entfallen, sind nur mit 25% zu erfassen.“","Die Antwort nennt nur den allgemeinen Grundsatz der unbeschränkten Steuerpflicht, beantwortet aber die konkrete Frage nach der vollen Steuerpflicht von inländischen Pensionskassenzahlungen nicht. Die Sonderregel zur 25%-Erfassung eigener Arbeitnehmerbeiträge fehlt vollständig."
8,8d73440c04f1a641,Was regelt das KMU-Förderungsgesetz steuerlich?,"Das KMU-Förderungsgesetz selbst regelt keine Steuern, sondern es handelt sich um eine Regelung zur Förderung von Klein- und Mittelbetrieben (§ 1 Abs. 1 KMUG). Die Steuerregeln finden sich in anderen Gesetzen wie z.B. dem Einkommensteuergesetz 1988 (EStG 1988) oder dem Körperschaft",Erleichterungen beim Zugang zu Förderungen und steuerliche Verlustrückträge.,EStG § 124b Z 355,1,1,1,1,3,1,"„Durch das KMU-Förderungsgesetz, BGBl I Nr. 101/2006, können ab der Veranlagung 2007 von den im Rahmen einer Gewinnermittlung gemäß § 4 Abs. 3 EStG 1988 ermittelten Verlusten stets die Verluste der drei vorangegangenen Jahre abgezogen werden.“","Die Antwort verneint steuerliche Regelungen im KMU-Förderungsgesetz und passt daher nicht zur Referenz. Der relevante Punkt ist der Verlustabzug bzw. Verlustrücktrag, während die Antwort nur allgemein auf Förderung von KMU verweist und keinen steuerlichen Inhalt erklärt. Wegen der falschen Aussage zu „keine Steuern“ ist sie hallucinated."
9,8ddd5ecfb5952b1d,"""Ein deutsches Unternehmen bietet einen Online-Kochkurs für Privatpersonen in Österreich an. Wo ist die Leistung steuerpflichtig?""","Zu den Leistungen gehören unter anderem das Erlernen der Grundbegriffe des Kochens, Kochen und Backens sowie eine praktische Ausbildung zum Küchenmeister (Köchin). Die Lehrgänge finden im Rahmen eines staatlich anerkannten Kurses statt; sie dauern jeweils zwei","""In Österreich, da es sich um eine elektronisch erbrachte Leistung handelt und der Leistungsort bei Leistungen an Nichtunternehmer am Wohnsitz des Leistungsempfängers liegt (§ 3a Abs. 13 UStG)""",§ 3a Abs. 13 UStG 1994,0,0,0,1,2,0,"„Elektronisch erbrachte sonstige Leistungen sowie Telekommunikations-, Rundfunk- und Fernsehdienstleistungen werden an dem Ort ausgeführt, an dem der Leistungsempfänger seinen Wohnsitz, Sitz oder gewöhnlichen Aufenthalt hat, soweit diese Leistungen an einen Nichtunternehmer im Sinne des Abs. 5 Z 3 erbracht werden.“","Die Antwort beantwortet den Leistungsort nicht und erklärt nicht, dass bei elektronisch erbrachten Leistungen an Privatpersonen der Wohnsitz des Leistungsempfängers maßgeblich ist. Sie wirkt eher wie ein unvollständiger Text zu Kochkursen, enthält aber keine klare erfundene Rechtsregel."
10,8e846004e3043ba1,Ein Vater schenkt seiner Tochter ein Grundstück mit einem Grundstückswert von 450.000 Euro. Wie hoch ist der Steuersatz für diesen Erwerb im Familienverband?,Der Steuersatz für das Erwerb eines Grundstückes beträgt 450.000 Euro. In diesem Kontext kann man sich aufgrund der genannten Gesetzesstelle und den vorgeschlagenen Bedingungen auswerten.,"Gemäß § 7 Abs. 1 Z 1 GrEStG gilt für unentgeltliche Erwerbe im Familienverband ein Stufentarif: Für die ersten 250.000 Euro beträgt der Steuersatz 0,5 %, für die nächsten 150.000 Euro (bis 400.000 Euro) 2,0 % und darüber hinaus 3,5 %. Die Steuer berechnet sich somit aus: (250.000 * 0,5%) + (150.000 * 2,0%) + (50.000 * 3,5%) = 6000 Euro.","§ 7 Abs. 1 Z 1 lit. a GrEStG 1987, § 7 Abs. 1 Z 1 lit. c GrEStG 1987",0,0,0,1,1,0,"„Die Steuer beträgt beim unentgeltlichen Erwerb von Grundstücken für die ersten 250 000 Euro 0,5%, für die nächsten 150 000 Euro 2%, darüber hinaus 3,5% des Grundstückswertes.“","Die Antwort verwechselt den Grundstückswert mit dem Steuersatz und berechnet die Steuer nicht. Der Stufentarif für unentgeltliche Erwerbe im Familienverband wird gar nicht angewendet, daher ist die Antwort inhaltlich falsch."
