question,answer
Wer ist körperschaftsteuerpflichtig nach § 1 KStG?,"Gemäß § 1 Abs. 1 KStG sind nur Körperschaften körperschaftsteuerpflichtig. Unbeschränkt steuerpflichtig sind Körperschaften, die im Inland ihre Geschäftsleitung oder ihren Sitz haben (§ 1 Abs. 2 KStG)."
Was versteht man unter einem Betrieb gewerblicher Art nach § 2 KStG?,"Ein Betrieb gewerblicher Art einer Körperschaft des öffentlichen Rechts liegt vor, wenn eine Einrichtung wirtschaftlich selbständig ist und sich innerhalb der Gesamtbetätigung wirtschaftlich heraushebt (§ 2 Abs. 1 KStG). Die Absicht Gewinn zu erzielen ist nicht erforderlich."
Welche Körperschaften sind nach § 5 KStG von der Körperschaftsteuer befreit?,"Von der unbeschränkten Körperschaftsteuerpflicht befreit sind unter anderem Körperschaften, die gemeinnützigen, mildtätigen oder kirchlichen Zwecken dienen (§ 5 Z 6 KStG), sowie bestimmte Fonds und die Oesterreichische Nationalbank (§ 5 Z 4 KStG)."
Nach welchen Vorschriften erfolgt die Einkommensermittlung einer Körperschaft gemäß § 7 KStG?,"Das Einkommen wird nach den Vorschriften des EStG 1988 ermittelt, soweit das KStG nicht anderes bestimmt (§ 7 Abs. 2 KStG). Bei rechnungslegungspflichtigen Körperschaften ist der Gewinn nach § 5 EStG zu ermitteln (§ 7 Abs. 3 KStG)."
Was regelt § 8 KStG zu Einlagen und Entnahmen?,"§ 8 Abs. 1 KStG bestimmt, dass Einlagen und Beiträge jeder Art nicht zu den Einkünften gehören. Einkommensverwendung wie Ausschüttungen oder verdeckte Ausschüttungen dürfen das Einkommen nicht mindern (§ 8 Abs. 2 KStG)."
Was versteht man unter einer Unternehmensgruppe nach § 9 KStG?,"Eine Unternehmensgruppe liegt vor, wenn ein finanziell verbundener Gruppenträger mit mindestens einem inländischen Gruppenmitglied einen Gruppenantrag stellt (§ 9 Abs. 1 KStG). Finanzielle Verbindung erfordert eine Beteiligung von mehr als 50 % am Grund- oder Stammkapital."
Welche Beteiligungserträge sind nach § 10 KStG steuerbefreit?,"Von der Körperschaftsteuer befreit sind Beteiligungserträge in Form von Gewinnanteilen jeder Art aus inländischen Körperschaften (§ 10 Abs. 1 Z 1 KStG) sowie aus EU/EWR-Gesellschaften und vergleichbaren ausländischen Gesellschaften unter bestimmten Voraussetzungen."
Was regelt § 11 KStG über abzugsfähige Aufwendungen?,"§ 11 Abs. 1 KStG definiert zusätzliche Betriebsausgaben, die speziell für Körperschaften gelten: Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften (Z 1), Zuwendungen an Privatstiftungen (Z 2) und Zinsen für Hybridanleihen (Z 4)."
Welche Aufwendungen sind nach § 12 KStG nicht abzugsfähig?,"Nicht abzugsfähig sind insbesondere Aufwendungen für Entgelte und Vergütungen, die an niedrig besteuerte Körperschaften geleistet werden (§ 12 Abs. 1 Z 10 KStG), sowie Aufwendungen im Zusammenhang mit steuerbefreiten Beteiligungserträgen (§ 12 Abs. 2 KStG)."
Wie hoch ist der Körperschaftsteuersatz nach § 22 KStG?,"Der allgemeine Körperschaftsteuersatz beträgt 23 % des Einkommens (§ 22 Abs. 1 KStG). Die Mindestkörperschaftsteuer beträgt für unbeschränkt steuerpflichtige Gesellschaften mit beschränkter Haftung und Erwerbs- und Wirtschaftsgenossenschaften 5 % des gesetzlichen Mindeststammkapitals."
Was ist Einkommensteuer und wer unterliegt ihr nach § 1 EStG?,"Nach § 1 Abs. 1 EStG sind nur natürliche Personen einkommensteuerpflichtig. Unbeschränkt steuerpflichtig sind Personen mit Wohnsitz oder gewöhnlichem Aufenthalt im Inland (§ 1 Abs. 2 EStG). Die Steuerpflicht erstreckt sich auf alle in- und ausländischen Einkünfte."
Welche Einkunftsarten unterscheidet § 2 EStG?,"§ 2 Abs. 3 EStG unterscheidet sieben Einkunftsarten: Land- und Forstwirtschaft, selbständige Arbeit, Gewerbebetrieb, nichtselbständige Arbeit, Kapitalvermögen, Vermietung und Verpachtung sowie sonstige Einkünfte."
Welche Einkünfte sind nach § 3 EStG steuerfrei?,"Steuerfrei sind unter anderem bestimmte Bezüge aus der gesetzlichen Sozialversicherung (§ 3 Abs. 1 Z 3 EStG), Stipendien (§ 3 Abs. 1 Z 3d EStG), sowie bestimmte Zulagen und Zuschläge für Arbeitnehmer (§ 3 Abs. 1 Z 16b EStG)."
Was ist die Absetzung für Abnutzung nach § 7 EStG?,"§ 7 Abs. 1 EStG bestimmt, dass bei Wirtschaftsgütern des Anlagevermögens die Anschaffungs- oder Herstellungskosten gleichmäßig verteilt auf die Nutzungsdauer abzusetzen sind (lineare AfA). Die AfA beginnt mit der Inbetriebnahme."
Wie funktioniert der Gewinnfreibetrag für natürliche Personen gemäß § 10 EStG?,"Natürliche Personen können einen Gewinnfreibetrag von 15 % des Gewinns als Betriebsausgabe geltend machen (§ 10 Abs. 1 EStG). Er besteht aus einem Grundfreibetrag und einem investitionsbedingten Freibetrag, für den begünstigte Wirtschaftsgüter angeschafft werden müssen."
Was sind Werbungskosten nach § 16 EStG?,"Werbungskosten sind Aufwendungen zur Erwerbung, Sicherung oder Erhaltung der Einnahmen (§ 16 Abs. 1 EStG). Dazu zählen unter anderem Pflichtbeiträge zur Sozialversicherung, Pendlerpauschale und Aufwendungen für Arbeitsmittel."
Was regelt § 18 EStG zu Sonderausgaben?,"Sonderausgaben sind bestimmte Aufwendungen, die vom Gesamtbetrag der Einkünfte abgezogen werden dürfen (§ 18 EStG). Dazu zählen insbesondere Kirchenbeiträge (§ 18 Abs. 1 Z 5 EStG) sowie bestimmte Spenden an begünstigte Einrichtungen."
Welche Aufwendungen sind nach § 20 EStG nicht abzugsfähig?,"Nicht abzugsfähig sind unter anderem Aufwendungen für die Lebensführung (§ 20 Abs. 1 Z 1 EStG), freiwillige Zuwendungen (§ 20 Abs. 1 Z 4 EStG) und Aufwendungen im Zusammenhang mit steuerfreien Einnahmen (§ 20 Abs. 2 EStG)."
