id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer (KSt) ist gemäß § 1 KStG das zu versteuernde Einkommen der Körperschaft, welches grundsätzlich auf dem im Geschäftsjahr erzielten Gewinn basiert. Die Ermittlung dieses Einkommens erfolgt unter Anwendung der Bestimmungen des Körperschaftsteuergesetzes, wobei gemäß § 2 KStG die Vorschriften des Einkommensteuergesetzes (EStG) analog herangezogen werden, sofern das KStG keine spezifischen Abweichungen vorsieht. In der Praxis wird die Bemessungsgrundlage ausgehend vom handelsrechtlichen Jahresüberschuss (nach UGB oder anderen anerkannten Rechnungslegungsstandards) durch steuerliche Korrekturen ermittelt, wobei nicht abzugsfähige Aufwendungen als Hinzurechnungen und steuerfreie Einnahmen als Kurzungen behandelt werden. Zudem sind etwaige Verlustvorträge aus Vorjahren sowie die Möglichkeit des Verlustrücktrags gemäß den einschlägigen Bestimmungen des EStG und KStG zu berücksichtigen, um das endgültige zu versteuernde Einkommen zu beziffern, welches anschließend mit dem geltenden Körperschaftsteuersatz belegt wird."
CORP-TAX-002,"Die Gewährung eines zinslosen Darlehens durch eine Körperschaft an ihren Gesellschafter stellt aus steuerlicher Sicht einen Verstoß gegen den Fremdvergleichsgrundsatz dar, da ein unabhängiger Dritter in einer vergleichbaren Situation ein marktübliches Zinsentgelt verlangen würde. Infolgedessen wird der Verzicht auf die Zinserträge als verdeckte Gewinnausschüttung (vGA) qualifiziert. Für die Körperschaft bedeutet dies, dass der entgangene Zinsertrag nicht als Betriebsausgabe abzugsfähig ist, wobei die vGA die steuerliche Gewinnermittlung nach dem KStG beeinflusst, da sie als nicht abzugsfähige privatwirtschaftliche Zuwendung gewertet wird. Auf Ebene des Gesellschafters stellt der Zinsvorteil – definiert als die Differenz zwischen einem marktüblichen Zinssatz und dem tatsächlich vereinbarten Zinssatz von 0 % – einen steuerpflichtigen Zufluss dar. Handelt es sich beim Gesellschafter um eine natürliche Person, wird dieser Vorteil in der Regel als Einkünfte aus Kapitalvermögen gemäß § 2 Abs 1 Z 3 EStG gewertet und unterliegt der Kapitalertragsteuer (KESt), sofern keine anderen spezifischen Tatbestände vorliegen. Die Ermittlung des marktüblichen Zinssatzes muss unter Berücksichtigung der Bonität des Kreditnehmers und der aktuellen Marktlage erfolgen. Zudem ist eine lückenlose Dokumentation des Darlehensverhältnisses gemäß den Grundsätzen der ordnungsgemäßen Buchführung und den Bestimmungen der BAO zwingend erforderlich, um die steuerliche Behandlung zu rechtfertigen und eine willkürliche Gewinnverschiebung zu vermeiden. Da die Gewährung von Krediten gemäß § 6 Abs 1 Z 20 UStG von der Umsatzsteuer befreit ist, ergeben sich aus dem Zinsverzicht in der Regel keine unmittelbaren umsatzsteuerlichen Konsequenzen, sofern keine anderen steuerbaren Gegenleistungen vereinbart wurden."
CORP-TAX-003,"Gemäß § 1 KStG unterliegen Körperschaften der Körperschaftsteuer, wobei für diese Rechtsträger grundsätzlich sämtliche Einkünfte – unabhängig von ihrer eigentlichen Art, wie etwa Einkünfte aus Vermietung und Verpachtung oder Kapitalerträge – den Einkünften aus Gewerbebetrieb zugerechnet werden, da die Gewinnermittlung bei Körperschaften einheitlich nach den Grundsätzen der Gewinnermittlung für Gewerbebetriebe erfolgt. Dies betrifft insbesondere Kapitalgesellschaften wie die Gesellschaft mit beschränkter Haftung (GmbH), die Aktiengesellschaft (AG) sowie die Societas Europaea (SE), aber auch andere im Sinne des KStG steuerpflichtige Körperschaften, wie etwa bestimmte Stiftungen oder Vereine, sofern sie steuerpflichtige Einkünfte erzielen. Im Gegensatz zu natürlichen Personen, bei denen eine strikte Trennung nach den verschiedenen Einkunftsarten gemäß § 2 EStG vorgenommen wird, gibt es bei Körperschaften keine Differenzierung zwischen privaten und gewerblichen Einkünften; sämtliche Einnahmen fließen in die Ermittlung des steuerpflichtigen Gewinns ein, wobei die Bestimmungen des Einkommensteuergesetzes (EStG) zur Gewinnermittlung (insbesondere die Grundsätze der Handelsbilanz oder der steuerlichen Gewinnermittlung) entsprechend Anwendung finden."
CORP-TAX-004,"Bei der österreichischen Tochtergesellschaft stellt die Ausschüttung einer Dividende eine Gewinnverwendung dar, die steuerlich neutral ist, da die Dividende aus bereits mit Körperschaftsteuer (KSt) belasteten Gewinnen gezahlt wird und die Ausschüttung selbst gemäß § 1 KStG keinen abzugsfähigen Betriebsausgabencharakter besitzt, wodurch die steuerliche Bemessungsgrundlage der Tochtergesellschaft unberührt bleibt. Auf Ebene der österreichischen Muttergesellschaft sind die zugeflossenen Dividenden gemäß § 50 Abs. 1 Z 1 EStG von der Einkommensteuer bzw. Körperschaftsteuer befreit, sofern es sich um eine Beteiligung einer Kapitalgesellschaft an einer anderen Kapitalgesellschaft handelt, was der Vermeidung einer steuerlichen Doppelbelastung auf Unternehmensebene dient. Hinsichtlich der Kapitalertragsteuer (KESt) sind Dividenden, die an eine in Österreich ansässige Kapitalgesellschaft ausgeschüttet werden, gemäß § 2 Abs. 3 KapEStG von der KESt befreit, sodass die Dividende in der Regel ohne Abzug von Quellensteuern an die Muttergesellschaft fließt, sofern die entsprechenden Voraussetzungen vorliegen und die Befreiung geltend gemacht wird."
CORP-TAX-005,"Die steuerliche Behandlung einer offenen gegenüber einer verdeckten Ausschüttung unterscheidet sich auf Ebene der ausschüttenden Körperschaft primär durch die Auswirkung auf die Bemessungsgrundlage der Körperschaftsteuer (KSt). Eine offene Ausschüttung erfolgt auf Basis eines formellen Gesellschafterbeschlusses und stellt eine Verwendung des bereits versteuerten Gewinns dar, weshalb sie keinen Einfluss auf den steuerlichen Gewinn der Körperschaft hat und folglich nicht als Aufwand abzugsfähig ist. Im Gegensatz dazu liegt eine verdeckte Ausschüttung vor, wenn die Körperschaft einem Gesellschafter oder einer nahestehenden Person einen wirtschaftlichen Vorteil gewährt, den sie einem fremden Dritten unter gleichen oder ähnlichen Umständen nicht gewährt hätte (Fremdvergleichsgrundsatz), was rechtlich als verdeckte Gewinnausschüttung (vGA) qualifiziert wird. Auf Ebene der ausschüttenden Körperschaft wird eine solche vGA als nicht abzugsfähiger Aufwand behandelt; wurde der Betrag zuvor in der Gewinn- und Verlustrechnung als Betriebsausgabe verbucht, führt dies zu einer steuerlichen Hinzurechnung zum steuerlichen Gewinn gemäß den allgemeinen Grundsätzen des KStG und in Verbindung mit § 8 Abs 1 KStG, da die Zahlung nicht betrieblich veranlasst ist, sondern der privaten Vermögensmehrung des Gesellschafters dient. Während die offene Ausschüttung somit eine reine Gewinnverwendung nach Steuern ist, stellt die verdeckte Ausschüttung eine steuerlich nicht anerkannte Aufwandsposition dar, welche die Körperschaftsteuerbemessungsgrundlage erhöht und zudem die Verpflichtung zur Abführung der Kapitalertragsteuer (KESt) auslöst, sofern die Voraussetzungen des KEStG vorliegen."
CORP-TAX-006,"Im österreichischen Steuerrecht existiert für den Verlustabzug in einem Veranlagungsjahr grundsätzlich keine absolute Euro-Obergrenze, da die Verrechnung von Verlusten primär durch die Höhe der im selben oder in künftigen Zeiträumen erzielten positiven Einkünfte limitiert wird. Gemäß § 12 EStG können Verluste aus einer Einkunftsart im selben Veranlagungsjahr mit Einkünften anderer Einkunftsarten verrechnet werden (horizontaler Verlustausgleich); übersteigen die Verluste die Summe der gesamten Einkünfte, wird der verbleibende Betrag als Verlustvortrag in künftige Veranlagungszeiträume übertragen, wo er zeitlich unbegrenzt mit positiven Einkünften verrechnet werden kann. Eine wesentliche Ausnahme und zeitliche Limitierung ergibt sich beim Verlustrücktrag gemäß § 12 Abs 2 EStG, welcher nur auf das unmittelbar vorangegangene Veranlagungsjahr möglich ist. Im Bereich der Körperschaftsteuer sieht § 11 KStG analoge Regelungen für den Verlustvortrag und den Verlustrücktrag vor, wobei auch hier die Verrechnung grundsätzlich in voller Höhe des positiven Einkommens erfolgen kann, sofern keine spezifischen Einschränkungen vorliegen. Wichtige Ausnahmen von der uneingeschränkten Verrechenbarkeit ergeben sich aus der steuerlichen Trennung bestimmter Einkunftsarten, insbesondere bei Einkünften aus Kapitalvermögen, die oft einer getrennten Besteuerung unterliegen und deren Verluste nicht ohne Weiteres mit anderen Einkunftsarten verrechnet werden können. Zudem können im Rahmen von Anti-Tax-Avoidance-Regelungen oder bei einem Wechsel der Beteiligungsverhältnisse (Change of Control) im KStG Einschränkungen beim Verlustvortrag greifen, um missbräuchliche Steuergestaltungen zu verhindern."
CORP-TAX-007,"Ein Mantelkauf bezeichnet den Erwerb der Anteile an einer bestehenden Gesellschaft (in der Regel einer GmbH), deren ursprünglicher Geschäftsbetrieb entweder vollständig eingestellt wurde oder durch eine völlig neue Geschäftstätigkeit ersetzt wird, sodass faktisch lediglich die rechtliche Hülle (der sogenannte „Mantel“) der Gesellschaft übernommen wird, um beispielsweise die Gründungskosten einer neuen Gesellschaft zu vermeiden oder steuerliche Vorteile zu nutzen. Die primäre steuerliche Konsequenz eines Mantelkaufes betrifft die Verwertung von Verlustvorträgen gemäß § 11 KStG; hierbei führt ein Mantelkauf in der Regel zum Verfall der bestehenden Verlustvorträge, da das Finanzamt bei einem gleichzeitigen Wechsel der Gesellschaftermehrheit und einer wesentlichen Änderung der Geschäftstätigkeit davon ausgeht, dass die Gesellschaft ihre Identität verloren hat und somit kein Recht mehr auf die Verrechnung alter Verluste mit neuen Gewinnen besteht. Diese Praxis dient der Verhinderung des Handels mit Verlustvorträgen zur Steueroptimierung. Darüber hinaus ist zu prüfen, ob die Übernahme von Vermögenswerten im Rahmen eines solchen Vorgangs eine steuerfreie Geschäftsübertragung im Sinne des § 1 Abs. 1 Z 5 UStG darstellt oder ob es sich um steuerpflichtige Einzelverkäufe handelt, wobei im Falle eines reinen Anteilskaufs die Umsatzsteuerneutralität gewahrt bleibt, da lediglich die Beteiligungen und nicht die einzelnen Vermögensgegenstände übertragen werden. Die Beurteilung, ob ein Mantelkauf vorliegt, erfolgt durch die Finanzbehörden unter Berücksichtigung der Gesamtsituation und der tatsächlichen wirtschaftlichen Gegebenheiten, wobei die Beweislast für die Fortführung der Identität der Gesellschaft oft beim Steuerpflichtigen liegt, insbesondere im Hinblick auf die Grundsätze der steuerlichen Wahrheit und Klarheit gemäß BAO."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters zugunsten der Körperschaft stellt steuerlich grundsätzlich eine Einlage in das Gesellschaftsvermögen dar, welche gemäß den allgemeinen Grundsätzen des Körperschaftsteuergesetzes (KStG) nicht als steuerpflichtiger Ertrag im Sinne des § 1 KStG zu behandeln ist, da es sich um eine Kapitalzuführung handelt, die das Eigenkapital der Gesellschaft erhöht und somit nicht den Tatbestand einer Einkunftserzielung erfüllt. Buchhalterisch ist dieser Verzicht als Erhöhung der Kapitalrücklage zu erfassen, wobei zu beachten ist, dass die steuerliche Neutralität voraussetzt, dass der Verzicht ohne Gegenleistung erfolgt; würde der Verzicht im Gegenzug für eine andere Leistung stehen, könnte dies die steuerliche Qualifikation verändern und potenziell zu steuerpflichtigen Erträgen führen. Im Hinblick auf das Umsatzsteuergesetz (UStG) stellt der Verzicht auf eine rein finanzielle Forderung keine steuerbare Leistung im Sinne des § 1 UStG dar, sodass keine Umsatzsteuerpflicht aus dem Verzicht an sich resultiert. Die Dokumentation dieses Vorgangs muss gemäß den Grundsätzen ordnungsgemäßer Buchführung und den Bestimmungen der Bundesabgabenordnung (BAO) lückenlos belegbar sein, insbesondere durch eine schriftliche Verzichtserklärung, um die Einlagenqualifikation im Falle einer Betriebsprüfung gegenüber der Finanzbehörde nachzuweisen und eine Fehlqualifikation als steuerpflichtige Einnahme zu vermeiden."
CORP-TAX-009,"Die wesentliche Differenzierung zwischen der Verlustverrechnung von inländischen und ausländischen Gruppenmitgliedern im österreichischen Steuerrecht ergibt sich aus der strikten Beschränkung der steuerlichen Organschaft auf inländische Einheiten. Während inländische Gruppenmitglieder unter den Voraussetzungen des Körperschaftsteuergesetzes (KStG) eine Organschaft bilden können, was eine unmittelbare Verrechnung von Verlusten des Unterorgans mit den Gewinnen der Organgesellschaft im selben Geschäftsjahr ermöglicht, ist die Bildung einer Organschaft mit ausländischen Gesellschaften grundsätzlich ausgeschlossen. Dies bedeutet, dass Verluste ausländischer Gruppenmitglieder nicht im Rahmen einer österreichischen Steuergruppe verrechnet werden können, da ausländische Gesellschaften weder als Organgesellschaft noch als Unterorgan im Sinne des KStG anerkannt werden. Infolgedessen unterliegen Verluste ausländischer Mitglieder den jeweiligen nationalen Steuergesetzen ihres Ansässigkeitsstaates, während inländische Verluste, sofern keine Organschaft vorliegt, gemäß § 16 EStG (in Verbindung mit dem KStG) als Verlustvorträge in künftige Zeiträume der eigenen Gesellschaft vorgetragen werden müssen. Eine grenzüberschreitende Verlustverrechnung innerhalb eines Konzerns ist im österreichischen Recht nicht vorgesehen, was im Gegensatz zu einigen anderen EU-Mitgliedstaaten steht, die eine sogenannte „Fiscal Unity“ über Grenzen hinweg zulassen; somit bleibt die steuerliche Betrachtung ausländischer Gruppenmitglieder stets auf der Ebene der Einzelgesellschaft beschränkt."
CORP-TAX-010,"Die steuerliche Behandlung von Steuerumlagen zwischen einem Gruppenträger und seinen Gruppenmitgliedern hängt maßgeblich von der Art der Umlage und dem bestehenden Rechtsverhältnis ab. Im Bereich der Körperschaftsteuer (KStG) führt die interne Verrechnung von Steuern innerhalb einer steuerlichen Organschaft gemäß § 1 KStG nicht zu einer erneuten steuerlichen Belastung, da die Steuerpflicht auf der Ebene des Organträgers konzentriert ist und interne Umlegungen lediglich eine buchhalterische Aufteilung der Gesamtsteuerlast darstellen, welche den steuerlichen Gewinn der Gruppe insgesamt nicht verändert und somit keine steuerpflichtigen Erträge oder abzugsfähigen Aufwendungen im Sinne des KStG generiert. Hinsichtlich der Umsatzsteuer (UStG) ist entscheidend, ob die Umlage eine Entgeltleistung im Sinne des § 1 UStG darstellt; die reine Weiterverrechnung einer vom Gruppenträger für das Gruppenmitglied vorab entrichteten Steuer ohne Aufschlag gilt in der Regel als nicht steuerbarer Durchlaufender Posten, da kein Leistungsaustausch vorliegt, sondern lediglich eine Kostenerstattung, die nicht in den Anwendungsbereich des § 1 UStG fällt. Sollte die Umlage jedoch eine Verwaltungsgebühr, eine Servicepauschale oder einen Aufschlag für die steuerliche Abwicklung enthalten, unterliegt dieser Teil als Dienstleistung der Umsatzsteuerpflicht gemäß § 1 Abs. 1 Z 1 UStG. In Bezug auf die Einkommensteuer (EStG) ist bei Beteiligungen von natürlichen Personen oder Personengesellschaften analog zu prüfen, ob die Umlage eine bloße Aufteilung der Steuerlast oder eine steuerrelevante Gewinnverteilung darstellt. Die Dokumentation dieser Vorgänge muss zwingend den Grundsätzen ordnungsmäßiger Buchführung gemäß § 142 BAO entsprechen, um die Abgrenzung zwischen steuerneutralen Durchlaufposten und steuerpflichtigen Umsätzen gegenüber der Finanzbehörde nachweisen zu können."
