id,answer
CORP-TAX-001,"Die Steuerbemessungsgrundlagen sind nach § 6 EStG steuerfrei. Sie werden von der Einkommensteuer abgezogen und unterliegen dem Quellenabzug (§ 7 Abs. 1 Z 2 KstKG). Der Abzug erfolgt auf Antrag des Gesellschafters, wenn dieser seinen Wohnsitz in Deutschland hat oder sein Einkommen aus Gewerbebetrieb übersteigt (Ausnahmen gelten nur bei Körperschaften mit mehr als 10 000 Arbeitnehmern), sowie im Falle einer Kapitalgesellschaft auch durch eine Schenkung an einen Dritten; Einkünfte können jedoch nicht besteuert wer den (""siehe:"" Dividendenausschüttung) . Bei Einkünften über 100000 Euro wird ein Zuschlag gewährt (). Nach UStL-Vorschriften kann das Finanzamt unter bestimmten Voraussetzungen bis zu einem Höchstbetrag Beträge abziehen bzw., soweit möglich ermäßigt berechnend tätigkeitsbezogen erheben"
CORP-TAX-002,"Die steuerliche Behandlung von Kapitalerträgen ist in § 9 Abs. 1 EStG geregelt und unterliegt der Besteuerung nach dem Einkommensteuergesetz (§ 8a KstKG). Der Steuerpflichtige muss die Einkünfte aus seinem Betrieb versteuern (Abzugsfähigkeit), soweit sie nicht für eigene Zwecke verwendet werden können oder zur Deckung einer anderen als den steuerpflichtigen Einkünften dienen sollen; er darf diese Einnahmen nur dann verwenden („versteuert“), solange das Einkommen des Betriebsinhabers über dessen Vermögensverhältnisse hinausgeht (""Versteuerungsabschöpfung""). Das gilt auch bei Gewinnausschüttungen durch natürliche Personen sowie im Fall eines Verlustes wegen Insolvenzgefahr gemäß Z 4 StPO mit einem Steuersatz bis zu 10 % auf Gewinne abzüglich Abschlagszahlungen wie etwa Zinsen beim Konkurs"
CORP-TAX-003,"Die Körperschaftsteuer ist eine Steuer auf die Gewinne von Unternehmen. Sie wird nach § 6 EStG erhoben und unterliegt der Einkommensteuerpflicht (§ 7 Abs. 1 Z 2 KstE). Der Gewinn muss mindestens 10 % betragen ( USt-IdNr.). Bei einer Kapitaleinlage beträgt er 20 %. Ist ein Gesellschafter beteiligt oder nicht anteilfinanziert hat sich das Verhältnis zwischen dem Anteil am Gesellschaftsvermögen des Gesellschafters sowie dessen Beteiligung erhöht um einen bestimmten Prozentsatz bis zur Höhe eines Prozents seiner Ausschüttungspflichtigen Bemessungsgrundlage; liegt es über diesem Betrag hinaus vor einem anderen Mitgesellschafter darf keine weitere Beteiligungsziffer festgesetzt werden (). Das gilt auch für andere Gesellschaften als Kommanditgesellschaften mit beschränkter Haftung ohne eigene Rechtspersönlichkeit wie Aktien-, Schuldversch"
CORP-TAX-004,"Die österreichische Körperschaftsteuer beträgt für die Töchter 25 % des Stammkapitals. Sie ist an das Verhältnis zwischen dem Gewinnanteil am Kapital nach § 9 Abs 1 EStG zu entrichten (§ 10 Z 4 KstE). Der Steuervorteil liegt in Österreich im Fall von Töchtern vor, wenn sie mindestens 50 Prozent ihres Gesellschaftsvermögens besitzen oder mehr als 5 Millionen Euro jährlich erwirtschaften müssen; er kann aber auch auf andere Personen übertragen werden wie zinslose Kredite zur Finanzierung eines Betriebsübergangs bis zum 31 . Dezember 2009 sowie ab 30 Jahre hinausgehende Bezüge ausbezahlt sein (). Bei den anderen Dividendenzahlungen sind keine Steuern anzurechnen – es handelt sich um einen Abzug vom Einkommensteuersatz gemäß UStDiv-Gesetz Nr.: 6/2011 Slg., Art 16"
CORP-TAX-005,"Die Steuerbefreiung ist eine Form des Gewinnbezugs. Sie wird gewährt, wenn ein Unternehmer einen Anteil an einem Unternehmen hält und diese Beteiligung nicht versteuert werden muss (§ 6 Abs. 1 EStG). Der Steuersatz beträgt 25 % (bei Veräußerung) bzw 30 %, bei Übertragung 20 %. Bei Verlustvorträgen liegt er zwischen 10 % bis 15 Prozentpunkten über dem Satz für den Abzug nach § 5 KStA-ÄEBBGB; dieser ermäßigt sich um weitere 3 Prozentpunkte im Verhältnis zum Umsatzsteueranteil in Höhe eines bestimmten Betrages pro Jahr oder Monatsbetrag sowie abzüglich bestimmter Sonderausgaben wie zinslose Darlehensvergütungen usw., sofern sie steuerfrei sind („Sonderabschreibungssatz“). Eine offene Gesellschaft kann auch"
CORP-TAX-006,"Der Gewinnanteil wird nach § 9 Abs. 1 Z 2 KStG ermittelt, wenn die Körperschaftsteuerschuld im Zeitpunkt des Erwerbs liegt (§ 8a EKSG). Die Steuerpflicht ergibt sich aus dem Einkommensteuertarifgesetz (ETSAG) sowie den Regelungen zur Einkommensteuererklärung für Körperschaften mit Sitz oder Betriebsstätte außerhalb Deutschlands gemäß UStDV-Vorschriften über das Finanzamt München I vom 31./12/2011 bzw., soweit sie nicht auf Einkünfte ausländischer Herkunft angerechnet werden können; ferner sind steuerfreie Gewinne von ausländischen Unternehmen zu berücksichtigen – insbesondere Dividendenausschüttungen an ausländische Gesellschaften –, sofern diese ausgeschüttet wurden beziehungsweise eine Ausschüttung erfolgt warevergünstigt wurde („Steuerfreibetrag“). Bei inländischen Gewinnen kann ein Abzug bis zum Höchstsatz erfolgen"
CORP-TAX-007,"Der Gegenstand des Vertrages muss sich auf die Lieferung von Gegenständen beziehen, deren Wert nicht bestimmt werden kann. Die Gegenstände sind nach § 6 UStG steuerfrei (§ 7 Abs. 1 Z 2 EStDV). Sie dürfen nur an Privatpersonen verkauft oder vermietet sein (zusätzlicher Steuervorteil) sowie für Unternehmer unentgeltlich abgegeben worden bzw., wenn sie selbst keine Gegenleistung erbringen können; der Erlös darf höchstens 10 % über dem Betrag liegender Einkünfte betragen (= Umsatzsteuerbefreiung), wobei eine Befreiung möglich war bis zur Höhe eines bestimmten Prozentsatzes bei einem Gewinnanteil abzüglich einer Sonderabschreibung in den Folgejahren gemäß Art 16a Körperschaft-Bemessungsgrundlageverordnung vom 31/12 2012 mit Wirkung zum 30./01 2013 durch das Finanzamt erhoben wurde.) Das Entgelt wird"
CORP-TAX-008,"Der Gesellschafter kann einen Anspruch auf eine Steuergutschrift geltend machen, wenn er seinen Sitz in der Bundesrepublik Deutschland hat. Die Höhe dieser Leistung richtet sich nach dem Einkommen des Gebers und ist von diesem zu tragen (§ 6 Abs 1 Z 2 EStG). Bei einer steuerlichen Beteiligung beträgt sie mindestens 20 % (bei Gesellschaften mit beschränkter Haftung 25 %). Eine steuerliche Abzugsfähigkeit besteht nur dann nicht mehr als im Inland oder Ausland; es gelten jedoch andere Regelungen zur Besteuerung ausländi scher Einkünfte wie zB Einkommensteuerabzug gemäß § 4 UStL-Steuergesetz sowie Umsatzsteuerbefreiung durch den Unternehmer selbst bzw., soweit diese Befreiung vom Finanzamt gewährt wird – insbesondere auch das Erfordernis besonderer Sorgfaltspflichten gegenüber Dritten –, sofern dies erforderlich erscheint um sicherzustellen dass keine Verluste entstehen können"
CORP-TAX-009,"Die Verluste werden nach dem Verhältnis des Gewinns zum Umsatz ermittelt. Der Unterschiedsbetrag wird als Differenz zwischen den Gewinnen und Verlusten berechnet, wobei das Ergebnis aus inländischen Unternehmen zu berücksichtigen ist (§ 4 Abs. 1 Z 2 EStG). Bei einer Kapitalgewinnsteuer beträgt dieser Abzug 20 %. Für ausländische Gesellschaften gilt eine andere Regelung (siehe § 5 KstKG), wonach Gewinne ausländischer Tochtergesellschaften nicht abgezogen oder abgeführt weren dürfen; bei Betriebsstätten deutscher Tochterunternehmen sind diese Abzüge steuerfreizustellen (""Abzugserleichterung""). Eine besondere Form stellt hier ein Steuerabzug auf Dividenden dar ""(Steuerabzugsverfahren)"". Diese Art Körperschaftsteuersatz liegt vor allem für deutsche Firmen mit Sitz im Ausland höher anzusetzende Einkünfte wie zB Einkommensteuer-Erstattungen beim Finanzamt"
CORP-TAX-010,"Die Körperschaftsteuer ist eine der wichtigsten Quellen für die Einkommensteuer. Sie wird nach dem Einkommenstransferverfahren erhoben, das in Deutschland seit 1/2012 eingeführt wurde ( Abs. 2 EStG). Der Steuersatz beträgt 25 % des Grundkapitals einer GmbH oder eines Unternehmens mit mindestens 20 Beschäftigten (§ 6 KStG), bei Einzelunternehmern 30 %. Bei Gesellschaften ohne eigene Rechtspersönlichkeit liegt er je zur Hälfte beim Gesellschafter bzw., wenn diese nicht selbst bestehen können einen Anteilseigner („Eigenkapital“) vor; es gibt keine Pflichtmitgliedschaft im Gesellschaftsvertrag (""Kapitaleinlage""). Eine Sonderregelung besteht nur hinsichtlich von Kapitalgesellschaften sowie deren Tochtergesellschaften aus § 4a Z 8 StAG-VO über den Gewinnausgleich durch Einbehaltung an Rückstellungen gemäß"
CORP-TAX-011,"Die Abzüge sind nach § 3 Abs. 1 Z 2 EStG zu berechnen und werden von der Körperschaftsteuer abgezogen (§ 4a UStL). Der Abzug erfolgt nur, wenn die Ausschüttungssumme über dem Durchschnitt liegt (zusätzlicher Steuerabzug) oder eine bestimmte Mindestgrenze unterschritten wird; bei Gewinnausschüttungen ist ein höherer Steuersatz zulässig als beim Verlustvortrag aus Kapitalvermögen mit mehrjähriger Laufzeit im Sinne des Doppelbesteuerungsverfahrens gemäß Nrn 23 ff., soweit diese nicht höher liegen dürfen bzw.: Bei Gewinnen ohne Geschäftsjahr beträgt dieser Satz 10 % für das Kalenderjahr sowie 20 %, höchstens jedoch 15 %. Gewinne unter diesem Betrag fallen in Höhe eines bestimmten Prozentsatzes vom Umsatzsteuersatz weg – es sei denn dass sie durch einen"
CORP-TAX-012,"Eine Dividendenausschüttung ist grundsätzlich nur dann zulässig (§ 18 Abs. 1 EStG). Die Ausschüttungshöhe richtet sich nach der Höhe des Gewinns aus dem Betriebsergebnis (Ebit) sowie den sonstigen Erträgen wie beispielsweise Zinsen oder Abschreibungen auf das Eigenkapital bzw., bei Kapitalgesellschaften mit Sitz in Deutschland auch an deren Gesellschafteranteile am Grundkapital gemäß § 19a KStPflV; sie kann jedoch bis zu 10 Prozent betragen können – sofern keine besondere Steuerbefreiung gewährt wurde –, wobei diese Grenze nicht überschritten werden darf („Sonderregelung“). Der Steuersatz liegt je zur Hälfte zwischen 0% für ausländische Anteilseigner im Inland (""Gewinnsteuer"") beziehungsweise 20 Prozent beim inländischen Konzernunternehmen selbst ""(Umsatzsteuersätze)"". Bei einem Verlustvortrag von mehr"
CORP-TAX-013,"Der Umsatzsteuervorteil nach dem Körperschaftsteuersatz beträgt bei der Beteiligung an einem Unternehmen mit Sitz in Deutschland 50 % (§ 11a UStD). Er wird nur gewährt, wenn die Gesellschaft einen Gewinn erzielt oder Verluste erwirtschaftet hat; er ist nicht übertragbar („Veräußerungsgewinn“). Die Steuerpflicht ergibt sich aus den Vorschriften des Einkommensteuergesetzes sowie anderer Regelungen über das Veranlagungsverfahren zur Besteuerung von Körperschaften im Inland wie zum Beispiel Kapitalertragsteuern usw., soweit sie eine besondere Behandlung vorsehen (""siehe:"" Abgabenordnung), insbesondere auch hinsichtlich bestimmter Sonderregelungen zu bestimmten Zwecken ""(Steuerbefreiungen)"". Bei einer Betriebsstätte liegt ein besonderer Steuersachteil vor – etwa durch Veräußerung eines Grundstücks gegen Entgelt –, sofern diese Sache steuerpflichtig war bzw.: es keine andere steuerliche Regelung gibt als"
CORP-TAX-014,"Eine Beteiligung an einer internationalen Organisation ist nur dann zulässig, wenn die Teilnahme am Turnier oder der Wettkampf mit dem Gewinn des Turniers verbunden sind. Die Bedingung muss sich aus den Statuten ergeben und darf nicht zu Lasten Dritter gehen (§ 5 Abs. 1 Z 2 lit a) SGB III). Der Ausschluss von Gewinnen kann durch einen Beschluss nach § 5a Satz 3 KStG ausgeschlossen werden (vgl.: Art 10 Absatz 4 EO-VO), sofern ein solcher vorliegt; er wird aber auch bei Nichteinhaltung dieser Voraussetzung gewährt (""siehe:"" Kapitalanlagerecht im Gesellschaftsrecht); es gilt das Recht zur Einziehung gegen Zahlung eines Betrages in Höhe bestimmter Beträge gemäß Ziff 7 A StR 2007/3 sowie andere Vorschriften über Einlagensicherungspflichten wie z"
CORP-TAX-015,"Der Gewinnvortrag ist eine Sonderform der Ausschüttung. Er wird nach § 9 Abs. 1 Z 4 KStG mit einem festen Prozentsatz des Jahresumsatzes angesetzt und beträgt mindestens 20 % über dem Grundumsatzbetrag (§ 8a Satz 2 Nrn 3, 6b UStVO). Die Höhe richtet sich dabei nicht nur an die Umsatzsteuerschuldnerschaft (Ziffer 5), sondern auch am Gesamtgewinnanteil für den Zeitraum bis zur Einziehung durch das Finanzamt oder auf Antrag beim Steuerpflichtigen selbst sowie bei einer Beteiligung von mehr als 50 %. Bei ausländischen Anteilseignern liegt dieser Anteil unter 10 %, wenn er in ausländischer Währung gezahlt wurde; ausländische Anteile sind steuerfrei zu veräußern bzw., falls sie im Inland liegen können – abzugsfähig!"
CORP-TAX-016,"Der Steuerabzug erfolgt nach § 8 Abs. 1 EStG, der Abzug ist jedoch nur auf die Körperschaftsteuer beschränkt (§ 9a UStL). Die Einkommensteuer wird nicht erhoben und fällt unter das Bundesabgabengesetz (BAG) mit dem Ziel des Absetzbetrages von 10 % oder mehr pro Jahr bei Gewinnausschüttung an Körperschaften ohne Erwerbszweck sowie über eine Kapitaleinlage in Höhe eines bestimmten Prozentsatzes ihrer Einkünfte aus Beteiligungen hinausgeht; sie beträgt mindestens 20 %. Bei Einkünften bis zu 50 000 Euro kann ein Teilabgeltungsanspruch geltend gemacht werden (""Absatzausgleich""). Eine Sonderregelung besteht auch im Fall höherer Steuersätze wie zinsgünstige Kredite zur Förderung kleiner Unternehmen durch ermäßigte Zinsen gemäß Art 6b BAO-Steuerreform"
CORP-TAX-017,"Der Arbeitgeber kann die Aufwendungen für eine bestimmte Leistung von seinem Einkommen absetzen. Die Höhe des Abzugs richtet sich nach dem Entgelt, das er vom Arbeitnehmer erhält (§ 10 Abs. 1 Z 2 EVG). Bei einer höheren Vergütung als bei einem Abzug ausbezahlt ein Unternehmer einen Teil seiner Lohnsteuer an seinen Mitarbeiter abzüglich eines Zuschlags zur Einkommensteuer (Zinszuschlag) oder zu Körperschaftsteuern wie zum Beispiel Grundsteuer A/B-Steuer B bzw., wenn diese Steuer nicht gezahlt wird – zinsermäßigte Zinsen sind steuerfrei!  – muss dieser seine Einkünfte versteuern; dies gilt auch dann noch bis Ende 2018 mit Ausnahme bestimmter Sonderregelungen im Rahmen besonderer Regelungen über besondere steuerliche Vergünstigungen sowie besonderen steuerlichen Abschreibungsmöglichkeiten beim Erwerb neuer Immobilien"
CORP-TAX-018,"Die Beiträge sind steuerfrei (§ 18 Abs. 1 Z 2 EStG). Sie dürfen nicht mehr als 10 % der Einkünfte ausmachen und müssen mindestens dem Vierfachen des Jahreseinkommens entsprechen, das sie ausbezahlt haben (Ziffer 3a SGB II) § 19 UStL-Steuergesetz 2002 – Steuerliche Vergünstigungen für gemeinnützige Zwecke nach Maßgabe von Ziffer 4b AO sowie die Erstattung bestimmter Aufwendungen wie zinsfreie Darlehen oder Zuschüsse an Vereine zur Förderung gemeinnütziger Arbeit gemäß Ziffern 5 bis 7 BAO; Sonderausgaben bei bestimmten Leistungen im Zusammenhang mit Sportveranstaltungen unterliegen ebenfalls den Regelungen über ermäßigte Steuersätze auf bestimmte Ausgabenarten unter Abzug einer Umsatzsteuer in Höhe eines Prozents ihrer Bemessungsgrundlage . Bei Nichteinhaltung dieser Voraussetzungen kann eine"
CORP-TAX-019,"Bei der Einkommensteuer ist die Körperschaftsteuer zu berücksichtigen. Die Gewinnausschüttung unterliegt dem allgemeinen Steuersatz von 25 %. Der Abzug erfolgt nach § 6 EStG auf Antrag des Gesellschafters und wird in Höhe eines bestimmten Prozentsatzes gewährt (§ 7 Abs. 1 Z 2 KstKG). Eine Ausschüttungssperre kann auch für eine Kapitaleinlage verhängt werden; sie richtet sich danach ob es einen Gesellschafter gibt bzw., wenn keine Beteiligung vorliegt – wie zB beim Erwerb eigener Aktien durch den Anteilseigner –, welcher Anteil am Eigenkapital gehalten wurde (""Kapitalrückzahlung""). Ist ein Unternehmen wirtschaftlich unabhängig vom anderen Unternehmenszweck tätig geworden so liegt kein Rückgriffsanspruch vor (). Ein Anspruch besteht jedoch dann erst im Falle betrieblicher Verluste aus Betriebsübernahmen sowie Betriebsstätten"
CORP-TAX-020,"Die Umsatzsteuer ist bei einer Konzentrationsgesellschaft nach § 8 Abs. 1 UStG zu entrichten (§ 9 Z 2 KStVG). Sie beträgt für die gesamte Laufzeit des Vertrages mindestens 25 % der Umsätze, höchstens jedoch 10 %. Der Abzug erfolgt nur auf Antrag und beschränkt sich darauf bis zur Höhe von 20 %, wenn ein Unternehmer den Vertrag mit einem Dritten abgeschlossen hat oder er selbst einen anderen als seinen gesetzlichen Vertreter bestellt (Ziffer 3.). Bei Gesellschaften ohne eigene Rechtspersönlichkeit wird diese Steuer vom Finanzamt erhoben; sie darf aber auch in Verbindung damit verwendet werden („konglomeratartige“ Körperschaftsteuersätze) sowie im Rahmen eines Gewinnabführungsvertrags zwischen dem Gesellschafter bzw., soweit es um Kapitalgesellschaften geht – deren Rechtsnachfolgerin sein können),"
CORP-TAX-021,"Der Ertrag aus dem Betrieb eines Unternehmens wird nach § 9 Abs. 1 Z 4 KStG ermittelt (§ 10a EO-Gesetz). Die Ermittlung erfolgt durch die Buchführung des Steuerpflichtigen, soweit diese nicht in den Anwendungsbereich von Art 6 UStV fällt (siehe auch Abschnitt ""Buchwert""). Bei einer Kapitalgesellschaft werden Einkünfte und Verluste unter Berücksichtigung aller steuerbaren Einkunftsarten erfasst; dabei sind alle Gewinne abzugsfähig bis auf einen Abzug für bestimmte Sonderfälle wie außerordentliche Erträge oder sonstige Aufwendungen sowie Abschreibungen im Zusammenhang mit Betriebsausgaben einschließlich Zinsen gemäß Ziff 7b SGB III a) Umsatzsteuergesetz vom Finanzamt als Körperschaft anerkannt worden.“ ｠Abs.: „Die Bemessungsgrundlage richtet sich grundsätzlich danach ob das Unternehmen eine natürliche Person war"
CORP-TAX-022,"Die Gesellschafterversammlung entscheidet über die Höhe des Gesellschaftsanteils (§7 Abs. 1). Der Anteilseigner ist verpflichtet zur Einhaltung aller gesetzlichen Vorschriften (zB Umsatzsteuergesetz) sowie zum ordnungsgemäßen Betrieb seiner Gesellschaft nach den Grundsätzen guter Führung gemäß Z 4 E StR 2007-1 ff.). Er hat das Recht auf Auskunft darüber einzuholen oder Auskünfte anzufordern bei Fragen bezüglich bestimmter Angelegenheiten wie etwa dem Erwerb eines Grundstücks durch einen Unternehmer im Sinne dieser Vorschrift; er kann sich auch an ein Gericht wenden lassen (""siehe:"" Aufsichtsrat), um seine Meinung kundzutun bzw., falls erforderlich mit Zustimmung seines Vorstandsvorsitzenden ""zu ändern"". Bei Verstößen gegen diese Grundsätze muss ihm Gelegenheit gegeben werden für Abhilfe in Form schriftlicher Mitteilung unter Angabe geeigneter Gründe ""(Z 9)"". Eine Ausnahme bildet"
