Column1;Column2
instruction;response
Unter welchen Voraussetzungen kann eine Bescheidberichtigung nach § 293 BAO vorgenommen werden?;Gemäß § 293 BAO kann die Abgabenbehörde auf Antrag einer Partei oder von Amts wegen in einem Bescheid unterlaufene Schreib- und Rechenfehler oder andere offenbar auf einem ähnlichen Versehen beruhende tatsächliche oder ausschließlich auf dem Einsatz einer automationsunterstützten Datenverarbeitungsanlage beruhende Unrichtigkeiten berichtigen. Die Berichtigung dient der Beseitigung eines Auseinanderklaffens von tatsächlichem Bescheidwillen und formeller Erklärung des Bescheidwillens.
Ist die Gewährung des Hälftesteuersatzes für Einkünfte aus Waldnutzungen infolge höherer Gewalt nach § 37 Abs. 6 EStG 1988 verfassungswidrig, weil sie eine Ungleichbehandlung gegenüber anderen Betrieben darstellt?;Der Verfassungsgerichtshof hat die Regelung nicht als gleichheitswidrig erachtet. Die Besonderheit der Forstwirtschaft liegt in den sehr langen Produktionszeiten (80-120 Jahre) und der zwangsläufigen vorzeitigen Aufdeckung stiller Reserven durch Elementarereignisse, bevor das maximale Ertragspotential erreicht ist. Bei landwirtschaftlichen Betrieben führen Elementarereignisse regelmäßig zu einem Ausbleiben von Erträgen, nicht zu ungeplanten Verwertungserlösen.
Was versteht man unter 'höherer Gewalt' im Sinne des § 37 Abs. 6 EStG 1988?;Höhere Gewalt ist ein von außen kommendes Ereignis, das keine typische Betriebsgefahr darstellt und vom Betroffenen nicht verschuldet ist.
Muss die Steuerbegünstigung für Waldnutzungen infolge höherer Gewalt auch dann gewährt werden, wenn die Kalamitätsnutzung regelmäßig anfällt und innerhalb des Hiebsatzes liegt?;Der Verfassungsgerichtshof hat dies nicht als verfassungswidrig erachtet. Der Schadensfall bedingt jedenfalls eine Progressionsverschärfung, und dem Gesetzgeber kann nicht entgegengetreten werden, wenn er eine Tarifbegünstigung vorsieht.
Wie kann der Steuerpflichtige das Vorliegen einer Waldnutzung infolge höherer Gewalt nachweisen?;Gemäß § 173 Abs. 2 lit. a ForstG hat die Forstbehörde eine Bescheinigung über Nutzungen infolge höherer Gewalt auszustellen, die als Gutachten einen qualifizierten Nachweis darstellt und eine öffentliche Urkunde im Sinne des § 168 BAO ist.
Wann liegt bei einem Arbeitgeberwechsel innerhalb eines Konzerns eine Beendigung des Dienstverhältnisses und der Abschluss eines neuen Dienstvertrages vor, sodass die begünstigte Besteuerung einer freiwilligen Abfertigung nach § 67 Abs. 6 EStG 1988 in Anspruch genommen werden kann?;Eine Beendigung des Dienstverhältnisses und ein Neuabschluss liegt vor, wenn die Tätigkeiten im alten und neuen Dienstverhältnis nicht miteinander vergleichbar sind (z.B. Wechsel vom Mitarbeiter zum Geschäftsführer), unterschiedliche Rahmenbedingungen (Arbeitszeiten, Konkurrenzverbot) bestehen, und die neue Arbeitgeberin nicht Vertragspartei der Auflösungsvereinbarung ist. Die bloße Übernahme von Vordienstzeiten und Urlaubsansprüchen spricht nicht gegen eine Beendigung.
Ist die Vereinbarung einer 'Übernahme des bisherigen Dienstverhältnisses mit allen Rechten und Pflichten' durch den neuen Konzernarbeitgeber in der Auflösungsvereinbarung für den neuen Arbeitgeber bindend, wenn dieser nicht Vertragspartei ist?;Nein, eine solche Klausel entfaltet keine Bindungswirkung für den neuen Arbeitgeber, wenn dieser nicht Vertragspartei der Auflösungsvereinbarung ist. Die Bindung kann sich nur aus dem neuen Dienstvertrag ergeben.
Ist die Übernahme offener Urlaubsansprüche durch den neuen Konzernarbeitgeber ein Indiz für eine Vertragsübernahme anstelle einer Beendigung des Dienstverhältnisses?;Nein, die Übernahme offener Urlaubsansprüche kann in einem Fall wie dem vorliegenden die Annahme einer Beendigung der bisherigen Verträge und des Abschlusses neuer Verträge nicht in Frage stellen.
Sind Patentaufwendungen (z.B. Patentanmeldungen, Jahresgebühren) als prämienbegünstigte Forschungsaufwendungen gemäß § 108c EStG 1988 iVm der Forschungsprämienverordnung anerkennungsfähig?;Patentaufwendungen können dann als prämienbegünstigt anerkannt werden, wenn sie im Rahmen eines laufenden Entwicklungs- oder Forschungsprozesses anfallen und der weiteren Forschung und Entwicklung dienen (z.B. durch Schutz des bisher erreichten Forschungsfortschritts). Nicht begünstigt sind Aufwendungen, die nur dem Vertrieb oder der Verwertung eines fertigen Produktes nach Abschluss der Forschung und Entwicklung dienen.
Welche Rolle spielt das Frascati Manual der OECD bei der Auslegung des Begriffs 'Forschung und experimentelle Entwicklung' im österreichischen Forschungsprämienrecht?;Das Frascati Manual ist Grundlage der Begriffsbestimmungen und Abgrenzungen der Forschungsprämienverordnung und ergänzend heranzuziehen. Es dient der Auslegung des Forschungsbegriffs, darf aber nicht im Widerspruch zum Verordnungstext angewendet werden.
Muss das primäre Ziel von Arbeiten die technische Verbesserung sein, um als Forschung und experimentelle Entwicklung zu gelten, oder kann auch die Marktentwicklung als primäres Ziel die Anerkennung ausschließen?;Wenn das primäre Ziel der weiteren Arbeiten die Marktentwicklung ist oder diese Arbeiten dazu dienen, das Produktionssystem zum reibungslosen Funktionieren zu bringen, können diese Tätigkeiten nicht mehr der Forschung und experimentellen Entwicklung zugerechnet werden.
Dürfen Verwaltungsbehörden und Gerichte bei der Auslegung des Forschungsbegriffs der Forschungsprämienverordnung dem Frascati Manual den Vorrang geben, wenn ein Widerspruch zum Verordnungstext besteht?;Nein. Das Frascati Manual ist nur ergänzend heranzuziehen. Bei einem 'Quasi-Normenkonflikt' ist dem Wortlaut der Forschungsprämienverordnung der Vorzug zu geben.
Welche drei Tatbestandsmerkmale müssen für das Vorliegen eines Mantelkaufs nach § 8 Abs. 4 Z 2 KStG 1988 kumulativ erfüllt sein?;1. Eine wesentliche Änderung der Gesellschafterstruktur auf entgeltlicher Grundlage, 2. eine wesentliche Änderung der wirtschaftlichen Struktur, 3. eine wesentliche Änderung der organisatorischen Struktur. Alle drei Änderungen müssen nach dem Gesamtbild der Verhältnisse innerhalb eines überschaubar kurzen Zeitraums eintreten.
Müssen alle drei Strukturmerkmale (Gesellschafter-, wirtschaftliche, organisatorische Struktur) gleich stark ausgeprägt sein, um den Mantelkauftatbestand zu erfüllen?;Nein, nicht alle Merkmale müssen gleich stark ausgeprägt sein. Liegt eine schwächer ausgeprägte Änderung der organisatorischen Struktur vor, kann auch eine starke Ausprägung der anderen Merkmale zur Anwendung der Mantelkaufbestimmung führen. Das vollkommene Fehlen eines Tatbestandsmerkmals kann jedoch nicht durch eine starke Ausprägung der anderen kompensiert werden.
Wann liegt eine wesentliche Änderung der organisatorischen Struktur im Sinne des Mantelkauftatbestandes vor?;Eine wesentliche Änderung der organisatorischen Struktur liegt in der Regel dann vor, wenn alle oder die überwiegende Mehrheit der Mitglieder der Geschäftsführung in einem Zug oder bei Vorliegen eines inneren Zusammenhangs sukzessive wechseln. Maßgeblich ist auf die tatsächlichen Verhältnisse abzustellen, also auf jene Geschäftsführer, die faktisch die Geschäfte führen.
Ist für den planmäßigen Zusammenhang zwischen einer Änderung der organisatorischen Struktur und der Änderung der Gesellschafterstruktur erforderlich, dass zum Zeitpunkt der organisatorischen Änderung der konkrete Käufer bereits feststeht?;Nein, diese Sichtweise wird vom Verwaltungsgerichtshof in dieser Allgemeinheit nicht geteilt. Die Beurteilung der Änderung der organisatorischen Struktur hat nach dem Gesamtbild der Verhältnisse zu erfolgen.
Kann eine Erweiterung des Aufgabenbereiches der bisherigen Geschäftsführer nach einem Gesellschafterwechsel eine wesentliche Änderung der organisatorischen Struktur im Sinne des Mantelkauftatbestandes begründen?;Nein, eine Erweiterung des Aufgabenbereiches der bisherigen Geschäftsführer spricht gerade gegen das Vorliegen einer wesentlichen Änderung der organisatorischen Struktur im Sinne des Mantelkauftatbestandes, da eine solche Änderung nur dann gegeben ist, wenn die Aufgabenbereiche reduziert werden oder wegfallen.
Was sind die Voraussetzungen für das Vorliegen eines Betriebes gewerblicher Art einer Körperschaft des öffentlichen Rechts gemäß § 2 Abs. 1 KStG 1988?;Eine Einrichtung muss wirtschaftlich selbständig sein, ausschließlich oder überwiegend einer nachhaltigen privatwirtschaftlichen Tätigkeit von wirtschaftlichem Gewicht dienen, zur Erzielung von Einnahmen (oder anderen wirtschaftlichen Vorteilen) bestimmt sein, und nicht der Land- und Forstwirtschaft dienen. Alle Merkmale müssen kumulativ erfüllt sein.
Ist die Errichtung und der Unterhalt eines Radweges durch einen Tourismusverband dem Hoheitsbereich oder dem privatwirtschaftlichen Bereich zuzuordnen?;Die Errichtung und der Unterhalt eines Radweges durch ein Tal, dessen wirtschaftliche Struktur wesentlich durch den Tourismus geprägt ist, ist dem Kernbereich der dem Tourismusverband durch das Tiroler Tourismusgesetz übertragenen Aufgaben und damit dessen Hoheitsbereich zuzuordnen.
Können Parkgebühren, die von einer Körperschaft öffentlichen Rechts auf einem Parkplatz vereinnahmt werden, als Entgelt für die Bereitstellung und Benutzung eines Radweges angesehen werden, wenn der Parkplatz dem Radweg zugeordnet wird?;Nein, Parkgebühren sind nicht als Entgelt für die Bereitstellung und Benutzung eines Radweges anzusehen, wenn die Nutzung des Radweges nicht von der Entrichtung eines direkten Entgeltes abhängig ist. Die willkürliche Umschichtung von Parkerlösen zu einer betrieblichen Tätigkeit, die unabhängig von Parkplätzen betrieben werden kann, führt nicht zum Zufluss von Einnahmen im Rahmen dieser betrieblichen Tätigkeit.
Ist die Absicht, künftig Einnahmen zu erzielen, ausreichend, um das Merkmal der 'Erzielung von Einnahmen' für einen Betrieb gewerblicher Art zu erfüllen?;Nein, es müssen tatsächlich Einnahmen zugeflossen sein, die dem Betrieb gewerblicher Art zuzuordnen sind. Bloße künftige Erwartungen reichen nicht aus.
Können Einnahmen aus dem Verkauf von Merchandise-Artikeln (z.B. Radtrikots) einem Betrieb gewerblicher Art 'Radweg' zugeordnet werden, wenn auf den Artikeln kein Hinweis auf den Radweg angebracht ist?;Nein, wenn kein Hinweis auf den Radweg auf den Artikeln vorhanden ist und der Tourismusverband mehrere Radrouten betreibt, ist kein direkter Zusammenhang herstellbar.
Welche Obergrenze gilt für die Zuschreibung einer Beteiligung nach § 6 Z 13 EStG 1988 iVm § 208 UGB, wenn die Beteiligung im Zuge einer Down-stream-Verschmelzung von der Anteilsinhaberin erworben wurde und im Verschmelzungsvertrag eine Bewertung zum beizulegenden Wert vorgesehen ist?;Der beizulegende Wert im Zeitpunkt der Verschmelzung bildet die neuen Anschaffungskosten der an die Anteilsinhaberin ausgekehrten Anteile. Aufgrund des Anschaffungskostenprinzips scheidet eine nachfolgende Zuschreibung unternehmensrechtlich aus, wenn der beizulegende Wert zum Verschmelzungsstichtag 0,00 € betrug.
Erfolgt der Erwerb von Anteilen an der übernehmenden Gesellschaft durch die Anteilsinhaber im Zuge einer Down-stream-Verschmelzung im Wege der Gesamtrechtsnachfolge oder der Einzelrechtsnachfolge?;Die Anteilsinhaber gelten hinsichtlich der ausgekehrten Anteile als Einzelrechtsnachfolger. Der Erwerb erfolgt nicht durch einen Akt (wie bei der Gesamtrechtsnachfolge), sondern Zug um Zug. Dies ergibt sich aus der gesetzlich angeordneten Auskehrung der Anteile gemäß § 96 Abs. 2 GmbHG iVm § 224 Abs. 3 AktG, die keine Gesamtrechtsnachfolge darstellt.
Führt die Identitätsfiktion des § 5 UmgrStG dazu, dass eine auf Ebene der Anteilsinhaber bestehende Zuschreibungsverpflichtung für die untergehenden Anteile auch für die im Zuge der Verschmelzung erhaltenen neuen Anteile fortbesteht?;Die Identitätsfiktion des § 5 UmgrStG gilt nur für steuerrechtliche Zwecke, nicht für die zivilrechtliche Beurteilung. Für die Frage der Zuschreibung nach § 6 Z 13 EStG 1988 ist die unternehmensrechtliche Bewertung maßgeblich. Da die Anteilsinhaber als Einzelrechtsnachfolger gelten, tritt keine Fortführung der historischen Anschaffungskosten ein.
Gilt für die Frage der Zuschreibung einer Beteiligung nach einer Down-stream-Verschmelzung die unternehmensrechtliche Bewertung oder die steuerrechtliche Identitätsfiktion des § 5 UmgrStG?;Für die Zuschreibung nach § 6 Z 13 EStG 1988 ist die unternehmensrechtliche Bewertung maßgeblich. Die Identitätsfiktion des § 5 UmgrStG gilt nur für steuerrechtliche Folgen des Anteilstausches, nicht für die zivilrechtliche Beurteilung des Erwerbsvorgangs.
