"id","answer"
"CORP-TAX-001","Die Bemessungsgrundlage ist der Gewinn aus dem Betrieb (§ 1 Abs. 2 GrEStG)."
"CORP-TAX-002","Das Zinsentgelt ist gemäß § 12 Abs. 3 EStG unerhebbar (§ 9 Abs. 2 Z 4 EStG). Die Vergabung des Darlehens ist als Einkünfteerwerb anzulegen (Zinsaufschlag)."
"CORP-TAX-003","Verpflichtet sind alle juristischen Personen des öffentlichen Rechts sowie die Bundeswehr und die Bundespolizei (§ 10 Abs. 2 Z 3 EStG)."
"CORP-TAX-004","Bei der Tochter ist die Dividende als Einkommen gemäß § 2 Abs. 1 Z 3 EStG steuerfrei, bei der Muttergemarkung ist sie gemäß § 8 Abs. 1 GrEStG als Ausgabe abzugsfähig (§ 4 Abs. 5 EStG)."
"CORP-TAX-005","Bei einer offenen Ausschüttung wird die Steuerschuld des Empfängers (Ausgabesteuer) gemäß § 10 Abs. 2 GrEStG vom Ausschüttenden (Einbringungssteuer) abgezogen, bei einer verdeckten Ausschüttung nicht (§ 10 Abs. 3 GrEStG)."
"CORP-TAX-006","Der maximale Verlustabzug beträgt 50 % des Einkommens oder 1.200.000 Euro, je nachdem, was höher ist (§ 38 Abs. 4 Z 2 KStG). Ausgenommen sind Verluste aus Gewerbebetrieben, die gemäß § 6 Abs. 1 Z 1 lit. a GrEStG als selbständige Tätigkeit ausgeübt werden."
"CORP-TAX-007","Ein Mantelkauf ist eine Übernahme von Wirtschaftsgütern durch einen Dritten, der die Gegenleistung an den Eigentümer abführt (§ 1 Abs. 4 Z 2 KStG). Die Steuerschuld bleibt bei dem Veräußerer, der das Einkommen aus dem Verkaufsgeschäft erhält."
"CORP-TAX-008","Der Verzicht ist gemäß § 20 Abs. 1 GrEStG ein Einkünfteausgleich und wird mit dem Wert der Forderung abgesetzt (§ 20 Abs. 3 GrEStG)."
"CORP-TAX-009","Bei ausländischen Gruppenmitgliedern ist eine Verlustverrechnung nur möglich, wenn sie mindestens 25% an der Gesellschaft beteiligt sind. Bei inländischen Gruppenmitgliedern hingegen kann die Verlustverrechnung unabhängig vom Anteil an der Gesellschaft vorgenommen werden (§ 13 Abs. 4 KStG)."
"CORP-TAX-010","Nein, sie sind steuerfrei (§ 1 Abs. 3 GrEStG)."
