id,answer,retrieved_sources,retrieved_refs,retrieved_context;;;;;;;;;;;;;;;;;;;;
"CORP-TAX-001,""Die steuerliche bemessende Grundlage für die Begründung der Körperschafternteil wird durch das gesamte Einkommen bestimmt, das innerhalb eines Jahres bezogen wurde, nachdem es nach Ausgleichen von Verlusten und Abzug von Sonderausgabenträgern und Freibeträgen für begünstigtes | CORP-TAX.txt | § 7"",CORP-TAX.txt,§ 7,""§ 7. (1) Der Körperschaftsteuer ist das Einkommen zugrunde zu legen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat. (2) Einkommen ist der Gesamtbetrag der Einkünfte aus den im § 2 Abs. 3 des Einkommensteuergesetzes 1988 aufgezählten Einkunftsarten nach Ausgleich mit Verlusten, die sich aus den einzelnen Einkunftsarten ergeben, und nach Abzug der Sonderausgaben (§ 8 Abs. 4) und des Freibetrages für begünstigte Zwecke (§ 23). Wie das Einkommen zu ermitteln ist, bestimmt sich nach dem Einkommensteuergesetz 1988 und diesem Bundesgesetz. Anzuwenden sind § 2 Abs. 2a des Einkommensteuergesetzes 1988 auf Einkünfte aus einer Beteiligung, wenn das Erzielen steuerlicher Vorteile im Vordergrund steht, sowie § 2 Abs. 8 des Einkommensteuergesetzes 1988.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-002,Keine sichene Antwort im Kont-ext gefunden. | CORP-TAX.txt | nothing_found,CORP-TAX.txt,nothing_found,""– Die steuerlich berücksichtigten Fünfzehntelbeträge vermindern oder erhöhen den steuerlich maßgeblichen Buchwert. – Gehen Beteiligungen, auf die eine Firmenwertabschreibung vorgenommen wurde, umgründungsbedingt unter oder werden sie zur Abfindung der Anteilsinhaber der übertragenden Körperschaft verwendet, sind abgesetzte Fünfzehntelbeträge zum Umgründungsstichtag steuerwirksam nachzuerfassen, soweit der Nacherfassungsbetrag im Unterschiedsbetrag zwischen Buchwert und Verkehrswert der abgeschriebenen Beteiligung Deckung findet. Tritt an die Stelle der firmenwertabgeschriebenen Beteiligung umgründungsbedingt die Beteiligung an einer übernehmenden Körperschaft, hat die Nacherfassung erst dann zu erfolgen, wenn die Beteiligung an der übernehmenden Körperschaft umgründungsbedingt untergeht. (8) Die Gruppenbesteuerung erstreckt sich auf den Gruppenträger und die Gruppenmitglieder, die in einem schriftlichen Gruppenantrag genannt sind. Dabei gilt Folgendes:""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-003,Keine sicherge Answer im Kontext finden. | CORP-TAX.txt | § 26c,CORP-TAX.txt,§ 26c,""Bezugszeitraum: Abs. 4 Z 2 lit. b erster Teilstrich ab 1.1.2021 (Veranlagungsjahr 2021) vgl. § 26c Z 82 Einlagen, Entnahmen und Einkommensverwendung § 8. (1) Bei der Ermittlung des Einkommens bleiben Einlagen und Beiträge jeder Art insoweit außer Ansatz, als sie von Personen in ihrer Eigenschaft als Gesellschafter, Mitglieder oder in ähnlicher Eigenschaft geleistet werden. § 6 Z 14 lit. b des Einkommensteuergesetzes 1988 ist sinngemäß anzuwenden. Bei einem Forderungsverzicht auf Seiten des Gesellschafters ist der nicht mehr werthaltige Teil der Forderung steuerwirksam. (2) Für die Ermittlung des Einkommens ist es ohne Bedeutung, ob das Einkommen – im Wege offener oder verdeckter Ausschüttungen verteilt oder – entnommen oder – in anderer Weise verwendet wird. (3) Eine Einkommensverwendung ist auch anzunehmen bei: 1. Ausschüttungen jeder Art""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-004,""Eine Dividende aus einer österreichische Tochtergesellschaftergebnisse ist als Gewinnanteil nach § 8 para. 3 lit. a Z 1 ersten Teilstrich steuerlich zu behandeln, wohingegen sie nach § 10 Abs. 1 lit. b Z 1 als Auslandsgewinnanteil zu betrachten ist. | CORP-TAX.txt | § 8"",CORP-TAX.txt,§ 8,""3. Gewinnanteile jeder Art auf Grund einer Beteiligung an inländischen Körperschaften in Form von Genussrechten und sonstigen Finanzierungsinstrumenten gemäß § 8 Abs. 3 Z 1 zweiter Teilstrich. 4. Gewinnanteile jeder Art auf Grund von Partizipationskapital gemäß § 8 Abs. 3 Z 1 erster Teilstrich. 5. Gewinnanteile im Sinne der Z 1 bis 4 aus einer Beteiligung an einer ausländischen Körperschaft, die die in der Anlage 2 zum Einkommensteuergesetz 1988 vorgesehenen Voraussetzungen des Art. 2 der Richtlinie 2011/96/EU über das gemeinsame Steuersystem der Mutter- und Tochtergesellschaften verschiedener Mitgliedstaaten, ABl. Nr. L 345 vom 29.12.2011 S. 8 in der jeweils geltenden Fassung erfüllt und die nicht unter Z 7 fällt.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-005,""Eine offene Ausschü ttung wird auf Antrag gegenverrechen t, eine verdeckte muss aufge d eckt werden. | CORP-TAX.txt | § 26c"",CORP-TAX.txt,§ 26c,""aufgedeckt und auf Antrag des Steuerpflichtigen gegenverrechnet werden. 3. Im Falle von Einlagen in mittelbar verbundene Körperschaften darf bei den Zwischenkörperschaften insoweit der niedrigere Teilwert nicht angesetzt werden, es sei denn, ein wirtschaftlicher Zusammenhang zwischen Einlagen und Ansatz des niedrigeren Teilwertes ist nachweislich nicht gegeben. Dasselbe gilt auch für unmittelbare Einlagen in Zwischenkörperschaften mit nachfolgender mittelbarer oder unmittelbarer Durchleitung an die Zielkörperschaft. Verluste bei einer Zwischenkörperschaft anlässlich der Veräußerung oder des sonstigen Ausscheidens der Beteiligung sind im Ausmaß der nicht abschreibbaren Einlagen nicht abzugsfähig. Beachte für folgende Bestimmung zum Bezugszeitraum vgl. § 26c Z 80 Zinsschranke""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-006,Keine sichene Antwort im Kont-ext gefunden. | CORP-TAX.txt | nothing_found,CORP-TAX.txt,nothing_found,""sowie des Gruppenträgers berücksichtigt werden. Insoweit dabei die Verluste im laufenden Jahr nicht berücksichtigt werden können, sind sie in folgenden Jahren als vortragsfähige Verluste des Gruppenträgers abzuziehen.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-007,Keine sichre Antwort im Kont ext gefunden. | CORP-TAX.txt | § 18,CORP-TAX.txt,§ 18,""(4) Folgende Ausgaben sind bei der Ermittlung des Einkommens als Sonderausgaben abzuziehen, soweit sie nicht Betriebsausgaben oder Werbungskosten darstellen: 1. Ausgaben im Sinne des § 18 Abs. 1 Z 1 und 6 bis 9 des Einkommensteuergesetzes 1988. 2. Der Verlustabzug im Sinne des § 18 Abs. 6 des Einkommensteuergesetzes 1988 nach Maßgabe folgender Bestimmungen: a) Der Verlustabzug steht nur im Ausmaß von 75% des Gesamtbetrages der Einkünfte zu. Insoweit die Verluste im laufenden Jahr nicht abgezogen werden können, sind sie in den folgenden Jahren unter Beachtung dieser Grenze abzuziehen. b) Lit. a ist in folgenden Fällen insoweit nicht anzuwenden, als im Gesamtbetrag der Einkünfte enthalten sind: – Gewinne aus einem Schulderlass, insbesondere Sanierungsgewinne gemäß § 23a, – Gewinne, die in Veranlagungszeiträumen anfallen, die von einem Insolvenzverfahren betroffen sind, – Gewinne aus der Veräußerung sowie der Aufgabe von Betrieben, Teilbetrieben und Mitunternehmeranteilen,""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-008,Keine sicherge Answer im Kontext finden. | CORP-TAX.txt | § 6,CORP-TAX.txt,§ 6,""(7) Bei der Gewinnermittlung sind Abschreibungen auf den niedrigeren Teilwert (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988) und Veräußerungsverluste hinsichtlich von Beteiligungen an Gruppenmitgliedern nicht abzugsfähig. Im Falle der Anschaffung einer Beteiligung (Abs. 4) vor dem 1. März 2014 durch ein Gruppenmitglied bzw. den Gruppenträger oder eine für eine Gruppenbildung geeignete Körperschaft an einer betriebsführenden unbeschränkt steuerpflichtigen Beteiligungskörperschaft (Abs. 2), ausgenommen unmittelbar oder mittelbar von einem konzernzugehörigen Unternehmen bzw. unmittelbar oder mittelbar von einem einen beherrschenden Einfluss ausübenden Gesellschafter, ist ab Zugehörigkeit dieser Körperschaft zur Unternehmensgruppe beim unmittelbar beteiligten Gruppenmitglied bzw. Gruppenträger eine Firmenwertabschreibung in folgender Weise vorzunehmen:""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-009,""Die Verlustverleihung an ausländische Gruppenmitglieeder erfolgt nur bei nach § 23a Abs. 4 EStG ermittelten verlusten, während dies für inländische Mitglieder möglich ist, auch wenn diese nicht unbesrhränkt steuerpflichtig sind. | CORP-TAX.txt | § 5"",CORP-TAX.txt,§ 5,""6. Bei nicht unbeschränkt steuerpflichtigen ausländischen Gruppenmitgliedern sind nur die nach § 5 Abs. 1 und den übrigen Vorschriften des Einkommensteuergesetzes 1988 und dieses Bundesgesetzes ermittelten Verluste aus Einkunftsquellen des jeweiligen Wirtschaftsjahres, höchstens jedoch die nach ausländischem Steuerrecht ermittelten Verluste des betreffenden Wirtschaftsjahres dem unmittelbar beteiligten Gruppenmitglied bzw. Gruppenträger im Ausmaß der Beteiligungen aller beteiligter Gruppenmitglieder einschließlich eines beteiligten Gruppenträgers zuzurechnen. Auf die Zurechnung des Verlustes eines nicht unbeschränkt steuerpflichtigen ausländischen Gruppenmitglieds kann jedoch zur Gänze verzichtet werden. Zuzurechnende Verluste können nur im Ausmaß von 75% der Summe der eigenen Einkommen sämtlicher unbeschränkt steuerpflichtiger Gruppenmitglieder sowie des Gruppenträgers berücksichtigt werden. Insoweit dabei die Verluste im laufenden Jahr nicht berücksichtigt werden können, sind sie""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-010,Keine sicherge Answer im Kontext finden. | CORP-TAX.txt | nothing_found,CORP-TAX.txt,nothing_found,""– Der Gruppenantrag ist von den gesetzlichen Vertretern des Gruppenträgers und aller einzubeziehenden inländischen Körperschaften zu unterfertigen. – Der Gruppenantrag muss nachweislich vor dem Ablauf jenes Wirtschaftsjahres jeder einzubeziehenden inländischen Körperschaft unterfertigt werden, für das die Zurechnung des steuerlich maßgebenden Ergebnisses erstmalig wirksam sein soll. – Im Gruppenantrag ist zu erklären, dass zwischen den finanziell verbundenen inländischen Körperschaften jeweils eine Regelung über den Steuerausgleich vereinbart worden ist. – Im Gruppenantrag sind Beteiligungs- und Stimmrechtsverhältnisse sowie die Wirtschaftsjahre aller einzubeziehenden Körperschaften anzugeben.""";;;;;;;;;;;;;;;;;;;;
