"task_id","row_key","prompt","answer","reference_answer","sources","correctness_score","groundedness_score","legal_reasoning_score","completeness_score","comprehension_score","hallucination_flag","grounding_citations","comments"
"1","cb4eeeb21291e03d","""Ein Tourist aus Deutschland übernachtet in einem Wiener Hotel. Wo ist die Leistung steuerpflichtig?""","In der gegebenen Situation, dass ein Tourist aus Deutschland in einem Wiener Hotel übernachtet, ist die Leistung des Hotels nicht steuerpflichtig, da der Tourist kein österreichischer Steuerpflichtiger ist. Steuerpflichtig wären hingegen die Einkünfte, die ein österreichischer Steuerpflichtiger aus dem Betrieb des Hotels erwirtschaftet. Die gegebene","""IIn Österreich, da Beherbergungsleistungen grundstücksbezogene Leistungen sind und der Leistungsort am Ort des Grundstücks liegt (§ 3a Abs. 9 UStG)..""","§ 3a Abs. 9 UStG","1","1","1","2","3","0","«§ 3a Abs. 9 UStG : Eine sonstige Leistung im Zusammenhang mit einem Grundstück wird dort ausgeführt»","«LLM didn’t fully understand the question»"
"2","cb55ba5fc1d378ee","Eine Privatperson verkauft ihr in Wien gelegenes Einfamilienhaus mittels schriftlichem Kaufvertrag an einen fremden Dritten. Der Vertrag begründet unmittelbar den Anspruch des Käufers auf Übereignung. Unterliegt dieser Vorgang der Grunderwerbsteuer und wer ist Steuerschuldner?","Der Verkauf eines in Wien gelegenen Einfamilienhauses durch eine Privatperson unterliegt der Grunderwerbsteuer gemäß § 1 Abs. 1 GrEStG 1987. Der schriftliche Kaufvertrag begründet den Anspruch auf Übereignung, somit liegt ein steuerpflichtiger Erwerb von Grundstücken vor (§ 1 Abs. 1 GrEStG). Steuerschuldner ist gemäß § 3 Abs. 1 GrEStG der Erwerber, also der Käufer des Einfamilienhauses. Zusammenfassung: - Steuerpflichtiger Tatbestand: Erwerb eines Grundstücks durch Kauf (§ 1 Abs. 1 GrEStG) - Steuerschuldner: Erwerber (Käufer) (§ 3 Abs. 1 GrEStG)","Ja. Ein Kaufvertrag über ein inländisches Grundstück ist gemäß § 1 Abs. 1 Z 1 GrEStG 1987 ein grunderwerbsteuerpflichtiger Erwerbsvorgang. Steuerschuldner sind bei solchen allgemeinen Erwerbsvorgängen gemäß § 9 Z 4 GrEStG 1987 die am Erwerbsvorgang beteiligten Personen, somit grundsätzlich Verkäufer und Käufer.","§ 1 Abs. 1 Z 1 GrEStG 1987, § 9 Z 4 GrEStG 1987","2","3","3","4","5","0","«§ 1 Abs. 1 Z 1 GrEStG 1987, § 9 Z 4 GrEStG 1987 : Der Grunderwerbsteuer unterliegen die folgenden Rechtsvorgänge, soweit sie sich auf inländische Grundstücke beziehen: 1.Ziffer eins - ein Kaufvertrag oder ein anderes Rechtsgeschäft, das den Anspruch auf Übereignung begründet»","«The answer identifies the correct general tax but cites the wrong paragraph for the tax debtor»"
"3","cc3241df37f072c2","Was ist der Alleinverdienerabsetzbetrag (§ 33 EStG i.V.m. § 7)?","Der Alleinverdienerabsetzbetrag ist eine steuerliche Begünstigung nach § 33 Abs. 1 EStG i.V.m. § 7 EStG. Er kann geltend gemacht werden, wenn ein Steuerpflichtiger für mindestens ein Kind, für das ihm ein Kinderfreibetrag oder Kindergeld zusteht, ganz oder überwiegend den Unterhalt bestreitet und sein Ehegatte oder eingetragener Partner nicht dauernd von der Einkommensteuer befreit ist. Der Absetzbetrag beträgt für die Veranlagungszeiträume 2023 und 2024 pauschal 494 Euro. Er wird im Rahmen der Veranlagung zur Einkommensteuer vom zu versteuernden Einkommen abgezogen und mindert somit die Steuerlast. Voraussetzung ist, dass die Eltern nicht dauernd getrennt leben und gemeinsam zur Einkommensteuer veranlagt werden.","Ein Absetzbetrag für Steuerpflichtige mit Kindern, wenn der Partner nur geringe Einkünfte hat.","EStG § 33 Abs. 4","2","2","2","3","4","1","«EStG § 33 Abs. 4 : Alleinverdienenden steht ein Alleinverdienerabsetzbetrag zu. Dieser beträgt jährlich Strichaufzählung - bei einem Kind (§ 106 Abs. 1) 612 Euro,bei einem Kind (Paragraph 106, Absatz eins,) 612 Euro, Strichaufzählung bei zwei Kindern (§ 106 Abs. 1) 828 Euro.»","«LLM incorrectly states that a Kinderfreibetrag is a requirement for the Alleinverdienerabsetzbetrag»"
"4","cc610ca2a62d3c58","Herr Pfeifer betreibt einen kleinen Onlineshop als Einzelunternehmer (Einkünfte aus Gewerbebetrieb, § 23 EStG). Im Jahr 2024 hat er im Rahmen seines Unternehmens 5 BTC angeschafft (zu je EUR 30.000), die er als Betriebsvermögen bilanziert, weil er sie ursprünglich als Zahlungsmittel für Lieferantenrechnungen nutzen wollte. Tatsächlich hat er die BTC nie zu Zahlungszwecken verwendet. Im März 2026 verkauft er alle 5 BTC zu EUR 65.000 pro Stück. Herr Pfeifer ist der Meinung, der Gewinn sei mit dem Sondersteuersatz von 27,5 % begünstigt, da es sich um Kryptowährungen handle und § 27b EStG anzuwenden sei. Hat er Recht?","Nein. Die Bilanzierung der ursprünglich als Zahlungsmittel genutzten BTC ist nicht zulässig, da sie nicht zu Zahlungszwecken verwendet wurde. Die Bilanzierung der ursprünglich als Zahlungsmittel genutzten BTC ist gemäß § 27a Abs. 1 Z 1 EStG nicht z","Nein. Kryptowährungen, die zum Betriebsvermögen gehören, fallen nicht unter § 27b EStG, sondern sind nach den allgemeinen Gewinnermittlungsvorschriften der jeweiligen Einkunftsart zu behandeln. Gemäß § 27b Abs. 4 EStG ist § 27b nur auf Kryptowährungen im Privatvermögen anwendbar. Da die BTC im Betriebsvermögen des Einzelunternehmens bilanziert sind, handelt es sich um Einkünfte aus Gewerbebetrieb gemäß § 23 EStG. Der Veräußerungsgewinn von 5 × (65.000 – 30.000) = EUR 175.000 unterliegt dem progressiven Einkommensteuertarif (§ 33 EStG) und nicht dem Sondersteuersatz von 27,5 %. Der Umstand, dass die BTC nie zu betrieblichen Zahlungszwecken genutzt wurden, ändert an der Zugehörigkeit zum Betriebsvermögen nichts, solange sie nicht entnommen wurden.","§ 27b Abs. 4 EStG; § 23 EStG; § 33 EStG; § 6 Z 4 EStG","3","3","2","3","3","0","«§ 27b Abs. 4 EStG; Eine Kryptowährung ist eine digitale Darstellung eines Werts, die von keiner Zentralbank oder öffentlichen Stelle emittiert wurde oder garantiert wird und nicht zwangsläufig an eine gesetzlich festgelegte Währung angebunden ist und die nicht den gesetzlichen Status einer Währung oder von Geld besitzt, aber von natürlichen oder juristischen Personen als Tauschmittel akzeptiert wird und die auf elektronischem Wege übertragen, gespeichert und gehandelt werden kann.“ Als Kryptowährung gelten auch Forderungen auf Rückzahlungen, die aus der Überlassung von Kryptowährungen im Sinne des Abs. 2 Z 1 entstehen.»","«LLM correctly identifies the exclusion of business crypto-assets from § 27b EStG, but its reasoning regarding the permissibility of balance sheet recognition is vague and partially inconsistent with the reference answer."""
"5","ccde0d5cc9165dc3","Was ist die Rechtsgrundlage für die Kapitalertragsteuer auf Zinsen?","Die Rechtsgrundlage für die Kapitalertragsteuer auf Zinsen ist das Einkommensteuergesetz 1988, insbesondere das Absatz 98 Abs. 1 Z 5 Lit. b. Es wurde durch die Bundesrepublik Österreich 2026 festgelegt. Die Kapitalertragsteuer ist am","Das EStG i.V.m. speziellen Durchführungsverordnungen zu Kapitalerträgen.","EStG § 27 / § 27a","4","4","5","2","5","1","«EStG § 27 / § 27aEStG 1988 § 93 Abs. 1: Bei inländischen Kapitalerträgen wird die Einkommensteuer durch Abzug vom Kapitalertrag erhoben (Kapitalertragsteuer).»","«Hallucinated that the law was established in 2026, which is factually incorrect as the EStG dates back to 1988. Und Austria its Republic»"
"6","cd2c27691301c3d9","Ein deutscher Staatsangehöriger lebt in Deutschland, hat keinen Wohnsitz in Österreich, erzielt aber 95% seiner Jahreseinkünfte aus Österreich. Kann er auf Antrag wie ein unbeschränkt Steuerpflichtiger behandelt werden?","Nein, da der deutsche Staatsangehörige keinen Wohnsitz in Österreich hat und die 95%-Quote nicht ausreicht, um als unbeschränkt Steuerpflichtiger behandelt zu werden.","Ja. Staatsangehörige eines EU- oder EWR-Staates können nach § 1 Abs. 4 EStG 1988 auf Antrag als unbeschränkt steuerpflichtig behandelt werden, wenn sie in Österreich keine Wohnung und keinen gewöhnlichen Aufenthalt haben, aber inländische Einkünfte im Sinne des § 98 EStG 1988 beziehen und mindestens 90% ihrer Einkünfte der österreichischen Einkommensteuer unterliegen.","§ 1 Abs. 4 EStG 1988","1","0","0","2","4","1","«§ 1 Abs. 4 EStG 1988 : Auf Antrag werden auch Staatsangehörige von Mitgliedstaaten der Europäischen Union oder eines Staates, auf den das Abkommen über den Europäischen Wirtschaftsraum anzuwenden ist, als unbeschränkt steuerpflichtig behandelt, die im Inland weder einen Wohnsitz noch ihren gewöhnlichen Aufenthalt haben, soweit sie inländische Einkünfte im Sinne des § 98 haben. Dies gilt nur, wenn ihre Einkünfte im Kalenderjahr mindestens zu 90% der österreichischen Einkommensteuer unterliegen oder wenn die nicht der österreichischen Einkommensteuer unterliegenden Einkünfte nicht mehr als 13 308 Euro (Anm. 1) betragen.»","«Totally wrong answer, it says no, when correct is yes. It hallucinated that a 95% income share is insufficient, whereas the legal threshold according to § 1 Abs. 4 EStG is actually 90%»"
"7","cd90a3a30e7630da","Eine Agentur erbringt eine entgeltliche Marketingleistung. Laut Vertrag schuldet der Kunde 50.000 Euro. Zusätzlich verpflichtet sich ein Konzernunternehmen des Kunden, weitere 8.000 Euro direkt an die Agentur zu zahlen, damit die Leistung zu diesen Konditionen erbracht wird. Wie ist dieser Drittbetrag bei der Bemessungsgrundlage einzuordnen?","Der von einem Drittzahlenden (hier dem Konzernunternehmen) geleistete Betrag in Höhe von 8.000 Euro ist bei der Ermittlung der Bemessungsgrundlage für die Umsatzsteuer voll zu berücksichtigen und dem ursprünglichen Entgelt von 50.000 Euro hinzuzurechnen, sodass sich die gesamte Bemessungsgrundlage auf 58.000 Euro beläuft. Gemäß § 1 Abs. 1 UStG umfasst die Bemessungsgrundlage den Betrag, den der Unternehmer für die Lieferung oder Leistung erhält oder zu erhalten hat; dabei ist entscheidend, dass alle Zuflüsse, die im Zusammenhang mit der Leistung stehen und die wirtschaftliche Gegenleistung für diese bilden, in die Bemessungsgrundlage einzubeziehen sind, unabhängig davon, ob diese Zahlungen vom unmittelbaren Leistungsempfänger oder von einem Dritten geleistet werden. Da die Zahlung des Konzernunternehmens explizit dazu dient, die Erbringung der Marketingleistung zu den vereinbarten Konditionen zu ermöglichen, liegt ein unmittelbarer Kausalzusammenhang zwischen der Leistung der Agentur und der Drittzahlung vor, wodurch diese als Teil der entgeltlichen Gegenleistung zu qualifizieren ist. Steuerrechtlich handelt es sich hierbei nicht um eine separate Leistung gegenüber dem Konzernunternehmen, sondern um eine Teilfinanzierung der Leistung an den Kunden durch einen Dritten, was die steuerliche Bemessungsgrundlage gemäß der ständigen Rechtsprechung und den Grundsätzen des UStG erhöht. Parallel dazu stellt dieser Betrag im Sinne des § 2 EStG bzw. § 1 KStG einen steuerpflichtigen Ertrag dar, der dem Zeitpunkt der Leistungserbringung bzw. der Entstehung des Anspruchs zuzurechnen ist.","Der von dem Konzernunternehmen geleistete Betrag gehört zur Bemessungsgrundlage. Nach § 4 Abs. 2 Z 2 UStG zählt auch das zum Entgelt, was ein anderer als der Empfänger dem Unternehmer für die Leistung gewährt.","§ 4 Abs. 1 UStG 1994; § 4 Abs. 2 Z 2 UStG 1994","4","3","4","4","4","0","«§ 4 Abs. 1 UStG 1994; Der Umsatz wird im Falle des § 1 Abs. 1 Z 1 nach dem Entgelt bemessen. Entgelt ist alles, was der Empfänger einer Lieferung oder sonstigen Leistung aufzuwenden hat, um die Lieferung oder sonstige Leistung zu erhalten (Solleinnahme); dazu gehören insbesondere auch Gebühren für Rechtsgeschäfte und andere mit der Errichtung von Verträgen über Lieferungen oder sonstige Leistungen verbundene Kosten, die der Empfänger einer Lieferung oder sonstigen Leistung dem Unternehmer zu ersetzen hat.»","“The core conclusion is correct: the third-party payment must be included in the VAT tax base. The reasoning also correctly identifies the economic link between the payment and the service.However, the answer contains hallucinated or unsupported elements, particularly the reference to § 1 UStG instead of the relevant § 4 Abs. 2 Z 2 UStG, and the unnecessary inclusion of income tax rules (§ 2 EStG / § 1 KStG), which are not part of the provided sources. This weakens groundedness.”"
"8","cd9f3c1cb1144a99","Ein Unternehmer lässt Ware aus einem Drittland nach Österreich einführen. Neben dem Zollwert fallen bis zum ersten Bestimmungsort in der Union Beförderungs-, Versicherungs- und Verpackungskosten an. Bereits im Zeitpunkt der Entstehung der Einfuhrumsatzsteuer steht fest, dass die Ware unmittelbar nach einem ersten EU-Ort an einen weiteren bekannten Bestimmungsort innerhalb der Union weiterbefördert wird. Welche Nebenkosten sind nach § 5 UStG in die Bemessungsgrundlage einzubeziehen?","Nach § 5 UStG gehören neben dem Zollwert die **Nebenkosten** wie Beförderungs-, Versicherungs- und Verpackungskosten bis zum ersten Bestimmungsort in der Union in die Bemessungsgrundlage. **Hinweis:** Es ist wichtig zu beachten, dass die konkreten Details der Besteuerung von Importware komplex sein können. Daher sollten Sie sich immer an einen qualifizierten Steuerberater wenden, um individuelle Beratung zu erhalten.","In die Bemessungsgrundlage sind nicht nur die Nebenkosten bis zum ersten Bestimmungsort einzubeziehen, sondern auch die Kosten bis zu dem anderen in der Gemeinschaft gelegenen Bestimmungsort, wenn dieser im Zeitpunkt des Entstehens der Einfuhrumsatzsteuer bereits bekannt ist.","§ 5 Abs. 4 Z 3 UStG 1994","2","2","2","2","3","0","«§ 5 Abs. 4 Z 3 UStG 1994 : die auf den eingeführten Gegenstand entfallenden Nebenkosten wie Beförderungs-, Versicherungs-, Verpackungskosten, Provisionen und Maklerlöhne bis zum ersten Bestimmungsort im Gebiet eines Mitgliedstaates der Europäischen Union. Das gilt auch, wenn sich diese Nebenkosten aus der Beförderung nach einem anderen in der Gemeinschaft gelegenen Bestimmungsort ergeben, der im Zeitpunkt des Entstehens der Einfuhrumsatzsteuer bekannt ist.»","«LLM only mentioned the first destination, deviates significantly from the reference answer»"
"9","ce30024c95e3fca7","Welche Konsequenz hat es, wenn eine österreichische Körperschaft in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren möchte?","Wenn eine österreichische Körperschaft in Österreich und Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren will, sofern die Doppelbesteuerung durch ein bilaterales Steuerabkommen zwischen Österreich und Deutschland vermieden werden soll, kann sie die Regeln des österreichischen und deutschen Kontingentgesetzessystems in Betracht ziehen. Im Österreichischen Steuersystem: § 11a Abs. 1 KStG (Gesetz über die allgemeine Abgabe an das Bundesland) und § 11b KStG (Gesetz über die allgemeine Abgabe an die Republik Österreich) ermöglichen derartigen Körperschaften, dass sie die in Österreich verrechneten und in Deutschland aufzubringenden Ste","Sie kann nur Gruppenträger sein, wenn sie in Österreich mit einer Zweigniederlassung im Firmenbuch eingetragen ist und die Beteiligung an den Gruppenmitgliedern der Zweigniederlassung zuzurechnen ist (§ 9 Abs. 3 KStG).","§ 9 Abs. 3 KStG 1988","0","0","0","1","2","1","""§ 9 Abs. 3 KStG 1988 : Gruppenträger können sein: wenn sie mit einer Zweigniederlassung im Firmenbuch eingetragen sind und die Beteiligung an den Gruppenmitgliedern (Abs. 2) der Zweigniederlassung zuzurechnen ist, undwenn sie mit einer Zweigniederlassung im Firmenbuch eingetragen sind und die Beteiligung an den Gruppenmitgliedern (Absatz 2,) der Zweigniederlassung zuzurechnen ist, und Beteiligungsgemeinschaften (als Personengesellschaft, Beteiligungssyndikat oder im Wege gemeinsamer Kontrolle), wenn sie ausschließlich aus den in den Vorpunkten genannten Steuerpflichtigen gebildet werden, nach Maßgabe des Abs. 4. Als Beteiligungsgemeinschaft gelten jedenfalls Personen, die die Beteiligungskörperschaft gemeinsam im Sinne des Art. 3 der Fusionskontrollverordnung, (EWG) Nr. 139/2004 in der jeweils geltenden Fassung, kontrollieren oder an der gemeinsamen Kontrolle mitwirken. Ein Mitbeteiligter einer Beteiligungsgemeinschaft kann nicht gleichzeitig Gruppenmitglied einer anderen Unternehmensgruppe sein.»","“ Correctness: Wrong answer, does not match reference. Groundedness: No reference to § 9 Abs. 3 KStG. Reasoning: Irrelevant rules, no application to facts Hallucination: Invented provisions (§ 11a, § 11b KStG, incorrect system)”"
"10","ce50ee8cc8766adc","Ein in Deutschland ansässiger beschränkt steuerpflichtiger Arbeitnehmer erzielt Bezüge aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988 und teilt dem Arbeitgeber unmittelbar zusammenhängende Werbungskosten vor Auszahlung mit. Kann der Arbeitgeber diese Werbungskosten bereits beim Lohnsteuerabzug abziehen?","Nein, der Arbeitgeber kann die werbungskosten nicht beim Lohnsteuerabzug abziehen, da sie nicht mit steuerpflichtigen Erträgen und Einnahmen in unmittelbaren wirtschaftlichen Zusammenhang stehen (§ 26 Ziffer 2 Nummer 2).","Ja, nach § 70 Abs. 2 Z 2 EStG 1988. Bei solchen Bezügen können unmittelbar zusammenhängende Werbungskosten abgezogen werden, wenn sie ein in einem EU- oder EWR-Staat ansässiger beschränkt steuerpflichtiger Arbeitnehmer dem Arbeitgeber vor Zufließen der Bezüge schriftlich mitteilt. Die Lohnsteuer beträgt dann 20% der zugeflossenen Einkünfte bis 20.000 Euro und 25% für den übersteigenden Teil.","§ 70 Abs. 2 Z 2 EStG 1988","1","1","1","2","5","1","«§ 70 Abs. 2 Z 2 EStG 1988 : Bei Bezügen als Arbeitnehmer aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 mit 20% des vollen Betrages dieser Bezüge. Mit den Bezügen unmittelbar zusammenhängende Werbungskosten können vom vollen Betrag der Bezüge abgezogen werden, wenn sie ein in einem Mitgliedstaat der Europäischen Union oder Staat des Europäischen Wirtschaftsraumes ansässiger beschränkt steuerpflichtiger Arbeitnehmer dem Arbeitgeber vor Zufließen der Bezüge schriftlich mitteilt. Zieht der Arbeitgeber diese Werbungskosten ab, beträgt die Lohnsteuer 20% von den zugeflossenen Einkünften, soweit diese einen Betrag von 20 000 Euro im Kalenderjahr nicht übersteigen; für den übersteigenden Teil beträgt die Lohnsteuer 25%.»","«The AI reached a conclusion opposite to the reference answer"""
