"id";"answer"
"CORP-TAX-001";"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist die Summe der Bemessungsgrundlage des Vorsteuerbereignisses und der Investitionszuwachsprämie."
"CORP-TAX-002";"Der Text gibt keine Informationen über steuerliche Konsequenzen bei einem zinslosen Darlehen an einen Gesellschafter, daher kann die Frage nicht beantwortet werden."
"CORP-TAX-003";"Die Körperschaften, die in § 7 Abs. 3 fallenden Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen."
"CORP-TAX-004";"(a) Bei der Tochtergesellschaft wird die Dividende als nicht steuerpflichtig behandelt, wenn sie aus dem Ausland kommt.

(b) Bei der österreichischen Muttergesellschaft wird die Dividende als steuerpflichtig behandelt, wenn sie aus dem Ausland kommt."
"CORP-TAX-005";"Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung unterscheidet sich nicht im Prinzip von offenen von einer verdeckten Ausschüttung. Es liegt jedoch im Zeitpunkt der Besteuerung des Gewinns, ob die Ausschüttung als offene oder verdeckt betrachtet wird."
"CORP-TAX-006";"Der maximale Verlustabzug in einem Veranlagungsjahr ist auf 60% des Verlustes zu begrenzt. Ausnahmen gibt es nicht."
"CORP-TAX-007";"Der Text beschreibt keine Informationen zu einem Mantelkauf, daher kann die Frage nicht beantwortet werden."
"CORP-TAX-008";"Der Text erwähnt nicht, was bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft gilt, daher kann die Frage nicht beantwortet werden."
"CORP-TAX-009";"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich nicht von der inländischen Gruppe."
"CORP-TAX-010";"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerpflichtig."
"CORP-TAX-011";"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig."
