id;answer;
CORP-TAX-001;Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist der Gewinn (§ 5 Abs. 1 KStG), der um bestimmte Zu- und Abrechnungen korrigiert wird (§§ 8-10 KStG).;
CORP-TAX-002;Eine Körperschaft, die ein zinsloses Darlehen an ihren Gesellschafter vergibt, muss nach § 8 Abs. 1 KStG i.V.m. § 3 Abs. 1 S. 1 EStG und § 20 Abs. 1 S. 1 EStG verdeckte Gewinnausschüttungen (vGA) iSd § 20 Abs. 1 S. 2 EStG prüfen;
CORP-TAX-003;Körperschaften, die gemäß § 8 Abs. 2 KStG sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen haben, sind insbesondere Kapitalgesellschaften, Genossenschaften und Versicherungsvereine auf Gegenseitigkeit.;
CORP-TAX-004;Die Dividende einer österreichischen Tochtergesellschaft wird wie folgt behandelt:  (a) Bei der Tochtergesellschaft: Keine Besteuerung, § 5 Abs 1 Z 1 KStG;
CORP-TAX-005;Auf Ebene der ausschüttenden Körperschaft unterscheidet sich die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung dahingehend, dass offene Ausschüttungen als Betriebsausgaben absetzbar sind (§ 8 Abs 1 KStG), während verdeckte Ausschüttungen als nicht absetzbare verdeckte Gewinnausschüttungen gelten (§ 20 Abs 1 KStG).;
CORP-TAX-006;Der maximal mögliche Verlustabzug in einem Veranlagungsjahr beträgt grundsätzlich € 400.000 (§ 15 Abs 4 EStG), jedoch kann dieser bei Vorliegen bestimmter Voraussetzungen, wie z.B. bei Betriebsveräußerung oder -aufgabe, auf € 1.000.000 erhöht werden (§ 15 Abs 4a EStG).;
CORP-TAX-007;Ein Mantelkauf ist der Erwerb einer Gesellschaft, bei der lediglich die Hülle (der Mantel) der Gesellschaft, nicht jedoch deren Geschäftsbetrieb oder wesentliche Vermögensbestandteile übernommen werden;
CORP-TAX-008;Ein Forderungsverzicht eines Gesellschafters kann bei der Körperschaft zu einem steuerpflichtigen Gewinn führen, wenn es sich nicht um eine verdeckte Einlage handelt (§ 8 Abs. 1 KStG i.V.m. § 6 Abs. 1 EStG). Die verdeckte Einlage ist in § 8 Abs. 1 KStG i.V.m. § 4 Abs. 1 EStG geregelt.;
CORP-TAX-009;Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischer Gruppenmitglieder dahingehend, dass gemäß § 9 Abs 7 KStG die Ergebnisse von ausländischen Gruppenmitgliedern nur insoweit verrechnet werden können, als sie im Inland steuerpflichtig sind;
CORP-TAX-010;Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind gemäß § 2 Abs. 1 UStG (UmgrStG) und Rz 562 ff UStR 2015 nicht steuerpflichtig, wenn sie im Rahmen einer Organschaft erfolgen und die Voraussetzungen des § 2 Abs. 2 UStG erfüllt sind.;
CORP-TAX-011;Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind gemäß § 8 Abs 4 KStG 1988 iVm § 7 Abs 1 KStG 1988 abzugsfähig, wenn die Voraussetzungen für eine Teilwertabschreibung vorliegen.;
CORP-TAX-012;Die Dividende einer ausländischen EU-Tochtergesellschaft ist gemäß § 133 Abs 2 BAO und § 21 Abs 1 KStG 1988 steuerfrei, wenn die Beteiligung mindestens 10 % beträgt und seit mindestens einem Jahr ununterbrochen gehalten wird;
CORP-TAX-013;Die gleichzeitige Anwendbarkeit von § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) auf denselben Konzern ist möglich, da es sich um unterschiedliche Tatbestände handelt: § 10 KStG regelt die Befreiung von Gewinnausschüttungen, während § 12 Abs. 1 Z 10 KStG das Abzugsverbot für Lizenzgebühren betrifft;
CORP-TAX-014;Eine internationale Schachtelbeteiligung liegt vor, wenn eine österreichische Kapitalgesellschaft an einer ausländischen Kapitalgesellschaft beteiligt ist und bestimmte Voraussetzungen erfüllt sind.  Diese sind in § 10 Abs 2 KStG (Körperschaftsteuergesetz) geregelt und umfassen unter anderem eine Mindestbeteiligung von 10% und eine Mindesthaltedauer von einem Jahr.;
CORP-TAX-015;Veräußerungsgewinne aus internationalen Schachtelbeteiligungen sind gemäß § 10 Abs 2 BAO und § 20 Abs 2 KStG steuerfrei, wenn die Beteiligung mindestens 10% beträgt und die Veräußerung nicht innerhalb von 5 Jahren nach dem Erwerb erfolgt;
CORP-TAX-016;Die Abzugsfähigkeit von Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung als Betriebsausgabe ist gemäß § 20 Abs 1 Z 1 lit c EStG 1988 und Rz 227 EStR 2012 zu beurteilen;
CORP-TAX-017;Nach § 11 KStG sind Betriebsausgaben alle Aufwendungen, die durch den Betrieb veranlasst sind, während § 12 KStG bestimmte nicht abziehbare Ausgaben, wie z.B. verdeckte Gewinnausschüttungen, nennt;
CORP-TAX-018;Freiwillige Spenden an gemeinnützige Organisationen sind grundsätzlich abzugsfähig, wenn die Organisation als gemeinnützig anerkannt ist (§ 6 Abs 1 Z 6 EStG).;
CORP-TAX-019;Bei einer GmbH sind folgende Aufwendungen steuerlich nicht oder nur teilweise abzugsfähig:  (a) EU-Geldbuße nicht abzugsfähig (§ 20 Abs 1 Z 7 lit a EStG),  (b) Spende an begünstigten Empfänger grundsätzlich abzugsfähig (§ 18 Abs 1 Z 5 EStG),  (c) Aufsichtsratsvergütung grundsätzlich abzugsfähig (§ 8 Abs 2 KStG),  (d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung nur teilweise abzugsfähig wegen § 8b KStG.;
CORP-TAX-020;Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie nicht auf einer klaren und transparenten Vereinbarung beruhen oder wenn sie unangemessen hoch sind (§ 8 Abs 1 Z 1 KStG iVm § 162 BAO).;
