model,id,n_citations,n_grounded,n_hallucinated,n_out_of_scope
Model1_API_Llama70B,CORP-TAX-001,5,5,0,0
Model1_API_Llama70B,CORP-TAX-002,3,3,0,0
Model1_API_Llama70B,CORP-TAX-003,1,1,0,0
Model1_API_Llama70B,CORP-TAX-004,2,2,0,0
Model1_API_Llama70B,CORP-TAX-005,3,3,0,0
Model1_API_Llama70B,CORP-TAX-006,3,3,0,0
Model1_API_Llama70B,CORP-TAX-007,3,3,0,0
Model1_API_Llama70B,CORP-TAX-008,2,2,0,0
Model1_API_Llama70B,CORP-TAX-009,2,2,0,0
Model1_API_Llama70B,CORP-TAX-010,4,4,0,0
Model1_API_Llama70B,CORP-TAX-011,5,4,0,1
Model1_API_Llama70B,CORP-TAX-012,4,4,0,0
Model1_API_Llama70B,CORP-TAX-013,5,5,0,0
Model1_API_Llama70B,CORP-TAX-014,4,4,0,0
Model1_API_Llama70B,CORP-TAX-015,4,4,0,0
Model1_API_Llama70B,CORP-TAX-016,4,4,0,0
Model1_API_Llama70B,CORP-TAX-017,8,8,0,0
Model1_API_Llama70B,CORP-TAX-018,3,3,0,0
Model1_API_Llama70B,CORP-TAX-019,6,5,0,1
Model1_API_Llama70B,CORP-TAX-020,3,2,0,1
Model1_API_Llama70B,CORP-TAX-021,3,2,0,1
Model1_API_Llama70B,CORP-TAX-022,4,4,0,0
Model1_API_Llama70B,CORP-TAX-023,4,4,0,0
Model1_API_Llama70B,CORP-TAX-024,4,4,0,0
Model1_API_Llama70B,CORP-TAX-025,3,3,0,0
Model1_API_Llama70B,CORP-TAX-026,3,3,0,0
Model1_API_Llama70B,CORP-TAX-027,2,2,0,0
Model1_API_Llama70B,CORP-TAX-028,3,3,0,0
Model1_API_Llama70B,CORP-TAX-029,4,4,0,0
Model1_API_Llama70B,CORP-TAX-030,2,2,0,0
Model1_API_Llama70B,CORP-TAX-031,3,3,0,0
Model1_API_Llama70B,CORP-TAX-032,3,3,0,0
Model1_API_Llama70B,CORP-TAX-033,2,2,0,0
Model1_API_Llama70B,CORP-TAX-034,4,4,0,0
Model1_API_Llama70B,CORP-TAX-035,2,2,0,0
Model1_API_Llama70B,CORP-TAX-036,3,3,0,0
Model1_API_Llama70B,CORP-TAX-037,5,5,0,0
Model1_API_Llama70B,CORP-TAX-038,7,7,0,0
Model1_API_Llama70B,CORP-TAX-039,5,5,0,0
Model1_API_Llama70B,CORP-TAX-040,3,3,0,0
Model1_API_Llama70B,CORP-TAX-041,1,1,0,0
Model1_API_Llama70B,CORP-TAX-042,10,10,0,0
Model1_API_Llama70B,CORP-TAX-043,7,7,0,0
Model1_API_Llama70B,CORP-TAX-044,4,4,0,0
Model1_API_Llama70B,CORP-TAX-045,3,3,0,0
Model1_API_Llama70B,CORP-TAX-046,4,4,0,0
Model1_API_Llama70B,CORP-TAX-047,2,2,0,0
Model1_API_Llama70B,CORP-TAX-048,4,4,0,0
Model1_API_Llama70B,CORP-TAX-049,4,4,0,0
Model1_API_Llama70B,CORP-TAX-050,3,3,0,0
Model1_API_Llama70B,CORP-TAX-051,5,5,0,0
Model1_API_Llama70B,CORP-TAX-052,3,3,0,0
Model1_API_Llama70B,CORP-TAX-053,2,2,0,0
Model1_API_Llama70B,CORP-TAX-054,1,1,0,0
Model1_API_Llama70B,CORP-TAX-055,3,3,0,0
Model1_API_Llama70B,CORP-TAX-056,4,3,0,1
Model1_API_Llama70B,CORP-TAX-057,2,2,0,0
Model1_API_Llama70B,CORP-TAX-058,2,2,0,0
Model1_API_Llama70B,CORP-TAX-059,2,2,0,0
Model1_API_Llama70B,CORP-TAX-060,3,3,0,0
Model1_API_Llama70B,TAX-INTL-001,3,0,0,3
Model1_API_Llama70B,TAX-INTL-002,4,4,0,0
Model1_API_Llama70B,TAX-INTL-003,3,0,0,3
Model1_API_Llama70B,TAX-INTL-004,4,2,0,2
Model1_API_Llama70B,TAX-INTL-005,2,0,0,2
Model1_API_Llama70B,TAX-INTL-006,3,0,0,3
Model1_API_Llama70B,TAX-INTL-007,2,0,0,2
Model1_API_Llama70B,TAX-INTL-008,2,0,0,2
Model1_API_Llama70B,TAX-INTL-009,2,0,0,2
Model1_API_Llama70B,TAX-INTL-010,2,0,0,2
Model1_API_Llama70B,TAX-INTL-011,3,0,0,3
Model1_API_Llama70B,TAX-INTL-012,3,3,0,0
Model1_API_Llama70B,TAX-INTL-013,3,3,0,0
Model1_API_Llama70B,TAX-INTL-014,2,2,0,0
Model1_API_Llama70B,TAX-INTL-015,3,2,0,1
Model1_API_Llama70B,TAX-INTL-016,3,0,0,3
Model1_API_Llama70B,TAX-INTL-017,2,0,0,2
Model1_API_Llama70B,TAX-INTL-018,3,0,0,3
Model1_API_Llama70B,TAX-INTL-019,2,0,0,2
Model1_API_Llama70B,TAX-INTL-020,2,2,0,0
Model1_API_Llama70B,TAX-INTL-021,2,2,0,0
Model1_API_Llama70B,TAX-INTL-022,4,4,0,0
Model1_API_Llama70B,TAX-INTL-023,4,4,0,0
Model1_API_Llama70B,TAX-INTL-024,3,2,0,1
Model1_API_Llama70B,TAX-INTL-025,1,1,0,0
Model1_API_Llama70B,TAX-INTL-026,4,4,0,0
Model1_API_Llama70B,TAX-INTL-027,3,3,0,0
Model1_API_Llama70B,TAX-INTL-028,3,3,0,0
Model1_API_Llama70B,TAX-INTL-029,4,4,0,0
Model1_API_Llama70B,TAX-INTL-030,4,4,0,0
Model1_API_Llama70B,TAX-INTL-031,2,2,0,0
Model1_API_Llama70B,TAX-INTL-032,4,4,0,0
Model1_API_Llama70B,TAX-INTL-033,2,2,0,0
Model1_API_Llama70B,TAX-INTL-034,4,4,0,0
Model1_API_Llama70B,TAX-INTL-035,2,2,0,0
Model1_API_Llama70B,TAX-INTL-036,4,3,0,1
Model1_API_Llama70B,TAX-INTL-037,3,0,0,3
Model1_API_Llama70B,TAX-INTL-038,2,2,0,0
Model1_API_Llama70B,TAX-INTL-039,2,2,0,0
Model1_API_Llama70B,TAX-INTL-040,2,2,0,0
Model1_API_Llama70B,TAX-INTL-041,3,3,0,0
Model1_API_Llama70B,TAX-INTL-042,3,3,0,0
Model1_API_Llama70B,TAX-INTL-043,2,0,0,2
Model1_API_Llama70B,TAX-INTL-044,3,1,0,2
Model1_API_Llama70B,TAX-INTL-045,3,0,0,3
Model1_API_Llama70B,TAX-INTL-046,5,5,0,0
Model1_API_Llama70B,TAX-INTL-047,2,2,0,0
Model1_API_Llama70B,TAX-INTL-048,2,2,0,0
Model1_API_Llama70B,TAX-INTL-049,1,0,0,1
Model1_API_Llama70B,TAX-INTL-050,2,1,0,1
Model1_API_Llama70B,TAX-INTL-051,3,0,0,3
Model1_API_Llama70B,TAX-INTL-052,2,0,0,2
Model1_API_Llama70B,TAX-INTL-053,3,0,0,3
Model1_API_Llama70B,TAX-INTL-054,3,2,0,1
Model1_API_Llama70B,TAX-INTL-055,6,2,0,4
Model1_API_Llama70B,TAX-INTL-056,3,3,0,0
Model1_API_Llama70B,TAX-INTL-057,6,1,0,5
Model1_API_Llama70B,TAX-INTL-058,5,1,0,4
Model1_API_Llama70B,TAX-INTL-059,3,0,0,3
Model1_API_Llama70B,TAX-INTL-060,2,2,0,0
Model1_API_Llama70B,TAX-INTL-061,5,5,0,0
Model1_API_Llama70B,TAX-INTL-062,3,1,0,2
Model1_API_Llama70B,TAX-INTL-063,3,2,0,1
Model1_API_Llama70B,TAX-INTL-064,3,0,0,3
Model1_API_Llama70B,TAX-INTL-065,2,2,0,0
Model1_API_Llama70B,TAX-INTL-066,3,3,0,0
Model1_API_Llama70B,TAX-INTL-067,4,3,0,1
Model1_API_Llama70B,TAX-INTL-068,4,4,0,0
Model1_API_Llama70B,TAX-INTL-069,2,2,0,0
Model1_API_Llama70B,TAX-INTL-070,2,2,0,0
Model1_API_Llama70B,TAX-INTL-071,4,4,0,0
Model1_API_Llama70B,TAX-INTL-072,6,6,0,0
Model1_API_Llama70B,TAX-INTL-073,4,4,0,0
Model1_API_Llama70B,TAX-INTL-074,2,2,0,0
Model1_API_Llama70B,TAX-INTL-075,3,3,0,0
Model1_API_Llama70B,TAX-INTL-076,5,5,0,0
Model1_API_Llama70B,TAX-INTL-077,2,2,0,0
Model1_API_Llama70B,TAX-INTL-078,2,2,0,0
Model1_API_Llama70B,TAX-INTL-079,2,2,0,0
Model1_API_Llama70B,TAX-INTL-080,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-001,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-002,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-003,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-004,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-005,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-006,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-007,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-008,2,1,0,1
Model1_API_Llama70B,ESTG-NEW-009,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-010,4,4,0,0
Model1_API_Llama70B,ESTG-NEW-011,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-012,4,4,0,0
Model1_API_Llama70B,ESTG-NEW-013,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-014,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-015,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-016,3,3,0,0
Model1_API_Llama70B,ESTG-NEW-017,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-018,2,2,0,0
Model1_API_Llama70B,ESTG-NEW-019,1,1,0,0
Model1_API_Llama70B,ESTG-NEW-020,4,4,0,0
Model1_API_Llama70B,VAT-DOM-001,3,3,0,0
Model1_API_Llama70B,VAT-DOM-002,2,2,0,0
Model1_API_Llama70B,VAT-DOM-003,2,2,0,0
Model1_API_Llama70B,VAT-DOM-004,5,5,0,0
Model1_API_Llama70B,VAT-DOM-005,4,4,0,0
Model1_API_Llama70B,VAT-DOM-006,2,2,0,0
Model1_API_Llama70B,VAT-DOM-007,1,1,0,0
Model1_API_Llama70B,VAT-DOM-008,2,2,0,0
Model1_API_Llama70B,VAT-DOM-009,3,3,0,0
