id,answer
CORP-TAX-001,Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist nicht in § 10 UStG 1994 definiert.
CORP-TAX-002,"Die Vergabe eines zinslosen Darlehens durch eine Körperschaft an ihren Gesellschafter führt dazu, dass die Kapitalertragsteuer nicht angerechnet oder rückerstattet werden kann, da dies zu einem Steuervorteil führt. Die Körperschaft muss die Kapitalertragsteuer auf das Darlehen selbst versteuern, da die Voraussetzungen für die Anrechnung oder Rückerstattung der Kapitalertragsteuer nicht erfüllt sind."
CORP-TAX-003,"Gemäß § 4 Abs. 3 Z 3 des österreichischen Einkommensteuergesetzes gelten als gewerbliche Einkünfte stets und in vollem Umfang Einkünfte aus der Tätigkeit von offenen Gesellschaften, Kommanditgesellschaften und anderen Gesellschaften, bei denen die Gesellschafter als Mitunternehmer eines Gewerbebetriebes anzusehen sind."
CORP-TAX-004,"Eine Dividende einer österreichischen Tochtergesellschaft wird bei der Tochter (a) als Einkünfte aus Kapitalvermögen behandelt und bei der österreichischen Muttergesellschaft (b) als Einkünfte aus Kapitalvermögen, die aufgrund der Dividendenverteilung anfallen, und somit als Einkünfte aus Kapitalvermögen behandelt."
CORP-TAX-005,"Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft unterscheidet sich darin, dass bei einer offenen Ausschüttung die Ausschüttung unmittelbar steuerpflichtig ist, während bei einer verdeckten Ausschüttung die Ausschüttung nicht unmittelbar steuerpflichtig ist, sondern erst dann, wenn der Empfänger die Wirtschaftsgüter veräußert oder sie in sein Privatvermögen überführt."
CORP-TAX-006,"Der maximal mögliche Verlustabzug in einem Veranlagungsjahr beträgt 75% des Gesamtbetrages der Einkünfte. Es gibt Ausnahmen, wenn im Gesamtbetrag der Einkünfte Gewinne aus einem Schulderlass oder Sanierungsgewinne gemäß § 23a enthalten sind."
CORP-TAX-007,"Ein Mantelkauf ist ein Erwerbsvorgang, bei dem eine Person ein Grundstück erwirbt, ohne dass eine Gegenleistung zu erbringen ist, und der Erwerber bereits innerhalb der letzten fünf Jahre ein anderes Grundstück an denselben Verkäufer verkauft hat. In diesem Fall ist der Erwerb des Grundstücks als Vorerwerb zu berücksichtigen, sodass der Steuersatz nach § 29 Abs. 4 Z 3 BAO erhöht wird."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters ist steuerlich für die Körperschaft nicht zu berücksichtigen, da er nicht zu einer Hinzurechnung gemäß § 9 Abs. 1 Z 1 lit. a der Körperschaftsteuerrichtlinien führt, da es sich dabei nicht um eine Hinzurechnung bei mittelbar beteiligten beherrschenden Körperschaften handelt."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischer Gruppenmitglieder dadurch, dass ausländische Verluste nur im Ausmaß von 75% der Summe der eigenen Einkommen sämtlicher unbeschränkt steuerpflichtiger Gruppenmitglieder sowie des Gruppenträgers berücksichtigt werden können. Im Gegensatz dazu können inländische Verluste grundsätzlich vollständig verrechnet werden."
CORP-TAX-010,"Nein, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerneutral, da sie zum Zwecke des Ausgleichs der steuerlichen Wirkungen, die sich aus der Zurechnung der Einkommen der Gruppenmitglieder zum Gruppenträger ergeben, dienen."
CORP-TAX-011,"Nein, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nicht abzugsfähig, da dies durch § 6 Z 2 lit. a EStG 1988 ausdrücklich ausgeschlossen ist."
CORP-TAX-012,"Eine Dividende einer ausländischen EU-Tochtergesellschaft wird steuerlich behandelt, als wäre sie eine Dividende einer inländischen Körperschaft, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird. Da die Beteiligung jedoch weniger als 10 % beträgt, liegt keine internationale Schachtelbeteiligung im Sinne des § 10 Abs. 2 vor, sodass die Steuerbefreiung nach dem Doppelbesteuerungsabkommen nicht automatisch gilt."
CORP-TAX-013,"§ 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) können gleichzeitig auf denselben Konzern anwendbar sein, da § 10 KStG eine Befreiung von der Körperschaftsteuerpflicht für bestimmte Körperschaften vorsieht, während § 12 Abs. 1 Z 10 KStG ein Abzugsverbot für Lizenzgebühren anordnet, das für bestimmte Körperschaften gilt, die nach § 10 KStG befreit sind."
CORP-TAX-014,"Eine internationale Schachtelbeteiligung liegt vor, wenn ein inländischer Steuerpflichtiger oder eine inländische Körperschaft, die einem inländischen Steuerpflichtigen vergleichbar ist, während eines ununterbrochenen Zeitraumes von mindestens einem Jahr mindestens zu einem Zehntel an ausländischen Körperschaften, die einer inländischen Körperschaft mittelbar konzernzugehörig sind, Kapitalanteile hält. Die internationale Schachtelbeteiligung muss nachweislich bestehen und die beteiligten Körperschaften müssen untereinander vergleichbar"
CORP-TAX-015,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden grundsätzlich nicht hinzugerechnet, da sie nicht als Passiveinkünfte gelten. Die Hinzurechnung von Passiveinkünften nach § 22 Z 5 KStG ist auf die Gewinnverteilung und nicht auf Veräußerungsgewinne beschränkt."
CORP-TAX-016,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht als Betriebsausgabe abzugsfähig, da sie nicht zum Betriebsvermögen zählen."
CORP-TAX-017,"Der Unterschied zwischen § 11 KStG und § 12 KStG liegt in der Abzugsfähigkeit von Betriebsausgaben bei Umgründungen. Während § 11 KStG den Abzug von Buchwerten aus dem letzten Jahresabschluss bei Umgründungen ermöglicht, gilt § 12 KStG für Fälle, in denen die Buchwerte nicht abzugsfähig sind, wie z.B. bei einem Rumpfwirtschaftsjahr oder bei Wegfall einer Voraussetzung."
CORP-TAX-018,"Freiwillige Spenden zu gemeinnützigen Zwecken sind grundsätzlich abzugsfähig, da sie mildtätigen Zwecken dienen und somit die Voraussetzungen für das kleine Freiwilligenpauschale nach § 37 BAO erfüllen."
CORP-TAX-019,"Bei einer GmbH sind folgende Aufwendungen steuerlich nicht oder nur teilweise abzugsfähig: Die EU-Geldbuße ist nicht abzugsfähig, da sie keine Geschäftsverlust ist. Die Spende an einen begünstigten Empfänger ist nur teilweise abzugsfähig, da die Steuerbefreiung nur bis zu einem bestimmten Betrag gilt. Die Aufsichtsratsvergütung ist nicht abzugsfähig, da sie als Privatvergütung gilt. Die Lizenzgebühr an eine konzernzugehörige Gesellschaft mit 8 % Steuerbelastung ist nur teilweise abz"
CORP-TAX-020,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn der Schwellenwert für den übernommenen Betrieb oder Teilbetrieb in den letzten zwei aufeinanderfolgenden Geschäftsjahren nicht erreicht wurde."
CORP-TAX-021,Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist nach dem doppelten Buchführungsgesetz zu ermitteln.
CORP-TAX-022,"Bei der Prüfung, ob eine Gruppe gebildet werden kann, sind die Aspekte der mittelbaren Beteiligung gemäß § 7 Abs. 2 Z 2 KStG zu prüfen, insbesondere die Multiplikation der prozentuellen Beteiligungen auf jeder Ebene. Da die GmbH 60 % einer anderen GmbH erwirbt, ist zu prüfen, ob die Gesellschaft, die 60 % hält, selbst wiederum von einem Erwerber oder einer Erwerbergruppe gehalten wird."
CORP-TAX-023,"Bei einer GmbH, die nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt, ist der Übergangsgewinn zu je einem Siebentel in den nächsten sieben Gewinnermittlungszeiträumen zu berücksichtigen, beginnend mit dem ersten Gewinnermittlungszeitraum nach dem Wechsel. Der Übergangsgewinn kann höchstens 50% der Anschaffungskosten des abzunehmenden Anlagevermögens betragen."
CORP-TAX-024,"Der Gewinnermittlungszeitraum ist in Österreich der Kalenderjahr, in dem der Gewinn des Unternehmens ermittelt wird. Der Gewinnermittlungszeitraum kann nicht abgewichen werden, da er gesetzlich festgelegt ist und für die Ermittlung des Gewinns unverzichtbar ist."
CORP-TAX-025,"Einlagen und Beiträge von Gesellschaftern werden bei der Einkommensermittlung nicht berücksichtigt, da sie nicht als Einnahmen des Unternehmens gelten. Sie werden jedoch bei der Ermittlung des Gewinns aus der Beteiligung an einer Personengesellschaft (§ 16 Abs. 2 EStG) berücksichtigt."
CORP-TAX-026,"Der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG ist nicht auf 75 % begrenzt, wenn die Verluste aus einem Schulderlass, insbesondere Sanierungsgewinnen gemäß § 23a, oder aus ausschüttungsbedingten Teilwertabschreibungen und ausschüttungsbedingten Verlusten enthalten sind."
CORP-TAX-027,"Die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG beträgt 7,5 %."
CORP-TAX-028,Die finanzielle Verbindung zu einem Gruppenmitglied muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds bestehen.
