id,answer
CORP-TAX-001,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?

Gesetzestext:
Einkünften aus dieser Betätigung oder diesem Betrieb frühestmöglich zu verrechnen. (Anm.: Abs. 2b aufgehoben durch BGBl. I Nr. 13/2014 ) 4 . (3) Der Einkommensteuer unterliegen nur: 1 . 1. Einkünfte aus Land- und Forstwirtschaft ( § 21 ), 2 . 2. Einkünfte aus selbständiger Arbeit ( § 22 ), 3 . 3. Einkünfte aus Gewerbebetrieb ( § 23 ), 4 . 4. Einkünfte aus nichtselbständiger Arbeit ( § 25 ), 5 . 5. Einkünfte aus Kapitalvermögen ( § 27 ), 6 . 6. Einkünfte aus Vermietung und Verpachtung ( § 28 ), 7 . 7. sonstige Einkünfte im Sinne des § 29 . 5 . (4) Einkünfte im Sinne des Abs. 3 sind: 1 . 1. Der 

Antwort:"
CORP-TAX-002,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?

Gesetzestext:
der vorstehenden Bestimmungen. 2 . b) innerhalb eines Jahres nach Eintritt der Tatsachen, die zur Nachversteuerung führen, nach Wahl des Steuerpflichtigen – in Höhe der dem Sonderausgabenabzug zugrunde gelegten Ausgaben bzw. – in den Fällen der Auflösung eines Beteiligungsfonds bzw. der Kapitalherabsetzung oder Abwicklung einer Aktiengesellschaft in Höhe der rückgezahlten Beträge Genußscheine oder im Wege der Erstanschaffung junge Aktien bei dem depotführenden Kreditinstitut erworben und hinterlegt werden (Ersatzbeschaffung). Das Kreditinstitut hat Anschaffungen, durch die eine Nachversteuerun

Antwort:"
CORP-TAX-003,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?

Gesetzestext:
entsprechende Bilanzansätze sicherzustellen, daß sonstige Änderungen der Gewinnermittlungsgrundsätze (zB hinsichtlich der unternehmensrechtlichen Grundsätze ordnungsmäßiger Buchführung beim Übergang von der Gewinnermittlung gemäß § 4 Abs. 1 oder 3 auf § 5 oder hinsichtlich der Berücksichtigung von Wertminderungen des Betriebsvermögens beim Übergang auf Buchführung) mit dem Wechsel der Gewinnermittlungsart berücksichtigt werden. (Anm.: Z 3 aufgehoben durch BGBl. I Nr. 22/2012 ) 13 . (11) Für Zuwendungen an und von Privatstiftungen gilt folgendes: 1 . 1. Zuwendungen an betriebliche Privatstiftun

Antwort:"
CORP-TAX-004,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?

Gesetzestext:
das Bundesgebiet. Ausland ist das Gebiet, das hienach nicht Inland ist. Wird ein Umsatz im Inland ausgeführt, so kommt es für die Besteuerung nicht darauf an, ob der Unternehmer österreichischer Staatsbürger ist, seinen Wohnsitz oder seinen Sitz im Inland hat, im Inland eine Betriebsstätte unterhält, die Rechnung ausstellt oder die Zahlung empfängt. 3 . (3) Das Gemeinschaftsgebiet im Sinne dieses Gesetzes umfaßt das Inland und die Gebiete der übrigen Mitgliedstaaten der Europäischen Union, die nach dem Gemeinschaftsrecht als Inland dieser Mitgliedstaaten gelten (übriges Gemeinschaftsgebiet). D

Antwort:"
CORP-TAX-005,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?

Gesetzestext:
der vorstehenden Bestimmungen. 2 . b) innerhalb eines Jahres nach Eintritt der Tatsachen, die zur Nachversteuerung führen, nach Wahl des Steuerpflichtigen – in Höhe der dem Sonderausgabenabzug zugrunde gelegten Ausgaben bzw. – in den Fällen der Auflösung eines Beteiligungsfonds bzw. der Kapitalherabsetzung oder Abwicklung einer Aktiengesellschaft in Höhe der rückgezahlten Beträge Genußscheine oder im Wege der Erstanschaffung junge Aktien bei dem depotführenden Kreditinstitut erworben und hinterlegt werden (Ersatzbeschaffung). Das Kreditinstitut hat Anschaffungen, durch die eine Nachversteuerun

Antwort:"
CORP-TAX-006,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?

Gesetzestext:
Maßgabe folgender Bestimmungen: 1 . a) Der Verlustabzug steht nur im Ausmaß von 75% des Gesamtbetrages der Einkünfte zu. Insoweit die Verluste im laufenden Jahr nicht abgezogen werden können, sind sie in den folgenden Jahren unter Beachtung dieser Grenze abzuziehen. 2 . b) Lit. a ist in folgenden Fällen insoweit nicht anzuwenden, als im Gesamtbetrag der Einkünfte enthalten sind: – Gewinne aus einem Schulderlass, insbesondere Sanierungsgewinne gemäß § 23a , – Gewinne, die in Veranlagungszeiträumen anfallen, die von einem Insolvenzverfahren betroffen sind, – Gewinne aus der Veräußerung sowie der

Antwort:"
CORP-TAX-007,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?

Gesetzestext:
einem vom Kalenderjahr abweichenden Wirtschaftsjahr ermittelt, ist dies auch für das Inland maßgebend. Die Gewinnermittlung für eine Betriebsstätte richtet sich nach der für den gesamten Betrieb maßgebenden Gewinnermittlung. 3 . 3. Im Ausland nicht berücksichtigte Verluste sind bei der Ermittlung des Einkommens höchstens in Höhe der nach ausländischem Steuerrecht ermittelten Verluste des betreffenden Wirtschaftsjahres anzusetzen. Die angesetzten Verluste sind in der Steuererklärung an der dafür vorgesehenen Stelle auszuweisen. 4 . 4. Sind ausländische Einkünfte von der Besteuerung im Inland au

Antwort:"
CORP-TAX-008,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?

Gesetzestext:
auch diese Gesellschaft als rechnungslegungspflichtiger Gewerbetreibender. 2 . (2) Als rechnungslegungspflichtiger Gewerbetreibender im Sinne des Abs. 1 gilt auf Antrag ein Steuerpflichtiger, der Einkünfte aus Gewerbebetrieb ( § 23 ) bezieht und nicht mehr der Pflicht zur Gewinnermittlung nach Abs. 1 unterliegt. Der Antrag ist für das Jahr zu stellen, in dem das Wirtschaftsjahr endet, für das erstmalig keine Pflicht zur Gewinnermittlung nach Abs. 1 besteht. Der Antrag bindet den Steuerpflichtigen so lange, als er nicht für das jeweils zu veranlagende Wirtschaftsjahr mit Wirkung für dieses und 

Antwort:"
CORP-TAX-009,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?

Gesetzestext:
einer umgründungsbedingten Übernahme durch ein Gruppenmitglied (Außergruppenverluste) können bis zur Höhe des eigenen Gewinnes des jeweiligen Gruppenmitglieds verrechnet werden. Außergruppenverluste liegen nicht vor, wenn vortragsfähige Verluste innerhalb der Gruppe entstanden sind und umgründungsbedingt auf ein anderes Gruppenmitglied übergehen. 5 . 4a. Vortragsfähige Verluste ( § 8 Abs. 4 Z 2 ) des Gruppenträgers aus Zeiten vor Wirksamwerden der Unternehmensgruppe (Vorgruppenverluste) können nicht verrechnet werden, soweit in diesen Abschreibungen auf den niedrigeren Teilwert ( § 6 Z 2 lit. 

Antwort:"
CORP-TAX-010,"Beantworte die steuerrechtliche Frage. Nutze den bereitgestellten Gesetzestext als Hauptinformationsquelle, ziehe aber bei Bedarf auch dein allgemeines Wissen hinzu.

Frage:
Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?

Gesetzestext:
nützen um später wieder auf die neuste Version eines Gesetzestexts zu gelangen. § 1 KStG 1988 Unbeschränkte und beschränkte Steuerpflicht 1 . (1) Körperschaftsteuerpflichtig sind nur Körperschaften. 2 . (2) Unbeschränkt steuerpflichtig sind Körperschaften, die im Inland ihre Geschäftsleitung oder ihren Sitz ( § 27 der Bundesabgabenordnung) haben. Als Körperschaften gelten: 1 . 1. Inländische juristische Personen des privaten Rechts und diesen vergleichbare ausländische Rechtsgebilde. 2 . 2. Betriebe gewerblicher Art von Körperschaften des öffentlichen Rechts ( § 2 ). 3 . 3. Nichtrechtsfähige P

Antwort:"
