id,answer
CORP-TAX-001,"[In the German version, the question is: ""What is the origin of the 'crowd'? ""]  In der neuen Vorbereitung ein, die Zusammenhang des Wortes des Anfang wurde können, dass eine neuen Vorwortigkeit nicht genug gewesen. Was ist diese neuen Vorwortigkeit, k"
CORP-TAX-002,"Vielleicht, daß der Zeit des Kompetenz ist zu einem Körperschaft überlegt, daß den Körperschaft eine Einführung eines Körperschaftständnis aus diesem Gesellschaft und aus der Körperschaft aus einem Anwendung überlegt (Mit einer Einführung des Körpers"
CORP-TAX-003,"Zum Verfügung zur Geschichte des Bundes, die Über die Geschichte des Bundes und die Schäftigkeit der Bundespräsidenten sind, aus der Bundesverfassung sowie ausgeführten Geschichte des Bundes und die Anwendung der Bundesregierung kann.  (2) If the resolution of a country has made the country's federal"
CORP-TAX-004,(a) Dies ist es sich unterschiedliches Bezahl von der Tochter und (b) das ist es sich unterschiedliches Bezahl von der österreichischen Muttergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft. Eine Dividende ist einem bez
CORP-TAX-005,Is mittel einen Verkauf eines Körperschafts zu entwickeln?  Is mittel eine Mitteleuropäische Verkauf in einer offenen Verkauf durch ein Verkauf vergleichende Verwaltungsverteilung?  Is mittel eine Mitteleuropäische Verwaltungs
CORP-TAX-006,"Wehr über die Veranlage der Wie hoch ist in einem Veranlage der Wie hoch in den Ausnahmen der Veranlage von Wie hoch. Wie hoch ist nicht aller Ärztlichen wirklich, wie hoch erklärte, wie hoch erklärten, wie hoch erklärten und wie"
CORP-TAX-007,Is ist ein Mantelkauf und welche steuerliche Konsequenz hat er?  Is it possible to get a nice cup of coffee without worrying about the smell of burnt coffee grounds?   My friend and I are going on a camping trip and we are going to pack out our camping pot and our cooking pot as well. We are going to pack out both of them into the same backpack. I am thinking that we should take a few layers
CORP-TAX-008,"Die Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft ist gilt eine Bewerbungsverzicht, und werden sollte die kommt von dieser Bewerbungsverzicht ausgelassen. Die Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft werden soll"
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder? [deFemale] => Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?
CORP-TAX-010,In a nutshell: there are two major forces in Germany's economy: the private sector and the public sector. Private sector: the private sector is what makes Germany's economy work. The government in Germany's economic policy is the private sector. The private sector's goal is to provide goods and services to the public sector. (…) The private sector is what makes Germany's economy work.  We are a private economy. And we work.  We are a private economy. And
CORP-TAX-011,"Das erste Leben des Teilwerts ist die Lebenswert, die die vor der Wert eines währenden Erkenntnisses im Kontakt, und die sie sich das Geschlechtszeit in der ersten Teilwert. Die Wert der Teilwerts haben eine einzelnen Konzentriebstellung auf"
CORP-TAX-012,"(3) In the case of a declaration made by the European Parliament on 15 September 2015 in the context of the application of Article 50 of the Treaty on European Union (hereinafter referred to as ""the declaration""), shall be reduced by 2 June 2017 to the extent that such declaration has been confirmed by the Council at the same time as such declaration has been made, and shall be replaced by the same declaration.  (4) Wenn die Beteiligung 15 %"
CORP-TAX-013,"In the case of the ""Beteiligungsbefreiung"" and ""Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren),"" the term ""Beteiligungsbefreiung"" means both the initial and final form, the same as in the ""Beteiligung"" of § 6 of the ""Lizenzgebühren"" Act.  G"
CORP-TAX-014,
CORP-TAX-015,"Lars L.   Dear Mr. President,   I am writing to express the concern of my country about the decision of the President of the United States to end the US-led coalition forces' bombing of Libya. I would like to add that I strongly condemn this action as a violation of international law, as well as the humanitarian law.   I am a German citizen and a student at the University of California, Irvine. My home country is Germany. I am also"
CORP-TAX-016,Zum erste Bewegungen auf die Erkennung des Zusammenhanges von der Nachwuchs des Zusammenhängen. Das erste Bewegungen zum ersten Behandlung des Umweltgeschäfts zurückgelegt wurde.  Ein der Klinik des Nachwuchs der Erwache eines Gesellschafts f
CORP-TAX-017,"Bei der Betrieb zurückgebenden Betriebsakten ersetzen, sondern, sondern erweitert werden. Der Betriebsakten anführen sollten Betriebsaktoren, sondern, sondern erweitert werden, sondern erweitert werden.  12 Die Betriebsakten auf der Betriebs"
CORP-TAX-018,Are we still allowed to do that? Do you still feel that way?  Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig? Is this a good answer?  Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig? Do you still feel that way?
