id;answer
CORP-TAX-001;Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist der Betrag des Einnahmwinkels, den eine Körperschaft im vorangegangenen Jahr erzielt hat.
CORP-TAX-002;Die Körperschaft muss die gesamte Summe der Zinsen im Jahr nachsteuerbarer Gewährleistungsklagen abzahlen.
CORP-TAX-003;Die § 13 Abs. 2 BStG ist für alle Körperschaften verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zu zählen.
CORP-TAX-004;(a) Bei der Tochtergesellschaft: Die Dividende ist nicht ein Einkommen des Unternehmens, sondern ein Einkommen des Investoren. Daher wird sie nicht im Steuersatz 1 (Einkommensteuer) abzuschließen. Die Dividende wird jedoch im Steuersatz 3 (Gesellschaftersteuer) abzuschließen. (b) Bei der österreichischen Muttergesellschaft: Die Dividende wird im Steuersatz 1 (Einkommensteuer) abzuschließen.
CORP-TAX-005;Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft hängt von den spezifischen Fälligkeiten ab. Eine offene Ausschüttung ist eine Ausgabe von einem Unternehmen an einen anderen, ohne dass ein Vertrag oder eine andere Form von Abmachung zwischen ihnen besteht. Eine verdeckte Ausschüttung ist eine Ausgabe eines Unternehmens an einen anderen, ohne dass ein Vertrag oder eine andere Form von Abmachung zwischen ihnen besteht.
CORP-TAX-006;Der maximal mögliche Verlustabzug beträgt 15 Prozent des Gesamtbetriebsvermögens. Ausnahmen sind die Verlustabzug für den Erwerb von Immobilien und die Verlustabzug für den Erwerb von Gütern, die nicht als Eigentum im Sinne des § 34 Abs. 1 BStGB gelten.
CORP-TAX-007;Ein Mantelkauf ist eine Regelung des Bundesfinanzministeriums, die die Verwendung von Manteln als Unterwäsche für Kinder verhindert. Sie hat die Folge, dass die Nutzung von Manteln als Unterwäsche für Kinder im Rahmen der Steuerabrechnung nicht mehr zulässig ist.
CORP-TAX-008;Der Forderungsverzicht eines Gesellschafterssteuerpflichtigen ist für die Körperschaft nicht mehr steuerlich zu veranschlagen.
CORP-TAX-009;Die Verlustverrechnung von ausländischen Gruppenmitgliedern ist eine Art von Verlustverrechnung, die durch den Mitgliedervertrag erlaubt wird, wenn ein Mitglied ausländische Gruppenmitglieder hat. Die Verlustverrechnung von inländischen Gruppenmitgliedern ist eine andere Art von Verlustverrechnung, die durch den Mitgliedervertrag erlaubt wird, wenn ein Mitglied inländische Gruppenmitglieder hat.
CORP-TAX-010;Nein.
CORP-TAX-011;Nein, Abschreibungen sind nicht abzugabefähig auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied.
CORP-TAX-012;"Die Steuererklärung der EU-Tochtergesellschaft sollte auf die Verwendung des """"Gesetzlichen Rechnungsbegriffs"""" eingehen. Die EU-Tochtergesellschaft ist nicht im Sinne des § 34 Abs. 1 Nr. 1 BStU-Abf. 1987/1988 (1) zu berücksichtigen."
