id,answer
CORP-TAX-001,Die steuerliche Bemessung der Körperschaftsteuer beruht auf dem Verhältnis zwischen der Einkommens- und der Vermögensvermehrung (Art. 1 Abs. 2 lit. a des Bundesgesetzes vom 6. Oktober 1970 über die Besteuerung der Erträge und Vermögen [BStG; SR 642.10]). Sie wird durch das Ver
CORP-TAX-002,"Die Körperschaft kann sich in diesem Fall nur dann für die Verwendung des Vermögens von ihr selbst oder ihrer Gesellschaftsmitglieder interessieren, wenn sie einen Anspruch auf Ersatz des Zinsschusses hat. Die Körperschaft ist aber auch befugt, das Vermögen ihrer Gesellschaftsmitglieder zu veräussern, sofern diese mit dem Vermögen der Körperschaft zusammenhängen ("
CORP-TAX-003,"Die Bundesgesetzgebung über das Steuerrecht (StG) enthält keine Bestimmung, welche eine solche Regelung vorsieht. Die Bundesverfassung sieht in Art. 14 Abs. 2 lit. a und b keinen Anspruch auf Verfahrensabwicklung durch die Kantone. Der Bundesrat hat sich daher an die bundesgerichtlichen Entscheidungen zur Rechtsprechung des Eidgenössischen Versicherungsger"
CORP-TAX-004,umente zur Änderung der Einkommenssteuer 2022 1. Die Einkommenssteuer ist auf den Einkommensvergleichsablauf anwendbar. 2. Der Einkommenssteuer ist auf den Einkommensvergleichsablauf anwendbar. 3. Das Einkommensteuerrecht gilt auch für die Einkommenssteuer. 4. Die Einkomm
CORP-TAX-005,"über das Steuerstrafverfahren, BGBl. I Nr. 111/2003 , in der jeweils geltenden Fassung.) Der Bundesrat hat die Anpassung der Rechtsprechung an die neue Rechtslage im Sinne von Art. 1 Abs. 2 lit. a Bst. b des Bundesgesetzes über die Änderung des Schweizerischen Steuerrechts vom 18. März"
CORP-TAX-006,"10% des im Jahr vorgenommenen Einkommens (Art. 24 Abs. 3 StG). Die Ausnahme von Art. 24 Abs. 5 StG gilt für die folgenden Fälle: a) Ein Veranlagungsverfahren wegen Verletzung des Bundesgesetzes über das Steuerpfandrecht durch eine Person, die sich als Steuerverwaltung oder Steuerbehörde befindet; b) Eine Ste"
CORP-TAX-007,".at/eli/bgbl/1987/309/P2/NOR12049298 Subject: Der Begriff ""grundstück"" ist heute unbestimmbar. Die Bestimmung über das Grundstück wird durch die Änderung des Bundesbeschlusses vom 17. Juli 1987 über die Erhebung von Grossguthaben (GRG) 1987 § 2, tagesakt"
CORP-TAX-008,"Die Körperschaft ist als Vertragspartnerin im Sinne von Art. 10 Abs. 2 lit. a des Bundesgesetzes über die Steuern der Kantone vom 3. Oktober 1974 (StG; SR 642.1) verpflichtet, die Körperschaftsanteile in der Höhe ihrer Steuerforderung zu bezahlen. Die Körperschaftsanteile sind demn"
CORP-TAX-009,umente zur Änderung der Einkommenssteuer 2022 1. Die Einkommenssteuer ist auf den Einkommensvergleichsablauf anwendbar. 2. Der Einkommenssteuer ist auf den Einkommensvergleichsablauf anwendbar. 3. Das Einkommensteuerrecht gilt auch für die Einkommenssteuer. 4. Die Einkomm
CORP-TAX-010,"Der Bundesrat hat in Art. 1 Abs. 2 des Bundesgesetzes über die Steuerverordnung vom 30. Juni 1974 (StV) eine Regelung vorgeschrieben, wonach Steuerumstände, welche sich im Zusammenhang mit einer Steuerforderung oder einem Steuersatz ergeben, als Steuerumstände für die Berechnung der Steuer umschrieben werden können. Diese Regelung ist in Art"
CORP-TAX-011,"Die Abzug von Abschlüssen ist nach dem Recht des Staates, in dem das Gruppengesetz gilt (Art. 1 Abs. 2 lit. a Ziff. 3 des Bundesgesetzes über die Erwerbstätigkeit [BüG; SR 822.20]). Die Abgabepflicht für die Abschlussabschüsse im Rahmen eines Gruppenvertrags wird durch Art. 45 Abs"
CORP-TAX-012,Die Dividenden werden in der Schweiz als Einkommen im Sinne von Art. 3 Abs. 4 lit. a des Bundesgesetzes über die Besteuerung der Erträge (BStG; SR 642.10) bezeichnet. Die Dividenden sind nach dem Gesetz vom 18. Dezember 1979 über die Besteuerung der Erträge (SR 642.101)
CORP-TAX-013,"zeichneten Wasserfahrzeuge, einschliesslich ihrer Ausrüstungsgegenstände und ihrer Ladungen, bestimmt sind. Eine solche Leistung ist nur dann zulässig, wenn sie im Zusammenhang mit der Seeschiffahrt oder mit der Luftfahrt erfolgt. Die Leistung kann auch in einem anderen Betrieb erfolgen, wenn sie sich auf eine andere, nicht in den Ziffern eins und 2 bezeichnete"
CORP-TAX-014,"ländischen Vertriebsunternehmen in das Drittlandsgebiet begibt (§ 3 Abs. 8). 2. Die Lohnveredlung ist nach dem Wortlaut des Gesetzes unabhängig davon, ob der Unternehmer den Gegenstand im Drittlandsgebiet befördert oder versendet, als solche zu betrachten. Das Bundesgericht hat diese Auffassung bestätigt (BGE 120 II"
CORP-TAX-015,Die Verwertung von Gewinnen aus internationalen Schachtelbeteiligungsmöglichkeiten ist nach dem Recht des Schachtes (Art. 10 Abs. 2 Ziff. 3 Einführungsgesetz) grundsätzlich gleich wie das Verwertungsverfahren im schweizerischen Steuergesetz (Art. 49 ff. StG). Der Schutz der Verwertungsgewinne wird in Art. 5
CORP-TAX-016,"zeichneten Wasserfahrzeuge, einschliesslich ihrer Ausrüstungsgegenstände und ihrer Ladungen, bestimmt sind. Eine solche Leistung ist nur dann zulässig, wenn sie im Zusammenhang mit der Seeschiffahrt oder mit der Luftfahrt erfolgt. Die Leistung kann auch in einem anderen Betrieb erfolgen, wenn sie sich auf eine andere, nicht in den Ziffern eins und 2 bezeichnete"
