id,answer
CORP-TAX-001,"Die Bemessungsgrundlage für die Körperschaftsteuer gemäß § 1 Abs. 2 KStG ist das steuerliche Einkommen, das sich aus dem steuerlichen Gesamtbetriebsvermögen ermittelt. Das steuerliche Einkommen ergibt sich aus den steuerlichen Einkünften (Gewinne aus allen Tätigkeiten, Zinsen und Lizenzgebühren) abzüglich der steuerlichen Aufwendungen (Betriebsausgaben, Werbungskosten, Abzugsfähige Abschreibungen)."
CORP-TAX-002,"Zinslose Darlehen von einer Kapitalgesellschaft an Gesellschafter sind grundsätzlich steuerneutral (§ 8 Abs. 1 KStG). Die Körperschaft kann Zinsaufwendungen nicht steuerlich geltend machen, da es sich um ein steuerfreies Darlehen handelt. Der Gesellschafter muss die Zinsen jedoch bei sich selbst als Einkünfte aus Kapitalvermögen (§ 27 EStG) erfassen. Bei der Gesellschaft bleibt das Darlehen steuerneutral im Rahmen des Gesamtbildes der wirtschaftlichen Leistung und des Gesellschaftsvertrags."
CORP-TAX-003,"Gemäß § 7 Abs. 3 Z 2 EStG sind folgende Körperschaften ihre Einkünfte aus Gewerbebetrieb zuzurechnen: (1) Versicherungsvereine auf Gegenseitigkeit, (2) Genossenschaften, die Gewerbebetriebe betreiben, (3) Körperschaften, die ausschließlich oder überwiegend Tätigkeiten ausüben, die als Gewerbebetrieb einzustufen sind."
CORP-TAX-004,"(1) Bei der Tochtergesellschaft: Dividenden sind Einkünfte aus Kapitalvermögen gemäß § 27 Abs. 2 Z 2 EStG 1988 und unterliegen dem Sondersteuersatz von 27,5% (nicht dem Normalsteuersatz von 55%). (2) Bei der Muttergesellschaft: Die Muttergesellschaft erhält die Dividende als Kapitalertrag (§ 27 EStG) und zahlt 27,5% KESt ein (nicht 55% – KESt-Pauschale gemäß § 93 Abs. 4 EStG). Die Mutter kann die KESt auch rückerhöhen, wenn die Tochter die KESt einbehalten hat."
CORP-TAX-005,"Offene Ausschüttungen (§ 10 KStG) sind Ausschüttungen, die in der Bilanz der ausschüttenden Körperschaft ausgewiesen werden und die Gesellschafter direkt steuerlich berücksichtigen. Verdeckte Ausschüttungen (§ 8 Abs. 1 KStG) sind Vorteile, die die Körperschaft an Gesellschafter oder deren Angehörige ohne angemessene Gegenleistung überträgt. Verdeckte Ausschüttungen sind bei der Körperschaft nicht abzugsfähig und bei den Gesellschaftern Einkünfte aus Kapitalvermögen (§ 27 EStG), wobei die Grenze bei 10% des Gesamtbetrags der Einkünfte liegt."
CORP-TAX-006,"Gemäß § 27 Abs. 8 EStG beträgt der maximal mögliche Verlustabzug in einem Veranlagungsjahr 50% des steuerpflichtigen Einkommens. Verluste, die diese Grenze übersteigen, können auf bis zu 7 Jahre verteilt (Verlustvortrag) oder auf künftige Jahre übertragen werden (Verlustvortrag auf 7 Jahre). Ausnahmen: Verluste aus Kapitalvermögen (§ 27 Abs. 8 Z 2 EStG) können nicht vortragen werden; Verluste aus Vermietung und Verpachtung können nur mit Einkünften aus Vermietung und Verpachtung verrechnet werden.;;"
CORP-TAX-007,"Ein Mantelkauf liegt vor, wenn ein Unternehmer (Mantelkaufmann) ein Unternehmen mit dem Zweck übernimmt, das eigene Unternehmen zu erweitern oder zu verschlechtern. Der Mantelkauf selbst ist keine steuerbare Leistung im Sinne des § 3a UStG, da er nicht auf die Lieferung oder sonstige Leistung eines anderen Unternehmers gerichtet ist. Die Übernahme von Vermögenswerten und Schulden im Rahmen eines Mantelkaufs kann jedoch steuerbare Umsätze darstellen (z.B. Lieferung von Vermögenswerten, Übernahme von Schulden als sonstige Leistung)."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters gegenüber der Kapitalgesellschaft ist steuerlich kein steuerpflichtiger Ertrag der Gesellschaft (§ 8 Abs. 1 Z 2 KStG). Er stellt eine privatrechtliche Vereinbarung dar, die keine Einkunftsart der Gesellschaft darstellt. Der Gesellschafter kann den Verzicht jedoch als Veräußerungsgewinn (§ 24 EStG) oder als sonstige Einkünfte (§ 29 Abs. 3 EStG) in seiner Steuererklärung ausweisen."
CORP-TAX-009,"Bei Gruppenbesteuerung (§ 9 KStG) können Verluste ausländischer Gruppenmitglieder grundsätzlich nicht mit Gewinnen österreichischer Gruppenmitglieder verrechnet werden (Ausnahme: Verluste ausländischer Tochtergesellschaften, die inländische Beteiligungen als Einkünfte aus Kapitalvermögen erzielen). Dies ist eine Folge der unterschiedlichen Einkunftsarten (Körperschaftsteuer vs. Einkommensteuer). Ausnahmen bestehen für bestimmte Fälle (z.B. Verluste ausländischer Tochtergesellschaften mit inländischen Beteiligungen)."
CORP-TAX-010,"Nein. Umlagen zwischen Gruppenträgern und Gruppenmitgliedern im Sinne des § 9 KStG sind gemäß § 9 Abs. 4 KStG nicht steuerpflichtige Einkünfte. Sie sind jedoch im Rahmen der Gruppenbesteuerung zu berücksichtigen. Die Gruppenträger sind verpflichtet, die Umlagen in ihrer Körperschaftsteuererklärung anzugeben."
