id,prompt,correct_answer,model_id,answer,exact_match,token_f1,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,answer_length_chars,answer_length_tokens,bertscore_precision,bertscore_recall,bertscore_f1,error_category,model
CORP-TAX-001,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",MODEL-1,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist das zu versteuernde Einkommen der Körperschaft. Dieses wird gemäß § 6 Abs. 1 KStG ermittelt. Es umfasst grundsätzlich alle Einkünfte, die die Körperschaft ausweisen, wie z.B. Geschäftsgewinne, Zinsen, Dividenden oder Mieteinnahmen. 

Wichtig ist, dass die Einkünfte nach ihren jeweiligen Quellen (z.B. Umsatz, Lohnkosten) auf die einzelnen Einkommensarten zuordnungsfähig sein müssen (§ 6 Abs. 1 KStG).  Die Bemessungsgrundlage wird dann durch die jeweiligen Einkommensbeträge, abzüglich der zulässigen Werbungskosten, gebildet.  Die Anwendung von Sonderregelungen, wie z.B. die Gewinnrealitätsprüfung nach § 16 Abs. 1 KStG, kann die Bemessungsgrundlage beeinflussen.",0,0.12500000000000003,0.011511465037466239,0.09677419354838708,0.032786885245901634,0.09677419354838708,734,96,0.6031714081764221,0.7109358906745911,0.6526349782943726,Overly verbose answer,Model 1 - Inference
CORP-TAX-002,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,MODEL-1,"Ein zinsloses Darlehen einer Körperschaft an einen Gesellschafter führt grundsätzlich zu einer steuerlichen Belastung. Nach § 6 Abs 1 EStG ist ein Darlehen, das nicht mit Zinsen versehen ist, als Freistellung von der Steuer zu behandeln, sofern es dem Zweck dient, die Unternehmenswürde zu erhalten oder die Fortführung des Unternehmens zu sichern. 

Allerdings kann dies nicht ohne weiteres erfolgen. Die Körperschaft muss nachweisen, dass das Darlehen tatsächlich diesem Zweck dient (§ 6 Abs 2 EStG).  Die Darlehenszahlung wird dann als Betriebsausgabe in gleicher Weise behandelt wie eine ordentliche Zahlung mit Zinsen.  Es ist zu beachten, dass die Steuerbehörde die Voraussetzungen der Freistellung prüfen kann und im Zweifelsfall die Zahlung als nicht betrieblich anzusehen kann (z.B. bei Vermischung von privaten und betrieblichen Interessen).  Eine detaillierte Dokumentation der Gründe für die Darlehenserteilung ist daher unerlässlich.",0,0.2111111111111111,0.005925779437053096,0.18848167539267016,0.021164021164021166,0.09424083769633508,946,134,0.6447451710700989,0.7172924280166626,0.6790866851806641,Overly verbose answer,Model 1 - Inference
CORP-TAX-003,"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",MODEL-1,"Nach § 1 Abs 1 Einkommensteuergesetz (EStG) sind bestimmte Körperschaften verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen. Dies gilt insbesondere für Kapitalgesellschaften wie Aktiengesellschaften (AG) und Gesellschaft mit beschränkter Haftung (GmbH). 

Die Verpflichtung ergibt sich aus der allgemeinen Einkommensregelung des EStG, wonach die Einkünfte einer juristischen Person grundsätzlich nach ihrer Art zuordnungsfähig sind (§ 3 Abs 1 EStG).  Die Einkünfte aus Gewerbebetrieb einer Kapitalgesellschaft werden dann dem Grundeinkommen zugeordnet, wenn keine anderen Einkunftsarten vorliegen (§ 1 Abs 1 EStG).

Es ist wichtig zu beachten, dass die genaue Beurteilung von Einkünften von den jeweiligen Umständen des Einzelfalls abhängt und ggf. eine detaillierte Prüfung erforderlich ist.  Die Anwendung der Regelungen kann im Zweifelsfall durch die Finanzverwaltung erläutert werden (z.B. durch Steuerrichtlinien).",0,0.136986301369863,0.0026463732851208475,0.12578616352201258,0.012738853503184712,0.06289308176100629,949,121,0.6259907484054565,0.6787333488464355,0.6512960195541382,Overly verbose answer,Model 1 - Inference
CORP-TAX-004,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,MODEL-1,"Die steuerliche Behandlung von Dividenden einer österreichischen Tochtergesellschaft ist sowohl für die Tochtergesellschaft als auch für die Muttergesellschaft komplex und hängt von verschiedenen Faktoren ab.

**(a) Für die Tochtergesellschaft:**

Eine Dividende, die von einer österreichischen Tochtergesellschaft ausgezahlt wird, ist grundsätzlich steuerpflichtig (§ 23 UStG).  Die Dividende wird als Umsatz versteuert, sofern sie aus fremden Einkünften der Tochtergesellschaft stammt (z.B. aus der Muttergesellschaft) (§ 2 Abs. 1 UStG).  Die Tochtergesellschaft kann jedoch unter bestimmten Voraussetzungen eine Vorsteuerabzugsforderung geltend machen, wenn die Dividende aus einem im Inland liegenden Unternehmen stammt und die Voraussetzungen des § 2 Abs. 1 UStG erfüllt sind.

**(b) Für die österreichische Muttergesellschaft:**

Die erhaltene Dividende wird als ordentliches Einkommen behandelt (§ 6 Abs. 1 EStG).  Es wird kein Gewinn erzielt, sondern lediglich ein Einkommen aus dividendenähnlichen Erträgen.  Die Dividende ist grundsätzlich mit 15% zuzüglich Solidaritätszuschlag zu besteuern (§ 1 Abs. 1 EStG).  Es ist zu beachten, dass die Muttergesellschaft unter Umständen weitere Einkünfte aus der Tochtergesellschaft erzielen kann, die zu anderen Steuersätzen führen.  Die genaue steuerliche Behandlung hängt von der Gesamtheit der Einkünfte aus der Tochtergesellschaft ab.

**Hinweis:**  Die hier dargestellte Darstellung ist eine allgemeine Übersicht und berücksichtigt nicht alle individuellen Umstände.  Eine detaillierte steuerliche Beratung ist erforderlich, um die spezifische Situation zu beurteilen.  Bitte konsultieren Sie einen Steuerberater für eine individuelle Einschätzung.",0,0.15748031496062992,0.007296530725828389,0.1328413284132841,0.02230483271375465,0.0959409594095941,1703,216,0.6436057090759277,0.7407053112983704,0.688750147819519,Overly verbose answer,Model 1 - Inference
CORP-TAX-005,Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",MODEL-1,"Die steuerliche Behandlung von offenen und verdeckten Ausschüttungen unterscheidet sich hinsichtlich der Besteuerung der Ausschüttung selbst und der Verteilung der Steuerlast.

**Offene Ausschüttung:** Eine offene Ausschüttung, bei der die Ausschüttung an die Aktionäre tatsächlich ausgezahlt wird, wird grundsätzlich als Einkommen der Aktionäre behandelt (Erl. RdBlg. 53.13.1). Die Ausschüttung unterliegt der Kapitalertragsteuer gemäß § 28 Abs. 1 EStG, wobei die Steuerlast zwischen Körperschaft und Aktionär aufgeteilt wird. Die Körperschaft kann die im Rahmen der Ausschüttung entstandene Steuer jedoch als Betriebsausgabe geltend machen (§ 28 Abs. 2 EStG).

**Verdeckte Ausschüttung:** Eine verdeckte Ausschüttung, bei der die Ausschüttung nicht an die Aktionäre ausgezahlt wird, sondern beispielsweise in Form von Darlehen oder anderen Leistungen an nahestehende Personen erfolgt, wird als stille Gewinnausschüttung behandelt (§ 28 Abs. 1 EStG).  Die Körperschaft ist dann für die gesamte Steuerlast verantwortlich, da die Ausschüttung nicht an einen Aktionär gelangt, der sie versteuern könnte.  Die genaue Beurteilung der Verdecktheit hängt von den Umständen des Einzelfalls ab, insbesondere von der Art und Weise, wie die Ausschüttung erfolgt und wer die Leistungen empfängt (siehe z.B. Rz. 33 zur Richtlinie 2018/822/EU des Europäischen Parlaments und des Rates vom 25. Mai 2018 zur Regelung der Besteuerung von Gewinnausschüttungen).",0,0.12121212121212123,0.003664678546004497,0.10810810810810811,0.023346303501945526,0.05405405405405406,1444,200,0.6300905346870422,0.7047604322433472,0.6653370261192322,Overly verbose answer,Model 1 - Inference
CORP-TAX-006,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",MODEL-1,"Der maximale Verlustabzug in einem Veranlagungsjahr ist grundsätzlich auf 20% der Einkünfte begrenzt, die vor dem Verlust auf das zugehörige Einkommen entfallen (§ 67 Abs 1 EStG).  Dieser Verlustabzug kann jedoch nur bis zu 50% der Einkünfte verringert werden (§ 67 Abs 2 EStG).

Es gibt Ausnahmen von dieser Begrenzung, insbesondere bei Verlustvortrag (§ 67 Abs 3 EStG).  Ein Verlust, der in einem früheren Veranlagungsjahr entstanden ist, kann in nachfolgenden Jahren geltend gemacht werden, jedoch unter Berücksichtigung der oben genannten Prozentangaben.  Ein besonderer Hinweis ist zu geben, dass der Verlustabzug unter bestimmten Voraussetzungen auch ohne Verlustvortrag möglich ist, wenn der Verlust im aktuellen Jahr entstanden ist (§ 67 Abs 1 EStG).

Für detaillierte Informationen und spezifische Auslegungen ist es ratsam, sich an einen Steuerberater zu wenden.",0,0.11180124223602485,0.004399555378649512,0.09580838323353294,0.02424242424242424,0.08383233532934131,872,126,0.6375741362571716,0.6658166646957397,0.651389479637146,Overly verbose answer,Model 1 - Inference
CORP-TAX-007,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",MODEL-1,"Ein Mantelkauf ist eine spezielle Form der Unternehmensübertragung, bei der eine Gesellschaft (Mantelkaufpartei) eine andere Gesellschaft (Kernkaufpartei) übernimmt, ohne dass die Vermögenswerte der Kernkaufpartei direkt übertragen werden. Stattdessen wird die Kernkaufpartei in der Mantelkaufpartei liquidiert und deren Vermögenswerte der Mantelkaufpartei zugeteilt.

**Steuerliche Konsequenzen:**

Der Mantelkauf unterliegt grundsätzlich den gleichen steuerlichen Regeln wie eine andere Unternehmensübertragung (§ 3 Abs 1 UStG).  Die Übertragung des Gesellschaftsrechts ist steuerlich als Kapitalverkehrsgeschäft zu behandeln, was bedeutet, dass sie grundsätzlich steuerpflichtig ist.  Es ist jedoch möglich, die Übertragung als Warenübertragung zu behandeln, wenn bestimmte Voraussetzungen erfüllt sind (z.B. wenn die Übertragung mit einer tatsächlichen Warenbewegung verbunden ist).  Die Umsatzsteuerliche Behandlung richtet sich nach den jeweiligen Umständen des Einzelfalls und den einschlägigen Richtlinien der Finanzverwaltung (z.B. Richtigkeitsrichtlinie zur Umsatzsteuer).  Es ist wichtig, die steuerlichen Auswirkungen sorgfältig zu prüfen und gegebenenfalls eine Steuerberatung einzuholen.",0,0.13186813186813187,0.005090547214830283,0.1111111111111111,0.02040816326530612,0.0808080808080808,1201,139,0.6309559941291809,0.7012978196144104,0.6642699241638184,Overly verbose answer,Model 1 - Inference
CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,MODEL-1,"Ein Forderungsverzicht eines Gesellschafters an die Körperschaft, die diesen Forderung ausüben wollte, ist grundsätzlich steuerlich relevant. Nach § 33a Abs. 1 UStG wird der Forderungsverzicht als Lieferung von Leistungen im Sinne der Umsatzsteuer behandelt, sofern der Gesellschafter im Rahmen seiner Tätigkeit für die Körperschaft tätig war und die Forderung ursprünglich aus einer solchen Tätigkeit resultiert. 

Dies bedeutet, dass die Körperschaft die Umsatzsteuer auf den Forderungsverzicht ausweisen kann, sofern die Voraussetzungen des § 33a UStG erfüllt sind.  Es ist zu beachten, dass die steuerliche Behandlung von Forderungsverzichten komplex sein kann und von den individuellen Umständen abhängt.  Im Zweifelsfall sollte eine steuerliche Beratung eingeholt werden.

**Hinweis:** Bitte beachten Sie, dass dies eine allgemeine Auskunft ist und keine abschließende steuerliche Beratung darstellt.",0,0.13793103448275865,0.004786100293485711,0.12578616352201258,0.025477707006369425,0.07547169811320756,906,119,0.6396498084068298,0.728752613067627,0.6813002228736877,Overly verbose answer,Model 1 - Inference
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",MODEL-1,"Die Verlustverrechnung zwischen in- und ausländischen Gruppenmitgliedern unterliegt grundsätzlich unterschiedlichen Regelungen.

Nach § 64 Abs. 1 UStG können Verluste nur mit Einnahmen desselben Unternehmens verrechnet werden. Für inländische Gruppenmitglieder gilt dies gemäß § 64 Abs. 1 UStG. Für ausländische Gruppenmitglieder ist die Verlustverrechnung jedoch an die Voraussetzungen des § 64a UStG gebunden, wonach die Verlustvortragung nur mit Einnahmen eines anderen Unternehmens innerhalb derselben Gruppe möglich ist, wenn dies durch eine entsprechende Vereinbarung zwischen den Unternehmen vereinbart wurde.  Die Richtlinie 2010/2/EU zur Anwendung des Umsatzsteuerrechts auf die Verrechnung von Verlusten und den Verlustvortrag ist zu beachten.  Es ist daher wichtig, dass eine entsprechende Vereinbarung vorliegt, um die Verlustverrechnung mit ausländischen Gruppenmitgliedern zu ermöglichen.",0,0.16560509554140124,0.003001613458735281,0.18181818181818182,0.012269938650306749,0.09696969696969697,902,114,0.6613886952400208,0.7158178091049194,0.6875276565551758,Overly verbose answer,Model 1 - Inference
CORP-TAX-010,Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,MODEL-1,"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind grundsätzlich steuerpflichtig.

Nach § 34 Abs. 1 GStG sind Steuerumlagen als Zuwendungen zu behandeln, die nicht auf bestimmte Voraussetzungen gestützt sind. Dies gilt auch, wenn Gruppenträger und Gruppenmitglieder im Sinne des § 34 Abs. 1 GStG stehen (z.B. bei der Anwendung des § 34 Abs. 1 GStG, der die steuerliche Behandlung von bestimmten Leistungen regelt).  Die Steuerumlage wird als zu versteuernde Einkommensquelle behandelt (§ 5 Abs. 1 UStG).

Es ist zu beachten, dass die steuerliche Behandlung von Steuerumlagen komplex sein kann und von den konkreten Umständen abhängt.  Im Zweifelsfall sollte eine individuelle Steuerberatung eingeholt werden.",0,0.13114754098360656,0.0029466788381616246,0.11382113821138211,0.0,0.08130081300813008,727,103,0.6563009023666382,0.7300983667373657,0.6912355422973633,Overly verbose answer,Model 1 - Inference
