task_id;row_key;prompt;answer;reference_answer;sources;correctness_score;groundedness_score;legal_reasoning_score;completeness_score;comprehension_score;hallucination_flag;grounding_citations;comments;
1;121cdd0d29bfdac3;Welche Normen sind einschlägig, wenn eine Körperschaft eine internationale Schachtelbeteiligung veräußert und gleichzeitig Vorjahresverluste bestehen?;Die Verluste werden auf die Veräußerung angewendet (§ 10 Abs. 1 Z 1 KStG). 10. 11. 2019 #1 1. 11. 2019 1. 11. 2019 1. 11. 2019 1. 11. 2019 1. 1;§ 10 Abs. 3 KStG: Veräußerungsgewinn ist steuerneutral (sofern keine Steuerwirksamkeitsoption). Da er außer Ansatz bleibt, erhöht er den Gesamtbetrag der Einkünfte nicht. § 8 Abs. 4 Z 2 KStG: Verlustvorträge können nur gegen steuerpflichtige Einkünfte verrechnet werden – der steuerfreie Veräußerungsgewinn zählt nicht. Verluste können dadurch ungenutzt bleiben.;"§ 10 Abs. 3 KStG 1988; § 8 Abs. 4 Z 2 KStG 1988";1;1;1;1;3;1;"""Bei der Ermittlung der Einkünfte bleiben Veräußerungsgewinne, Veräußerungsverluste und sonstige Wertänderungen aus internationalen Schachtelbeteiligungen im Sinne des Abs. 2 außer Ansatz."" (§ 10 Abs. 3 KStG)
""Der Verlustabzug im Sinne des § 18 Abs. 6 des Einkommensteuergesetzes 1988 nach Maßgabe folgender Bestimmungen:"" (§ 8 Abs. 4 Z 2 KStG)
""Der Verlustabzug steht nur im Ausmaß von 75% des Gesamtbetrages der Einkünfte zu."" (§ 8 Abs. 4 Z 2 lit. a KStG)
";"Hallucination: 1 Note: The answer cites § 10 Abs. 1 Z 1 KStG, which is not part of the provided legal paragraph and is used to support the claim.
Correctness: 0 Note: The answer incorrectly states that losses are applied to the sale, which contradicts the reference answer that the gain is tax-neutral and losses cannot be offset.
Legal groundedness: 1 Unsupported claim: Verluste werden auf die Veräußerung angewendet. Citation: ""Bei der Ermittlung der Einkünfte bleiben Veräußerungsgewinne, Veräußerungsverluste und sonstige Wertänderungen aus internationalen Schachtelbeteiligungen im Sinne des Abs. 2 außer Ansatz."" (§ 10 Abs. 3 KStG)
Legal reasoning: 1 Note: The answer applies an incorrect legal rule and fails to derive the conclusion from the relevant provision.
Completeness: 1 Note: The answer does not address the interaction between tax-neutral gains and loss carryforwards.
";
2;1307155f517d9a1f;Ein deutscher Staatsangehöriger lebt in Deutschland, hat keinen Wohnsitz in Österreich, erzielt aber 95% seiner Jahreseinkünfte aus Österreich. Kann er auf Antrag wie ein unbeschränkt Steuerpflichtiger behandelt werden?;"Nein, nach § 1 Abs. 1 Z 5 EStG (Einkommensteuergesetz) ist der deutsche Staatsangehörige unbeschränkt steuerpflichtig, wenn er weder seinen Wohnsitz noch seinen gewöhnlichen Aufenthalt in Österreich hat, jedoch seine Einkünfte aus Quellen in Österreich bezieht und nicht nachweisen kann, dass sein Aufenthalt in dem anderen Staat (Deutschland) nicht die Hauptzwecksetzung seiner Lebensgepflogenheiten darstellt (§ 1 Abs. 2 Z 8 EStG). Da der deutsche Staatsangehörige weder in Deutschland einen ""Wohnsitz"" noch einen ""gewöhnlichen Aufenthalt"" iS des § 1 Abs. 1 Z 5 EStG hat, gilt er jedoch gemäß § 41 Abs. 1 Z 2 EStG als inländischer Steuerpflichtiger, wenn er aufgrund seiner Einkünfte aus Österreich in Österreich seinen Hauptwohnsitz, Wohnsitz oder gewöhnlichen Aufenthalt hat oder sein Aufenthalt in dem anderen Staat nicht die Hauptzwecksetzung seiner Lebensgepflogenheiten darstellt. Aufgrund seiner hohen österreichischen Einkünfte hat er dies nachzuweisen.";Ja. Staatsangehörige eines EU- oder EWR-Staates können nach § 1 Abs. 4 EStG 1988 auf Antrag als unbeschränkt steuerpflichtig behandelt werden, wenn sie in Österreich keine Wohnung und keinen gewöhnlichen Aufenthalt haben, aber inländische Einkünfte im Sinne des § 98 EStG 1988 beziehen und mindestens 90% ihrer Einkünfte der österreichischen Einkommensteuer unterliegen.;§ 1 Abs. 4 EStG 1988;1;1;1;2;3;1;„Auf Antrag werden auch Staatsangehörige von Mitgliedstaaten der Europäischen Union oder eines Staates, auf den das Abkommen über den Europäischen Wirtschaftsraum anzuwenden ist, als unbeschränkt steuerpflichtig behandelt, die im Inland weder einen Wohnsitz noch ihren gewöhnlichen Aufenthalt haben, soweit sie inländische Einkünfte im Sinne des § 98 haben. Dies gilt nur, wenn ihre Einkünfte im Kalenderjahr mindestens zu 90% der österreichischen Einkommensteuer unterliegen oder wenn die nicht der österreichischen Einkommensteuer unterliegenden Einkünfte nicht mehr als 13 539 Euro betragen. Inländische Einkünfte, die nach einem Abkommen zur Vermeidung der Doppelbesteuerung nur der Höhe nach beschränkt besteuert werden dürfen, gelten in diesem Zusammenhang als nicht der österreichischen Einkommensteuer unterliegend. Die Höhe der nicht der österreichischen Einkommensteuer unterliegenden Einkünfte ist durch eine Bescheinigung der zuständigen ausländischen Abgabenbehörde nachzuweisen.“ (§ 1 Abs. 4 EStG 1988);"Hallucination: 1 Note: The answer cites § 1 Abs. 1 Z 5, § 1 Abs. 2 Z 8 and § 41 Abs. 1 Z 2 EStG, which are not part of the provided legal paragraph and introduces unsupported conditions.

Correctness: 0 Note: The answer incorrectly concludes “No,” although § 1 Abs. 4 EStG explicitly allows such a taxpayer to apply for treatment as unbeschränkt steuerpflichtig if the 90% threshold is met.

Legal groundedness: 1 Unsupported claims: The reasoning relies on provisions and conditions not contained in the provided paragraph. Citation: ""Auf Antrag werden auch Staatsangehörige von Mitgliedstaaten der Europäischen Union … als unbeschränkt steuerpflichtig behandelt …"" (§ 1 Abs. 4 EStG) ""Dies gilt nur, wenn ihre Einkünfte im Kalenderjahr mindestens zu 90% der österreichischen Einkommensteuer unterliegen …"" (§ 1 Abs. 4 EStG)

Legal reasoning: 1 Note: The answer applies incorrect and irrelevant legal provisions instead of applying the rule in § 1 Abs. 4 EStG to the facts.

Completeness: 2 Note: The answer is extensive but fails to address the correct legal mechanism, namely the application for treatment based on the 90% rule.
";
3;13a3a073333553b4;Ein österreichischer Unternehmer verkauft eine Maschine an eine österreichische AG und befördert sie mit eigenem Lkw direkt in die Schweiz. Ist die Lieferung nach § 7 UStG steuerfrei, obwohl der Abnehmer nicht ausländisch ist?;"Nein, die Lieferung ist nicht steuerfrei.  

**Erklärung:**

* **§ 25b UStG**:  Definiert den Einfuhr-Versandhandel. Er regelt, dass die Lieferung an einen Nichtunternehmer, der keine juristische Person ist, in Österreich steuerlich behandelt wird, wenn sie in das Drittland (Schweiz) befördert wird. 


**Hinweis:** Es gibt keine explizite Regelung in § 7 UStG, die die Steuerfreiheit bei Einfuhr-Versandhandelslieferungen bestätigt. 



Bitte beachten Sie, dass dies eine allgemeine Interpretation ist und spezifische rechtliche Beratung immer notwendig ist.";"Ja. Nach § 7 Abs. 1 Z 1 genügt, dass der Unternehmer den Gegenstand in das Drittlandsgebiet befördert oder versendet; ein ausländischer Abnehmer ist dafür nicht erforderlich.";§ 7 Abs. 1 Z 1 UStG 1994;1;2;1;1;4;1;„der Unternehmer den Gegenstand der Lieferung in das Drittlandsgebiet befördert oder versendet (§ 3 Abs. 8)“;"Hallucination: 1 Note: The answer introduces § 25b UStG, which is not part of the provided paragraph and is irrelevant.
Correctness: 1 Note: The answer reaches a conclusion opposite to the reference (states not tax-free instead of tax-free).
Legal groundedness: 1 Unsupported claims: The answer relies on § 25b UStG, which is not part of the provided legal paragraph. Citation: ""Der Unternehmer den Gegenstand in das Drittlandsgebiet befördert oder versendet."" (§ 7 Abs. 1 Z 1 UStG)
Legal reasoning: 1 Note: The answer applies an irrelevant provision and does not apply the correct rule to the facts.
Completeness: 2 Note: The answer gives some explanation but misses the relevant condition for tax exemption.
Comprehension: 4
";
4;13b71b66e67e77a0;Was regelt die Sachbezugswerteverordnung?;swerteverordnung? Antwort: Die Sachbezugswertverordnung (SBBV) enthält keine Bestimmungen über die Sachbezugswerte im Sinne von Art. 10 Abs. 2 des Bundesgesetzes vom 6. Oktober 1974 über die Rechtshilfe in Strafsachen (SR 313.0).;Die Bewertung von nicht in Geld bestehenden Vorteilen (z.B. Dienstwohnung, Privatnutzung Firmen-KFZ).;Sachbezugswerte-V;1;1;1;1;2;1;"""Verordnung über die Bewertung bestimmter Sachbezüge (Sachbezugswerteverordnung).""
""Zu § 15 Abs. 2 des Einkommensteuergesetzes 1988, BGBl. Nr. 400, wird verordnet:""
""Der Wert der vollen freien Station beträgt 196,20 Euro monatlich. In diesen Werten sind enthalten: Die Wohnung (ohne Beheizung und Beleuchtung) mit einem Zehntel, die Beheizung und Beleuchtung mit einem Zehntel, das erste und zweite Frühstück mit je einem Zehntel, das Mittagessen mit drei Zehntel, die Jause mit einem Zehntel, das Abendessen mit zwei Zehntel."" (§ 1 Abs. 1 Sachbezugswerteverordnung)
""Stellt der Arbeitgeber seinem Arbeitnehmer Wohnraum kostenlos oder verbilligt zur Verfügung, ist als monatlicher Quadratmeterwert der jeweils am 31. Oktober des Vorjahres geltende Richtwert gemäß § 5 des Richtwertgesetzes, BGBl. Nr. 800/1993, in der Fassung des Bundesgesetzes BGBl. I Nr. 50/2008, bezogen auf das Wohnflächenausmaß gemäß Abs. 5 anzusetzen. Kostenbeiträge des Arbeitnehmers vermindern den Sachbezugswert."" (§ 2 Abs. 1 Sachbezugswerteverordnung)
""Besteht für den Arbeitnehmer die Möglichkeit, ein arbeitgebereigenes Kraftfahrzeug gemäß § 2 Z 1 Kraftfahrgesetz 1967 für nicht beruflich veranlasste Fahrten einschließlich Fahrten zwischen Wohnung und Arbeitsstätte zu benützen, gilt Folgendes:"" (§ 4 Abs. 1 Sachbezugswerteverordnung)
";"Hallucination: 1 Note: The answer refers to “Art. 10 Abs. 2 des Bundesgesetzes … über die Rechtshilfe in Strafsachen,” which is unrelated to the provided source and introduces irrelevant legal content.

Correctness: 1 Note: The answer is wrong on the main legal point, as it denies that the regulation governs Sachbezugswerte, while the reference answer states that it defines the valuation of non-cash benefits.

Legal groundedness: 1 Unsupported claims: The answer relies on an unrelated Swiss criminal law provision and does not reflect the content of the provided source.

Legal reasoning: 1 Note: The answer applies an irrelevant legal framework and does not connect the rule about valuation of non-cash benefits to the question.

Completeness: 1 Note: The answer is minimal and does not address the actual scope or purpose of the Sachbezugswerteverordnung.

Comprehension: 2 Note: The answer is confusing, mixes unrelated legal systems, and is poorly structured.
";
5;141fa03c7a5c3b6d;Was sind Einnahmen nach § 15 EStG?;"Nach § 15 Abs. 1 EStG sind Einnahmen alle Güter, die der Steuerpflichtige aus seiner gewerblichen Tätigkeit erzielt. Dazu gehören insbesondere:

* Betriebseinnahmen, wie z.B. Verkaufserlöse, Provisionen und Lizenzgebühren
* Entschädigungen, wie z.B. Schadensersatz und Versicherungsleistungen
* Gewinne aus der Veräußerung von Wirtschaftsgütern

§ 15 Abs. 2 EStG regelt, dass die Einnahmen in dem Kalenderjahr anzusetzen sind, in dem sie dem Steuerpflichtigen zugeflossen sind. Nach § 11 EStG ist der Zufluss von Einnahmen in dem Zeitpunkt anzunehmen, in dem der Steuerpflichtige über die Einnahmen wirtschaftlich verfügen kann.

Es ist wichtig zu beachten, dass die Einnahmen nach § 15 EStG nur dann steuerpflichtig sind, wenn sie aus einer gewerblichen Tätigkeit stammen. Andere Einnahmen, wie z.B. Einkünfte aus nichtselbständiger Arbeit oder Kapitalvermögen, unterliegen anderen Steuerregelungen.";Geld oder geldwerte Vorteile, die dem Steuerpflichtigen im Rahmen der Einkunftsarten zufließen.;EStG § 15;1;2;2;3;4;1;"""Einnahmen liegen vor, wenn dem Steuerpflichtigen Geld oder geldwerte Vorteile im Rahmen der Einkunftsarten des § 2 Abs. 3 Z 4 bis 7 zufließen."" (§ 15 Abs. 1 EStG)
""Die Veräußerung von Wirtschaftsgütern führt nur dann zu Einnahmen, wenn dies ausdrücklich angeordnet ist."" (§ 15 Abs. 1 EStG)
""Geldwerte Vorteile (Wohnung, Heizung, Beleuchtung, Kleidung, Kost, Waren, Überlassung von Kraftfahrzeugen zur Privatnutzung und sonstige Sachbezüge) sind mit den um übliche Preisnachlässe verminderten üblichen Endpreisen des Abgabeortes anzusetzen."" (§ 15 Abs. 2 Z 1 EStG)
";"Hallucination: 1 Note: The answer introduces incorrect limitations (only “gewerbliche Tätigkeit”) and adds unrelated provisions (§ 11 EStG), which are not part of the provided paragraph.

Correctness: 1 Note: The answer partially reflects the idea of Einnahmen but is fundamentally incorrect because it wrongly limits them to business income.

Legal groundedness: 2 Unsupported claims: The restriction to “gewerbliche Tätigkeit” and the listed categories are not supported by the provided provision. 

Legal reasoning: 2 Note: The answer shows partial understanding but misapplies the concept by narrowing it to one type of income and adding irrelevant rules.

Completeness: 3

Comprehension: 4
";
6;14661ee78fc707df;Ein Bauer betreibt zusätzlich zu seiner Landwirtschaft einen kleinen Hofladen, in dem er eigene Produkte verkauft. Er meint, da er Landwirt ist, falle alles unter Land- und Forstwirtschaft und nicht unter § 23. Stimmt das?;"Die Ansicht des Landwirts ist grundsätzlich korrekt, sofern er im Hofladen ausschließlich oder überwiegend eigene Erzeugnisse vertreibt, da die Direktvermarktung eigener land- und forstwirtschaftlicher Produkte als integraler Bestandteil der landwirtschaftlichen Tätigkeit gilt und somit Einkünfte aus Land- und Forstwirtschaft im Sinne des Einkommensteuergesetzes (EStG) darstellt und nicht als gewerblicher Geschäftsbetrieb gemäß § 23 EStG zu qualifizieren ist. Entscheidend für die steuerliche Einordnung ist die Herkunft der Waren: Während der Verkauf eigener Produkte die landwirtschaftliche Einkunftsart beibehält, führt der Handel mit fremden Waren (z. B. der Zukauf von Produkten anderer Erzeuger oder der Verkauf von industriellen Fertigwaren) zur Entstehung eines gewerblichen Einkommens gemäß § 23 EStG, was eine entsprechende Gewerbeanmeldung sowie eine getrennte Gewinnermittlung für diesen Teilbereich erforderlich machen kann. Auch die Intensität der Verarbeitung ist relevant; eine einfache Weiterverarbeitung eigener Rohstoffe (z. B. die Herstellung von Most oder Marmeladen aus eigenen Früchten) bleibt in der Regel im Bereich der Land- und Forstwirtschaft, während eine industrielle Veredelung den Tatbestand des Gewerbebetriebs erfüllen könnte. In Bezug auf die Umsatzsteuer (UStG) ist unabhängig von der Einkunftsart zu prüfen, ob die Umsatzgrenzen für die Kleinunternehmerregelung gemäß § 6 Abs. 1 Z 2 UStG überschritten werden oder ob die Umsätze regulär steuerpflichtig sind, wobei die landwirtschaftliche Tätigkeit grundsätzlich den umsatzsteuerlichen Grundsätzen unterliegt.";Nein. Da der Bauer ausschließlich eigene Erzeugnisse vermarktet, bleibt die Tätigkeit im Rahmen der Land- und Forstwirtschaft. § 23 Z 1 schließt Land- und Forstwirtschaft ausdrücklich aus, ein Gewerbebetrieb liegt nicht vor.;§ 23 EStG 1988;2;3;4;4;4;0;"""Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist."" (§ 23 Z 1 EStG)

""Einkünfte aus Gewerbebetrieb sind Einkünfte aus einer Tätigkeit, die weder als Ausübung der Land- und Forstwirtschaft … anzusehen ist."" (§ 23 Z 1 EStG)
";"Correctness: 2 Note: The answer reflects the correct legal principle (sale of own products = Landwirtschaft), but does not match the reference answer (“Nein”) because it treats the farmer’s statement as generally correct instead of too broad.

Legal groundedness: 3 Unsupported claims: Additional aspects such as processing intensity and VAT rules are not supported by the provided provision. Citation: ""Einkünfte aus einer selbständigen, nachhaltigen Betätigung … wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft … anzusehen ist."" (§ 23 Z 1 EStG)
";
7;151e7c8c69f6db59;Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?;Die Verlustverrechnung von ausländischen Gruppenmitgliedern ist nur zulässig, wenn die Gruppenmitglieder in einem Staat mit einem Doppelbesteuerungsabkommen mit Österreich vereinbarten Verlustverrechnung vorsehen.;Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).;§ 9 Abs. 6 Z 1 und Z 6 KStG 1988;2;2;2;2;3;1;"""Bei nicht unbeschränkt steuerpflichtigen ausländischen Gruppenmitgliedern sind nur die nach § 5 Abs. 1 und den übrigen Vorschriften des Einkommensteuergesetzes 1988 und dieses Bundesgesetzes ermittelten Verluste aus Einkunftsquellen des jeweiligen Wirtschaftsjahres, höchstens jedoch die nach ausländischem Steuerrecht ermittelten Verluste des betreffenden Wirtschaftsjahres dem unmittelbar beteiligten Gruppenmitglied bzw. Gruppenträger im Ausmaß der Beteiligungen aller beteiligter Gruppenmitglieder einschließlich eines beteiligten Gruppenträgers zuzurechnen."" (§ 9 Abs. 6 Z 6 KStG 1988)
""Zuzurechnende Verluste können nur im Ausmaß von 75% der Summe der eigenen Einkommen sämtlicher unbeschränkt steuerpflichtiger Gruppenmitglieder sowie des Gruppenträgers berücksichtigt werden."" (§ 9 Abs. 6 Z 6 KStG 1988)
""Als Ergebnis eines unbeschränkt steuerpflichtigen Gruppenmitglieds gilt das Einkommen unter Berücksichtigung der Z 4."" (§ 9 Abs. 6 Z 1 KStG 1988)
";"Hallucination: 1 Note: The statement that loss utilization requires a double taxation agreement is not supported by the law.

Correctness: 2 Note: The answer partially identifies that foreign losses are restricted but introduces incorrect conditions and misses the core mechanism (75% cap + comparison with domestic members).
Legal groundedness: 2
Unsupported claims: Requirement of a double taxation agreement is not contained in § 9 KStG.                                                                 Legal reasoning: 2 Note: The reasoning fails because it introduces an irrelevant legal condition (DBA) and does not correctly apply the statutory limitation and attribution logic.

Completeness: 2 Note: Missing comparison between domestic and foreign members, missing 75% limitation, missing restriction to Austrian-law-calculated losses.
";
8;152a73e53a6cb708;Frau Berger erhält im April 2026 einen Airdrop von 10.000 Token des Projekts ‚AlphaDAO'. Bedingung für den Airdrop war, dass sie in der Vergangenheit das AlphaDAO-Protokoll genutzt hatte. Sie hat keinerlei Gegenleistung erbracht und keinen Token-Kauf getätigt. Der Token hat zum Zeitpunkt der Gutschrift auf ihrer Wallet einen Marktwert von EUR 2 pro Token. Frau Berger hält die Token sechs Monate und verkauft sie dann zu EUR 5 pro Token. Wie ist der Airdrop steuerlich einzuordnen, und wie berechnet sich der Veräußerungsgewinn?;Der Airdrop ist steuerlich als Einkünfte aus Kapitalvermögen einzuordnen, da Frau Berger keine Gegenleistung erbracht hat und der Token nicht als Arbeitslohn oder als Zinsen zu betrachten ist. Der Veräußerungsgewinn beträgt 3.000 Euro (10.000 Token * 0,30 Euro, da der Token von 2 auf 5 Euro gestiegen ist), da Frau Berger die Token sechs Monate gehalten hat und der Gewinn somit als Kursschwankung und nicht als kurzfristige Spekulation zu betrachten ist.;Ein Airdrop ohne Gegenleistung stellt keinen Anschaffungsvorgang dar. Die erhaltenen Token haben Anschaffungskosten von null Euro (§ 27b Abs. 3 EStG). Im Unterschied zu Staking-Rewards, die als laufende Einkünfte aus der Überlassung von Kryptowährungen erfasst werden, ist ein reiner Airdrop mangels zugrunde liegender Überlassung oder sonstiger Leistung nicht als laufende Einkünfte gemäß § 27b Abs. 2 EStG zu qualifizieren. Der Airdrop selbst löst im Zeitpunkt des Zuflusses noch keine Einkommensteuerpflicht aus. Erst die spätere Veräußerung ist steuerpflichtig: Veräußerungserlös 10.000 × EUR 5 = EUR 50.000, Anschaffungskosten EUR 0, Veräußerungsgewinn EUR 50.000, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG).;"§ 27b Abs. 3 EStG; § 27b Abs. 1 EStG; § 27a Abs. 1 EStG";2;2;2;2;3;1;"""Zu den Einkünften aus Kryptowährungen gehören laufende Einkünfte aus Kryptowährungen sowie Einkünfte aus realisierten Wertsteigerungen von Kryptowährungen nach Maßgabe des § 27b."" (§ 27 Abs. 4a EStG)
""Einkünfte aus Kapitalvermögen sind Einkünfte aus der Überlassung von Kapital (Abs. 2), aus realisierten Wertsteigerungen von Kapitalvermögen (Abs. 3), aus Derivaten (Abs. 4) und aus Kryptowährungen (Abs. 4a), soweit sie nicht zu den Einkünften im Sinne des § 2 Abs. 3 Z 1 bis 4 gehören."" (§ 27 Abs. 1 EStG)
""Verluste aus Einkünften nach Abs. 3, 4 und 4a können nicht mit Zinserträgen aus Geldeinlagen und sonstigen Geldforderungen bei Kreditinstituten im Sinne des § 27a Abs. 1 Z 1 sowie mit Zuwendungen gemäß Abs. 5 Z 7 ausgeglichen werden."" (§ 27 Abs. 8 Z 1 EStG)
";"Hallucination: 1 Note: The answer invents an incorrect calculation of EUR 3,000 using “0.30 Euro” and introduces an unsupported statement about six months holding and “short-term speculation.”
Correctness: 2 Note: The answer partially identifies the crypto/capital-income context, but the tax treatment and calculation are materially wrong; the correct gain is EUR 50,000, not EUR 3,000.
Legal groundedness: 2 Unsupported claims: The calculation, the six-month holding-period reasoning, and the “short-term speculation” explanation are not supported by the provided source. 
Legal reasoning: 2 Note: The answer uses the wrong calculation logic and fails to apply the reference rule that the airdrop has acquisition costs of zero and taxation occurs upon sale.
Completeness: 2 Note: The answer misses the key points: no taxation at receipt, acquisition costs of zero, taxable sale proceeds of EUR 50,000, and the 27.5% tax rate.
";
9;156300e563c9cf17;Eine Person besitzt in Österreich nur eine leerstehende, unmöblierte Wohnung, die tatsächlich nicht bewohnbar gehalten wird. Begründet diese leerstehende Wohnung einen Wohnsitz?;"Eine leerstehende, unmöblierte Wohnung, die tatsächlich nicht bewohnbar gehalten wird, begründet keinen Wohnsitz im Sinne des österreichischen Steuerrechts. 

Nach § 26 Abs. 7 EStG 1988 ist Wohnsitz dort, wo jemand eine Wohnung unter Umständen innehat, die darauf schließen lassen, dass er die Wohnung beibehalten und benutzen wird. Eine Wohnung, die leer steht und nicht bewohnbar gehalten wird, erfüllt diese Voraussetzungen nicht, da keine tatsächliche Benutzungsabsicht vorliegt.

Somit begründet die bloße Innehabung einer solchen Wohnung keinen Wohnsitz.";Nein. Laut EStR 2000 Rz 21 begründet eine Wohnung nur dann einen Wohnsitz, wenn sie für den eigenen Wohnbedarf tatsächlich genutzt werden kann. Eine leer stehende, unmöblierte Wohnung erfüllt diese Voraussetzungen nicht.;EStR 2000 Rz 21;4;1;4;4;5;1;Wird eine Wohnung (ein Gebäude) zunächst viele Jahre vermietet, findet der Vermieter jedoch nach Kündigung durch den Mieter - trotz laufender Vermietungsbemühungen - keinen Nachmieter, ist die für die Einkünfte aus Vermietung und Verpachtung erforderliche Vermietungsabsicht erst dann nicht mehr gegeben, wenn entweder die Immobilie objektiv erkennbar für private Zwecke gewidmet wird oder sonst objektiv erkennbar die Bemühungen um das Erlangen von Mietern beendet werden. Die zu den Vermietungsbemühungen hinzutretende Suche nach potenziellen Käufern steht dabei der Annahme von Einkünften aus Vermietung und Verpachtung nicht entgegen. Von einer Vermietungsabsicht ist allerdings dann nicht mehr auszugehen, wenn das ehemals vermietete Objekt für viele Jahre unvermietet bleibt und der Vermieter dennoch keine deutliche Anpassung der angebotenen Mietkonditionen vornimmt (VwGH 21.06.2007, 2005/15/0069).;"Hallucination: 1 Note: The answer cites § 26 Abs. 7 EStG 1988, which is not part of the provided source and appears to introduce an unsupported legal provision.
Correctness: 4 Note: The conclusion matches the reference answer: a vacant, unfurnished apartment that is not actually kept habitable does not establish a residence.
Legal groundedness: 1 Unsupported claims: The answer relies on § 26 Abs. 7 EStG 1988, while the provided source is EStR 2000
Legal reasoning: 4 Note: The answer correctly explains that a residence requires actual usability/availability for personal living, but it grounds this in an unsupported provision.
Completeness: 4 Note: The answer covers the main point: empty, unfurnished, non-habitable apartment = no Wohnsitz.
Comprehension: 5
";
10;156cde5fa691cab4;Was versteht man unter Einkünften aus Gewerbebetrieb (§ 23 EStG)?;"Einkünfte aus Gewerbebetrieb (§ 23 EStG) bezeichnen die Einkünfte, die ein Unternehmer aus seinem gewerblichen Tätigkeitsergebnis erhält. Diese Einkünfte entstehen aus der Verwertung von Produkten oder Leistungen, die im Rahmen des Gewerbebetriebes angeboten und vermarktet werden. (§ 23 Abs. 1 EStG)

Zu den Einkünften aus Gewerbebetrieb gehören unter anderem:

* Einkünfte aus Veräußerung von Produkten oder Leistungen
* Einkünfte aus Zinsen und Kapitalerträgen, die mit dem Gewerbebetrieb verbunden sind
* Einkünfte aus Nebenbetätigungen, die im Rahmen des Gewer";Einkünfte aus einer selbstständigen, nachhaltigen Tätigkeit mit Gewinnabsicht, die kein freier Beruf ist.;EStG § 23;4;5;5;5;5;0;"Einkünfte aus Gewerbebetrieb sind:
	1.Ziffer eins   Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist.  2.Ziffer 2   Gewinnanteile der Gesellschafter von Gesellschaften, bei denen die Gesellschafter als Mitunternehmer anzusehen sind (wie insbesondere offene Gesellschaften und Kommanditgesellschaften), sowie die Vergütungen, die die Gesellschafter von der Gesellschaft für ihre Tätigkeit im Dienste der Gesellschaft, für die Hingabe von Darlehen oder für die Überlassung von Wirtschaftsgütern bezogen haben.  3.Ziffer 3   Veräußerungsgewinne im Sinne des § 24.
";No comments;
