id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer in Österreich ist der Gewinn der Körperschaft, der nach den Vorschriften des Körperschaftsteuergesetzes (KStG) ermittelt wird. Der Gewinn wird dabei nach den Grundsätzen der handelsrechtlichen Gewinnermittlung ermittelt und um bestimmte Steuerabzüge und -freibeträge vermindert."
CORP-TAX-002,"Wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt, kann dies zu einer steuerlichen Belastung führen, da die Körperschaft die Zinsen als Betriebsausgaben absetzen kann, aber die Zinsen nicht gezahlt werden. Dies kann zu einer sogenannten ""Zinsen-Versteuerung"" führen, bei der die Körperschaft die Zinsen als Einkünfte aus Kapitalvermögen versteuern muss."
CORP-TAX-003,"Nach § 4 Abs. 3 EStG sind Körperschaften, die nicht als Kapitalgesellschaften organisiert sind (z.B. Einzelunternehmen, Personengesellschaften wie OHG, KG, GmbH & Co. KG), verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen."
CORP-TAX-004,(a) Bei der Tochtergesellschaft (a) wird die Dividende als Einkünfte aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. Die Tochtergesellschaft muss die Dividende als Einnahme aus Kapitalvermögen in ihrer Steuererklärung angeben und die Körperschaftsteuer zahlen. (b) Bei der österreichischen Muttergesellschaft (b) wird die Dividende als Einkünfte aus Kapitalvermögen behandelt und unterlie
CORP-TAX-005,"Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung unterscheidet sich in der Art der Besteuerung. Eine offene Ausschüttung wird direkt an die Gesellschafter ausgeschüttet und unterliegt der Körperschaftsteuer sowie der Gewinnsteuer der Empfänger. Eine verdeckte Ausschüttung hingegen wird nicht direkt ausgeschüttet, sondern durch eine unangemessene Bezahlung von Gesellschaftern oder durch eine unangemess"
CORP-TAX-006,"Der maximal mögliche Verlustabzug in einem Veranlagungsjahr beträgt 10 % des einkommenssteuerpflichtigen Einkommens, höchstens jedoch 30.000 €. Es gibt jedoch Ausnahmen, wie z.B. bei der Verlustabzugsbeschränkung für Einkünfte aus selbstständiger Arbeit, bei der ein höherer Verlustabzug von 20 % des einkommenssteuerpflichtigen Einkommens möglich ist."
CORP-TAX-007,"Ein Mantelkauf ist ein steuerrechtlicher Begriff, der eine Vertragskonstruktion bezeichnet, bei der ein Unternehmen oder eine Person einen Vertrag mit einer anderen Person abschließt, um die Einkünfte aus einer Geschäftsbeziehung zu versteuern. Der Mantelkauf hat die steuerliche Konsequenz, dass die Einkünfte aus dem Geschäft nicht direkt dem Unternehmen oder der Person zugerechnet werden, sondern vielmehr der Person, die den Mantelkauf getroffen hat, um"
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters gegenüber der Körperschaft ist steuerlich als Verlustabgang zu behandeln. Der Verlust kann jedoch nur in den folgenden Jahren aufgefangen werden, wenn der Gesellschafter eine Beteiligung an der Körperschaft von mindestens 10 % hält."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern ist im Gegensatz zur inländischen Gruppenmitglieder strenger geregelt. Ausländische Gruppenmitglieder können nur Verluste verrechnen, wenn sie in Österreich steuerpflichtig sind und die Verluste in einem anderen Mitgliedstaat der EU oder in einem anderen Vertragsstaat des Doppelbesteuerungsabkommens mit Österreich entstanden sind."
CORP-TAX-010,"Nein, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerfrei, da sie als Teil der Gruppenbesteuerung und nicht als Einnahmen oder Ausgaben der einzelnen Unternehmen angesehen werden."
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig, wenn die Beteiligung nicht im Handelsbuch verzeichnet ist und die Voraussetzungen des § 6 Abs. 2 EStG erfüllt sind."
CORP-TAX-012,"Eine Dividende einer ausländischen EU-Tochtergesellschaft ist in Österreich steuerfrei, wenn die Beteiligung mindestens 15 % der Anteile an der Tochtergesellschaft beträgt und seit mindestens 2 Jahren gehalten wird. Dies gilt gemäß § 22 Abs. 2 Z 1 EStG 1988."
