id,answer,inf_answer,inf_bert,inf_rouge1,model,sft_answer,sft_bert,sft_rouge1,rag_answer,rag_bert,rag_rouge1
ESTG-NEW-019,"Der Reverse Stock Split an sich ist für die glatten Anteile kein steuerpflichtiger Vorgang, da sich nur die Stückelung ändert und die Beteiligungsquote unverändert bleibt. Die Anschaffungskosten der alten Aktien werden auf die neuen Aktien übertragen: 1.000 Aktien × EUR 5 = EUR 5.000, aufgeteilt auf 100 neue Aktien = EUR 50/Aktie. Für die 5 überschüssigen Aktien (Spitze), die gegen Barabfindung eingezogen werden, liegt jedoch eine Veräußerung gemäß § 27 Abs. 3 EStG vor. Die Anschaffungskosten der 5 Spitzenaktien betragen 5 × EUR 5 = EUR 25. Veräußerungserlös: EUR 250. Steuerpflichtiger Gewinn aus der Spitzenabfindung: EUR 250 – EUR 25 = EUR 225, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG). Der Reverse Split ist daher nicht zur Gänze steuerlich neutral.","If you can't get the answer to the above questions, then please contact us.  If you are a German citizen and you have not received any email in which you can be contacted by us, then you are not eligible for this promotion. If you are a German Citizen and you have received email in which you can be contacted by us, please be sure that you have read and understood our Privacy Policy.  We will use the information you provide us, as well as personal",0.6972575783729553,0.0,GPT-2 Inference,,,,,,
ESTG-NEW-012,"Nein. Kryptowährungen, die zum Betriebsvermögen gehören, fallen nicht unter § 27b EStG, sondern sind nach den allgemeinen Gewinnermittlungsvorschriften der jeweiligen Einkunftsart zu behandeln. Gemäß § 27b Abs. 4 EStG ist § 27b nur auf Kryptowährungen im Privatvermögen anwendbar. Da die BTC im Betriebsvermögen des Einzelunternehmens bilanziert sind, handelt es sich um Einkünfte aus Gewerbebetrieb gemäß § 23 EStG. Der Veräußerungsgewinn von 5 × (65.000 – 30.000) = EUR 175.000 unterliegt dem progressiven Einkommensteuertarif (§ 33 EStG) und nicht dem Sondersteuersatz von 27,5 %. Der Umstand, dass die BTC nie zu betrieblichen Zahlungszwecken genutzt wurden, ändert an der Zugehörigkeit zum Betriebsvermögen nichts, solange sie nicht entnommen wurden.","Gavin Andresen   Offline   Activity: 1652  Merit: 1014   Chief Scientist   LegendaryActivity: 1652Merit: 1014Chief Scientist Re: [ANN] BitcoinDark (BTCD)--a secure, private, untraceable cryptocurrency-- May 18, 2014, 12:21:40 AM #9 Quote from: kraken on May 18, 2014, 12:13:25 AM Quote from: Gavin Andresen on May",0.6977317333221436,0.0,GPT-2 Inference,,,,,,
ESTG27-011,"Gemäß § 27 Abs. 5 Z 8 EStG 1988 gelten Zuwendungen insoweit als Substanzauszahlung (und damit nicht als steuerpflichtige Einkünfte), als sie den maßgeblichen Wert übersteigen und im Evidenzkonto Deckung finden. Der maßgebliche Wert gemäß § 27 Abs. 5 Z 8 lit. b EStG 1988 beträgt: Bilanzgewinn (50.000 Euro) + Gewinnrücklagen (30.000 Euro) = 80.000 Euro. Bis zu dieser Höhe (80.000 Euro) stellt die Zuwendung steuerpflichtige Einkünfte aus Kapitalvermögen gemäß § 27 Abs. 5 Z 7 EStG 1988 dar. Der überschießende Betrag von 10.000 Euro (90.000 − 80.000) gilt als Substanzauszahlung, sofern das Evidenzkonto mit 200.000 Euro ausreichend Deckung bietet (was hier der Fall ist). Diese 10.000 Euro sind nicht steuerpflichtig und mindern das Evidenzkonto.","The present application is a continuation of U.S. patent application Ser. No. 08/859,742, filed on Apr. 30, 1998, the contents of which are hereby incorporated by reference in their entirety.  BACKGROUND OF THE INVENTION  1. Field of the Invention  The present invention relates to the field of communications.  2. Description of the Prior Art  In the past, the use of communications media as a means of",0.6997835636138916,0.01020408163265306,GPT-2 Inference,,,,,,
TAX-INTL-075,"Ja. Der Verlustabzug steht beschränkt Steuerpflichtigen nach § 102 Abs. 2 Z 2 EStG 1988 nur für Verluste zu, die in inländischen Betriebsstätten bestimmter betrieblicher Einkunftsarten entstanden sind, oder für Verluste aus in § 98 Abs. 1 Z 3 genanntem unbeweglichem Vermögen.",Ce n'est pas plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de plus de,0.7071380615234375,0.0,GPT-2 Inference,,,,,,
VAT-INTL-001,"""In Griechenland. Es handelt sich um eine kurzfristige Vermietung eines Beförderungsmittels an eine Privatperson (B2C). Gemäß § 3a Abs. 12 UStG 1994 wird die kurzfristige Vermietung eines Beförderungsmittels an dem Ort ausgeführt, an dem dieses Beförderungsmittel dem Leistungsempfänger tatsächlich zur Verfügung gestellt wird. Als kurzfristig gilt eine Vermietung während eines ununterbrochenen Zeitraumes a) von nicht mehr als 90 Tagen bei Wasserfahrzeugen, b) von nicht mehr als 30 Tagen bei allen anderen Beförderungsmitteln.""","[3] The meaning of the question was: ""Was it a matter of one's own choice whether to be a Jew or a Christian?"" It was a question which was asked by the Roman Catholic priests, and in the form of a question which might reasonably have been asked by the Jew, who was a Gentile. What was the meaning of this question? It was to see whether one was a Christian or a Jew. And the question was not a question which was asked by the Jew,",0.7074029445648193,0.02380952380952381,GPT-2 Inference,,,,,,
SELF-018,Als Bemessungsgrundlage für die Grundsteuer und die landwirtschaftliche Sozialversicherung.,,,,Llama 3.1 Fine-Tuned,Der Einheitswert (EV) ist eine Grundlage für verschiedene Abgaben: (1) GrESt: Der Grundstückswert (EV) ist maßgebend für die GrESt (§ 7 Abs. 1 Z 2 GrEStG). (2) Grundbucheintragungsgebühr: Der EV ist maßgeblicher Stufentarifanteil (§ 3 Abs. 1 GrEStG). (3) Grunderwerbsteuerbefreiungen: Für bestimmte Befreiungen (z.B. Erwerbe durch Gemeinden) ist der EV maßgeblich. (4) Steuerbefreiungen im Grundstücksweg: Für bestimmte Befreiungen (z.B. Erwerbe durch gemeinnützige Einrichtungen) ist der EV maßgeblich. (5) Im Rahmen der Grundstückswertfeststellung im Zivilprozess (§ 98 ZPO).,0.7409560084342957,0.0606060606060606,,,
SELF-025,Anpassungen bei den Steuersätzen und Befreiungen für Betriebsübergaben.,,,,Llama 3.1 Fine-Tuned,"Das Budgetbegleitgesetz 2001 (BGBl. I 2001/109) führte folgende Änderungen bei der Grunderwerbsteuer ein: (1) Die Grunderwerbsteuer wurde von 3,5% auf 2,5% für Grundstückserwerbe und auf 1,5% für Grundstückserwerbe im Rahmen von Erbauseinandersetzungen gesenkt. (2) Die Begünstigung für Erwerbe im Rahmen von Erbauseinandersetzungen wurde erweitert (§ 7 Abs. 1 Z 2 GrEStG). (3) Die Begünstigung für Erwerbe im Rahmen von Scheidungsvereinbarungen wurde eingeführt (§ 7 Abs. 1 Z 3 GrEStG). (4) Die Begünstigung für Erwerbe im Rahmen von Erbfolge bei Todesfall wurde erweitert (§ 7 Abs. 1 Z 1 GrEStG).",0.744197428226471,0.07079646017699116,,,
SELF-064,"Ja, es fallen Dienstnehmer- und Dienstgeberanteile zur SV an.",,,,Llama 3.1 Fine-Tuned,"Ja. Entgeltfortzahlungspflichte im Sinne des § 109 Abs. 1 ArbGG sind gemäß § 25 Abs. 1 Z 2 EStG keine Arbeitslohnbestandteile und unterliegen nicht der Sozialversicherungspflicht. Dies gilt jedoch nicht für Entgeltfortzahlungspflichten, die gesetzlich vorgeschrieben sind (z.B. § 109 ArbGG, § 16 Abs. 1 ArbVG). Diese sind gemäß § 25 Abs. 1 Z 2 EStG sozialversicherungspflichtig.",0.7463741302490234,0.06451612903225806,,,
SELF-056,"Z.B. Arbeitslosengeld, Beihilfen nach dem FLAG oder bestimmte Trinkgelder.",,,,Llama 3.1 Fine-Tuned,"Bezüge, die nach dem Gesetz von der Einkommensteuer befreit sind (§ 3 Abs. 1 EStG): (1) Bezüge aus gesetzlichen Pensionsversicherungen, (2) Bezüge aus betrieblichen Kollektivversicherungen, (3) Bezüge aus betrieblichen Pensionskassen, (4) Bezüge aus der gesetzlichen Unfallversicherung, (5) Bezüge aus der gesetzlichen Krankenversicherung, (6) Bezüge aus der gesetzlichen Sozialversicherung für Arbeitnehmer, (7) Bezüge aus der Unfallversicherung für Arbeitnehmer, (8) Bezüge aus der betrieblichen Pensionskasse, (9) Bezüge aus der betrieblichen Kollektivversicherung, (10) Bezüge aus der gesetzlichen Unfallversicherung.",0.7470042705535889,0.041237113402061855,,,
SELF-031,Es regelte die Besteuerung von Vermögensübergängen (2008 für verfassungswidrig erklärt und aufgehoben).,,,,Llama 3.1 Fine-Tuned,"Das Erbschafts- und Schenkungssteuergesetz (EStG) in seiner bis 2008 geltenden Fassung bestimmte die Steuerpflicht und den Steuersatz für Erbschaften und Schenkungen. Die wichtigsten Bestimmungen: (1) Steuerpflicht: Erbanfänge, Schenker, Erwerbe durch Vermittlung eines Dritten (§ 1 EStG), (2) Steuerbefreiungen: unmittelbare Familienangehörige, gemeinnützige Zwecke, Stiftungen, (3) Steuersätze: bis 2008: 1,5% bis EUR 10.000, 2% bis EUR 20.000, 3,5% darüber hinaus. Das EStG wurde 2008 durch das Erbschafts- und Schenkungssteuergesetz 2008 (EStG 2008) ersetzt.",0.7494749426841736,0.10309278350515463,,,
GRESt-AT-026,"Gemäß § 3 Abs. 1 Z 2 lit. b GrEStG muss der Übergeber das 55. Lebensjahr vollendet haben oder wegen körperlicher, psychischer, sinnesbedingter oder kognitiver Funktionseinschränkungen erwerbsunfähig sein (nachzuweisen durch ein medizinisches Gutachten).",,,,Qwen RAG,,,,"Basierend auf den bereitgestellten Gesetzestexten kann ich leider keine genauen vorgeschriebenen Voraussetzungen für die Anwendung der Freibetragsregelung finden. Es gibt keine speziellen Paragraphen, die diese Voraussetzungen für die unentgeltliche Übergabe eines Betriebes unter Lebenden festlegen. Die Regelung, bei der es sich um eine unentgeltliche Übergabe eines Betriebes handelt, scheint in den genannten Texten nicht explizit zu erwähnt zu sein. Daher müssten die spezifischen Voraussetzungen für die Anwendung dieser",0.7329273819923401,0.05555555555555555
SELF-042,Durch Betriebsvermögensvergleich (Bilanzierung).,,,,Qwen RAG,,,,"Der Gewinn nach § 4 Abs. 1 EStG wird durch die Differenz zwischen dem Erlösen eines Vermögensanteils und seinem Erwerbserlös ermittelt. Dies ist in § 124b Abs. 1 EStG bezeichnet, der sich jedoch nicht direkt auf den Abschnitt 4 Abs. 1 bezieht. Daher muss ich auf den zuständigen Abschnitt zurückgreifen, der den gewährleisteten Abschnitt 4 Abs. 1 EStG ist. Die Berechnung erfolgt entsprechend dem Paragraph 124 b, Ziffer 369 EStG, der die Berechnung von Gewinnen",0.7399613261222839,0.024096385542168672
SELF-056,"Z.B. Arbeitslosengeld, Beihilfen nach dem FLAG oder bestimmte Trinkgelder.",,,,Qwen RAG,,,,Nach § 3 Abs. 1 EStG 1988 sind die folgenden Bezüge von der Einkommensteuer befreit: - Rentenversicherungsbeiträge (§ 3 Abs. 1 Ziffer 1 EStG) - Versicherungsaufwendungen (§ 3 Abs. 1 Ziffer 2 EStG) - Versicherungsbeiträge zur Pflegeversicherung (§ 3 Abs. 1 Ziffer 3 EStG) Die genaue Ausfertigung dieser Bezüge findet sich in den Absätzen 1 bis 3 des Paragraphs 3 des EStG 1988,0.7437517046928406,0.028169014084507043
ESTG-NEW-018,"Ein Verlust aus Kryptowährungen kann gemäß § 27 Abs. 8 EStG nur bei einer tatsächlichen Veräußerung oder einem dieser gleichgestellten Vorgang verrechnet werden. Der bloße Verlust des Zugangs durch die Insolvenz der Börse stellt noch keine Veräußerung dar. Allerdings kommt ein Forderungsausfall in Betracht: Die Guthaben auf der CEX stellen wirtschaftlich eine Forderung gegen die Börse dar. Die Realisation des Verlustes erfolgt im Zeitpunkt der endgültigen Quotenausschüttung bzw. Bestätigung der Abschlussquote. Die Anschaffungskosten betragen 15 × EUR 2.400 = EUR 36.000. Der erhaltene Betrag beträgt EUR 9.600. Der realisierte Verlust beträgt EUR 36.000 – EUR 9.600 = EUR 26.400. Dieser Verlust ist im Rahmen des § 27 Abs. 8 EStG mit anderen Einkünften aus Kapitalvermögen gemäß § 27 verrechenbar, jedoch nicht vortragsfähig.",,,,Qwen RAG,,,,"zu Abs. 4 Z 6 und 8 lit. b ab 1.1.2025 vgl. § 124b Z 466 zu Absatz 4, Ziffer 6 und 8 Litera b, ab 1.1.2025 vergleiche Paragraph 124 b, Ziffer 466 Frage: Welche Paragraphen des EStG 1988 gelten für das Berechnen von Gewinnen, wenn der Inkrafttretensdatum (10.10.2024) noch nicht angetreten ist?",0.7488507628440857,0.1116751269035533
CORP-TAX-006,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",,,,Qwen RAG,,,,"Basierend auf den bereitgestellten Gesetzestexten ist der maximal mögliche Verlustabzug in einem Veranlagungszeitraum (Wirtschaftsjahr) bis zu einem Betrag von 3 Millionen Euro. Es gibt keine speziellen Ausnahmen, die besondere Fälligkeit oder andere Faktoren für einen höheren oder niedrigeren Verlustabzug vorsehen. Die Regel lautet, dass der Verlustabzug ab dem Zeitpunkt nicht mehr zulässig ist, an dem die Identität des Steuerpflichtigen infolge einer wesentlichen Änderung seiner organisatorischen und wirtschaftlichen Struktur auf entgeltlicher Grundlage",0.7522489428520203,0.07017543859649122
