id,answer
CORP-TAX-001,Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist gemäß § 16 EStG (Einkommensteuergesetz) die Bemessungsgrundlage des Körperschaftsteuergesetzes (KStG) nach § 16 Abs. 1 Satz 1.<end_of_turn>
CORP-TAX-002,"Nach § 13 Abs. 1 Satz 1 Körperschaftsteuergesetz (KStG) ist ein Darlehen an einen Gesellschafter, das zinslos ist, steuerlich als Schenkung zu behandeln. Die Schenkung unterliegt dann dem Erbschaftsteuer- und Schenkungsteuergesetz (ErbStG) und ist nach den dortigen Vorschriften zu versteuern.<end_of_turn>"
CORP-TAX-003,"Nach § 127 Abs. 1 BGB sind die Körperschaften, die nach § 127 Abs. 2 BGB eingetragen sind, verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen.<end_of_turn>"
CORP-TAX-004,"Gemäß § 12 Abs. 1 EStG (Einkommensteuergesetz) wird eine Dividende, die eine österreichische Tochtergesellschaft (a) an eine österreichische Muttergesellschaft (b) gezahlt wird, bei der Tochtergesellschaft als Einkommen versteuert. Die Muttergesellschaft wird die Dividende als Einkommen versteuern, wenn sie diese erhält. Die Besteuerung erfolgt nach den allgemeinen Vorschriften des Einkommensteuergesetzes.<end_of_turn>"
CORP-TAX-005,"Die steuerliche Behandlung unterscheidet sich wie folgt:

**Offene Ausschüttung (z.B. Dividende):**
* **Ausschüttende Körperschaft:** Die Ausschüttung ist grundsätzlich steuerfrei, wenn sie gemäß § 3 Nr. 10 EStG erfolgt.
* **Empfangende Körperschaft:** Die Empfängerin muss die Ausschüttung in der Regel als Einkommen versteuern (Einkommensteuer).

**Verdeckte Ausschüttung (z.B. durch Verrechnung oder andere Mechanismen):**
* **Ausschüttende Körperschaft:** Die Ausschüttung ist steuerpflichtig, wenn sie als verdeckte Ausschüttung (§ 3 Nr. 10 EStG) eingestuft wird.
* **Empfangende Körperschaft:** Die Empfängerin muss die Ausschüttung versteuern.

**Zusammenfassend:** Der entscheidende Unterschied liegt in der **steuerlichen Einordnung** der Ausschüttung durch die Körperschaft, die sie vornimmt. Eine offene Ausschüttung ist in der Regel steuerfrei, während eine verdeckte Ausschüttung steuerpflichtig ist. Die genaue Definition und die damit verbundene steuerliche Folge sind im jeweiligen Steuerrecht (Einkommensteuergesetz) zu prüfen.<end_of_turn>"
CORP-TAX-006,"Der maximal mögliche Verlustabzug beträgt in einem Veranlagungsjahr 100.000 Euro. Dies gilt für alle Verluste, die im Veranlagungsjahr entstehen.<end_of_turn>"
CORP-TAX-007,"Ein Mantelkauf ist ein Kaufvertrag über ein Kleidungsstück, das nach dem Kaufvertrag an den Käufer übergeben wird. Nach § 13b Abs. 1 Satz 1 des Bürgerlichen Gesetzbuchs (BGB) ist der Kauf eines Mantels, der nach dem Kaufvertrag an den Käufer übergeben wird, steuerlich als Veräußerung eines beweglichen Geschäfts im Sinne des § 3 Abs. 1 Satz 1 EStG zu behandeln. Dies bedeutet, dass der Kaufpreis als Veräußerungsgewinn versteuert werden muss.<end_of_turn>"
CORP-TAX-008,"Nach § 10 Abs. 1 Satz 1 des Einkommensteuergesetzes (EStG) gilt der Forderungsverzicht eines Gesellschafters für die Körperschaft steuerlich nicht als Verzicht auf die Forderung, sondern als Verzicht auf die Forderung, die der Gesellschafter an die Körperschaft hat, wenn die Körperschaft die Forderung nicht zurückfordert.<end_of_turn>"
CORP-TAX-009,"Nach § 12 Abs. 1 Satz 2 des Steuerrechts unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder wie folgt: Die Verlustverrechnung ist nur auf die inländische Gruppe anwendbar, während die ausländischen Gruppenmitglieder keine Verlustverrechnung erhalten.<end_of_turn>"
CORP-TAX-010,"Ja, gemäß § 10 Abs. 1 Satz 1 des Steuerrechts ist die Steuerpflicht auf die Gruppenträgern und die Gruppenmitglieder zu erstrecken.<end_of_turn>"
CORP-TAX-011,"Ja, gemäß § 25 Abs. 1 Satz 2 EStG ist der niedrigerwertige Teil des Beteiligungsanteils abzugsfähig.<end_of_turn>"
CORP-TAX-012,"Gemäß § 13 Abs. 1 Satz 1 EStG (Einkommensteuergesetz) wird eine Dividende einer ausländischen EU-Tochtergesellschaft, die seit mindestens zwei Jahren gehalten wird, steuerlich wie eine inländische Dividende behandelt. Dies bedeutet, dass die Dividende in der Regel nach den inländischen Vorschriften besteuert wird.<end_of_turn>"
