id,prompt,rougeL_Model1_API_Llama70B,rougeL_Model2_Finetuned_Gemma2B,rougeL_Model3_RAG_Gemma2B
CORP-TAX-001,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,1.0,0.24000000000000002,0.23391812865497075
CORP-TAX-002,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",1.0,0.19682539682539685,0.18374558303886926
CORP-TAX-003,"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?",1.0,0.21538461538461542,0.2413793103448276
CORP-TAX-004,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,1.0,0.2183098591549296,0.1693548387096774
CORP-TAX-005,Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,1.0,0.22492401215805471,0.18604651162790697
CORP-TAX-006,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,1.0,0.11724137931034483,0.17560975609756097
CORP-TAX-007,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,1.0,0.13953488372093023,0.14383561643835618
CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,1.0,0.15625,0.1838235294117647
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,1.0,0.18954248366013068,0.19377162629757788
CORP-TAX-010,Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,1.0,0.16463414634146342,0.14201183431952663
CORP-TAX-011,Sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig?,1.0,0.2760736196319019,0.19742489270386265
CORP-TAX-012,"Wie wird eine Dividende einer ausländischen EU-Tochtergesellschaft steuerlich behandelt, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird?",1.0,0.16428571428571428,0.200836820083682
CORP-TAX-013,Warum können § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) gleichzeitig auf denselben Konzern anwendbar sein?,1.0,0.33865814696485624,0.3230240549828179
CORP-TAX-014,Welche Voraussetzungen müssen für eine internationale Schachtelbeteiligung erfüllt sein?,1.0,0.12179487179487178,0.19117647058823528
CORP-TAX-015,Wie werden Veräußerungsgewinne aus internationalen Schachtelbeteiligungen grundsätzlich behandelt?,1.0,0.16233766233766236,0.24354243542435425
CORP-TAX-016,Sind Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung als Betriebsausgabe abzugsfähig?,1.0,0.18556701030927836,0.1795918367346939
CORP-TAX-017,Was ist der Unterschied zwischen § 11 KStG und § 12 KStG in Bezug auf den Betriebsausgabenabzug?,1.0,0.24727272727272726,0.20444444444444443
CORP-TAX-018,Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig?,1.0,0.1661341853035144,0.21052631578947364
CORP-TAX-019,"Welche Aufwendungen sind bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig: (a) EU-Geldbuße, (b) Spende an begünstigten Empfänger, (c) Aufsichtsratsvergütung, (d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung?",1.0,0.2188449848024316,0.22712933753943218
CORP-TAX-020,Wann sind Lizenzgebühren an eine konzernzugehörige Gesellschaft nicht abzugsfähig?,1.0,0.21637426900584794,0.14671814671814673
CORP-TAX-021,Nach welcher Methode ist der Gewinn bei rechnungslegungspflichtigen Körperschaften zu ermitteln?,1.0,0.159468438538206,0.10457516339869281
CORP-TAX-022,"Welche Aspekte der §§ 7–12 KStG sind zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte?",1.0,0.20433436532507743,0.19292604501607716
CORP-TAX-023,"Welche steuerlichen Schritte sind zu beachten, wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt?",1.0,0.14057507987220447,0.17123287671232879
CORP-TAX-024,Was ist der Gewinnermittlungszeitraum und kann davon abgewichen werden?,1.0,0.13855421686746988,0.12987012987012986
CORP-TAX-025,Wie werden Einlagen und Beiträge von Gesellschaftern bei der Einkommensermittlung behandelt?,1.0,0.17522658610271905,0.203921568627451
