id,answer
CORP-TAX-001,; BAO §2 Abs1; BAO §2 Abs2; BAO §2 Abs3; BAO §2 Abs4; BAO §2 Abs5; BAO §2 Abs6; BAO §2 Abs7; BAO §2 Abs8; BAO §2 Abs9; BAO §2 Abs10; BAO §2 Abs11; BAO §2 Abs12; BAO §2 Abs13; BAO §2 Abs14; B
CORP-TAX-002,; BAO §2 Abs1 Z1; BAO §2 Abs1 Z2; BAO §2 Abs1 Z3; BAO §2 Abs1 Z4; BAO §2 Abs1 Z5; BAO §2 Abs1 Z6; BAO §2 Abs1 Z7; BAO §2 Abs1 Z8; BAO §2 Abs1 Z9; BAO §2 Abs1 Z10; BAO §2 Abs1 Z11;
CORP-TAX-003,; BAO §2 Abs1 Z1; BAO §2 Abs1 Z2; BAO §2 Abs1 Z3; BAO §2 Abs1 Z4; BAO §2 Abs1 Z5; BAO §2 Abs1 Z6; BAO §2 Abs1 Z7; BAO §2 Abs1 Z8; BAO §2 Abs1 Z9; BAO §2 Abs1 Z10; BAO §2 Abs1 Z11;
CORP-TAX-004,; BAO §3 Abs1; BAO §3 Abs2; BAO §3 Abs3; BAO §3 Abs4; BAO §3 Abs5; BAO §3 Abs6; BAO §3 Abs7; BAO §3 Abs8; BAO §3 Abs9; BAO §3 Abs10; BAO §3 Abs11; BAO §3 Abs12; BAO §3 Abs13; BAO §3 Abs14; B
CORP-TAX-005,; BAO §2 Abs1 Z1; BAO §2 Abs1 Z2; BAO §2 Abs1 Z3; BAO §2 Abs1 Z4; BAO §2 Abs1 Z5; BAO §2 Abs1 Z6; BAO §2 Abs1 Z7; BAO §2 Abs1 Z8; BAO §2 Abs1 Z9; BAO §2 Abs1 Z10; BAO §2 Abs1 Z11;
CORP-TAX-006,; BAO §2 Abs1; BAO §2 Abs2; BAO §2 Abs3; BAO §2 Abs4; BAO §2 Abs5; BAO §2 Abs6; BAO §2 Abs7; BAO §2 Abs8; BAO §2 Abs9; BAO §2 Abs10; BAO §2 Abs11; BAO §2 Abs12; BAO §2 Abs13; BAO §2 Abs14; B
CORP-TAX-007,; VwR 2013/15/0124; VwR 2013/15/0124; VwR 2013/15/0124; VwR 2013/15/0124; VwR 2013/15/0124; VwR 2013/15/0124; VwR 2013/15/0124; VwR 2013/15/0124; VwR
CORP-TAX-008,; BAO §25 Abs1; BAO §25 Abs2; BAO §25 Abs3; BAO §25 Abs4; BAO §25 Abs5; BAO §25 Abs6; BAO §25 Abs7; BAO §25 Abs8; BAO §25 Abs9; BAO §25 Abs10; BAO §25 Abs11; BAO §25 Abs12; BAO §25 Abs13; BAO §25 Abs14; B
CORP-TAX-009,; BAO §2 Abs1 Z1; BAO §2 Abs1 Z2; BAO §2 Abs1 Z3; BAO §2 Abs1 Z4; BAO §2 Abs1 Z5; BAO §2 Abs1 Z6; BAO §2 Abs1 Z7; BAO §2 Abs1 Z8; BAO §2 Abs1 Z9; BAO §2 Abs1 Z10; BAO §2 Abs1 Z11;
CORP-TAX-010,; VwR 1994/12/0014; VwR 1994/12/0015; VwR 1994/12/0016; VwR 1994/12/0017; VwR 1994/12/0018; VwR 1994/12/0019; VwR 1994/12/0020; VwR 1994/12/0021; VwR
CORP-TAX-011,; BAO §25 Abs1; BAO §25 Abs2; BAO §25 Abs3; BAO §25 Abs4; BAO §25 Abs5; BAO §25 Abs6; BAO §25 Abs7; BAO §25 Abs8; BAO §25 Abs9; BAO §25 Abs10; BAO §25 Abs11; BAO §25 Abs12; BAO §25 Abs13; BAO §25 Abs14; B
CORP-TAX-012,; BAO §2 Abs1 Z1; BAO §2 Abs1 Z2; BAO §2 Abs1 Z3; BAO §2 Abs1 Z4; BAO §2 Abs1 Z5; BAO §2 Abs1 Z6; BAO §2 Abs1 Z7; BAO §2 Abs1 Z8; BAO §2 Abs1 Z9; BAO §2 Abs1 Z10; BAO §2 Abs1 Z11;
CORP-TAX-013,; KStG 1988 §10; KStG 1988 §12 Abs1 Z10; KStG 1988 §12 Abs1 Z10; KStG 1988 §12 Abs1 Z10; KStG 1988 §12 Abs1 Z10; KStG 1988 §12 Abs1 Z10; KStG 1988 §12 Abs1 Z10; KStG 1988 §12 Abs1 Z10
CORP-TAX-014,; BAO §2 Abs1; BAO §2 Abs2; BAO §2 Abs3; BAO §2 Abs4; BAO §2 Abs5; BAO §2 Abs6; BAO §2 Abs7; BAO §2 Abs8; BAO §2 Abs9; BAO §2 Abs10; BAO §2 Abs11; BAO §2 Abs12; BAO §2 Abs13; BAO §2 Abs14; B
CORP-TAX-015,; BAO §3 Abs1; BAO §3 Abs2; BAO §3 Abs3; BAO §3 Abs4; BAO §3 Abs5; BAO §3 Abs6; BAO §3 Abs7; BAO §3 Abs8; BAO §3 Abs9; BAO §3 Abs10; BAO §3 Abs11; BAO §3 Abs12; BAO §3 Abs13; BAO §3 Abs14; B
CORP-TAX-016,; BAO §3 Abs1 Z1; BAO §3 Abs1 Z2; BAO §3 Abs1 Z3; BAO §3 Abs1 Z4; BAO §3 Abs1 Z5; BAO §3 Abs1 Z6; BAO §3 Abs1 Z7; BAO §3 Abs1 Z8; BAO §3 Abs1 Z9; BAO §3 Abs1 Z10; BAO §3 Abs1 Z11;
CORP-TAX-017,; KStG 1988 §11; KStG 1988 §12; KStG 1988 §12 Abs1; KStG 1988 §12 Abs2; KStG 1988 §12 Abs2 Z1; KStG 1988 §12 Abs2 Z2; KStG 1988 §12 Abs2 Z3; KStG 1988 §12 Abs2 Z4; KStG 1988 §
CORP-TAX-018,; BAO §3 Abs1 Z1; BAO §3 Abs1 Z2; BAO §3 Abs1 Z3; BAO §3 Abs1 Z4; BAO §3 Abs1 Z5; BAO §3 Abs1 Z6; BAO §3 Abs1 Z7; BAO §3 Abs1 Z8; BAO §3 Abs1 Z9; BAO §3 Abs1 Z10; BAO §3 Abs1 Z11;
CORP-TAX-019,; BAO §2 Abs1; BAO §2 Abs2; BAO §2 Abs3; BAO §2 Abs4; BAO §2 Abs5; BAO §2 Abs6; BAO §2 Abs7; BAO §2 Abs8; BAO §2 Abs9; BAO §2 Abs10; BAO §2 Abs11; BAO §2 Abs12; BAO §2 Abs13; BAO §2 Abs14; B
CORP-TAX-020,; VwR 1999/1/0011; VwR 1999/1/0012; VwR 1999/1/0013; VwR 1999/1/0014; VwR 1999/1/0015; VwR 1999/1/0016; VwR 1999/1/0017; VwR 1999/1/0018; VwR
CORP-TAX-021,; BAO §2 Abs1; BAO §2 Abs2; BAO §2 Abs3; BAO §2 Abs4; BAO §2 Abs5; BAO §2 Abs6; BAO §2 Abs7; BAO §2 Abs8; BAO §2 Abs9; BAO §2 Abs10; BAO §2 Abs11; BAO §2 Abs12; BAO §2 Abs13; BAO §2 Abs14; B
CORP-TAX-022,; KStG 1988 §7 Abs1; KStG 1988 §7 Abs2; KStG 1988 §8 Abs1; KStG 1988 §8 Abs2; KStG 1988 §9 Abs1; KStG 1988 §9 Abs2; KStG 1988 §10 Abs1; KStG 1988 §10 Abs2; KStG 1988 §11 Abs1;
CORP-TAX-023,; BAO §25 Abs1; BAO §25 Abs2; BAO §25 Abs3; BAO §25 Abs4; BAO §25 Abs5; BAO §25 Abs6; BAO §25 Abs7; BAO §25 Abs8; BAO §25 Abs9; BAO §25 Abs10; BAO §25 Abs11; BAO §25 Abs12; BAO §25 Abs13; BAO §25 Abs14; B
CORP-TAX-024,; VwR 1999/1/0014; VwR 1999/1/0015; VwR 1999/1/0016; VwR 1999/1/0017; VwR 1999/1/0018; VwR 1999/1/0019; VwR 1999/1/0020; VwR 1999/1/0021; VwR
