id,correct_answer,prediction,BLEU,ROUGE-L,BERTScore_F1,model
SELF-072,Er wird jährlich indexiert und liegt bei ca. 560-580 Euro (je nach finaler Indexzahl).,"Ich habe keine Informationen über den Alleinverdienerabsetzbetrag für ein Kind ab 2025. Die Steuergesetze in Österreich können sich ändern, und ich bin nur bis 2023 informiert. Ich empfehle, sich an einen Steuerberater oder die Finanzverwaltung Österreichs zu wenden, um die aktuellsten Informationen zu erhalten.",0.004185635735742376,0.03225806451612903,0.5778137445449829,inference
VAT-INTL-001,"""Dort, wo der Unternehmer überwiegend tätig wird (§ 3a Abs. 11 UStG).""","Eine sonstige Leistung im österreichischen Steuerrecht ist eine Einnahme, die nicht unter die üblichen Einkunftsarten wie Lohn, Gehalt, Gewinn aus Gewerbebetrieb oder Vermietung von Immobilien fällt. Dazu gehören beispielsweise Einnahmen aus der Vermietung von Fahrzeugen, der Verkauf von Gegenständen, die nicht zum gewerblichen Betrieb gehören, oder andere nicht typische Einkünfte.",0.00366753025392797,0.029850746268656716,0.6044652462005615,inference
SELF-005,Er beträgt bis zu 2.000 Euro pro Jahr und Kind.,"Ich habe keine Informationen über die Höhe des Familienbonus Plus ab 2025. Die Informationen, die ich habe, sind bis 2023 gültig. Für aktuelle Informationen empfehle ich, sich an die zuständigen Behörden oder einen Steuerberater zu wenden.",0.006132910803680854,0.07547169811320753,0.610663115978241,inference
CORP-TAX-032,"Inländisch (§ 9 Abs. 6 Z 1/2 KStG): Volles Ergebnis wird zugerechnet, ohne Betragsbegrenzung. Ausländisch (§ 9 Abs. 6 Z 6 KStG): Nur Verluste, nach österreichischem Recht, max. ausländischer Verlust, 75 %-Grenze auf österreichisches Gruppeneinkommen. Nachversteuerung nur bei ausländischen Mitgliedern bei Gewinn oder Ausscheiden (§ 9 Abs. 6 Z 7 KStG).","Bei der Verlustverrechnung zwischen einem inländischen und einem ausländischen Gruppenmitglied gibt es folgende Unterschiede: - Höhe: Die Höhe der Verlustverrechnung ist bei einem ausländischen Gruppenmitglied auf die Höhe des inländischen Gruppenbeitrags beschränkt, während es bei einem inländischen Gruppenmitglied keine Höchstgrenze gibt. - Grenze: Die Verlustverrechnung zwischen einem inländischen und einem ausl",0.005081835741365613,0.10526315789473684,0.6174490451812744,inference
SELF-062,Regelungen zur Entgeltfortzahlung im Krankheitsfall (wichtig für Lohnsteuerberechnung).,"Ich konnte keine Informationen zu § 1164a ABGB finden. Es ist möglich, dass es sich um einen nicht existierenden oder nicht aktuell gültigen Paragraphen handelt. Wenn Sie jedoch nach Informationen zum österreichischen Arbeitsrecht suchen, kann ich Ihnen gerne allgemeine Informationen anbieten.",0.0,0.0,0.6202249526977539,inference
VAT-INTL-001,"""In Wien. Mit der Eintrittsberechtigung zusammenhängende Leistungen werden dort besteuert, wo die Messe stattfindet.""","Eine sonstige Leistung im österreichischen Steuerrecht ist eine Einnahme, die nicht unter die üblichen Einkunftsarten wie Lohn, Gehalt, Gewinn aus Gewerbebetrieb oder Vermietung von Immobilien fällt. Dazu gehören beispielsweise Einnahmen aus der Vermietung von Fahrzeugen, der Verkauf von Gegenständen, die nicht zum gewerblichen Betrieb gehören, oder andere nicht typische Einkünfte.",0.004361453072458876,0.05714285714285715,0.6219735145568848,inference
VAT-INTL-001,"""Der Ort der sonstigen Leistung kann danach 1. statt im Inland als im Drittlandsgebiet gelegen und 2. statt im Drittlandsgebiet als im Inland gelegen behandelt werden.“","Eine sonstige Leistung im österreichischen Steuerrecht ist eine Einnahme, die nicht unter die üblichen Einkunftsarten wie Lohn, Gehalt, Gewinn aus Gewerbebetrieb oder Vermietung von Immobilien fällt. Dazu gehören beispielsweise Einnahmen aus der Vermietung von Fahrzeugen, der Verkauf von Gegenständen, die nicht zum gewerblichen Betrieb gehören, oder andere nicht typische Einkünfte.",0.004826741258911654,0.04938271604938271,0.626815140247345,inference
SELF-013,"Bei Verschmelzungen, Umwandlungen, Einbringungen, Zusammenschlüssen und Realteilungen.","Das Umgründungssteuergesetz (UmgrStG) in Österreich greift bei Umgründungen von Unternehmen, also bei der Umwandlung einer Gesellschaft in eine andere Rechtsform oder bei der Fusion von Unternehmen.",0.0,0.05555555555555556,0.6286395788192749,inference
GRESt-AT-063,"Grundsätzlich ist von einer unentgeltlichen Übertragung auszugehen, wenn sich die Gegenleistung gemäß § 7 Abs. 1 GrEStG 1987 auf nicht mehr als 30% des Grundstückswertes bezieht. Der Grundstückswert muss gemäß § 6 Abs. 4 GrEStG 1987, bestimmt werden. Für die Berechnung der allfälligen Grunderwerbssteuer ist dann mit der ermittelten Bemessungsgrundlage gemäß § 4 Abs. 3 1 GrEStG 1987 fortzuführen gemäß § 7 Abs. 1 GrEStG 1987.","Bei einer unentgeltlichen Vermögensübertragung von einem Ehepartner auf den anderen handelt es sich um eine sog. ""Ehegüterrechtliche Zuwendung"". Diese ist grundsätzlich steuerneutral, da sie nicht als Einkünfte oder Vermögenszuwächse des Empfängers gilt. Es ist jedoch zu beachten, dass die Zuwendung im Rahmen der Einkünfteerzielung des Vermächtnisgebers (z.B. bei einer Betriebsaufgabe) steuerlich relevant sein kann.",0.008978931107231811,0.13533834586466165,0.6295489072799683,inference
SELF-061,"Bücher und Aufzeichnungen müssen formell und materiell richtig, vollständig und zeitgerecht sein.","Gemäß § 131 BAO (Bundesabgabenordnung) müssen die Formvorschriften für die Buchführung wie folgt erfüllt werden: - Die Buchführung muss in einer ordnungsgemäßen und wahrheitsgetreuen Form geführt werden. - Die Buchführung muss in einem Buch oder in einem anderen geeigneten Verzeichnis geführt werden. - Die Buchführung muss so geführt werden, dass sie leicht nachprüfbar ist. - Die Buchführung muss alle Geschäftsv",0.003615604940023951,0.07142857142857142,0.631560206413269,inference
