id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist laut § 2 Abs. 1 KStG das von dem inländischen Körperschaftsteuerbesitzenden Unternehmensvermögen zu erzielende und den inländischen Körperschaftsteuerbesitzenden Unternehmensvermögen zuzurechnende Einkommen. 

Wenn man es noch einfach ausdrücken will: Der Gewinn (das Einkommen) der Körperschaft."
CORP-TAX-002,"Gemäß § 12 Abs. 1 Z 5 EStG 1988 wird für ein zinsloses Darlehen an einen Gesellschafter der Gewinn um die Höhe des nicht ausgelösten Zinsertrags erhöht. Dieses Zinsersatzverhältnis kann jedoch gemäß § 12 Abs. 1 Z 5a EStG 1988 aufgehoben werden, wenn das Darlehen zu einem angemessenen Zinssatz zurückgezahlt wird oder wenn der Gesellschafter den gewährten Betrag in eine eigene Kapitalgesellschaft überführt.

Es ist zu beachten, dass bei einem Betriebsaufspaltung nach § 9 Abs. 1 KStG 1988 und § 2 Abs. 1 UmStG 1988 die Körperschaft auch um die Höhe des nicht ausgelösten Zinsertrags erhöht wird, unabhängig davon, ob das Darlehen an einen Gesellschafter oder an eine andere Körperschaft vergeben wird. Hier muss jedoch das Zinsersatzverhältnis gemäß § 12 Abs. 1 Z 5a EStG 1988 aufgehoben werden."
CORP-TAX-003,"Laut § 17 Abs. 1 KStG (Körperschaftsteuer-Gesetz) müssen gewerbliche Unternehmen, die nach § 2 Abs. 2 EStG (Einkommensteuergesetz) eine Betriebsstätte nach dem Ort des Geschäftsbetriebs haben, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuordnen, es sei denn, sie erzielen nur Einkünfte aus Vermietung und Verpachtung, aus Zinsen und aus Lizenzgebühren. 

Für Zweigstellen oder Betriebsstätten außerhalb des Betriebsmittelpunkts (§ 2 Abs. 3 EStG, Betriebsstätte im Ausland), ist jedoch nur der Teil des Einkommens aus dem Betrieb zuzurechnen, der mit der jeweiligen Betriebsstätte verbunden ist. Der Gesamtumsatz muss dabei nicht in Deutschland erzielt worden sein, sondern genügt der Umsatz aus dem auswärtigen Betrieb."
CORP-TAX-004,"Eine sehr gute Frage!

(a) Bei der Tochtergesellschaft:
- Die Tochtergesellschaft ist körperschaftsteuerpflichtig (§ 1 Abs. 1 KStG 1988). 
- Die Dividende wird als Einkünfte aus Kapitalvermögen behandelt (§ 22 Abs. 2 EStG 1988). 
- Die Tochtergesellschaft ist jedoch nicht an der Gewerbesteuer belastet, da sie in einer Steuerklasse mit 0 % (§ 7c Abs. 1 Z 2 GewStG) steuerfrei ist.

(b) Bei der österreichischen Muttergesellschaft:
- Die Dividende ist im Rahmen des internationalen Steuerabkommens (z.B. Doppelbesteuerungsabkommen) als Einkünfte aus Kapitalvermögen zu behandeln (§ 22 Abs. 2 EStG 1988).
- Wenn die Muttergesellschaft Anteile an der Tochtergesellschaft hält, handelt es sich um einen sog. ""Stammvermögensanteil"" (§ 22 Abs. 7 EStG 1988).
- Die Dividende ist in der österreichischen Vermögensteuer (VermSteG) steuerpflichtig (§ 1 VermeStG) und unterliegt einem Steuersatz von 0,5 % des Nennbetrags.

Bitte beachten Sie, dass diese Antwort eine allgemeine Darstellung des Steuerrechts ist und nicht den individuellen Fall eines Mandanten abbildet. Bei Bedarf sollte immer ein Steuerberater konsultiert werden."
CORP-TAX-005,"Die steuerliche Behandlung von offenen und verdeckten Ausschüttungen auf Ebene der ausschüttenden Körperschaft wird in § 24 KStG und § 22 KStG unterschieden.

Offene Ausschüttungen werden in § 24 KStG definiert: Die Ausschüttung ist offensichtlich, wenn die ausschüttende Körperschaft das Ausschüttungsverhältnis (Verhältnis der Ausschüttung zum Nennbetrag der Geschäftsanteile) dem Anteilseigner offenzulegen hat, das Ausschüttungsverhältnis durch Rechnung nachgewiesen werden kann und der Anteilseigner auf Antrag die Ausschüttung als offene Ausschüttung anmelden kann.

Verdeckte Ausschüttungen werden in § 22 KStG definiert: Eine verdeckte Ausschüttung liegt vor, wenn die ausschüttende Körperschaft Vermögenswerte, Gewinn oder andere wirtschaftliche Vorteile an Anteilseigner abführt und dabei nicht die Voraussetzungen einer offenen Ausschüttung erfüllt sind, wie z.B. wenn die Ausschüttung nicht offenzulegenden Ausschüttungsverhältnisses erfolgt.

Dies führt zu unterschiedlichen steuerlichen Konsequenzen, da offene Ausschüttungen nach § 24 KStG steuerlich unverändert sind, während verdeckte Ausschüttungen nach § 22 KStG als Einkünfte des Anteilseigners im Rahmen von Kapitaleinkünften anerkannt werden und die ausschüttende Körperschaft für die Verdeckte Ausschüttung gem. § 14 Abs. 3 KStG die Kapitalertragsteuer zahlt."
CORP-TAX-006,"Nach § 19 Abs. 1 UStG 1994 kann das Unternehmen einen Verlust von maximal € 1 Million absetzen. 

Ausnahmen sind:

- Bei Unternehmen, die innerhalb eines Veranlagungsjahres ihren Betrieb einstellen, ist jedoch der gesamte Verlust absetzbar.
- Wenn der Umsatz unter € 35.000 liegt, beträgt der maximale Verlustabzug € 8.200."
CORP-TAX-007,"Ein Mantelkauf ist ein Kauf eines Wirtschaftsgutes unter Einbehaltung eines Teiles des Kaufpreises für den Verkäufer durch einen Dritten, um eine steuerliche Vermögensveräußerung des Verkäufers oder des Übertragenden zu vermeiden. Gemäß § 20 Abs. 4 KStG 1988 ist bei einem Mantelkauf die Verrechnung von Veräußerungseinlagen mit Verrechnungspflichten steuerlich unzulässig, so dass sich die steuerliche Hinzurechnung des Veräußerungsbetrags nach § 22 Abs. 1 KStG 1988 nicht auf den Kaufpreis für den Käufer auswirkt."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters auf eine Forderung gegen die Gesellschaft kann steuerlich wie folgt wirken:

Nach § 24 KStG (Körperschaftsteuergesetz) wird eine Schuld des Gesellschafters gegen die Gesellschaft als Rücklage angesetzt und nicht als Gewinn im Jahr des Verzichts angenommen. Die Rücklage kann im Zeitraum von 10 Jahren (§ 24 KStG) langsam abgeschrieben werden.

Ein weiterer Aspekt ist, dass der Verzicht auf eine Forderung gegen die Gesellschaft die Höhe der Gewinnverteilung im Jahr des Verzichts nicht direkt beeinflusst. Die Gewinnverteilung im Jahr des Verzichts richtet sich nach den üblichen Regeln für die Verteilung von Gewinnen einer Gesellschaft.

Es ist wichtig zu beachten, dass alle Steuerrechtlichen Anforderungen individuell auf die spezifische Situation der Gesellschaft und ihrer Gesellschafter anwendbar sind. Daher sollte ein Steuerberater oder eine Steuerkanzlei konsultiert werden, um die individuellen steuerlichen Auswirkungen eines Forderungsverzichts zu berücksichtigen."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterliegt den Bestimmungen des § 8 KStG (Körperschaftsteuergesetz). Nach § 8 Abs. 1 Z 2 KStG wird die Verlustverrechnung auf Gruppenmitglieder im Bereich des OECD-Abkommens und von Staaten in die Liste in § 7 Abs. 3 KStG aufgenommen wird, begrenzt auf Verluste, die in einer Besteuerungsperiode erfasst werden. Im Gegensatz dazu werden inländische Gruppenmitglieder nach § 8 KStG iVm § 9 KStG in die Regel vollständig verlustgerecht berücksichtigt."
CORP-TAX-010,"Nein, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerneutral. Dies ergibt sich aus § 8 KStG (Körperschaftsteuergesetz), wonach Gruppenumlagebeträge nicht der Körperschaftsteuer unterliegen und § 37 Abs. 1 EStG (Einkommensteuergesetz), wonach innergruppene Umlageverrechnungen nicht zu versteuerlichen Einkünften führen."
