id,answer
CORP-TAX-001,"Die Steuer ist zu berechnen vom Wert der Gegenleistung (§ 5), mindestens vom Wert des Grundstückes (§ 6). Abweichend von Abs. 1 ist bei den nachstehend angeführten Erwerbsvorgängen betreffend land- und forstwirtschaftliche Grundstücke die Steuer vom Wert des"
CORP-TAX-002,"Es gibt keine steuerlichen Konsequenzen für das Verbrechen eines zinslosen Darlehens an einen nicht-zinslosen Gesellschafter. Es handelt sich dabei um eine Steuerfristverschaffung, die nicht infringingtischendes Steuerrecht erfordert. Es ist jedoch wichtig zu beachten, dass diese Konsequen"
CORP-TAX-003,"In Österreich sind die Einkünfte von Gewerbebetrieb und Gewinnanteile von Gesellschaften und Kommanditgesellschaften nicht verpflichtend zu erzielen. Es gibt jedoch eine Möglichkeit, die Gewinnanteile von Unternehmen zu erheben und zu erzielen, indem sie sich als Betrügerin oder andere Gewinnanteile annehmen."
CORP-TAX-004,"Eine Dividende einer österreichischen Tochtergesellschaft kann bei der Tochter und bei der österreichischen Muttergesellschaft steuerlich behandelt werden. In der Regel wird die Gewinnanteile von einer Beteiligung an einer ausländischen Körperschaft, die mit einer inländischen unter § 7 Abs. 3 fallenden Körpers"
CORP-TAX-005,"Die steuerliche Behandlung einer offenen Ausschüttung auf Ebene der ausschüttenden Körperschaft unterscheidet sich von einer verdeckten Ausschüttung durch die Bereitstellung einer positive Innenfinanzierung voraus. Dies führt zu einem erhöhten Innenfinanzierungsbereich, das sich auf j"
CORP-TAX-006,"In einem Veranlagungsjahr kann ein Verlustabzug nicht zulässig sein, da es nicht zulässig war, wenn es bereits vorangegangen wurde. Es ist jedoch notwendig, dass ein Verlust aus vorangegangenen Jahren von einem bei der Veranlagung für die Kalenderjahre 1996 oder"
CORP-TAX-007,"Ein Mantelkauf ist eine Art von Käuft, bei dem das Unternehmen nicht selbst verfügt über die Kosten für die Produkte oder Dienstleistungen. Es gibt verschiedene Formen von Mantelkaufen, wie z.B. die Verwendung von Mietwohlungen oder der Ausführung von Produktionsanlagen. In diesem Fall wird der Mantelkauf als """
CORP-TAX-008,"In Österreich gilt die Abzugspflicht für die Körperschaftsmitglieder, die ihre Kapitalerträge als Gewinnanteile oder andere Bezahlungen haben. Dies gilt auch für ausländische Körperschaften, die die Anlage 2 zu diesem Bundesgesetz vorgesehene Absatz 29 Abs. 1 (K"
CORP-TAX-009,"In Österreich unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder:

1. In Jahren, bei denen ein gemäß Z 6 zugerechneter ausländischer Verlust mit einem ausländischen Gewinn verrechnet wird oder verrechnet werden könnte,"
CORP-TAX-010,Steuermannssteuerabschlüsse zwischen Gruppenträgern und Gruppenmitgliedern sind steuerpflichtig. Es gelangt zur Berechnung von Mindeststeuern und zu Entrichten.
CORP-TAX-011,"In Österreich sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig. Dies gilt auch für die Gruppenbildung nach dem Anschaffungsjahr. Es ist jedoch notwendig, dass die Gruppenbildung erst nach dem Anschaffungsjahr statt geht, und die Abschreibungen dann auf"
CORP-TAX-012,"Eine Dividende einer ausländischen EU-Tochtergesellschaft kann bei 15% betrachtet werden und in Form von Kapitalanteilen während eines ununterbrochenen Zeitraums von mindestens einem Jahr mindestens zu einem Zehntel betragt. Das Betragen der Kapitalanteile liegt jedoch nicht auf dem Beteiligten selbst,"
