id,answer
CORP-TAX-001,"Die Steuerbemessungsgrundlage der Körperschaftsteuer ist die Summe aus Körperschaftsteuer und Kapitalertragsteuer.
Die Körperschaftsteuer wird von der Steuerbehörde erhoben, die Kapitalerträge besteuert.
Es handelt sich dabei um eine Steuer, die auf den Ertrag einer Kapitalgesellschaft erhoben wird.
Der Ertrag der Kapitalgesellschaft wird auf der Grundlage des Kapitalertrags berechnet, der auf die Kapitalgesellschaft aufgeschlagen wird, und zwar in der Weise, daß der Ertrag aus dem Ertrag der Gesellschaft auf die Einkommensteuer angerechnet wird, d.h. auf den Betrag, den die Gesellschaft für die Einkommensteuer aufwendet.
In diesem Fall wird die Steuer auf das Einkommen der Gesellschaft angerechnet.
Wenn der Ertrag der Einkommensteuer auf die Körperschaftsteuersumme angerechnet werden soll,"
CORP-TAX-002,"In den meisten Mitgliedstaaten gibt es eine Reihe von steuerlichen Anreizen, die dazu bestimmt sind, die Investitionstätigkeit der Unternehmen zu fördern.
In den meisten Fällen handelt es sich dabei um Steuervergünstigungen, die in Form von Zuschüssen oder Darlehen gewährt werden.
Es gibt jedoch auch Fälle, in denen die Gewährung von Steuererleichterungen durch steuerliche Anreize gefördert wird.
Dies ist zum Beispiel der Fall, wenn es sich um eine Steuergutschrift handelt, die von einem Steuerpflichtigen gezahlt wird, der in einem anderen Mitgliedstaat ansässig ist, oder wenn ein Steuerpflichtiger in einen anderen Mitgliedstaat entsandt wird, um dort seinen Wohnsitz zu nehmen.
Steuerliche Anreize sind in den einzelnen Mitgliedstaaten sehr unterschiedlich.
So gibt es z. B. in den Niederlanden"
CORP-TAX-003,"Die Körperschaftsteuer ist eine der wichtigsten Quellen der Steuereinnahmen.
Die Körperschaftsteuer wird in der Regel von den Steuerbehörden erhoben.
Es gibt aber auch andere Quellen, z.B. die Einkommensteuer, die Körperschaftsteuer, die Gewerbesteuer und die Umsatzsteuer.
Bei der Körperschaftsteuer handelt es sich um eine indirekte Steuer, d.h. um eine direkte Steuer, die von der Steuerbehörde erhoben wird.
In der Praxis ist es jedoch nicht immer möglich, diese direkte Steuer zu erheben, da es sich bei der Körperschaft um eine juristische Person handelt.
Daher ist es nicht möglich, die direkte Steuer auf die Ein künfte der Einkunftsquelle zu erheben.
Eine andere Möglichkeit besteht darin, die Ein kommensquelle zu ermitteln."
CORP-TAX-004,"Bei einer österreichischen Tochtergesellschaft wird die Dividende bei der Tochtergesellschaft besteuert.
Bei einer deutschen Tochtergesellschaft werden die Dividenden bei der Muttergesellschaft besteuert, bei einer französischen Tochtergesellschaft bei der französischen Muttergesellschaft.
In der Praxis bedeutet dies, dass die französische Muttergesellschaft die Dividenden an die französische Tochtergesellschaft ausschüttet, während die österreichische Tochtergesellschaft die Gewinne an die Muttergesellschaft ausschütten muss.
Die österreichische Muttergesellschaft hat die Möglichkeit, die Dividenden zu besteuern, die sie an die Tochtergesellschaft ausgeschüttet hat.
Dies bedeutet, dass sie die Gewinne der Tochtergesellschaft besteuern muss, wenn sie die Dividenden ausbezahlt.
Wenn die Dividenden der Tochtergesellschaften besteuert werden, wird die Dividendensteuer auf die Dividenden ausgeschüttet, die die"
CORP-TAX-005,"Eine offene Ausschüttung ist eine Ausschüttung, bei der die Ausschüttungssumme auf der Grundlage der Ausschüttungen an die ausschüttende Körperschaft bestimmt wird.
Eine verdeckte Ausschüttung hingegen ist eine nicht verdeckte, sondern eine offen ausgeschüttete Ausschüttung.
Bei einer offenen Ausschüttung wird die Ausschüttung an die ausscheidende Körperschaft ausgezahlt.
In diesem Fall wird die Dividende auf der Ebene der ausscheidenden Körperschaft ausgezahlt, und die Dividendenkontingente werden auf dieser Ebene festgesetzt.
Die Ausschüttung der Dividende erfolgt auf der Basis der Ausschüttungsergebnisse, die an die ausgeschüttenden Körperschaften ausgezahlt werden.
Diese Ausschüttung erfolgt in der Regel in Form einer Gewinnausschüttung, d.h. die"
CORP-TAX-006,"Der Verlustabzug wird in der Regel in der Steuererklärung eingetragen.
Der Verlustabzug ist in der Einkommensteuererklärung einzutragen.
In der Körperschaftsteuererklärung ist der Verlustabzug einzutragen, wenn die Steuerbemessungsgrundlage für die Veranlagung des Verlustabzugs nicht ausreicht.
Wenn der Verlustabzug nicht ausreicht, um den Verlustabzug zu decken, muss der Steuerpflichtige die Steuererklärung einreichen.
Die Steuererklärung ist in jedem Steuerjahr abzugeben, in dem der Verlust abzugsfähig ist.
Es ist nicht möglich, die Steuerschuld für einen Verlustabzug geltend zu machen, wenn der Verlust in dem Steuerjahr, für das er eingetragen wurde, höher ist als für den Verlust, für den der Verlust eingetragen wurde.
Eine Steuererklärung"
CORP-TAX-007,"Der Mantelkauf ist eine der wichtigsten Einnahmequellen des Staates.
Er ist die wichtigste Einnahmequelle für den Staat.
Der Mantelkauf wird in der Regel in Form von Aktien, Anleihen, Schuldverschreibungen und anderen Wertpapieren getätigt.
Es gibt verschiedene Arten von Mantelkäufen.
Ein Mantelkauf besteht aus dem Kauf von Aktien und Anleihen.
In der Regel handelt es sich dabei um Aktien oder Anleihen, die der Staat kauft.
Eine Anleihe ist eine Anleihe, die vom Staat ausgegeben wird.
Die Anleihe ist ein Darlehen, das der Staat an den Staat zahlt.
Das Darlehen ist eine Form des Kredits, der vom Staat gewährt wird, um die Schulden des Staates zu begleichen.
Wenn der Staat die Schulden nicht begleicht,"
CORP-TAX-008,"In der Regel ist der Gläubiger verpflichtet, die Körperschaftsteuer zu entrichten.
In diesem Fall wird die Steuer fällig, wenn der Gläubiger die Zahlung der Körperschaftsteuer verlangt.
Der Gläubiger ist verpflichtet, diese Zahlung zu leisten, wenn die Zahlung fällig ist.
Wenn die Zahlung nicht fällig ist, hat der Gläubiger das Recht, die Zahlung zu verlangen.
Es ist jedoch möglich, dass der Gläubiger eine Zahlung verlangen kann, wenn er die Zahlung verweigert.
Dies ist beispielsweise dann der Fall, wenn eine Zahlung verweigert wird, weil der Gläubiger nicht in der Lage ist, die Forderung zu begleichen.
Ein Gläubiger kann die Zahlung verweigern, weil er die Forderung nicht beglichen hat.
Die Zahlung kann auch verweigert werden, wenn es sich um eine Forderung handelt"
CORP-TAX-009,"In der Regel werden die Verluste der ausländischen Gruppenmitglieder in der Gewinn- und Verlustrechnung ausgewiesen.
In der Regel wird die Verlust- und die Verlustrechnung getrennt geführt.
Die Verlustrechnung wird in der Regel getrennt geführt, so dass die Gewinn-und-Verlust-Rechnung nicht getrennt geführt werden kann.
Bei der Verlustrechnung handelt es sich um eine Bilanz, in der die Gewinne und Verluste des ausländischen Gruppenmitglieds ausgewiesen werden.
Es handelt sich dabei nicht um eine Gewinn- oder Verlustrechnung, sondern um eine Vermögens- und Schuldenrechnung.
Im Gegensatz zur Verlustrechnung werden die Gewinne der ausländischen Gruppe nicht in der Bilanz ausgewiesen, sondern nur in den Vermögenswerten, die in ausländischer Währung angelegt sind.
Dies bedeutet, dass die"
CORP-TAX-010,"Die Steuerumlage zwischen Gruppenmitgliedern und Gruppenträger ist nicht steuerpflichtig.
In diesem Fall sind die Gruppenmitglieder steuerpflichtig, die Gruppenträger aber nicht.
Die Gruppenmitglieder sind steuerpflichtig und die Steuerschuld liegt bei den Gruppenmitgliedern."
