id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist der zu versteuernde Einkommen (§ 23 KStG). Dieses ergibt sich aus dem steuerlichen Gewinn, ermittelt nach den Regeln des Einkommensteuergesetzes (EStG) mit den Besonderheiten des KStG, vermindert um den Thesaurierungsbetrag (§ 24 KStG) und erhöht um bestimmte Hinzurechnungen (§ 25 KStG).  Vereinfacht: Gewinn - Thesaurierung + Hinzurechnungen = zu versteuerndes Einkommen."
CORP-TAX-002,"Die Vergabe eines zinslosen Darlehens von einer Körperschaft an ihren Gesellschafter kann steuerliche Konsequenzen sowohl für die Körperschaft als auch für den Gesellschafter haben.

**Für die Körperschaft:**

*   **Verdeckte Gewinnausschüttung (§ 6 Abs. 1 Z 5 KStG):**  Das zinslose Darlehen kann als verdeckte Gewinnausschüttung (vGA) gewertet werden, wenn es keinen geschäftlichen Grund für die Zinslosigkeit gibt und das Darlehen primär dazu dient, dem Gesellschafter einen wirtschaftlichen Vorteil zu verschaffen. Die vGA wird dann dem zu versteuernden Gewinn der Körperschaft hinzugerechnet. Die Höhe der vGA entspricht dem marktüblichen Zins auf das Darlehen.
*   **Marktüblicher Zins (§ 6 Abs. 1 Z 5 KStG iVm § 4 EStG):**  Der marktübliche Zins wird anhand der Kreditsätze vergleichbarer Kredite ermittelt.  Die Finanzverwaltung orientiert sich hierbei an den von der Oesterreichischen Nationalbank veröffentlichten Zinssätzen.
*   **Dokumentationspflicht:** Die Körperschaft muss nachweisen können, dass das Darlehen zu marktüblichen Bedingungen vergeben wurde oder dass ein legitimer geschäftlicher Grund für die Zinslosigkeit besteht (z.B. kurzfristige Liquiditätshilfe unter schwierigen Bedingungen).

**Für den Gesellschafter:**

*   **Einkünfte aus Kapitalvermögen (§ 23 EStG):**  Wenn das zinslose Darlehen als vGA qualifiziert wird, wird dem Gesellschafter ein Einkommen aus Kapitalvermögen zugerechnet, das er versteuern muss.  Die Besteuerung erfolgt mit Kapitalertragsteuer (27,5% ab 2024, § 97 EStG).
*   **Ermäßigter Steuersatz (Qualifizierte Beteiligung):**  Wenn der Gesellschafter eine qualifizierte Beteiligung an der Körperschaft hält (mind. 25% der Stimmrechte oder des Kapitals), kann ein Teil der Einkünfte aus der vGA unter Umständen dem Einkommensteuertarif unterliegen und von der Teileinkünftebeste"
CORP-TAX-003,"Kapitalgesellschaften (AG, GmbH) und Genossenschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen (§ 4 Abs. 5 EStG). Dies gilt auch dann, wenn sie Einkünfte erzielen, die ansonsten anderen Einkunftsarten zugeordnet würden (z.B. Einkünfte aus Vermietung und Verpachtung). Die Zuordnung zu den Einkünften aus Gewerbebetrieb führt zur Anwendung der besonderen gewerblichen Gewinnermittlungsregeln und zur Besteuerung mit Körperschaftsteuer."
CORP-TAX-004,"(a) **Bei der Tochtergesellschaft:** Dividenden werden grundsätzlich nicht bei der ausschüttenden Tochtergesellschaft besteuert, da sie als Gewinnausschüttung gelten und somit die Steuerpflicht bereits auf Ebene der Gewinnermittlung der Tochtergesellschaft erfüllt wurde. Es kann jedoch eine Kapitalertragsteuer (KESt) anfallen, wenn die Dividende an eine nicht-ansässige Person ausgeschüttet wird (§ 93 EStG).

(b) **Bei der österreichischen Muttergesellschaft:** Die Dividende ist bei der Muttergesellschaft als Einkunft aus Kapitalvermögen zu versteuern.  Allerdings kann die Besteuerung durch die Teilfreistellung gemildert werden.  Gemäß § 10 Abs. 1 Z 4 EStG sind 95% der Dividende steuerfrei, die restlichen 5% sind steuerpflichtig und werden dem persönlichen Einkommensteuersatz der Muttergesellschaft unterworfen.  Bei einer Beteiligung von mindestens 25% an der Tochtergesellschaft kann unter bestimmten Voraussetzungen die Konzernabzugsveranlagung (§ 11 KStG) in Betracht gezogen werden, was zu einer weiteren Steueroptimierung führen kann.  Wichtig ist, dass die Voraussetzungen für die Teilfreistellung und die Konzernabzugsveranlagung genau geprüft werden müssen."
CORP-TAX-005,"Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?

Eine offene Ausschüttung stellt eine direkte Gewinnausschüttung an den Gesellschafter dar und wird bei der ausschüttenden Körperschaft als nicht betrieblich veranlasste Aufwendung behandelt (§ 4 Abs. 5 EStG). Sie mindert somit den zu versteuernden Gewinn. Der Gesellschafter versteuert die Ausschüttung als Einkunft aus Kapitalvermögen (§ 93 EStG) unter Anwendung der Kapitalertragsteuer (27% Abgeltungsteuer plus ggf. Solidaritätszuschlag).

Eine verdeckte Ausschüttung hingegen liegt vor, wenn der Gesellschafter oder eine ihm nahestehende Person einen Vorteil aus der Körperschaft bezieht, der nicht durch betriebliche Gründe gerechtfertigt ist.  Dies kann z.B. durch überhöhte Gehälter, zinslose Darlehen oder unverhältnismäßige Dienstleistungen geschehen.  Die verdeckte Ausschüttung wird bei der ausschüttenden Körperschaft *nicht* als Betriebsausgabe anerkannt (§ 4 Abs. 5 EStG) und führt zu einer Steuerhinterziehung, wenn sie nicht korrekt erfasst wird.  Sie wird stattdessen als nachträgliche Einlage behandelt und erhöht somit das Eigenkapital der Körperschaft.  Der Gesellschafter versteuert die verdeckte Ausschüttung ebenfalls als Einkunft aus Kapitalvermögen (§ 93 EStG), jedoch kann die Besteuerung unter Umständen zeitlich verzögert erfolgen (bis zur tatsächlichen Veräußerung der Beteiligung oder zur Auszahlung einer offenen Ausschüttung).  Zusätzlich können bei verdeckten Ausschüttungen Strafen und Nachzahlungszinsen anfallen (§ 107 EStG).  Die Abgrenzung zwischen betrieblich veranlassten Aufwendungen und verdeckten Ausschüttungen ist oft schwierig und bedarf einer sorgfältigen Prüfung im Einzelfall."
CORP-TAX-006,"Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?

Der maximal mögliche Verlustabzug beträgt grundsätzlich 10% des Einkommens im Veranlagungsjahr (§ 10 Abs. 1 EStG).  Dieser Verlustabzug ist auf 7.000 Euro begrenzt.

Es gibt jedoch wichtige Ausnahmen:

* **Unbeschränkte Verlustabzüge:** Verluste aus selbstständiger Arbeit und Gewerbebetrieb können grundsätzlich unbeschränkt vorgetragen und mit zukünftigen Gewinnen derselben Einkunftsart verrechnet werden (§ 10 Abs. 2 EStG).  Dies gilt auch für Verluste aus nicht selbstständiger Arbeit, allerdings nur in den nächsten 5 Jahren (§ 10 Abs. 3 EStG).
* **Verlustvortrag bei Betriebsaufgabe:** Bei Betriebsaufgabe können nicht realisierte stille Reserven aufgedeckt und Verluste unbeschränkt vorgetragen werden (§ 10 Abs. 4 EStG).
* **Verlustabzug bei erstmaliger Ausübung einer selbstständigen Tätigkeit:**  Im Jahr der erstmaligen Ausübung einer selbstständigen Tätigkeit kann der Verlust in voller Höhe geltend gemacht werden, auch wenn er die Einkünfte übersteigt (§ 10 Abs. 5 EStG).
* **Besondere Regelungen für Kapitalerträge:**  Verluste aus Kapitalvermögen können grundsätzlich nur mit Kapitalerträgen verrechnet werden (§ 10 Abs. 6 EStG).  Ein Verlustvortrag ist hier nur unter bestimmten Voraussetzungen möglich.
* **Eingeschränkter Verlustabzug bei Beteiligungen:** Bei bestimmten Beteiligungen (z.B. stille Beteiligungen) kann der Verlustabzug eingeschränkt sein (§ 10 Abs. 7 EStG)."
CORP-TAX-007,"Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?

Ein Mantelkauf liegt vor, wenn eine Gesellschaft (die ""Mantelfirma"") lediglich formell ein Wirtschaftsgut (meist eine Immobilie) erwirbt, während die tatsächliche wirtschaftliche Verfügungsmacht und das wirtschaftliche Risiko weiterhin beim Veräußerer verbleiben.  Es handelt sich um einen Scheinhandel, der darauf abzielt, steuerliche Vorteile zu erzielen.

Die steuerlichen Konsequenzen sind gravierend und werden im Einkommensteuergesetz (EStG) und im Körperschaftsteuergesetz (KStG) behandelt.  Grundsätzlich wird der Mantelkauf als nicht steuerwirksam angesehen (§ 4 Abs. 5 EStG, § 4 Abs. 5 KStG). Das bedeutet, dass die Veräußerung des Wirtschaftsguts dem ursprünglichen Eigentümer zugerechnet wird, als hätte er es direkt veräußert.  

Konkret bedeutet dies:

*   **Einkommensteuer/Körperschaftsteuer:** Der ursprüngliche Eigentümer muss den Veräußerungsgewinn oder -verlust versteuern, als ob er die Veräußerung selbst vorgenommen hätte. Die Mantelfirma kann den Gewinn nicht realisieren.
*   **Grunderwerbsteuer:**  Wenn es sich um einen Mantelkauf einer Immobilie handelt, kann die Grunderwerbsteuer dennoch beim ursprünglichen Eigentümer als Erwerber anfallen, da der tatsächliche Erwerb ihm zugerechnet wird.
*   **Strafrechtliche Konsequenzen:**  Ein Mantelkauf kann auch strafrechtliche Konsequenzen haben, insbesondere wegen Steuerhinterziehung (§ 107 BAO) und Betrugs.

Die Finanzbehörden gehen bei Mantelkaufkonstruktionen sehr kritisch vor und prüfen diese intensiv.  Die Beweislast für das Vorliegen eines Mantelkaufs liegt beim Finanzamt, welches die tatsächliche wirtschaftliche Verfügungsmacht und das wirtschaftliche Risiko nachweisen muss.  (VwGH 16.02.2017, Ro 2016/09/0064)."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters gegenüber der Körperschaft stellt grundsätzlich einen steuerpflichtigen Vorteil für die Körperschaft dar. Dieser Vorteil ist als sonstige Einkunft zu versteuern (§ 23 Abs. 5 Z 1 KStG). Die Höhe des Vorteils entspricht dem Nennwert der Forderung.

Allerdings kann es Ausnahmen geben, insbesondere wenn der Forderungsverzicht im Rahmen einer Sanierung des Unternehmens erfolgt und bestimmte Voraussetzungen erfüllt sind. In solchen Fällen kann der Forderungsverzicht unter Umständen als Schadensausgleich behandelt werden, der nicht der Besteuerung unterliegt (siehe VwGH 16/04/2015, 2014/04/0098).

Wichtig ist auch die Prüfung, ob der Forderungsverzicht im Zusammenhang mit einer Kapitalherabsetzung steht. In diesem Fall sind die steuerlichen Folgen komplex und hängen von den konkreten Umständen ab (siehe § 58 AktG iVm § 23 KStG).

Es empfiehlt sich in jedem Fall eine individuelle Prüfung durch einen Steuerberater, um die korrekte steuerliche Behandlung des Forderungsverzichts sicherzustellen."
CORP-TAX-009,"Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?

Die Verlustverrechnung zwischen inländischen und ausländischen Gruppenmitgliedern unterscheidet sich erheblich. Während bei inländischen Gruppenmitgliedern eine unbeschränkte Verlustverrechnung innerhalb der Konzernverbindung möglich ist (§ 8 Abs. 2 KStG), gelten für ausländische Gruppenmitglieder strenge Voraussetzungen und Beschränkungen.

**Inländische Gruppenmitglieder:** Verluste eines inländischen Gruppenmitglieds können grundsätzlich mit Gewinnen anderer inländischer Gruppenmitglieder verrechnet werden, sofern eine enge wirtschaftliche Verbindung besteht und die Verlustverrechnung nicht zu einer Steuerumgehung führt.

**Ausländische Gruppenmitglieder:**  Die Verlustverrechnung mit ausländischen Gruppenmitgliedern ist nur unter folgenden Bedingungen zulässig (§ 8 Abs. 3 KStG):

1.  **Vorliegen einer ausländischen Betriebsstätte:** Das ausländische Gruppenmitglied muss über eine in Österreich unbeschränkt steuerpflichtige Betriebsstätte verfügen.
2.  **Zurechenbarkeit des Verlustes:** Der Verlust muss der österreichischen Betriebsstätte des ausländischen Gruppenmitglieds zuzurechnen sein.  Dies ist insbesondere dann der Fall, wenn der Verlust durch die Betriebsstätte entstanden ist.
3.  **Verrechnung nur mit Gewinnen der Betriebsstätte:** Die Verlustverrechnung ist nur mit Gewinnen der österreichischen Betriebsstätte des ausländischen Gruppenmitglieds zulässig. Eine Verrechnung mit Gewinnen anderer inländischer Gruppenmitglieder ist ausgeschlossen.
4.  **Dokumentationspflichten:** Es bestehen umfangreiche Dokumentationspflichten, um die Zurechenbarkeit des Verlustes und die Erfüllung der Voraussetzungen nachzuweisen.

**Zusätzlich:**  Die Verrechnung ausländischer Verluste kann durch Doppelbesteuerungsabkommen eingeschränkt oder ausgeschlossen werden.  Es ist daher stets die einschlägige DBA-Bestimmung zu prüfen.

**Kurz gesagt:** Die Verlustverrechnung mit ausländischen Gruppenmitgliedern ist deutlich komplexer und beschränkter als die mit inländischen Gruppenmitgliedern und erfordert eine genaue Prüfung der Voraussetzungen und Dokumentationspflichten."
CORP-TAX-010,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind grundsätzlich nicht steuerpflichtig, sofern sie nach den Bestimmungen des Unternehmensrechnungslegungsgesetzes (UReG) und des Einkommensteuergesetzes (EStG) korrekt verbucht und dokumentiert werden.  Es handelt sich dabei um innere Verrechnungen innerhalb einer Konzernstruktur, die keine wirtschaftliche Betätigung im steuerrechtlichen Sinne darstellen.

Allerdings ist Vorsicht geboten:

*   **Angemessenheit:** Die Umlagen müssen sachlich gerechtfertigt und dem Fremdvergleichsgrundsatz entsprechen (§ 6 EStG).  Überhöhte oder unangemessene Umlagen können als verdeckte Gewinnausschüttungen gewertet und entsprechend besteuert werden.
*   **Dokumentation:** Eine umfassende und nachvollziehbare Dokumentation der Umlagen ist unerlässlich, um im Falle einer Betriebsprüfung die steuerliche Neutralität nachweisen zu können.
*   **Konzernabgrenzung:** Die Umlagen dürfen nicht dazu dienen, Gewinne aus Österreich ins Ausland zu verlagern oder Verluste nach Österreich zu verlagern.

Relevant sind hier insbesondere die Bestimmungen des § 8 UReG (Konsolidierungskreis) und die Ausführungen in den Richtlinien des Bundesministeriums für Finanzen zur Anwendung des Fremdvergleichsgrundsatzes.  Die genaue Beurteilung hängt immer vom Einzelfall ab."
