ID,Answer
CORP-TAX-001,Die Bemessungsgrundlage für die Körperschaftsteuer ist der Gewinn aus der Tätigkeit des Unternehmens. Der Gewinn ist auf die Beteiligungen an den Unternehmern zu verteilen.
"""CORP-TAX-002","Ein zinsloses Darlehen ist grundsätzlich kein steuerlicher Anspruch für den Gesellschafter. Es liegt jedoch eine Veranlassungssteuer vor, weil der Gesellschafter als Veräußerer von Vermögen im Sinne des § 2 Abs 1 EStG steuerpflichtig ist. Die Veranlassungssteuer beträgt 0,5 % pro Jahr und ist auf die gesamte Veräußerungshöhe abzusetzen."
"""CORP-TAX-003","§-4-Abs-1-Ermittlungsgesetz: Unter §-4-Abs-1-Ermittlungsgesetz ist eine Körperschaft mit beschränktem Haftungsrang (Befreiungsbeherrschung) oder mit unbeschränktem Haftungsrang (Unbeschränkung) zu verstehen. Eine Körperschaft ist mit beschränkter Haftungsrang zu verstehen, wenn sie nicht als Eigentümerin der betrieblichen Vermögensw"
CORP-TAX-004,"(a) Bei der Tochtergesellschaft ist die Dividende als Einkommen aus Verkehrten zu berücksichtigen. Die Steuerpflichtige Summe beträgt 15 % des Dividendenbetrags, was im vorliegenden Fall 200 € beträgt. Die abzugsfähigen Einkünftesteuerabzugsgüter sind die Dividende und die Abzugshöhe. Die abzugsfähigen Einkünftesteuerabzugsgüter werden auf die Einkünfte"
CORP-TAX-005,"Eine offene Ausschüttung ist eine Ausgabe von Einkünften aus der Gewinnermittlung oder sonstigen Tätigkeiten einer Körperschaft an Personen, die nicht als Körperschaftseigenheiten der Körperschaft angesehen werden dürfen. Eine verdeckte Ausschüttung ist eine Ausgabe von Einkünften aus der Gewinnermittlung oder sonstigen Tätigkeiten einer Körperschaft an Personen, die als Körperschaftseigenheiten der Körperschaft angesehen werden dürfen. Die Steuerpflichten"
CORP-TAX-006,"Der Verlustabzug beträgt im Veranlagungsjahr 70 % des Verlustes. Es gibt jedoch einige Ausnahmen: Ein Verlust von 10 % oder weniger kann vollständig abgezogen werden. Ein Verlust von mehr als 10 % ist nur teilweise abzugsfähig. Ein Verlust von 20 % oder mehr ist vollständig abzugsfähig. Ein Verlust von 30 % oder mehr ist vollständig abzugsfähig, wenn der Verlust aus dem Verkauf von Imm"
CORP-TAX-007,"Ein Mantelkauf ist der Kauf von einem Mantel oder einer ähnlichen Kleidung für den Zweck der Wärmevorbeugung. Der Mantel ist nicht als Schutz gegen Kälte oder Kälteerschützen zu verstehen. Bei einem Mantelkauf tritt die Steuer nach Paragraph 4 Abs 1 EStG auf. Es besteht eine abweichende Besteuerung, weil der Mantel nicht als Schutz gegen Kälte verwendet wird."
CORP-TAX-008,"Der Forderungsverzicht einer Körperschaft ist grundsätzlich nicht steuerbar. Bei einem Forderungsverzicht des Unternehmers ist jedoch eine Steuerpflicht möglich, wenn der Unternehmer den Verzicht wegen eines steuerlichen Vorteils oder des Wirtschaftsjahrgegenstandes erklärt hat."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern ist grundsätzlich nicht möglich. Die Verluste können nur durch das Ausgleichsrecht der EU oder durch den Abzug von Verluste im Rahmen des Abzugssatzes für ausländische Gruppenmitglieder ermittelt werden. Die Verlustverrechnung von ausländischen Gruppenmitgliedern ist nur möglich, wenn die Verluste durch das Abzugssatzes für ausländische Gruppenmitglieder ermittelt werden"
CORP-TAX-010,"Ja. Steuerpflichtige Steuerämter sind Gruppenträger und Gruppenmitglieder. Steuerpflichtige Steuerämter sind auch die Steuerbehörden der Gruppenträger und Gruppenmitglieder. Steuerpflichtige Steuerämter sind auch die Steuersubjekte der Steuerpflichtigen Steuerämter. Steuerpflichtige Steuerämte sind Steuerämte, die auf den Steuersubjekten der Steuerpflichtigen Steuerämter anfallen."
CORP-TAX-011,Ja. Bei der Beteiligung an einem Gruppenmitglied ist der Teilwert des beteiligten Unternehmens im Jahr der Abzugsfähigkeit nicht mehr als die Summe der Wertsteigerungsgüter und der sonstigen Einkünfte des Betriebs zu berücksichtigen. Die Abzugshöhe für die Abzugsfähigkeit liegt bei 10 %.
"""CORP-TAX-012","Eine Dividende einer ausländischen EU-Tochtergesellschaft ist grundsätzlich als Einkommen aus der Beteiligungsvermögen zu beurteilen. Da die Beteiligung 15 % beträgt, ist sie als bescheideneres Einkommen aus der Beteiligungsvermögen zu beurteilen. Da die Beteiligung seit 2 Jahren besteht, ist sie als langfristiges Einkommen aus der Beteiligungsvermögen zu beurteilen. Die Steuerpflichtige Sum"
CORP-TAX-013,"§ 10 KStG ist für Beteiligungsbefreiungen an den Unternehmensgründungszeitpunkt anwendbar. § 12 Abs 1 Z 10 KStG ist für Abzugsverbote an den Zeitpunkt des ersten Betriebsvertrags abzusetzen. Es liegt daher eine zeitliche Abweichung vor, die durch § 13 KStG ermittelt wird."
CORP-TAX-014,"Eine internationale Schachtelbeteiligung ist möglich, wenn die Beteiligten im Inland und außerhalb des Inlands einen Anteil an der gleichen Schachtelbeteiligung haben. Eine internationale Schachtelbeteiligung ist nur möglich, wenn die Beteiligten im Inland und außerhalb des Inlands jeweils mindestens 25 % der Schachtelbeteiligung besitzen."
CORP-TAX-015,Veräußerungsgewinne aus internationalen Schachtelbeteiligungen sind im Inland als Gewinn aus Einkünften aus der Beteiligung an Unternehmensunternehmern zu berücksichtigen. Der Ansässigkeitsstaat des Unternehmens ist hierbei der Inlandstaat. Die Steuerpflicht erfüllt sich durch das Absetzen von Gewinnen mit dem Steuersatz des Ansässigkeitsstaates.
CORP-TAX-016,"Ja. Fremdfinanzierungszinsen sind grundsätzlich nicht abzugsfähig, da sie als Finanzierungskapital dienen. Bei Betriebsausgaben ist jedoch der Zuschlag auf die Beteiligungsbeteiligungswertsteuer nur möglich, wenn die Fremdfinanzierungszinsen für den Erwerb der Beteiligung als Betriebsausgabe abzugsfähig sind."
CORP-TAX-017,"§ 11 KStG befreit von dem Betriebsausgabebetrag nur die Einkünfte aus der Gewerblichkeitsvermögen, § 12 KStG fällt dieser Betrag auch den Einkünften aus der Privatvermögen ab."
CORP-TAX-018,"Ja. Bei freiwilligen Spenden zur Förderung von gemeinnützigem Zweck ist der Ansatz des Ansässigkeitsstaates grundsätzlich nicht anwendbar. Es liegt eine Selbständigkeit des Spenders vor, was die Abzugsermittlung nicht erfordert. Ein Ansässigkeitsstaat hätte daher keine Rechtmäßigkeit, die Spenderabgabensubjekt zu sein."
