id,answer
CORP-TAX-001,4500
CORP-TAX-002,"Es ergibt sich keine Steuerabzugsberechnung für den Gesellschafter.

### Explanation:
Zinslosdarlehen sind nicht zu versteuerbar. Daher ist kein Steuerabzug zur Höhe des zugestępten Zagens, wenn der Gesellschafter seine zinslosen Darlehenszahlungen dem Steuerpflichtiger gegenübergezahlt hat.

### Commentary:
Das Grundsatz der Steuerablehnung ist, dass das zugestępte Darlehen nicht zu hoch ist, um den Steuerabzug zu ermöglichen."
CORP-TAX-003,"1) die Körperschaften, die für die Zuerlegung der Einkünfte von Gewerbsgesellschaften verpflichtet sind"
CORP-TAX-004,Die Dividendenzahlungen sind bei der Muttergesellschaft als Sonderzahlung zu versteuern und können auf den Einkommen der Muttergesellschaft geltend gemacht werden.
CORP-TAX-005,"Es handelt sich dabei nicht um eine Besteuerung, die auf den Mehrwert der zugestaltungen oder der zu den Besteuerabzugen der ausschütteten oder des zugestaltungen, die sich nicht auf die Höhe des Besteuerabzugs beziehen, sondern auf die Höhe der Steuerabzugs.

### Answergrund:
Es ist nicht nachvollziehbar, dass die Besteuerung auf die zugestaltungen oder die ausschütteten oder zugestaltungen, die sich nicht auf die Höhe des Besteuerabzugs beziehen, der zugestaltungen oder die zu den Besteuerabzugen der ausschütteten oder des zugestaltungen, die sich nicht auf die Höhe des Besteuerabzugs beziehen, zu ermöglichen."
CORP-TAX-006,"max. 100.000,- €

### Additional Notes:
Diese Regelungen gelten nur für die Steuerkennzahl 107, die für den Betrieb von Hotels und Restaurants verwendet wird."
CORP-TAX-007,"Ein Mantelkauf ist eine Sonderzahlung für die Dauer von mehr als 15 Jahren, die vom Finanzamt gestellt wird. Der Finanzabzug erfolgt auf Verlangen und kann bis zum 6. Februar des folgenden Jahres geltend gemacht werden."
CORP-TAX-008,"Es ist zu versteuern, wenn der Vater oder Mutter eines Ehegaters oder -stepfers auf seinen oder ihre Nachlasseschaftsteuerzugang übertrauert."
CORP-TAX-009,"Die Verlustverrechnung ist für ausländische Gruppenmitglieder anders geregelt als die Verlustverrechnung für inländische Gruppenmitglieder.

### Answer details:
* Inländische Gruppenmitglieder können ihre Vergütung per Vertragseintritt oder Vertragsertragungsabzug auszahlbar sein.
* Ausländische Gruppenmitglieder haben die Möglichkeit, ihre Vergütung per Besteuerung nach Abzug zu verlangen, wenn die abgerechtelte Steuerzahlungen durch die Steuerbehörde belegungen sind und die Steuerbescheinigungen den geltenden Abgeltungsgrunden erfüllen.

### Further information:
* Die Frage ist ein versicherungsrechtlicher Frage.
* Diese Frage stellt die Frage nach der Rechtsfolge der Bestimmung des § 162 Abs. 2 EStG.
* Der

### Conclusion:
Die Verlustverrechnung für ausländische Gruppenmitglieder ist anders geregelt als die Verlustverrechnung für inländische Gruppenmitglieder."
CORP-TAX-010,"Nein

### Background:
Steuerabkommen zwischen Gruppenträgern und Gruppenmitgliedern, die eine steuerpflichtige Gruppe bilden, sind seit dem 1. Januar 1999 an steuerrechtlich nicht geltend."
