id,answer
CORP-TAX-001,"Die Bemessungsgrundlage für die Körperschaftsteuer in Österreich ist der Gewinn des steuerpflichtigen Unternehmens, also der Unterschied zwischen den Umsatzerlösen und den auf die Erlösgewinnung entfallenen Ausgaben (§ 5 Abs. 1 KStG)."
CORP-TAX-002,"Das Zinslose Darlehen, das eine Körperschaft ihrem Gesellschafter gewährt, kann Steuerfolgen haben, die je nach konkreter Situation variieren können. Hierbei sind insbesondere die Regeln zur Drittverwahrung und zur Einkunftsteuerrelevante Behandlung von Zinsen zu berücksichtigen.  Wenn die Drittverwahrungsvor"
CORP-TAX-003,Nach dem österreichischen Abgabenrecht ist eine Abgrenzung zwischen Einkünften aus Gewerbebetrieb und anderen Einkünften vorgesehen. Gemäß § 131a Abs. 1 Z 2 lit. c dieser Vorschriften gelten die Regeln des § 131 Abs. 1 Z 2 lit. c (Bemessungsgrundlage für Einkünfte aus Gewerbe
CORP-TAX-004,"(a) Bei der österreichischen Tochtergesellschaft: Dividenden, die eine österreichische Tochtergesellschaft erhalten möchte, fallen unter den Abschnitt § 98 StGB (Steuergesetzbuch) und sind daher nicht betroffen durch die Regelungen des Textes, der Sie vorliegt. Deshalb wird keine Steuerbefreiung oder -vermindering für die Dividenden der österreichischen Tochter"
CORP-TAX-005,"Die steuerliche Behandlung einer offenen Ausschüttung und einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft unterscheidet sich hinsichtlich der Steuerermittlungen gemäß österreichischem Steuerrecht, insbesondere bei der Anwendung des Insolvenzgesetzes (IO), wie folgt:  Offene Ausschüttung"
CORP-TAX-006,"Der maximale Verlustabzug in einem Veranlagungsjahr hängt von den Verlustquellen und den betreffenden Gesetzen ab, die in Ihrer Angabe genannt werden. Nach dem gegebenen Text des § 18 Abs. 6 und 7 ÖStG, gilt der Verlustabzug nicht für die Veranlagungsjahre 1996 und 1"
CORP-TAX-007,"Ein Mantelkauf bezieht sich auf den Kauf eines Mantels als Sachgut. Nach dem österreichischen Steuerrecht ist die Bewertung von Sachbezügen, wie z.B. der Kauf eines Mantels, mit den üblichen Preisnachlässen verminderten üblichen Endpreisen des Abgabeortes anzusetzen (§ 50 Abs. 1 ESt"
CORP-TAX-008,"Der Forderungsverzicht eines Gesellschafters gegenüber einer Körperschaft ist kein Thema, das direkt mit der Umsatzsteuerregelung im Text behandelt wird. Daher kann keine genauere Präzisierung gegeben werden, ohne zusätzliche Informationen über den konkreten Sachverhalt und den Zusammenhang mit dem Umsatzsteuersystem in Österreich zu haben."
CORP-TAX-009,"Die Verlustverrechnung zwischen ausländischen und inländischen Gruppenmitgliedern in Österreich unterscheidet sich hinsichtlich der Steuerfolgen, da die Regelungen für beide Fälle im Umlegungssteuergesetz (Zuwendungs- und Abtrennungssteuergesetz) unterschiedlich geregelt sind.  Für ausländische Gruppenmitglieder"
CORP-TAX-010,"Nach dem österreichischen Steuerrecht sind Steuerumlagen, die zwischen Gruppenträgern und Gruppenmitgliedern ausgeteilt werden, in bestimmten Fällen steuerpflichtig. Dies gilt insbesondere für unbeschränkt steuerpflichtige Kapitalgesellschaften und Erwerbs- und Wirtschaftsgenossenschaften, die unter § 7 Abs. 3 fallen,"
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied können abzugsfähig sein, wenn die Voraussetzungen des österreichischen Steuerrechts für die Bildung einer Beteiligungsgemeinschaft erfüllt sind und die Betreibergruppenverhältnisse steuerrechtlich wirksam sind. Dazu muss sichergest"
CORP-TAX-012,"Gemäß den Angaben in der gegebenen Textpassage wird die Dividende einer ausländischen EU-Tochtergesellschaft, an der eine Beteiligung von mindestens 15 % gehalten wird und die diese Beteiligung während eines ununterbrochenen Zeitraumes von mindestens zwei Jahren bestanden hat, nach dem Steuerrecht Österreichs nicht doppelt besteuert. Da die Beteiligung die vorg"
