id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer in Österreich ist das zu versteuernde Einkommen der Körperschaft. Dieses wird gemäß § 7 KStG grundsätzlich durch eine von den handelsrechtlichen Vorschriften abweichende steuerliche Gewinnermittlung bestimmt. Maßgeblich sind die Bestimmungen des Einkommensteuergesetzes (ESrG), soweit im Körperschaftsteuergesetz (KStG) nichts anderes festgelegt ist. Ausgangspunkt ist der handelsrechtliche Jahresüberschuss, der um bestimmte, im Gesetz enumerativ aufgezählte Hinzurechnungen (z.B. nicht abzugsfähige Aufwendungen) und Kürzungen (z.B. steuerfreie Einnahmen) korrigiert wird. Das Ergebnis ist das Einkommen vor Verlustabzug, von dem noch allenfalls vorhandene Verlustvorträge abgezogen werden können, um das letztlich zu versteuernde Einkommen zu ermitteln."
CORP-TAX-002,"Die Vergabe eines zinslosen Darlehens einer Körperschaft an ihren Gesellschafter kann zu verdeckten Gewinnausschüttungen führen. Da der Gesellschafter einen geldwerten Vorteil in Form des entgangenen marktüblichen Zinses erhält, muss die Körperschaft diesen Vorteil als fiktiven Ertrag versteuern. Für den Gesellschafter stellt der Vorteil eine Einnahme aus Kapitalvermögen dar, die der Kapitalertragsteuer unterliegt. Zudem kann die Darlehensforderung bei der Körperschaft steuerlich nicht uneingeschränkt als Aktivum anerkannt werden, wenn sie nicht zu marktüblichen Bedingungen gewährt wird."
CORP-TAX-003,"Gemäß § 21 Abs. 1 Z 1 und 2 des Körperschaftsteuergesetzes (KStG) sind juristische Personen, deren Tätigkeit überwiegend in der unmittelbaren oder mittelbaren Verfolgung wirtschaftlicher, beruflicher oder geselliger Interessen ihrer Mitglieder besteht, verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen. Dies betrifft insbesondere Vereine (außer gemeinnützige, mildtätige oder kirchliche im Sinne der §§ 34 ff BAO), Genossenschaften, Personenvereinigungen und Anstalten, sofern sie nicht ausschließlich und unmittelbar gemeinnützige, mildtätige oder kirchliche Zwecke verfolgen."
CORP-TAX-004,"Bei der österreichischen Tochtergesellschaft (a) unterliegt die Gewinnausschüttung (Dividende) als Teil des ausschüttungsfähigen Gewinns grundsätzlich bereits der Körperschaftsteuer von 25%. Eine zusätzliche Kapitalertragsteuer wird auf Ebene der Tochter nicht erhoben. Bei der österreichischen Muttergesellschaft (b) ist die erhaltene Dividende gemäß § 10 Abs. 2 KStG zu 100% steuerfrei, da es sich um eine Beteiligung im Inland handelt (Schachtelprivileg). Voraussetzung ist, dass die Muttergesellschaft seit Beginn des Wirtschaftsjahres ununterbrochen mindestens 10% der Anteile hält."
CORP-TAX-005,"Bei der offenen Ausschüttung handelt es sich um eine formelle Gewinnausschüttung (z.B. Dividende), die den Gewinn der Körperschaft mindert und bei dieser zu einer körperschaftsteuerlichen Nichtberücksichtigung der Auszahlung führt. Bei der verdeckten Gewinnausschüttung liegt eine verdeckte, am Gewinn teilhabende Zuwendung an einen Gesellschafter vor, die wirtschaftlich einer Gewinnausschüttung entspricht. Für die ausschüttende Körperschaft ist auch die verdeckte Ausschüttung nicht als Betriebsausgabe abziehbar, sodass sie den körperschaftsteuerlichen Gewinn nicht mindert. Der wesentliche steuerliche Unterschied liegt daher nicht auf Ebene der ausschüttenden Körperschaft, da beide Vorgänge den steuerlichen Gewinn nicht verringern, sondern primär in der unterschiedlichen Behandlung beim Empfänger und in den formalen Anforderungen an die Ausschüttung."
CORP-TAX-006,"Der maximal mögliche Verlustabzug in einem Veranlagungsjahr ist grundsätzlich unbegrenzt, sodass Verluste in voller Höhe mit positiven Einkünften anderer Einkunftsarten ausgeglichen werden können. Eine wesentliche Ausnahme bilden Verluste aus privaten Veräußerungsgeschäften, die nur mit Gewinnen aus denselben Einkunftsarten ausgeglichen werden dürfen. Zudem unterliegen Verluste aus bestimmten spekulativen Geschäften (z.B. Termingeschäften) und aus stillen Gesellschaften besonderen Beschränkungen. Bei land- und forstwirtschaftlichen Betrieben sowie bei Gewerbebetrieben gibt es zudem die Möglichkeit, Verluste zeitlich unbegrenzt vorzutragen oder unter bestimmten Voraussetzungen auch zurückzutragen."
CORP-TAX-007,"Ein Mantelkauf bezeichnet den Erwerb einer Kapitalgesellschaft (z. B. GmbH oder AG), die keine nennenswerten operativen Geschäfte mehr tätigt, aber noch über wertvolle rechtliche Strukturen wie z. B. Börsenzulassungen, Lizenzen oder Verlustvorträge verfügt. Der Käufer erwirbt primär diese ""Hülle"" (den Mantel), um sie für neue Geschäftszwecke zu nutzen. Die wesentliche steuerliche Konsequenz betrifft den Verlustvortrag. Gemäß § 8c Körperschaftsteuergesetz (KStG) werden die steuerlichen Verlustvorträge der erworbenen Kapitalgesellschaft zu 100 % wertlos, wenn innerhalb von fünf Jahren mehr als 50 % der Anteile an einen Erwerber oder einem ihm nahestehenden Kreis übertragen werden und zugleich ein schädlicher Beteiligungserwerb vorliegt (wesentliche Änderung der Geschäftstätigkeit). Dies soll missbräuchliche Verlustnutzungen verhindern. Weitere Konsequenzen können sich aus der Grunderwerbsteuer bei Grundbesitz und aus umsatzsteuerlichen Regelungen ergeben."
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters zugunsten der Körperschaft liegt steuerlich eine verdeckte Einlage vor, sofern die Forderung wirtschaftlich werthaltig ist. Die Körperschaft muss den erlassenen Betrag als Betriebseinnahme versteuern, da es sich um einen laufenden Gewinnzufluss handelt. Gleichzeitig erhöht der Betrag das steuerliche Einlagekonto des Gesellschafters. Ist die Forderung hingegen uneinbringlich und wertlos, liegt keine verdeckte Einlage vor und der Verzicht hat keine steuerlichen Auswirkungen für die Körperschaft. Die Einordnung hängt somit vom wirtschaftlichen Wert der Forderung zum Zeitpunkt des Verzichts ab."
CORP-TAX-009,"Die Verlustverrechnung bei ausländischen Gruppenmitgliedern im Rahmen der österreichischen Gruppenbesteuerung (§ 9 KStG) ist im Vergleich zu inländischen Gruppenmitgliedern wesentlich eingeschränkt. Grundsätzlich können nur Verluste von inländischen Körperschaften uneingeschränkt mit den positiven Einkünften anderer Gruppenmitglieder verrechnet werden. Verluste ausländischer Gruppenmitglieder (Tochtergesellschaften mit Sitz in einem EU-/EWR-Staat) können nur unter engen Voraussetzungen angerechnet werden, nämlich nur soweit sie nicht im Ausland bereits verrechnet oder erstattet wurden und auch nur gegen künftige positive Einkünfte derselben ausländischen Gesellschaft. Eine Verrechnung mit Gewinnen anderer Gruppenmitglieder ist nicht möglich. Diese Beschränkung folgt aus dem Territorialitätsprinzip und den Regelungen zur Vermeidung doppelter Verlustberücksichtigung."
CORP-TAX-010,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind grundsätzlich steuerpflichtig, da sie als sonstige Leistungen im Sinne des § 1 Abs. 1 Z 2 UStG gelten und der Umsatzsteuer unterliegen, sofern der leistende Unternehmer zum Vorsteuerabzug berechtigt ist. Dies gilt unabhängig davon, ob es sich um eine Organschaft oder eine bloße Konzernstruktur handelt. Die Umlage muss eine konkrete Gegenleistung für eine empfangene Leistung darstellen und angemessen (marktüblich) sein, um eine verdeckte Gewinnausschüttung oder Einlage zu vermeiden, die körperschaft- und einkommensteuerrechtliche Konsequenzen hätte."
