id,answer
CORP-TAX-001,"Die Bemessungsgrundlage für die Körperschaftsteuer ist nach § 28 Abs. 1 KStG 1988 der Gewinn des Körperschafts.

Quellen:
- § 28 Abs. 1 KStG 1988"
CORP-TAX-002,"Die maßgeblichen Paragraphen des österreichen Rechts sind § 40a und § 40.

Die maßgeblichen Richtlinien des österreichen Rechts sind BAO.pdf, Seite 11 und 12.

Die einschlägigen Gesetzesstellen sind § 40a und § 40.

Quellen:
- BAO.pdf, Seite 11
- BAO.pdf, Seite 12"
CORP-TAX-003,"Ja, nach § 2 Abs. 3 des Einkommensteuergesetzes 1988 sind Körperschaften, die auf Grund der Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen.

Quellen:
- KStG.pdf, Seite 13"
CORP-TAX-004,"Die Antwort ist unklar. Nach § 98 EStG sind Dividenden grundsätzlich steuerlich zu behandeln. Die Einkünfte müssen im Kalenderjahr mindestens zu 90% der österreichischen Einkommensteuer unterliegen oder die nicht der österreichischen Einkommensteuer unterliegenden Einkünfte dürfen nicht mehr als 13 539 Euro betragen.

Quellen:
- § 98 EStG"
CORP-TAX-005,"Die einschlägigen Paragraphen des österreichen Rechts sind § 14 Abs. 2 UGB und § 4 Abs. 1 EStG.

Quellen:
- § 14 Abs. 2 UGB
- § 4 Abs. 1 EStG"
CORP-TAX-006,"Die maßgeblichen Paragraphen des österreichen Steuerrechts sind § 18 Abs. 7 EStG und § 117 Abs. 7 EStG.

Quellen:
- § 18 Abs. 7 EStG
- § 117 Abs. 7 EStG"
CORP-TAX-007,"Die Rechtslage ist unklar. Die Gesetzesstellen sprechen von „Mantelkauf“ und „Mantelentlassung“. Die Gesetzesstellen beziehen sich auf die Rechtsfolge bei der Entlassung eines Schiffs und bei der Übertragung von Fracht. Die Rechtsfolge ist unklar und unbestimmt.

Quellen:
- BAO.pdf, Seite 33
- UGB.pdf, Seite 108
- UGB.pdf, Seite 149"
CORP-TAX-008,"Die maßgeblichen Paragraphen des österreichen Rechts sind § 2 Abs. 6 und 7 des Einkommensteuergesetzes 1988 und § 8 Abs. 1 KStG.

Quellen:
- § 2 Abs. 6 und 7 des Einkommensteuergesetzes 1988
- § 8 Abs. 1 KStG"
CORP-TAX-009,"Die österreichische Rechtslage sieht vor, dass bei ausländischen Gruppenmitgliedern die Zurechnung des Verlustes eines nicht unbeschränkt steuerpflichtigen ausländischen Gruppenmitglieds zur Gänze verzichtet werden kann. Zuzurechnende Verluste können nur im Ausmaß von 75% der Summe der eigenen Einkommen sämtlicher unbeschränkt steuerpflichtiger Gruppenmitglieder sowie des Gruppenträgers berücksichtigt werden.

Quellen:
- KStG.pdf, Seite 16"
CORP-TAX-010,"Die Antwort ist unklar. Nach § 6 Abs. 1 Z 8 lit. a und h des UStG und § 12 Abs. 3 und 4 des KStG sind Steuerumlagen steuerpflichtig.

Quellen:
- UStG.pdf, Seite 16
- KStG.pdf, Seite 16"
CORP-TAX-011,"Ja. Nach § 6 Z 2 lit. a des Einkommensteuergesetzes 1988 und § 7 Abs. 4 des Einkommensteuergesetzes 1988 sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig.

Quellen:
- § 6 Z 2 lit. a des Einkommensteuergesetzes 1988
- § 7 Abs. 4 des Einkommensteuergesetzes 1988"
CORP-TAX-012,"Die maßgeblichen Paragraphen des österreichen Rechts sind § 6 Z 4 des Einkommensteuergesetzes 1988 und § 6 Z 4 des Einkommensteuergesetzes 1988.

Quellen:
- KStG.pdf, Seite 17
- UGB.pdf, Seite 52
- KStG.pdf, Seite 27"
CORP-TAX-013,"Die Antwort ist unklar. Nach den einschlägigen Paragraphen des österreichen Rechts sind bestimmte Einkünfte aus dem Betrieb des Unternehmens steuerlich abzugrenzen. Die Gesetzesstellen sprechen von „Einkommensteuer veranlagt wird, bei der Veranlagung für das Kalenderjahr 2020“. Die COVID-19 Investitionsprämie für Unternehmen stellt keine Betriebseinnahme dar; § 6 Z 10, § 20 Abs. 2 und § 12 Abs. 2 KStG 1988 sind auf sie nicht anwendbar.

Quellen:
- UStG.pdf, Seite 62
- EStG.pdf, Seite 202
- UStG.pdf, Seite 35"
CORP-TAX-014,"Die maßgeblichen Paragraphen und Richtlinien des österreichen Rechts sind § 10 Abs. 2 KStG und Art. 2 Richtlinie 2011/96/EU.

Die maßgeblichen gesetzlichen Bestimmungen sind § 10 Abs. 2 KStG und Art. 2 Richtlinie 2011/96/EU.

Quellen:
- § 10 Abs. 2 KStG
- Art. 2 Richtlinie 2011/96/EU"
CORP-TAX-015,"Die maßgeblichen Paragraphen des österreichen Rechts sind § 18 Abs. 1 KStG und § 18 Abs. 2 KStG.

Quellen:
- § 18 Abs. 1 KStG: „Einem Jahr mindestens zu einem Zehntel 1) an ausländischen Körperschaften, die einer inländischen Kapitalgesellschaft vergleichbar sind, 2) an anderen ausländischen Körperschaften, die die in der Anlage 2 zum Einkommensteuergesetz 1988 vorgesehenen Voraussetzungen des Artikels 2 der Richtlinie 2011/96/EU in der jeweils geltenden Fassung erfüllen, beteiligt sind.“
- § 18 Abs. 2 KStG: „Die Steuerneutralität der Beteiligung gilt nach Maßgabe der folgenden Bestimmungen nicht: 1. Der Steuerpflichtige erklärt in der Körperschaftsteuererklärung für das Jahr der Anschaffung einer internationalen Schachtelbeteiligung oder des Entstehens einer internationalen Sitzverlegung der Körperschaft, an der die Beteiligung besteht, an ausländischen Körperschaften, die einer inländischen Kapitalgesellschaft vergleichbar sind, die eine Sitzverlegung in das Ausland vollzogen hat, 2. Erträge aus internationalen Schachtelbeteiligungen sowie aus qualifizierten Portfoliobeteiligungen im Sinne des Abs. 7 bei der beteiligten Körperschaft nach Maßgabe des Abs. 7 nicht von der Körperschaftsteuer befreit, sondern unterliegen unter Anrechnung der ausländischen Steuer der Steuerpflicht (Methodenwechsel).“"
CORP-TAX-016,"Die Rechtslage ist unklar. Nach § 4b Abs. 1 Z 3 EStG 1988 sind Zuwendungen an eine Privatstiftung, die nach der Stiftungsurkunde und der tatsächlichen Geschäftsführung ausschließlich und unmittelbar dem Betriebszweck des stiftenden Unternehmers oder auch mit diesem verbundener Konzernunternehmen dient (Unternehmenszweckförderungsstiftung), abzugsfähig.

Quellen:
- EStG.pdf, Seite 31"
CORP-TAX-017,"Die Rechtsfolge des Verlustes oder der Beschädigung von Kostbarkeiten, Kunstgegenständen, Geld und Wertpapieren ist nach § 11 KStG und § 12 KStG unterschiedlich. Nach § 11 KStG ist der Verlust oder die Beschädigung von Kostbarkeiten, Kunstgegenständen, Geld und Wertpapieren grundsätzlich der Frachtführer zu ersetzen. Nach § 12 KStG ist der Verlust oder die Beschädigung von Gütern grundsätzlich dem Frachtführer zu ersetzen.

Quellen:
- § 11 KStG
- § 12 KStG"
CORP-TAX-018,"Ja. Nach § 5 Abs. 5 KStG sind „freiwillige Zuwendungen (Spenden), soweit sie nicht nach § 4a des Einkommensteuergesetzes 1988 oder nach § 8 Abs. 4 Z 1 abzugsfähig sind“ abzugsfähig.

Quellen:
- KStG.pdf, Seite 22"
CORP-TAX-019,"Die Antwort auf die Fragen ist unklar. Die Gesetzesstellen sprechen von „hybrider Gestaltung“ und „importierter hybrider Gestaltung“. Die Gesetzesstellen sprechen von „Steuerermäßigung oder -rückerstattung“. Die Gesetzesstellen sprechen von „Mitarbeiterbeteiligungsstiftung“.

Quellen:
- KStG.pdf, Seite 28
- EStG.pdf, Seite 32"
