id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist der steuerbemessungsfähige Ertrag. Dieser ist die Summe aus den steuerbemessungsfähigen Einkünften. Die steuerbemessungsfähigen Einkünfte sind jene Einkünfte, die für die Berechnung der Körperschaftsteuer berücksichtigt werden."
CORP-TAX-002,Das Darlehen ist ein Faktura­ betrag und muss daher mit der Laufzeit des Darlehens und mit der Länder­ zins­ ­ rate (3  %) verrechnet werden. Die erzielten Zinsen sind Einkünfte des Gesellschafters. Die Körperschaft erhält eine Steuererleichterung von 3  %.
CORP-TAX-003,"Die verpflichteten Körperschaften sind die Körperschaften des öffentlichen Rechts, die eine rechtliche Selbstverwaltung ausüben, die von der öffentlichen Hand mit der Erhebung von Steuern beauftragt sind und die in der Fassung der 1991 erlassenen Fassung des Bundesabgaberechts stehen."
CORP-TAX-004,Die Dividende einer österreichischen Tochtergesellschaft ist bei der Tochtergesellschaft in Österreich als Gewinnvermehrung zu versteuern. Die Versteuern der Dividende bei der Muttergesellschaft ist grundsätzlich nicht vorgesehen. Die Dividende ist aber bei der Muttergesellschaft als Einkunft zu erfassen und zu melden.
CORP-TAX-005,"Bei einer verdeckten Ausschüttung handelt es sich um eine Lohnauszahlung, die nicht im Lohnsteuer­ abzug berücksichtigt wird. Bei einer offenen Ausschüttung handelt es sich um eine Lohnauszahlung, die im Lohnsteuerabzug berücksichtigt wird."
CORP-TAX-006,Der Verlustabzug ist je nach Einkommen begrenzt. Die Höchstbeträge für die Jahre 2025 bis 2027 sind wie folgt: • bis 30.000  Euro: 1.200  Euro •  über 30.000  Euro: 1.
CORP-TAX-007,"Ein Mantelkauf ist eine kleine Zuwendung, die der Arbeitgeber einem Mitarbeiter als Dankbarkeitsgeschenk zukommen lässt. Der Mantelkauf ist ein Geschenk, das der Arbeitgeber nur im Sinne der Dankbarkeit darbietet und nicht als Lohnzuschuss."
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters ist der Verzicht von der Verpflichtung, eine Forderung zu erfüllen, zu berücksichtigen."
CORP-TAX-009,Bei der Verlustverrechnung mit ausländischen Gruppenmitgliedern ist grundsätzlich die gleiche Vorgehensweise wie bei der Verlustverrechnung mit inländischen Gruppenmitgliedern anzuwenden.
CORP-TAX-010,"Bei einer Übertragung von Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern handelt es sich um eine Dienstleistung, die für die Arbeitnehmerinnen und Arbeitnehmer im Sinne des Einkommensteuergesetzes zu verrechnen ist. Die Übertragung der Steuerumlagen ist daher steuerpflichtig."
CORP-TAX-011,"Nur dann, wenn die Beteiligung an einem Gruppenmitglied ein Einkünfte ­ beitragsberechtes Vermögen darstellt, ist die Abschreibung auf den niedrigeren Teilwert der Beteiligung abzugsfähig."
CORP-TAX-012,"Die Dividende einer ausländischen EU-Tochtergesellschaft ist grundsätzlich nicht steuerpflichtig, wenn die Beteiligung seit zwei Jahren mindestens 15  % beträgt. Die Dividende wird daher nicht im Arbeitnehmerveranlagungsformular erfasst."
CORP-TAX-013,"Nach § 10 KStG ist die Beteiligung an einem Konzern nur dann steuerbefrei, wenn die Beteiligung nicht mehr als 10 % ausmacht. Nach § 12 Abs."
CORP-TAX-014,"Eine internationale Schachtelbeteiligung ist nur dann zulässig, wenn die Voraussetzungen für eine Schachtelbeteiligung erfüllt sind und zudem die internationale Schachtelbeteiligung im Rahmen des Doppelbesteuerungsabkommens zwischen Österreich und dem jeweiligen Staat zulässig ist."
CORP-TAX-015,"Der Veräußerungsgewinn aus Schachtelbeteiligungen, die in einem anderen EU­  oder EWR­ Staat erworben wurden, wird grundsätzlich nicht besteuert. Der Veräußerungsgewinn aus Schachtelbeteiligungen, die in einem Drittstaat erworben wurden, ist in Deutschland steuerpflichtig."
CORP-TAX-016,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht abzugsfähig."
CORP-TAX-017,"Bei der Berechnung der Betriebsausgaben sind die Ausgaben nach § 11 KStG, die nach § 12 KStG und die nach den Sonderregelungen für bestimmte Ausgaben zu berücksichtigen. Die Ausgaben nach § 11 KStG sind die Ausgaben, die mit der Einkommensteuer berechnet werden."
CORP-TAX-018,"Ein freiwilliger Spendenbeitrag an eine gemeinnützige Organisation ist grundsätzlich nur dann steuerlich abzugsfähig, wenn die Organisation rechtlich als gemeinnützige Organisation anerkannt ist."
CORP-TAX-019,"(a) Eine EU-Geldbuße ist nur dann abzugsfähig, wenn sie als Gegenleistung für eine unerlaubte Dienst­ verletzung verhängt wurde."
CORP-TAX-020,"Lizenzgebühren sind nicht abzugsfähig, wenn sie für die Verwendung von Patenten, Marken oder von technischen Geheimnissen zustehen. Die Lizenzgebühren sind in diesem Fall nicht als Kosten für die Erzielung von Einkünften, sondern als Kosten für die Vermeidung von Verlusten anzuwenden."
CORP-TAX-021,"Bei rechnungslegungspflichtigen Körperschaften ist der Gewinn bei Einzelverrechnungen mit der Körperschaft nach der Bilanzverrechnung zu ermitteln. Die Bilanzverrechnung ergibt sich aus den Bilanzzahlen, die die Körperschaft in ihrer Jahresabschluss­ rechnung für das Geschäftsjahr veröffentlicht hat."
CORP-TAX-022,"Bei der Prüfung der Anforderungen der §§ 7–12 KStG ist es nicht nur auf die eigene GmbH, sondern auch auf die erworbene GmbH zu prüfen. Dies gilt insbesondere für die Prüfung der Einhaltung der Ertrags­  und Kapitaleinsätze (Einsatzprüfung)."
CORP-TAX-023,ERROR
CORP-TAX-024,"Der Gewinnermittlungszeitraum beträgt zehn Jahre. Abweichungen sind möglich, wenn die Erträge aus einem einzelnen Vermögenszweig stammen und der Ertrag über 25.000 Euro im Kalenderjahr überschreitet. In diesem Fall kann der Gewinnermittlungszeitraum auf fünf Jahre verkürzt werden."
CORP-TAX-025,Beiträge und Einlagen von Gesellschaftern in der L ­  und F ­ Form (Gewinnbeteiligung) werden bei der Einkommensermittung nicht berücksichtigt. Bei der Ermittlung des Einkünftevermögens werden die Gewinne aus der Beteiligung an einem Unternehmen (L ­ und F ­ Gewinne) nicht berücksichtigt.
CORP-TAX-026,Der Verlustabzug auf Grund des §  8 Abs.  4 Z 2 lit.
CORP-TAX-027,"Die Mindestbeteiligungsquote beträgt 10  % der jährlichen Vergütung. Die Vergütung ist die jährliche Bezahlung für den Versicherungsbeitrag. Die Vergütung ist der Höchstbetrag von 300  Euro, der jährlich für den Versicherungsbeitrag bezahlt wird."
CORP-TAX-028,"Die finanzielle Verbindung zwischen dem Steuerpflichtigen und dem Gruppenmitglied muss mindestens ein Jahr bestehen. Das bedeutet, dass die Verbindung nicht nur im Jahr des Antrages bestehen muss, sondern auch in dem Jahr, in dem das Kind geboren wird. Zudem darf das Kind nicht bereits im Vorfeld (z.  B."
CORP-TAX-029,"Ja, diese Vorgruppenverluste können mit dem Gruppengewinn verrechnet werden. Das gilt auch für die Verrechnung mit dem Gruppenverlust."
