id,submission_id,reference_answer,answer,model,bertscore_precision,bertscore_recall,bertscore_f1
CORP-TAX-001,CORP-TAX-001,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).","liche Bemessungsgrundlage für die Körperschaftsteuer? Antwort: Die steuerliche Bemessung der Körperschaftsteuer setzt voraus, dass die Steuerausschüttung in einem bestimmten Zeitraum durchgeführt wird (Art. 1 Abs. 2 lit. a des Bundesgesetzes über die Steuerpflichtigen [StG; SR 642.10]). Dabei sind die Steuerfristabrechnungen im Sinne von Art. 35 StG zu erstellen (Art. 1 Abs. 2 lit. b StG). Der Steuerpflichtige hat sich bei der Auszahlung der Steuerfristabrechnung zu erkundigen, ob er die Steuerfrist abgeschlossen hat oder nicht (Art",Model 1 Inference,0.66903967,0.7351404,0.70053416
CORP-TAX-002,CORP-TAX-002,Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,"vergibt? Antwort: Die Körperschaft kann den gesetzlichen Anspruch nicht verletzen, indem sie einen zinslosen Darlehensanspruch ausübt. Sie kann sich aber auch nicht darauf berufen, dass der Gesellschaftsanteil des Verkäufers durch das Darlehen entfallen sei. Die Rechtsprechung 10. a) Das Bundesgericht hat in BGE 83 II 256 ff. erklärt, dass die Auslegung von Art. 49 Abs. 1 OR als solcher nicht nur im Sinne einer allgemeinen Auslegung, sondern auch im Sinne einer allgemeinverbindlichen Auslegung zu behandeln sei. Es hat dabei jedoch festgehalten, dass",Model 1 Inference,0.6529124,0.69287586,0.67230076
CORP-TAX-003,CORP-TAX-003,"Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).","Antwort: Die Bundesgesetzgebung über das Steuerrecht (StG) enthält keine Bestimmung, welche eine solche Regelung vorsieht. Es handelt sich um eine gesetzgeberische Auslegung des Bundesrechts, die nicht von der Rechtsschutzinteressenlage abhängt. Die bundesrätlichen Vorgaben zur Veranlagungs- und Verfügungsordnung für die Steuern der Kantone vom 20. Dezember 1975 (VSTK; SR 642.11) enthalten keine Bestimmungen, welche eine solche Regelung vorsieht. Sie bestimmen lediglich, dass die Steuerbehörden in allen Fällen",Model 1 Inference,0.6437671,0.6646649,0.6540491
CORP-TAX-004,CORP-TAX-004,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,"a) Die Dividenden werden für die Tochtergesellschaft als Einkommen im Sinne von Art. 12 Abs. 3 lit. a des Bundesratsbeschlusses vom 20. Dezember 1975 über die Steuern der Öffentlichen Gesellschaften und Unternehmungen (StG; SR 642.11) beurteilt. Die Dividenden werden in der Höhe der übrigen Einnahmen aus dem Verkauf von Aktien oder von Vermögenswerten, die den Betrag der Dividenden entsprechen, mit der Öffentlichkeit zusammengefasst. Sie sind nicht unter die börsengewählten Wertschriften,",Model 1 Inference,0.66260535,0.6864401,0.6743121
CORP-TAX-005,CORP-TAX-005,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",wort: Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft unterscheidet sich durchaus von derjenigen einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft. Eine solche kann nur in einem Fall wie dem vorliegenden (offensichtlich) verdeckte Ausschüttung auf Ebene der ausschüttenden Körperschaft erfolgen; eine solche kann aber auch bei einer offenkundigen Ausschüttung auf Ebene der ausschüttenden Körperschaft nicht vorgenommen werden. Die Ausführungen des Beschwerdeführers sind zutreffend,Model 1 Inference,0.66356164,0.6510002,0.6572209
CORP-TAX-006,CORP-TAX-006,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.","ahr und welche Ausnahmen gibt es? Antwort: Der Verlustabzug beträgt 10% des im Jahr vorausgegangenen Steuerschadens (Art. 25 Abs. 3 StG). Die Ausnahme von Art. 25 Abs. 4 StG gilt für die Steuern der Einkommens- und Vermögenssteuer sowie für die Steuer auf den Erwerbseinkommen. Eine Ausnahme besteht nur für die Steuer auf den Erwerbseinkommen, wenn der Steuerpflichtige eine Steuerforderung ausdrücklich verneint hat oder wenn er sich nicht an die Steuerhoheit des Bundes oder der Kantone gehalten hat.",Model 1 Inference,0.6814741,0.71977407,0.7001006
CORP-TAX-007,CORP-TAX-007,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",": Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er? Antwort: 1. Ein Mantelkauf ist eine Veräusserung von einem Käufer an einen Nachbarn, der den Mantel in seiner Eigenschaft als Käufer oder Nachbar veräussert (Art. 20 Abs. 3 des Bundesgesetzes über die Rechtshilfe in Strafsachen vom 6. Oktober 1974 [SR 312.0]). 2. Der Mantelkauf ist nicht mit dem Verwertungsverfahren gleichgestellt; er kann auch nicht als solcher bezeichnet werden. Er ist vielmehr ein besonderes Vertragsabschluss zwischen dem Käufer und dem Nachbarn, der ihn veräussert. Die Verwendung eines Kä",Model 1 Inference,0.6719191,0.7088839,0.6899067
CORP-TAX-008,CORP-TAX-008,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,Gesellschafters steuerlich für die Körperschaft? Antwort: Die Körperschaft kann den Verzicht nicht als Steuersubjekt betrachten (E. 2). Begriff der Steuerverbindlichkeit (E. 3).,Model 1 Inference,0.6998716,0.6771691,0.6883332
CORP-TAX-009,CORP-TAX-009,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).","chnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder? Antwort: Die Verlustverrechnung besteht darin, dass eine Ausgleichskasse einen Teil des im Ausland versteckten oder veräusserten Vermögens als Verlustsache anerkennt und den übrigen Teil dem Veranlagungsamt überlässt (Art. 10 Abs. 2 lit. a und b des Bundesgesetzes vom 6. Oktober 1974 über die Rechtspflege bei Auslieferungen und Auskünften [AS 1975 S. 38]). Der Verlustsatz wird nach Art. 10 Abs. 2 lit. c des gleichen Gesetzes mit einem Betrag von Fr. 1'000.-- pro",Model 1 Inference,0.63809764,0.6861459,0.6612501
CORP-TAX-010,CORP-TAX-010,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,", statt zu raten. Benutzerfrage: Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig? Antwort: Ja. Die Steuerverwaltung des Kantons Oesterreich hat am 10. Dezember 2003 eine Steuerumrechnung für den Jahresabschluss 2003 erstattet. Die Steuerbehörde der Gemeinde Zürich hat diese Umrechnung mit Schreiben vom 14. Januar 2005 an das Steueramt des Kantons Oesterreich übermittelt. Das Steueramt des Kantons Oesterreich hat am 16. Februar 2005 die umrechneten Steuergutsprache abgegeben. Am 17. März 2005 wurde die Steuerumrechnung in der Schweiz veröffentlicht. Im",Model 1 Inference,0.622179,0.658661,0.63990045
CORP-TAX-011,CORP-TAX-011,Nein. Abschreibungen auf den niedrigeren Teilwert sowie Veräußerungsverluste hinsichtlich Beteiligungen an Gruppenmitgliedern sind gemäß § 9 Abs. 7 KStG nicht abzugsfähig.,"frage: Sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig? Antwort: Yes. Die Ausgleichskasse des Kantons Zürich hat in ihrer Verfügung vom 14. Dezember 2003 folgenden Entscheid: ""Der Beschwerdeführer wird von der Ausgleichskasse des Kantons Zürich für die Zeit vom 1. Januar bis 31. Dezember 2003 eine Rente der Invalidenversicherung zugesprochen. Die Rente beträgt Fr. 5'687.- pro Monat. Der Beschwerdeführer macht geltend, er habe sich bei der Ausgleichskasse nicht über seine Ansprüche informiert. Er sei daher verpflichtet gewesen, die Rente nachzuholen. Das Ver",Model 1 Inference,0.61006033,0.7146738,0.6582364
CORP-TAX-012,CORP-TAX-012,"Die Beteiligung erfüllt die Voraussetzungen einer internationalen Schachtelbeteiligung (≥ 10 %, ≥ 1 Jahr – § 10 Abs. 2 KStG). Die Dividende ist nach § 10 Abs. 1 Z 7 KStG steuerfrei. Alternativ käme § 10 Abs. 1 Z 5 KStG (EU-Mutter-Tochter-Richtlinie) in Betracht. Nicht befreit wäre sie, wenn sie bei der Tochter abzugsfähig ist (§ 10 Abs. 4 KStG).",15 % beträgt und seit 2 Jahren gehalten wird? Antwort: Die Dividenden werden in der Schweiz als Einkommen im Sinne von Art. 6 Abs. 3 des Bundesratsbeschlusses vom 18. Dezember 1974 über die Steuern der Ausländerinnen und Ausländern (StG) erfasst. Sie sind daher nach dem Gesetz für den Erwerb von Wohnsitz oder Arbeit in der Schweiz zu versteuern. Die Dividenden werden in der Schweiz als Einkommen im Sinne von Art. 6 Abs. 3 StG erfasst. Sie sind daher nach dem Gesetz für den Erwerb von Wohnsitz oder Arbeit in der Schweiz zu versteuern. Der Anspruch auf Ersatz,Model 1 Inference,0.6058627,0.6394763,0.62221587
CORP-TAX-013,CORP-TAX-013,"§ 10 KStG befreit eingehende Beteiligungserträge. § 12 Abs. 1 Z 10 KStG verhindert, dass ausgehende Zahlungen an niedrigbesteuerte Konzerngesellschaften abgezogen werden. Beide können denselben Konzern treffen: Die Mutter empfängt steuerfreie Dividenden (§ 10) und leistet Zahlungen an eine Schwester im Niedrigsteuerland (§ 12 Abs. 1 Z 10).","Die beiden Bestimmungen sind nicht gleichzeitig anwendbar. Der Begriff der ""Lizenz"" im Sinne von Art. 35 Abs. 4 StGB ist in den beiden Bestimmungen unterschiedlich ausgestaltet. Nach § 10 KStG kann eine Person nur mit einer Lizenz beauftragt werden, wenn sie sich als ""Konsumentin oder Anbieterin eines Dienstes"" im Sinne des Gesetzes verhält. Diese Voraussetzung ist nach § 12 Abs. 1 Z 10 KStG erfüllt, wenn die Person einen ""Dienst"" im Sinne des Gesetzes hat, indem sie sich als ""Anbieterin"" oder """,Model 1 Inference,0.66674525,0.67475426,0.6707258
CORP-TAX-014,CORP-TAX-014,"Der Steuerpflichtige muss unter § 7 Abs. 3 KStG fallen oder eine sonstige unbeschränkt steuerpflichtige ausländische Körperschaft sein, die mit einem inländischen unter §7 Abs. 3KStG fallenden Steuerpflichtigen vergleichbar sein und mindestens 1 Jahr ununterbrochen zu mindestens 10 % an einer ausländischen Kapitalgesellschaft beteiligt sein (§ 10 Abs. 2 KStG).","zu raten. Benutzerfrage: Welche Voraussetzungen müssen für eine internationale Schachtelbeteiligung erfüllt sein? Antwort: Die internationale Schachtelbeteiligung kann nur dann erfolgen, wenn der Ehegatte des Schachter mit dem Ehemann des Schlägers in einem gemeinsamen Wohnsitz oder in einer ähnlichen Situation steht (Art. 10 Abs. 2 Ziff. 3 StGB). Der Schachter muss sich über seine finanziellen Verhältnisse im Sinne von Art. 9 StGB verständigen können (Abs. 4) und die Schachtelbeteiligung nicht als unerlaubte Handlung im Sinne von Art. 16 StGB betrachten dürfen (Abs. 5). Die Schachtelbeteiligung darf aber auch dann nicht erfolgen, wenn der Ehe",Model 1 Inference,0.65135694,0.67701685,0.66393906
CORP-TAX-015,CORP-TAX-015,"Sie bleiben bei der Einkommensermittlung außer Ansatz (steuerneutral), es sei denn, der Steuerpflichtige hat die Option zur Steuerwirksamkeit erklärt (§ 10 Abs. 3 KStG).",", statt zu raten. Benutzerfrage: Wie werden Veräußerungsgewinne aus internationalen Schachtelbeteiligungen grundsätzlich behandelt? Antwort: Die Verwertung von Gewinnen aus internationalen Schachtelbeteiligungen wird in der Schweiz nach dem Recht des Schätzungskreises geregelt (Art. 10 Abs. 2 ESG). Der Schatzervertrag muss sich auf den Schutz der Gesellschaftsinteressen beziehen. Er hat keine Bedeutung für die Auszahlung an die Klienten. Das schweizerische Recht gilt auch für die Auszahlung an die Schätzungsstelle. Es genügt, dass die Schätzungskosten im Sinne von Art. 359 ff. OR als Vermögensvorrat gelten. Eine solche Voraussetzung kann nicht erfüllt sein",Model 1 Inference,0.6419901,0.70437264,0.6717362
CORP-TAX-016,CORP-TAX-016,"Grundsätzlich ja (§ 11 Abs. 1 Z 4 KStG) wenn die Beteiligung im Betriebsvermögen gehalten wird – auch wenn die Erträge nach § 10 KStG steuerfrei sind. Ausnahme: Wurde die Beteiligung von einem konzernzugehörigen Unternehmen erworben, greift das Abzugsverbot des § 12 Abs. 1 Z 9 KStG und die Fremdfinanzierungszinsen dürfen nicht als Betriebsausgabe abgezogen werden.",den Erwerb einer steuerbefreiten Beteiligung als Betriebsausgabe abzugsfähig? Antwort: Yes. Die Ausgaben der Steuerverwaltung werden in der Regel nicht als Betriebsausgabe im Sinne von Art. 10 Abs. 2 lit. a des Bundesgesetzes über die direkte Bundessteuer (dBSt; SR 642.11) bezeichnet. Sie sind vielmehr als Einkommen ausserhalb des Steuersubjekts zu qualifizieren (BGE 135 II 78 E. 3.2 S. 81 f.; Urteil 2C_9/2010 vom 14. Februar 2010 E. 2.1). Die Auszahlung eines solchen Einkommens durch eine Steuer,Model 1 Inference,0.68018466,0.69326586,0.686663
